開放粵語詞典（黃錫凌數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
頂	dɪŋ2	撐，挺，支撐，支持
頂包	dɪŋ2 bau1	冒名頂替，以假充真
頂尖	dɪŋ2 dzim1	
頂住	dɪŋ2 dzy6	撐著，撐住
頂得住	dɪŋ2 dɐk7 dzy6	撐得住，受得了
頂檔	dɪŋ2 dɔŋ3	頂替
頂夾	dɪŋ2 gap2	頭髮夾子
頂頸	dɪŋ2 gɛŋ2	拌嘴，頂嘴，抬槓，反駁
頂吓肚	dɪŋ2 ha5 tou5	點補點補，充充飢
頂唔住	dɪŋ2 m̩4 dzy6	受不了，撐不住
頂唔順	dɪŋ2 m̩4 sœn6	受不了，吃不消
頂心杉	dɪŋ2 sɐm1 tsam3	眼中釘
頂肚	dɪŋ2 tou5	充飢，解餓
頂肚餓	dɪŋ2 tou5 ŋɔ6	充飢，解餓
椗	dɪŋ3	核，蒂
訂閱	dɪŋ3 jyt9	
定	dɪŋ6	還是，或者
定啲	dɪŋ6 di1	鎮定一點
定啲嚟	dɪŋ6 di1 lei4	穩住
定點	dɪŋ6 dim2	小數點，點
定係	dɪŋ6 hɐi6	還是
定義	dɪŋ6 ji6	
定讞	dɪŋ6 jin6	
定期	dɪŋ6 kei4	
定晒形	dɪŋ6 sai3 jɪŋ4	愣住了，發愣，發呆
定銀	dɪŋ6 ŋɐn2	定錢，定金
督	dʊk7	戳，捅，刺，扎
篤	dʊk7	底，底部，盡頭
督背脊	dʊk7 bui3 dzɛk8	背地裡傷人，打小報告，戳脊樑骨
篤志	dʊk7 dzi3	
篤直	dʊk7 dzik9	
篤底	dʊk7 dɐi2	底下的，底層的
篤定	dʊk7 dɪŋ6	
篤厚	dʊk7 hɐu5	
篤行	dʊk7 hɐŋ4	
篤學	dʊk7 hɔk9	
篤信	dʊk7 sœn3	
篤實	dʊk7 sɐt9	
篤守	dʊk7 sɐu2	
篤誠	dʊk7 sɪŋ4	
督察	dʊk7 tsat8	
督穿	dʊk7 tsyn1	捅破
督穿個窿	dʊk7 tsyn1 gɔ3 lʊŋ1	捅個窿
督親	dʊk7 tsɐn1	戳傷，刺傷
獨白	dʊk9 bak9	
獨步	dʊk9 bou6	
毒品	dʊk9 bɐn2	
讀大學	dʊk9 dai6 hɔk9	
獨到	dʊk9 dou3	
獨到之處	dʊk9 dou3 dzi1 tsy3	
獨斷	dʊk9 dyn6	
獨斷專行	dʊk9 dyn6 dzyn1 hɐŋ4	
獨斷獨行	dʊk9 dyn6 dʊk9 hɐŋ4	
獨資	dʊk9 dzi1	
獨資經營	dʊk9 dzi1 gɪŋ1 jɪŋ4	
獨子	dʊk9 dzi2	
獨自	dʊk9 dzi6	
獨佔	dʊk9 dzim3	
獨佔市場	dʊk9 dzim3 si5 tsœŋ4	
獨佔鰲頭	dʊk9 dzim3 ŋou4 tɐu4	
獨掌	dʊk9 dzœŋ2	
獨掌大權	dʊk9 dzœŋ2 dai6 kyn4	
獨奏	dʊk9 dzɐu3	
獨奏曲	dʊk9 dzɐu3 kʊk7	
讀者	dʊk9 dzɛ2	
獨得	dʊk9 dɐk7	
獨特	dʊk9 dɐk9	
獨特性	dʊk9 dɐk9 sɪŋ3	
獨當一面	dʊk9 dɔŋ1 jɐt7 min6	
毒販	dʊk9 fan3	
獨家	dʊk9 ga1	
獨家報導	dʊk9 ga1 bou3 dou6	
獨家新聞	dʊk9 ga1 sɐn1 mɐn4	
獨腳戲	dʊk9 gœk8 hei3	
獨居	dʊk9 gœy1	
獨具匠心	dʊk9 gœy6 dzœŋ6 sɐm1	
獨具一格	dʊk9 gœy6 jɐt7 gak8	
獨具慧眼	dʊk9 gœy6 wɐi6 ŋan5	
獨角	dʊk9 gɔk8	
獨角戲	dʊk9 gɔk8 hei3	
獨角獸	dʊk9 gɔk8 sɐu3	
獨係	dʊk9 hɐi6	只是，只有
讀後感	dʊk9 hɐu6 gɐm2	
毒藥	dʊk9 jœk9	
獨一無二	dʊk9 jɐt7 mou4 ji6	
獨有	dʊk9 jɐu5	
獨攬	dʊk9 lam5	
獨攬大權	dʊk9 lam5 dai6 kyn4	
獨立	dʊk9 lap9	
獨立自主	dʊk9 lap9 dzi6 dzy2	
獨立精神	dʊk9 lap9 dzɪŋ1 sɐn4	
獨立國	dʊk9 lap9 gwɔk8	
獨立思考	dʊk9 lap9 si1 hau2	
獨立思想	dʊk9 lap9 si1 sœŋ2	
獨立宣言	dʊk9 lap9 syn1 jin4	
獨立性	dʊk9 lap9 sɪŋ3	
獨立運動	dʊk9 lap9 wɐn6 dʊŋ6	
獨輪	dʊk9 lœn4	
獨輪車	dʊk9 lœn4 tsɛ1	
獨來獨往	dʊk9 lɔi4 dʊk9 wɔŋ5	
讀萬卷書，行萬里路	dʊk9 man6 gyn2 sy1 haŋ4 man6 lei5 lou6	
黷武	dʊk9 mou5	
獨門	dʊk9 mun4	
讀物	dʊk9 mɐt9	
獨幕劇	dʊk9 mɔk9 kɛk9	
獨木	dʊk9 mʊk9	
獨木不成林	dʊk9 mʊk9 bɐt7 sɪŋ4 lɐm4	
獨木舟	dʊk9 mʊk9 dzɐu1	
獨木橋	dʊk9 mʊk9 kiu4	
獨木船	dʊk9 mʊk9 syn4	
獨市生意	dʊk9 si5 saŋ1 ji3	獨家生意
獨食	dʊk9 sik9	独吃，独吞
獨善其身	dʊk9 sin6 kei4 sɐn1	
讀書	dʊk9 sy1	
讀書不求甚解	dʊk9 sy1 bɐt7 kɐu4 sɐm6 gai2	
獨樹一格	dʊk9 sy6 jɐt7 gak8	
獨樹一幟	dʊk9 sy6 jɐt7 tsi3	
獨睡	dʊk9 sœy2	單人床
獨身	dʊk9 sɐn1	
獨身主義	dʊk9 sɐn1 dzy2 ji6	
獨身生活	dʊk9 sɐn1 sɐŋ1 wut9	
獨生	dʊk9 sɐŋ1	
獨生子	dʊk9 sɐŋ1 dzi2	
獨生女	dʊk9 sɐŋ1 nœy5	
讀寫	dʊk9 sɛ2	
讀寫能力	dʊk9 sɛ2 nɐŋ4 lik9	
毒蛇	dʊk9 sɛ4	
獨處	dʊk9 tsy5	
獨唱	dʊk9 tsœŋ3	
獨唱曲	dʊk9 tsœŋ3 kʊk7	
獨裁	dʊk9 tsɔi4	
獨裁者	dʊk9 tsɔi4 dzɛ2	
獨裁政權	dʊk9 tsɔi4 dzɪŋ3 kyn4	
獨創	dʊk9 tsɔŋ3	
獨往獨來	dʊk9 wɔŋ5 dʊk9 lɔi4	
獨眼	dʊk9 ŋan5	
獨眼龍	dʊk9 ŋan5 lʊŋ4	
冬	dʊŋ1	冬至
東便	dʊŋ1 bin6	東邊
東部	dʊŋ1 bou6	
東半球	dʊŋ1 bun3 kɐu4	
東北	dʊŋ1 bɐk7	
東北部	dʊŋ1 bɐk7 bou6	
東北方	dʊŋ1 bɐk7 fɔŋ1	
東北風	dʊŋ1 bɐk7 fʊŋ1	
東北面	dʊŋ1 bɐk7 min6	
冬大過年	dʊŋ1 dai6 gwɔ3 nin4	過冬至節比過年還重要
東倒西歪	dʊŋ1 dou2 sɐi1 wai1	
東道	dʊŋ1 dou6	
東道主	dʊŋ1 dou6 dzy2	
冬至	dʊŋ1 dzi3	
東至	dʊŋ1 dzi3	
東張西望	dʊŋ1 dzœŋ1 sɐi1 mɔŋ6	
東側	dʊŋ1 dzɐk7	
東周	dʊŋ1 dzɐu1	
東征西討	dʊŋ1 dzɪŋ1 sɐi1 tou2	
東正教	dʊŋ1 dzɪŋ3 gau3	
東方	dʊŋ1 fɔŋ1	
東方國家	dʊŋ1 fɔŋ1 gwɔk8 ga1	
東方紅	dʊŋ1 fɔŋ1 hʊŋ4	
東方人	dʊŋ1 fɔŋ1 jɐn4	
東方文化	dʊŋ1 fɔŋ1 mɐn4 fa3	
冬風	dʊŋ1 fʊŋ1	
東風	dʊŋ1 fʊŋ1	
冬菇	dʊŋ1 gu1	香菇
冬瓜	dʊŋ1 gwa1	
冬瓜豆腐	dʊŋ1 gwa1 dɐu6 fu6	三長兩短，不測
冬瓜湯	dʊŋ1 gwa1 tɔŋ1	
冬季	dʊŋ1 gwɐi3	
東經	dʊŋ1 gɪŋ1	
東拉西扯	dʊŋ1 lai1 sɐi1 tsɛ2	
冬令	dʊŋ1 lɪŋ6	
冬眠	dʊŋ1 min4	
東面	dʊŋ1 min6	
東南	dʊŋ1 nam4	
東南部	dʊŋ1 nam4 bou6	
東南方	dʊŋ1 nam4 fɔŋ1	
東南風	dʊŋ1 nam4 fʊŋ1	
東南面	dʊŋ1 nam4 min6	
東南西北	dʊŋ1 nam4 sɐi1 bɐk7	
東山再起	dʊŋ1 san1 dzɔi3 hei2	
東施效顰	dʊŋ1 si1 hau6 pɐn4	
東西	dʊŋ1 sɐi1	
東西南北	dʊŋ1 sɐi1 nam4 bɐk7	
冬天	dʊŋ1 tin1	
東窗事發	dʊŋ1 tsœŋ1 si6 fat8	
冬青	dʊŋ1 tsɪŋ1	
冬青樹	dʊŋ1 tsɪŋ1 sy6	
冬蟲夏草	dʊŋ1 tsʊŋ4 ha6 tsou2	
東岸	dʊŋ1 ŋɔn6	
懂得	dʊŋ2 dɐk7	
懂事	dʊŋ2 si6	
董事	dʊŋ2 si6	
董事長	dʊŋ2 si6 dzœŋ2	
凍	dʊŋ3	冷
凍冰冰	dʊŋ3 bɪŋ1 bɪŋ1	冷冰冰
凍到死	dʊŋ3 dou3 sei2	冷死了，冷得要命
凍到揗揗震	dʊŋ3 dou3 tɐn4 tɐn4 dzɐn3	冷得直打哆嗦
凍啡	dʊŋ3 fɛ1	冷咖啡
凍結	dʊŋ3 git8	
凍滾水	dʊŋ3 gwɐn2 sœy2	涼開水
棟宇	dʊŋ3 jy5	
凍鴛鴦	dʊŋ3 jyn1 jœŋ1	冷咖啡茶，冷咖啡加奶茶
棟梁	dʊŋ3 lœŋ4	
凍檸茶	dʊŋ3 nɪŋ4 tsa4	冷檸檬茶
凍水	dʊŋ3 sœy2	冷水，冰水，涼水，涼白開
凍水散瘀	dʊŋ3 sœy2 san3 jy2	冷水消腫
凍親	dʊŋ3 tsɐn1	著涼
戙	dʊŋ6	摞
戙	dʊŋ6	豎，立
動兵	dʊŋ6 bɪŋ1	
動刀	dʊŋ6 dou1	
動刀動槍	dʊŋ6 dou1 dʊŋ6 tsœŋ1	
動植物	dʊŋ6 dzik9 mɐt9	
動輒	dʊŋ6 dzip8	
動輒得咎	dʊŋ6 dzip8 dɐk7 gɐu3	
動作	dʊŋ6 dzɔk8	
動靜	dʊŋ6 dzɪŋ6	
動作片	dʊŋ6 dzʊk8 pin2	
侗族	dʊŋ6 dzʊk9	
動蕩	dʊŋ6 dɔŋ6	
動蕩不安	dʊŋ6 dɔŋ6 bɐt7 ɔn1	
戙篤	dʊŋ6 dʊk7	站著
戙篤企	dʊŋ6 dʊk7 kei5	垂直豎立著
戙篤笑	dʊŋ6 dʊk7 siu3	單口相聲
戙篤笑騷	dʊŋ6 dʊk7 siu3 sou1	單口相聲表演
動火	dʊŋ6 fɔ2	
動機	dʊŋ6 gei1	
動感	dʊŋ6 gɐm2	
動工	dʊŋ6 gʊŋ1	
恫嚇	dʊŋ6 hak8	
戙起隻腳	dʊŋ6 hei2 dzɛk8 gœk8	支起腿
動氣	dʊŋ6 hei3	
動向	dʊŋ6 hœŋ3	
動口	dʊŋ6 hɐu2	
動議	dʊŋ6 ji5	
動搖	dʊŋ6 jiu4	
動員令	dʊŋ6 jyn4 lɪŋ6	
洞穴	dʊŋ6 jyt9	
動人	dʊŋ6 jɐn4	
動人心弦	dʊŋ6 jɐn4 sɐm1 jin4	
動容	dʊŋ6 jʊŋ4	
動用	dʊŋ6 jʊŋ6	
戙企	dʊŋ6 kei5	垂直豎立著
戙起床版	dʊŋ6 kei5	開夜車
動力	dʊŋ6 lik9	
動力機	dʊŋ6 lik9 gei1	
動力學	dʊŋ6 lik9 hɔk9	
動亂	dʊŋ6 lyn6	
動量	dʊŋ6 lœŋ6	
動武	dʊŋ6 mou5	
動脈硬化	dʊŋ6 mɐk9 ŋaŋ6 fa3	
動物	dʊŋ6 mɐt9	
動物界	dʊŋ6 mɐt9 gai3	
動物學	dʊŋ6 mɐt9 hɔk9	
動物學家	dʊŋ6 mɐt9 hɔk9 ga1	
動物園	dʊŋ6 mɐt9 jyn4	
動物油	dʊŋ6 mɐt9 jɐu4	
動名詞	dʊŋ6 mɪŋ4 tsi4	
動腦	dʊŋ6 nou5	
動腦筋	dʊŋ6 nou5 gɐn1	
動怒	dʊŋ6 nou6	
動心	dʊŋ6 sɐm1	
動手	dʊŋ6 sɐu2	
動手動腳	dʊŋ6 sɐu2 dʊŋ6 gœk8	
動手腳	dʊŋ6 sɐu2 gœk8	
動手術	dʊŋ6 sɐu2 sœt9	
動態	dʊŋ6 tai3	
動態平衡	dʊŋ6 tai3 pɪŋ4 hɐŋ4	
動土	dʊŋ6 tou2	
動詞	dʊŋ6 tsi4	
動詞變化	dʊŋ6 tsi4 bin3 fa3	
動粗	dʊŋ6 tsou1	
動粗	dʊŋ6 tsou1	動武
動槍	dʊŋ6 tsœŋ1	
動情	dʊŋ6 tsɪŋ4	
胴體	dʊŋ6 tɐi2	
動畫	dʊŋ6 wa2	
動畫片	dʊŋ6 wa2 pin2	
AA制	ei1 ei1 dzɐi3	各付各的
花苞	fa1 bau1	
花圃	fa1 bou2	
花招	fa1 dziu1	
花樽	fa1 dzœn1	花瓶
花朵	fa1 dɔ2	
花花世界	fa1 fa1 sɐi3 gai3	
花瓣	fa1 fan6	
花弗	fa1 fit7	誇耀，花俏
花款	fa1 fun2	花樣，款式，式樣，花色
花費不貲	fa1 fɐi3 bɐt7 dzi1	
花街	fa1 gai1	花市
花圈	fa1 hyn1	
花腔	fa1 hɔŋ1	
花紅	fa1 hʊŋ4	紅利，利潤，利息，獎金
花園	fa1 jyn2	
花蕊	fa1 jœy5	
花哩花碌	fa1 li1 fa1 lʊk7	花里胡哨，花斑斑
花哩碌	fa1 li1 lʊk7	花里胡哨，色彩斑駁，花花綠綠，五顏六色
花哩胡碌	fa1 li1 wu4 lʊk7	花里胡哨，花斑斑
花蕾	fa1 lœy5	
花冧	fa1 lɐm1	花蕾
花名	fa1 mɛŋ2	外號，綽號
花瓶	fa1 pɪŋ4	
花灑	fa1 sa2	噴頭，蓮蓬頭
花哨	fa1 sau3	
花士令	fa1 si6 lɪŋ2	凡士林
花絮	fa1 sœy5	
花臣	fa1 sɐn2	式樣，花樣，時髦
花生肉	fa1 sɐŋ1 jʊk9	花生米
花城	fa1 sɪŋ4	廣州別稱
花卉	fa1 wɐi2	
花王	fa1 wɔŋ4	園丁，花匠
化敵為友	fa3 dik9 wɐi4 jɐu5	
化裝	fa3 dzɔŋ1	
化妝	fa3 dzɔŋ1	
化妝品	fa3 dzɔŋ1 bɐn2	
化裝舞會	fa3 dzɔŋ1 mou5 wui6	
化妝箱	fa3 dzɔŋ1 sœŋ1	
化妝室	fa3 dzɔŋ1 sɐt7	
化妝台	fa3 dzɔŋ1 tɔi4	
化繁為簡	fa3 fan4 wɐi4 gan2	
化肥	fa3 fei4	
化肥廠	fa3 fei4 tsɔŋ2	
化腐朽為神奇	fa3 fu6 nɐu2 wɐi4 sɐn4 kei4	
化解	fa3 gai2	
化干戈為玉帛	fa3 gɔn1 gwɔ1 wɐi4 jʊk9 bak9	
化工	fa3 gʊŋ1	
化工廠	fa3 gʊŋ1 tsɔŋ2	
化險為夷	fa3 him2 wɐi4 ji4	
化合物	fa3 hɐp9 mɐt9	
化學	fa3 hɔk9	
化學變化	fa3 hɔk9 bin3 fa3	
化學品	fa3 hɔk9 bɐn2	
化學作用	fa3 hɔk9 dzɔk8 jʊŋ6	
化學反應	fa3 hɔk9 fan2 jɪŋ3	
化學肥料	fa3 hɔk9 fei4 liu6	
化學家	fa3 hɔk9 ga1	
化學工廠	fa3 hɔk9 gʊŋ1 tsɔŋ2	
化學元素	fa3 hɔk9 jyn4 sou3	
化學武器	fa3 hɔk9 mou5 hei3	
化學平衡	fa3 hɔk9 pɪŋ4 hɐŋ4	
化學纖維	fa3 hɔk9 tsim1 wɐi4	
化驗	fa3 jim6	
化驗品	fa3 jim6 bɐn2	
化驗室	fa3 jim6 sɐt7	
化武	fa3 mou5	
化名	fa3 mɪŋ4	
化濃妝	fa3 nʊŋ4 dzɔŋ1	
化算	fa3 syn3	划算，合算
化身	fa3 sɐn1	
化石	fa3 sɛk9	
化鴟為鳳	fa3 tsi1 wɐi4 fʊŋ6	
化纖	fa3 tsim1	
化纖廠	fa3 tsim1 tsɔŋ2	
化為	fa3 wɐi4	
化為泡影	fa3 wɐi4 pou5 jɪŋ2	
化為烏有	fa3 wɐi4 wu1 jɐu5	
化外	fa3 ŋɔi6	
化外之民	fa3 ŋɔi6 dzi1 mɐn4	
快啲行喇	fai3 di1 haŋ4 la3	快點走吧
快啲啦！	fai3 di1 la1	快點吧！
快啲	fai3 dit7	快一點
筷子	fai3 dzi2	
快捷	fai3 dzit9	
快遞	fai3 dɐi6	
快快脆脆	fai3 fai3 tsœy3 tsœy3	快快，趕忙
快感	fai3 gɐm2	
快勞	fai3 lou2	文檔，文件，檔案
傀儡	fai3 lœy5	
傀儡政府	fai3 lœy5 dzɪŋ3 fu2	
傀儡政權	fai3 lœy5 dzɪŋ3 kyn4	
傀儡戲	fai3 lœy5 hei3	
快樂	fai3 lɔk9	
塊面紅紅哋	fai3 min6 hʊŋ4 hʊŋ4 dei2	臉紅紅的
快手	fai3 sɐu2	迅速
快手啲	fai3 sɐu2 di1	動作快點
快脆	fai3 tsœy3	快，快當，利索
快速	fai3 tsʊk7	
快艇	fai3 tɛŋ5	
翻	fan1	回，返
番鴨	fan1 ap8	旱鴨
翻版	fan1 ban2	盜版
番邦	fan1 bɔŋ1	
番地	fan1 dei6	
翻轉頭	fan1 dzyn2 tɐu4	回頭，掉頭，往回
番族	fan1 dzʊk9	
翻風	fan1 fʊŋ1	刮風，起風
番梘	fan1 gan2	肥皂
番梘泡	fan1 gan2 pou5	肥皂泡
番瓜	fan1 gwa1	南瓜
番鬼	fan1 gwɐi2	西洋的，西洋人
番鬼	fan1 gwɐi2	蠻不講理，兇狠惡毒，刁蠻
番鬼仔	fan1 gwɐi2 dzɐi2	西洋小孩，外國男孩，外國小孩
番鬼佬	fan1 gwɐi2 lou2	西洋人，洋鬼子，外國人，老外
番鬼佬涼茶	fan1 gwɐi2 lou2 lœŋ4 tsa4	啤酒
番鬼妹	fan1 gwɐi2 mui1	外國少女，外國姑娘，外國女孩
番鬼婆	fan1 gwɐi2 pɔ2	外國婦女，老外
番國	fan1 gwɔk8	
翻工	fan1 gʊŋ1	上班
翻供	fan1 gʊŋ1	
翻公司	fan1 gʊŋ1 si1	回公司
反客為主	fan1 hak8 wɐi4 dzy2	
翻去	fan1 hœy3	回去
翻鄉下	fan1 hœŋ1 ha6	回鄉下
翻學	fan1 hɔk9	上學
翻譯	fan1 jik9	
翻譯者	fan1 jik9 dzɛ2	
翻譯家	fan1 jik9 ga1	
番人	fan1 jɐn4	
翻企	fan1 kei2	回家
番茄醬	fan1 kɛ4 dzœŋ3	
翻嚟	fan1 lei4	回來
翻面	fan1 min6	翻臉
翻唔切	fan1 m̩4 tsit8	趕不回來，趕不回去
翻晒面	fan1 sai3 min6	翻臉
翻生	fan1 saŋ1	復活
番薯	fan1 sy2	地瓜，白薯，紅薯，甘薯，蕃薯
番薯糖	fan1 sy4 tɔŋ2	糖水白薯
番石榴	fan1 sɛk9 lɐu4	石榴
番石榴	fan1 sɛk9 lɐu4	
翻抄	fan1 tsau1	再制，再生
翻草	fan1 tsou2	反芻
翻頭嫁	fan1 tɐu4 ga3	再嫁
番話	fan1 wa2	
番話	fan1 wa2	外語
翻屋企	fan1 ŋʊk7 kei2	回家
犯	fan2	犯人
反	fan2	開玩笑，鬧，玩兒
反敗為勝	fan2 bai6 wɐi4 sɪŋ3	
反比	fan2 bei2	
反哺	fan2 bou6	
反叛	fan2 bun6	
反駁	fan2 bɔk8	
反彈	fan2 dan6	
反彈力	fan2 dan6 lik9	
反倒	fan2 dou3	
反之	fan2 dzi1	
反之亦然	fan2 dzi1 jik9 jin4	
反戰	fan2 dzin3	
反戰份子	fan2 dzin3 fɐn6 dzi2	
反制	fan2 dzɐi3	
反正	fan2 dzɪŋ3	
反對	fan2 dœy3	
反對者	fan2 dœy3 dzɛ2	
反對黨	fan2 dœy3 dɔŋ2	
反斗	fan2 dɐu2	頑皮，淘氣
反動	fan2 dʊŋ6	
反動份子	fan2 dʊŋ6 fɐn6 dzi2	
反動派	fan2 dʊŋ6 pai3	
反覆	fan2 fʊk7	
反擊	fan2 gik7	
反饋	fan2 gwɐi6	
反骨	fan2 gwɐt7	反叛，背叛，無情義，吃裡扒外
反骨仔	fan2 gwɐt7 dzɐi2	叛徒，白眼狼，忘恩負義的人，吃裡扒外的貨
反骨無情	fan2 gwɐt7 mou4 tsɪŋ4	忘恩負義
反光	fan2 gwɔŋ1	
反光鏡	fan2 gwɔŋ1 gɛŋ3	
反感	fan2 gɐm2	
反攻	fan2 gʊŋ1	
反攻為守	fan2 gʊŋ1 wɐi4 sɐu2	
反向	fan2 hœŋ3	
反核	fan2 hɐt9	
反而	fan2 ji4	
反映	fan2 jɪŋ2	
反應	fan2 jɪŋ3	
反應過渡	fan2 jɪŋ3 gwɔ3 dou6	
反其道而行之	fan2 kei4 dou6 ji4 hɐŋ4 dzi1	
反抗	fan2 kɔŋ3	
反抗軍	fan2 kɔŋ3 gwɐn1	
反面	fan2 min2	翻臉
反面唔認人	fan2 min2 m̩4 jɪŋ6 jɐn4	翻臉不認人
反問	fan2 mɐn6	
反撲	fan2 pɔk8	
返璞歸真	fan2 pɔk8 gwɐi1 dzɐn1	
反時鐘方向	fan2 si4 dzʊŋ1 fɔŋ1 hœŋ3	
反常	fan2 sœŋ4	
反修	fan2 sɐu1	
反守為攻	fan2 sɐu2 wɐi4 gʊŋ1	
反射	fan2 sɛ6	
反射光	fan2 sɛ6 gwɔŋ1	
反坦克	fan2 tan2 hɐk7	
反差	fan2 tsa1	
反切	fan2 tsit8	
反串	fan2 tsyn3	
反芻動物	fan2 tsɔ1 dʊŋ6 mɐt9	
反胃	fan2 wɐi6	
反咬	fan2 ŋau5	
反咬一口	fan2 ŋau5 jɐt7 hɐu2	
販賣部	fan3 bou6	
販毒	fan3 dʊk9	
販夫走卒	fan3 fu1 dzɐu2 dzœt7	
販賣	fan3 mai6	
販賣機	fan3 mai6 gei1	
販賣人口	fan3 mai6 jɐn4 hɐu2	
販售	fan3 sɐu6	
販運	fan3 wɐn6	
煩到死	fan4 dou3 sei2	煩死了，真叫人心煩
繁雜	fan4 dzap9	
繁殖	fan4 dzik9	
繁殖力	fan4 dzik9 lik9	
繁多	fan4 dɔ1	
繁花似錦	fan4 fa1 tsi5 gɐm2	
凡夫俗子	fan4 fu1 dzʊk9 dzi2	
凡夫俗子	fan4 fu1 dzʊk9 dzi2	
繁分數	fan4 fɐn1 sou3	
凡係	fan4 hɐi6	凡是
繁衍	fan4 jin2	
凡人	fan4 jɐn4	
繁育	fan4 jʊk9	
樊籬	fan4 lei4	
藩籬	fan4 lei4	
繁亂	fan4 lyn6	
凡例	fan4 lɐi6	
繁文	fan4 mɐn4	
繁文縟節	fan4 mɐn4 jʊk9 dzit8	
繁密	fan4 mɐt9	
繁茂	fan4 mɐu6	
繁忙	fan4 mɔŋ4	
繁難	fan4 nan4	
煩惱	fan4 nou5	
繁碎	fan4 sœy3	
繁瑣	fan4 sɔ2	
繁星	fan4 sɪŋ1	
繁星點點	fan4 sɪŋ1 dim2 dim2	
繁盛	fan4 sɪŋ6	
藩屬	fan4 sʊk9	
繁體字	fan4 tɐi2 dzi6	
繁華	fan4 wa4	
繁榮	fan4 wɪŋ4	
繁榮昌盛	fan4 wɪŋ4 tsœŋ1 sɪŋ6	
飯煲	fan6 bou1	飯鍋，煮飯的鍋
範本	fan6 bun2	
飯缽	fan6 but8	
飯店	fan6 dim3	
飯焦	fan6 dziu1	鍋巴
犯罪	fan6 dzœy6	
犯眾憎	fan6 dzʊŋ3 dzɐŋ1	犯眾怒，引起公憤，人人憎恨，令眾人憎惡，討人厭
飯袋	fan6 dɔi6	
飯館	fan6 gun2	
飯腳	fan6 gœk8	剩飯底子，碗底子
飯蓋	fan6 gɔi3	鍋蓋，飯鍋的蓋
飯局	fan6 gʊk9	
飯盒	fan6 hɐp9	盒飯，便當
飯殼	fan6 hɔk8	盛飯的勺子
犯人	fan6 jɐn4	
飯量	fan6 lœŋ6	
範例	fan6 lɐi6	
范例	fan6 lɐi6	
範文	fan6 mɐn4	
飯粒	fan6 nɐp7	
飯票	fan6 piu3	
範式	fan6 sik7	
飯餸	fan6 sʊŋ3	飯菜
飯鏟	fan6 tsan2	鍋鏟
飯鏟頭	fan6 tsan2 tɐu4	眼睛蛇
飯匙	fan6 tsi4	
範疇	fan6 tsɐu4	
范疇	fan6 tsɐu4	
犯錯	fan6 tsɔ3	
飯菜	fan6 tsɔi3	
飯糰	fan6 tyn4	
飯枱	fan6 tɔi2	餐桌
飯湯	fan6 tɔŋ1	米湯
飯堂	fan6 tɔŋ4	食堂
飯廳	fan6 tɛŋ1	食堂
飯桶	fan6 tʊŋ2	
飯碗	fan6 wun2	
範圍	fan6 wɐi4	
飯鍋	fan6 wɔ1	
法包	fat8 bau1	法國麵包，法式長棍麵包
發表	fat8 biu2	
發表偉論	fat8 biu2 wɐi5 lœn6	
髮帶	fat8 dai3	
發達	fat8 dat9	發財，暴發
發達	fat8 dat9	
發癲	fat8 din1	發瘋
發電	fat8 din6	
發電機	fat8 din6 gei1	
發電場	fat8 din6 tsœŋ4	
發展	fat8 dzin2	
發展中	fat8 dzin2 dzʊŋ1	
發怵	fat8 dzœt7	
髮針	fat8 dzɐm1	
發酒癲	fat8 dzɐu2 din1	發酒瘋
發咗一個夢	fat8 dzɔ2 jɐt7 gɔ3 mʊŋ6	做了一個夢
發怔	fat8 dzɪŋ1	
發動	fat8 dʊŋ6	
發花癲	fat8 fa1 din1	發瘋
發風	fat8 fʊŋ1	痲瘋病，發麻風病
發瘋	fat8 fʊŋ1	
髮夾	fat8 gap2	頭髮夾子
髮夾	fat8 gap8	
發酵	fat8 gau3	
發高燒	fat8 gou1 siu1	
法官	fat8 gun1	
法國鬼	fat8 gwɔk8 gwɐi2	法國人
髮腳	fat8 gœk8	髮邊，髮際
發雞盲	fat8 gɐi1 maŋ4	患夜盲症
髮髻	fat8 gɐi3	
髮根	fat8 gɐn1	
發吓姣氣	fat8 ha5 hau4 hei3	抖抖威風
發姣	fat8 hau4	賣俏，發情，發浪
發起	fat8 hei2	
發開口夢	fat8 hɔi1 hɐu2 mʊŋ6	說夢話
發焮	fat8 hɪŋ3	發怒
發焮	fat8 hɪŋ3	發燒
發炎	fat8 jim4	
發言人	fat8 jin4 jɐn4	
發現	fat8 jin6	
發熱	fat8 jit9	
法裔	fat8 jœy6	
發羊吊	fat8 jœŋ4 diu3	癲癇，發羊癇風
發音	fat8 jɐm1	
髮油	fat8 jɐu4	
髮型	fat8 jɪŋ4	
發睏	fat8 kwɐn3	
發爛渣	fat8 lan6 dza1	耍無賴
發爛渣	fat8 lan6 dza2	撒野，發脾氣，無理取鬧
髮蠟	fat8 lap9	
發冷	fat8 laŋ5	打擺子，發瘧子
發牢騷	fat8 lou4 sou1	
法律	fat8 lœt9	
發啷厲	fat8 lɔŋ1 lɐi2	大發雷霆
