開放粵語詞典（耶魯拼音調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
得隴望蜀	dāk lúhng mohng suhk	
得唔得	dāk m̀h dāk	可不可以，行不行
得米	dāk máih	得手，得計，達到目的
得票	dāk piu	
得勢	dāk sai	
得心應手	dāk sām ying sáu	
得失	dāk sāt	
得失參半	dāk sāt chāam bun	
得悉	dāk sīk	
得勝	dāk sing	
得數	dāk sou	
得體	dāk tái	
得天獨厚	dāk tīn duhk háuh	
得人驚	dāk yàhn gēng	嚇人，可怕，令人害怕
得人怕	dāk yàhn pa	嚇人，可怕，令人害怕
德裔	dāk yeuih	
得意	dāk yi	
得意	dāk yi	可愛
得意趣致	dāk yi cheui ji	可愛有趣
得意忘形	dāk yi mòhng yìhng	
得意門生	dāk yi mùhn sāng	
得意揚揚	dāk yi yeùhng yeùhng	
得意洋洋	dāk yi yeùhng yeùhng	
得而復失	dāk yìh fuhk sāt	
得以	dāk yíh	
得益	dāk yīk	
得魚忘筌	dāk yùh mòhng chyùhn	
特别	dahk biht	
特別版	dahk biht báan	
特別法	dahk biht faat	
特別獎	dahk biht jeúng	
特產	dahk cháan	
特輯	dahk chāp	
特此	dahk chí	
特此通知	dahk chí tūng jī	
特稱	dahk chīng	
特大	dahk daaih	
特大號	dahk daaih houh	
特登	dahk dāng	特地，特意，故意
特等	dahk dáng	
特等艙	dahk dáng chōng	
特等獎	dahk dáng jeúng	
特地	dahk deih	
特點	dahk dím	
特定	dahk dihng	
特快	dahk faai	
特快車	dahk faai chē	
特快號	dahk faai houh	
特訓	dahk fan	
特價	dahk ga	
特價品	dahk ga bán	
特急	dahk gāp	
特技	dahk geih	
特工	dahk gūng	
特效藥	dahk haauh yeuhk	
特許	dahk héui	
特許證	dahk héui jing	
特許狀	dahk héui johng	
特許權	dahk héui kyùhn	
特遣	dahk hín	
特遣隊	dahk hín deuih	
特刊	dahk hón	
特製	dahk jai	
特製品	dahk jai bán	
特質	dahk jāt	
特獎	dahk jeúng	
特指	dahk jí	
特徵	dahk jīng	
特種	dahk júng	
特種兵	dahk júng bīng	
特種部隊	dahk júng bouh deuih	
特級	dahk kāp	
特區	dahk kēui	
特權	dahk kyùhn	
特權份子	dahk kyùhn fahn jí	
特立獨行	dahk laahp duhk hàhng	
特例	dahk laih	
特免	dahk míhn	
特務	dahk mouh	
特務組織	dahk mouh jóu jīk	
特派	dahk paai	
特派記者	dahk paai gei jé	
特派員	dahk paai yùhn	
特寫	dahk sé	
特寫鏡頭	dahk sé geng tàuh	
特赦	dahk se	
特使	dahk si	
特色	dahk sīk	
特性	dahk sing	
特殊	dahk syùh	
特殊化	dahk syùh fa	
特殊教育	dahk syùh gaau yuhk	
特殊性	dahk syùh sing	
特選	dahk syún	
特惠	dahk waih	
特惠關稅	dahk waih gwāan seui	
特有	dahk yáuh	
特約	dahk yeuk	
特約記者	dahk yeuk gei jé	
特約稿	dahk yeuk góu	
特意	dahk yi	
特異	dahk yih	
特異性	dahk yih sing	
揼	dām	磨蹭，磨時間，費時間，磨
揼時間	dām sìh gāan	磨時間
抌	dám	扔，扔掉，丟掉
抌	dám	砸，捶
抌低	dám dāi	扔下
抌咗	dám jó	扔了，扔掉了，丟掉了
抌咗都冇人執	dám jó dōu móuh yàhn jāp	扔了也沒有人撿
抌落街	dám lohk gāai	扔到街道上
抌心口	dám sām háu	捶胸，懊悔
抌印	dám yan	蓋章
抌遠啲	dám yúhn dī	扔遠一點
躉	dán	放
躉低	dán dāi	放下
躉貨	dán fo	囤貨
躉落地	dán lohk deih	放在地上
扽	dan	震，顛，抖動，震動，顛簸
扽扽吓	dan dan háh	顛簸
扽監	dan gāam	蹲監獄，坐牢
扽氣	dan hei	發洩怨氣，出氣
扽手踭	dan sáu jāang	撞擊
登報	dāng bou	
登報聲明	dāng bou sīng mìhng	
登場	dāng cheùhng	
登出	dāng cheūt	
燈膽	dāng dáam	電燈泡
燈火	dāng fó	
燈火通明	dāng fó tūng mìhng	
登峰造極	dāng fūng jouh gihk	
登機	dāng gēi	
登記	dāng gei	
燈光	dāng gwōng	
登廣告	dāng gwóng gou	
燈紅酒綠	dāng hùhng jáu luhk	
登載	dāng joi	
登錄	dāng luhk	
登陸	dāng luhk	
燈籠	dāng lùhng	
燈籠褲	dāng lùhng fu	
登門	dāng mùhn	
燈泡	dāng pāau	
登山	dāng sāan	
登山隊	dāng sāan deuih	
登山鞋	dāng sāan hàaih	
燈心	dāng sām	
燈心草	dāng sām chóu	
燈心絨	dāng sām yùhng	
登時	dāng sìh	
登船	dāng syùhn	
燈塔	dāng taap	
登堂入室	dāng tòhng yahp sāt	
登位	dāng waih	
燈暈	dāng wahn	
登入	dāng yahp	
登月	dāng yuht	
等	dáng	讓
等錢使	dáng chín sái	手頭緊，沒錢花
等等	dáng dáng	
等待	dáng doih	
等到頸都長	dáng dou géng dōu cheùhng	等得很久了，等得太久了，等得脖子都酸了
等吓	dáng háh	等一等
等閒	dáng hàahn	
等閒之輩	dáng hàahn jī bui	
等閒視之	dáng hàahn sih jī	
等號	dáng houh	
等陣	dáng jahn	等一下
等陣先	dáng jahn sīn	先等一下
等咗好耐	dáng jó hóu noih	等了很久
等唔切	dáng m̀h chit	不等了，來不及了
等埋	dáng màaih	等等
等我嚟	dáng ngóh lèih	讓我來
等我睇吓	dáng ngóh tái háh	讓我看看
凳	dang	椅子，凳子，板凳
凳仔	dang jái	小凳，凳子
戥	dahng	替，為
戥興	dahng hing	湊熱鬧
戥你難過	dahng néih nàahn go	替你難過
瞪眼	dahng ngáahn	
戥頭	dahng tàuh	平衡
耷	dāp	垂下，耷拉
耷低頭	dāp dāi tàuh	垂頭，低頭，耷拉著腦袋
耷唔切	dāp m̀h chit	來不及煞車
耷濕	dāp sāp	沒分寸，寒磣，不體面，簡陋
耷頭耷腦	dāp tàuh dāp nóuh	垂頭喪氣
[揜]	dahp	捶打，砸，掉，摔
揜骨	dahp gwāt	按摩
揜骨場	dahp gwāt cheùhng	按摩院
揜骨妹	dahp gwāt muī	按摩女郎
揜鐵	dahp tit	打鐵
揜一拳	dahp yāt kyùhn	打一拳
凸出	daht cheūt	
凸鏡	daht geng	
凸起	daht héi	
凸顯	daht hín	
凸狀	daht johng	
凸狀物	daht johng maht	
凸面	daht mihn	
凸面鏡	daht mihn geng	
突兀	daht ngaht	
凸透鏡	daht tau geng	
突然	daht yìhn	
蔸	dāu	棵，叢，條
兜踎	dāu māu	難看，醜陋，寒酸
豆	dáu	豆子
陡峭	dáu chiu	
斗笠	dáu lāp	
斗零	dáu líng	半角錢
抖擻	dáu sáu	
竇	dau	窩，巢穴
鬥	dau	比賽，比
鬥	dau	碰，動
鬥	dau	逗
鬥細佬哥	dau	逗小孩
鬥毆	dau áu	
鬥大力	dau daaih lihk	比氣力
鬥快	dau faai	比快，看誰快
鬥負氣	dau fu hei	鬥彆扭，賭氣
鬥雞	dau gāi	
鬥雞場	dau gāi cheùhng	
鬥雞眼	dau gāi ngáahn	
鬥氣	dau hei	賭氣，慪氣，鬥彆扭
鬥爭	dau jāng	
鬥爭性	dau jāng sing	
鬥爭意志	dau jāng yi ji	
鬥蟀	dau jeūt	鬥蟋蟀
鬥志	dau ji	
鬥智	dau ji	
鬥智鬥力	dau ji dau lihk	
鬥志昂揚	dau ji ngòhng yeùhng	
鬥靚	dau leng	比美，比漂亮
鬥龍船	dau lùhng syùhn	划龍舟比賽
鬥木	dau muhk	做木器
鬥木佬	dau muhk lóu	木匠
鬥牛	dau ngàuh	
鬥牛場	dau ngàuh cheùhng	
鬥牛士	dau ngàuh sih	
鬥批改	dau pāi gói	
鬥私批修	dau sī pāi sāu	
鬥士	dau sih	
鬥蟋蟀	dau sīk seūt	
豆	dauh	取，拿
逗趣	dauh cheui	
豆瓣	dauh faahn	
豆瓣醬	dauh faahn jeung	
豆科	dauh fō	
豆腐	dauh fuh	
豆腐煲	dauh fuh bōu	沙鍋豆腐
豆腐花	dauh fuh fā	豆腐花，豆腐腦兒
豆腐乾	dauh fuh gōn	
豆腐皮	dauh fuh pèih	
豆腐泡	dauh fuh pōk	豆泡，油炸豆腐
豆腐膶	dauh fuh yeún	豆腐干，豆干
豆腐乳	dauh fuh yúh	
豆殼	dauh hok	
豆渣	dauh jā	
豆漿	dauh jeūng	
豆漿店	dauh jeūng dim	
豆住	dauh jyuh	托著，兜著
豆蔻	dauh kau	
豆利是	dauh laih sih	拿紅包，討紅包
逗留	dauh làuh	
豆類	dauh leuih	
逗樂	dauh lohk	
豆綠	dauh luhk	
逗弄	dauh luhng	
痘苗	dauh miùh	
豆苗	dauh miùh	
豆泥	dauh nàih	劣，次，寒酸，劣等，質量差，水平低
豆泥嘢	dauh nàih yéh	次貨
豆芽	dauh ngàh	
豆芽菜	dauh ngàh choi	
豆皮	dauh pèih	麻臉，麻子
豆泡	dauh pōk	豆泡，油炸豆腐
豆沙	dauh sā	
豆沙餅	dauh sā béng	
豆沙喉	dauh sā hàuh	沙嗓子
豆沙月餅	dauh sā yuht béng	
豆豉	dauh sih	
逗笑	dauh siu	
豆膶	dauh yeún	豆乾
嗲哋	dē di	爸爸
嗲哋媽咪	dē di mā mi	爸爸媽媽
爹娘	dē neùhng	
嗲	dé	嬌，撒嬌
嗲聲嗲氣	dé sēng dé hei	嬌裡嬌氣，很嬌氣
嗲	dèh	扯，談話
哋	deih	們
地板	deih báan	
地步	deih bouh	
地埗	deih bouh	地址，地方
地產	deih cháan	房地產
地產稅	deih cháan seui	
地層	deih chàhng	
地磁	deih chìh	
地帶	deih daai	
地大物博	deih daaih maht bok	
地底	deih dái	
地底下	deih dái hah	
地對地	deih deui deih	
地對空	deih deui hūng	
地點	deih dím	
地道	deih douh	
地洞	deih duhng	
地段	deih dyuhn	
地方	deih fōng	
地方官	deih fōng gūn	
地方政府	deih fōng jing fú	
地方稅	deih fōng seui	
地縫	deih fùhng	
地界	deih gaai	
地窖	deih gaau	
地基	deih gēi	
地腳	deih geuk	地基
地極	deih gihk	
地檢處	deih gím chyu	
地檢署	deih gím chyúh	
地瓜	deih gwā	
地瓜湯	deih gwā tōng	
地下	deih há	地上
地下	deih hah	
地下室	deih hah sāt	
地下鐵	deih hah tit	
地峽	deih haahp	
地核	deih haht	
地殼	deih hok	
地殼運動	deih hok wahn duhng	
地震	deih jan	
地震學	deih jan hohk	
地震儀	deih jan yìh	
地震預報	deih jan yuh bou	
地質	deih jāt	
地質學	deih jāt hohk	
地質學家	deih jāt hohk gā	
地支	deih jī	
地址	deih jí	
地誌	deih ji	
地氊	deih jīn	地毯
地租	deih jōu	
地中海	deih jūng hói	
地主	deih jyú	
地主份子	deih jyú fahn jí	
地主階級	deih jyú gāai kāp	
地球	deih kàuh	
地球科學	deih kàuh fō hohk	
地球日	deih kàuh yaht	
地球儀	deih kàuh yìh	
地區	deih kēui	
地權	deih kyùhn	
地理	deih léih	
地理學	deih léih hohk	
地理學家	deih léih hohk gā	
地理環境	deih léih wàahn gíng	
地理位置	deih léih waih ji	
地雷	deih lèuih	
地牢	deih lòuh	地窖，地下室
地牢商場	deih lòuh seūng cheùhng	地下商場
地老天荒	deih lóuh tīn fōng	
地老天荒不了情	deih lóuh tīn fōng bāt liúh chìhng	
地幔	deih maahn	
地踎	deih māu	地痞
地畝	deih máuh	
地面	deih mihn	
地面溫度	deih mihn wān douh	
地痞	deih péi	
地痞流氓	deih péi làuh mòhng	
地皮	deih pèih	
地平線	deih pìhng sin	
地盤	deih pùhn	
地盤	deih pùhn	工地，建築工地
地心	deih sām	
地心引力	deih sām yáhn lihk	
地稅	deih seui	
地毯	deih táam	
地毯式轟炸	deih táam sīk gwāng ja	
地攤	deih tāan	
地頭	deih tàuh	地盤
地頭蟲	deih tàuh chùhng	地頭蛇
地鐵	deih tit	
地鐵站	deih tit jaahm	
地拖	deih tō	拖把
地圖	deih tòuh	
地位	deih waih	
地溫	deih wān	
地域	deih wihk	
地窨子	deih yam jí	
地形	deih yìhng	
地形圖	deih yìhng tòuh	
地熱	deih yiht	
地熱能	deih yiht nàhng	
地獄	deih yuhk	
趯	dek	跑，逃跑
趯	dek	驅趕，驅逐
趯更	dek gāang	逃亡，逃命，溜走，開小差
趯唔切	dek m̀h chit	跑不掉，跑不贏，跑得太慢了
糴糧食	dehk leùhng sihk	
糴米	dehk máih	
釘翻粒紐	dēng fāan nāp náu	把扣子縫上
釘仔	dēng jái	釘子
釘咗	dēng jó	死了
釘紐	dēng náu	縫上扣子
掟	deng	投，扔，投擲
掟煲	deng bōu	吹了，分手
掟球	deng kàuh	扔球
掟彎	deng wāan	轉彎，拐彎
埞	dehng	地方，空間，地兒
定	dehng	定金
埞方	dehng fōng	地方，位置
訂房	dehng fóng	
訂雜誌	dehng jaahp ji	
對	déui	對聯
懟	déui	捅，推
懟冧	déui lam	毆打，打死，幹掉
對稱	deui ching	
對待	deui doih	
對方	deui fōng	
對講機	deui góng gēi	步行機，對話機
對胸衫	deui hūng sāam	對襟衫
對峙	deui jih	
對鐘	deui jūng	對時間
對抗	deui kong	
對立	deui laahp	
對唔住	deui m̀h jyuh	對不起
對埋	deui màaih	靠裡邊，靠裡邊的
對面	deui mihn	
對我嚟講	deui ngóh lèih góng	對我來說
對手	deui sáu	
對頭	deui tàuh	
對話	deui wá	
對胃口	deui waih háu	
對弈	deui yihk	
兌付	deuih fuh	
隊伍	deuih ńgh	
兌換	deuih wuhn	
兌現	deuih yihn	
琢磨	deuk mòh	
啄木鳥	deuk muhk niúh	
敦煌	deūn wòhng	
敦煌石窟	deūn wòhng sehk gwaht	
鈍	deuhn	遲鈍
頓悟	deuhn ngh	
啄	deūng	啄，啄食，啄咬，叮咬
啄親	deūng chān	叮，叮著，被叮了
咄咄逼人	deūt deūt bīk yàhn	
啲	dī	一些，一點
啲朋友	dī pàhng yáuh	朋友們
啲人	dī yàhn	人們
弟	dí	撲克牌中的“2”
的	dīk	提拿，提溜
嫡親	dīk chān	
嫡系	dīk haih	
的起嚟	dīk héi lèih	提起來，提溜起來
的起心肝	dīk héi sām gōn	立下決心，專心致志
的確	dīk kok	
嫡派	dīk paai	
的士	dīk sí	出租車，計程車
的士佬	dīk sí lóu	出租車司機，計程車司機
的士司機	dīk sí sī gēi	
的士高	dīk sih gōu	迪斯科
的式	dīk sīk	精緻，輕巧，小巧玲瓏
的而且確	dīk yìh ché kok	千真萬確，確確實實，非常肯定，確鑿無疑
敵軍	dihk gwān	
敵人	dihk yàhn	
點	dím	怎麼，怎樣，怎麼樣
點	dím	蘸
點清	dím chīng	
點得	dím dāk	怎麼行，怎麼成
點都好	dím dōu hóu	不管怎樣
點都要	dím dōu yiu	怎麼都要，無論如何都要
點火	dím fó	
點解	dím gáai	為什麼
點攪噶	dím gáau ga	怎麼搞的
點講	dím góng	怎麼說
點鬼樣	dím gwái yeúng	怎樣？
點係	dím haih	不敢當
點可以	dím hó yíh	怎麼可以
點好	dím hóu	怎麼辦
點好呢	dím hóu le	怎樣才好，怎麼辦
點綴	dím jeuih	
點知	dím jī	哪兒知道
點止	dím jí	何止，豈止
點做	dím jouh	怎樣去做
點呢	dím le	怎麼辦呢，如何是好
…點賣？	dím maaih	…多少錢？
點脈	dím mahk	點穴
點心	dím sām	小吃，點心
點豉油	dím sih yàuh	蘸酱油
點先算…	dím sīn syun	什麼才是…？
點少得	dím siú dāk	怎麼少得了
點算	dím syun	怎麼辦
點算好	dím syun hóu	怎麼辦才好，該怎麼辦，如何是好
點睇	dím tái	怎麼看，怎麼樣，有什麼看法，有何看法
點話點好	dím wah dím hóu	怎麼都可以，怎樣說都可以，怎麼說就怎麼辦
點會	dím wuíh	怎麼會
點樣	dím yeúng	怎樣，怎麼樣
點燃	dím yìhn	
玷	dim	碰，摸，輕觸，觸碰，觸摸
惦記	dim gei	
踮腳	dim geuk	
惦掛	dim gwa	
惦念	dim nihm	
店舖	dim pou	
玷污	dim wū	
玷辱	dim yuhk	
掂	dihm	妥當，成功，…好
掂筆甩	dihm bāt lāt	筆直，徑直
掂過條蔗	dihm gwo tiùh je	非常順利，非常舒心
癲癲廢廢	dīn dīn fai fai	傻裡傻氣
顛倒	dīn dóu	
巔峰	dīn fūng	
癲狗	dīn gáu	瘋狗
癲癇	dīn hàahn	
癲佬	dīn lóu	瘋子
典押	dín aat	
典當	dín dong	
典範	dín faahn	
典故	dín gu	
典禮	dín láih	
典雅	dín ngáh	
典型	dín yìhng	
電壓	dihn aat	
電壓表	dihn aat biú	
電板	dihn báan	
電錶	dihn biū	
電波	dihn bō	
電報	dihn bou	
電報費	dihn bou fai	
電報機	dihn bou gēi	
電報局	dihn bou guhk	
電親	dihn chān	觸電，被電到
電車	dihn chē	
電車站	dihn chē jaahm	
電唱機	dihn cheung gēi	
電唱針	dihn cheung jām	
電池	dihn chìh	
電磁	dihn chìh	
電磁波	dihn chìh bō	
電磁場	dihn chìh cheùhng	
電磁輻射	dihn chìh fūk seh	
電磁感應	dihn chìh gám ying	
電磁學	dihn chìh hohk	
電磁爐	dihn chìh lòuh	
電磁鐵	dihn chìh tit	
靛青	dihn chīng	
電廠	dihn chóng	
電傳	dihn chyùhn	
電傳機	dihn chyùhn gēi	
電單車	dihn dāan chē	摩托車，機車
電燈	dihn dāng	
電燈杉	dihn dāng chaam	電桿
電燈柱	dihn dāng chyúh	
電燈膽	dihn dāng dáam	電燈泡
電燈架	dihn dāng gá	
電燈總掣	dihn dāng júng jai	電燈總開關
電燈泡	dihn dāng pāau	
奠定	dihn dihng	
電導	dihn douh	
電鍍	dihn douh	
電導體	dihn douh tái	
電動	dihn duhng	
電動機	dihn duhng gēi	
電動學	dihn duhng hohk	
電動勢	dihn duhng sai	
電化	dihn fa	
電化學	dihn fa hohk	
電飯煲	dihn faahn bōu	電飯鍋
電髮	dihn faat	燙髮
電費	dihn fai	
澱粉	dihn fán	
電風扇	dihn fūng sin	電扇
電價	dihn ga	
電解	dihn gáai	
電解電容	dihn gáai dihn yùhng	
電解電容器	dihn gáai dihn yùhng hei	
電解質	dihn gáai jāt	
電解液	dihn gáai yihk	
電介質	dihn gaai jāt	
電感	dihn gám	
電感應	dihn gám ying	
電鋸	dihn geui	
電擊	dihn gīk	
電極	dihn gihk	
電信局	dihn guhk	
電工	dihn gūng	
電工學	dihn gūng hohk	
電光	dihn gwōng	
電器	dihn hei	
電氣	dihn hei	
電氣化	dihn hei fa	
電器舖	dihn hei póu	電器店
電氣石	dihn hei sehk	
電荷	dihn hoh	
電學	dihn hohk	
電焊	dihn hohn	
電焊工	dihn hohn gūng	
電漿	dihn jeūng	
電匠	dihn jeuhng	
電子	dihn jí	
電子錶	dihn jí biū	
電子報	dihn jí bou	
電子槍	dihn jí cheūng	
電子電路	dihn jí dihn louh	
電子科	dihn jí fō	
電子計算機	dihn jí gai syun gēi	
電子管	dihn jí gún	
電子工業	dihn jí gūng yihp	
電子系	dihn jí haih	
電子顯微鏡	dihn jí hín mèih geng	
電子學	dihn jí hohk	
電子展	dihn jí jín	
電子琴	dihn jí kàhm	
電子流	dihn jí làuh	
電子書	dihn jí syū	
電子郵件	dihn jí yàuh gihn	
電晶體	dihn jīng tái	
電阻	dihn jó	
電阻器	dihn jó hei	
電鐘	dihn jūng	
電鑽	dihn jyun	
電橋	dihn kiùh	
電纜	dihn laahm	
電纜線	dihn laahm sin	
電流	dihn làuh	
電流表	dihn làuh biú	
電流計	dihn làuh gai	
電流強度	dihn làuh keùhng douh	
電離	dihn lèih	
電離層	dihn lèih chàhng	
電離作用	dihn lèih jok yuhng	
電量	dihn leuhng	
電力	dihn lihk	
電力廠	dihn lihk chóng	
電力公司	dihn lihk gūng sī	
電力工業	dihn lihk gūng yihp	
電力學	dihn lihk hohk	
電力站	dihn lihk jaahm	
電力網	dihn lihk móhng	
電力線	dihn lihk sin	
電鈴	dihn lìhng	
電療	dihn liùh	
電療法	dihn liùh faat	
電料	dihn liuh	
電料行	dihn liuh hòhng	
電爐	dihn lòuh	
電路	dihn louh	
電路板	dihn louh báan	
電路圖	dihn louh tòuh	
電網	dihn móhng	
電鈕	dihn náu	
電腦	dihn nóuh	電腦，電子計算機
電腦主機	dihn nóuh jyú gēi	
佃農	dihn nùhng	
電芯	dihn sām	電池
電石	dihn sehk	
電石氣	dihn sehk hei	
電信	dihn seun	
電訊	dihn seun	
電信號	dihn seun houh	
電視	dihn sih	
電視界	dihn sih gaai	
電視機	dihn sih gēi	
電視觀眾	dihn sih gūn jung	
電視公司	dihn sih gūng sī	
電視廣播	dihn sih gwóng bo	
電視直播	dihn sih jihk bo	
電視直播衛星	dihn sih jihk bo waih sīng	
電視接收機	dihn sih jip sāu gēi	
電視節目	dihn sih jit muhk	
電視劇	dihn sih kehk	
電視網	dihn sih móhng	
電視頻道	dihn sih pàhn douh	
電視台	dihn sih tòih	
電線	dihn sin	
電線桿	dihn sin gón	
電船	dihn syùhn	汽船
電梯	dihn tāi	自動扶梯
電台	dihn tòih	
電燙斗	dihn tong dáu	電熨斗
電話	dihn wá	
電話簿	dihn wá bouh	
電話費	dihn wá fai	
電話機	dihn wá gēi	
電話講緊	dihn wá góng gán	電話佔線
電話號碼	dihn wá houh máh	
電話咭	dihn wá kāt	電話卡
電話冇人聽	dihn wá móuh yàhn tēng	電話沒人接
電話線	dihn wá sin	
電話亭	dihn wá tìhng	
電話筒	dihn wá túng	
電話會議	dihn wá wuih yíh	
電位	dihn waih	
電位差	dihn waih chā	
電位器	dihn waih hei	
電鍋	dihn wō	
電鍋爐	dihn wō lòuh	
電壺	dihn wú	
電弧	dihn wùh	
電匯	dihn wuih	
電玩	dihn wuhn	
電油	dihn yàuh	汽油
電椅	dihn yí	
電影	dihn yíng	
電影界	dihn yíng gaai	
電影圈	dihn yíng hyūn	
電影劇本	dihn yíng kehk bún	
電影明星	dihn yíng mìhng sīng	
電影院	dihn yíng yún	
電刑	dihn yìhng	
電熱	dihn yiht	
電熱器	dihn yiht hei	
電源	dihn yùhn	
電源開關	dihn yùhn hōi gwāan	
電容	dihn yùhng	
電容器	dihn yùhng hei	
丁等	dīng dáng	
叮噹	dīng dōng	
丁咁多	dīng gam dō	一丁點兒
丁香	dīng heūng	
丁香	dīng heūng	嬌小玲瓏
丁香花	dīng heūng fā	
丁香油	dīng heūng yàuh	
丁字	dīng jih	
丁字尺	dīng jih chek	
丁字褲	dīng jih fu	
丁字形	dīng jih yìhng	
叮囑	dīng jūk	
丁級	dīng kāp	
叮嚀	dīng nìhng	
丁是丁卯是卯	dīng sih dīng máauh sih máauh	
訂書機	dīng syū gēi	
頂	díng	撐，挺，支撐，支持
頂包	díng bāau	冒名頂替，以假充真
頂得住	díng dāk jyuh	撐得住，受得了
頂檔	díng dong	頂替
頂夾	díng gáap	頭髮夾子
頂頸	díng géng	拌嘴，頂嘴，抬槓，反駁
頂吓肚	díng háh tóuh	點補點補，充充飢
頂尖	díng jīm	
頂住	díng jyuh	撐著，撐住
頂唔住	díng m̀h jyuh	受不了，撐不住
頂唔順	díng m̀h seuhn	受不了，吃不消
頂心杉	díng sām chaam	眼中釘
頂肚	díng tóuh	充飢，解餓
頂肚餓	díng tóuh ngoh	充飢，解餓
椗	ding	核，蒂
訂閱	ding yuht	
定	dihng	還是，或者
定啲	dihng dī	鎮定一點
定啲嚟	dihng dī lèih	穩住
定點	dihng dím	小數點，點
定係	dihng haih	還是
定期	dihng kèih	
定銀	dihng ngán	定錢，定金
定晒形	dihng saai yìhng	愣住了，發愣，發呆
定義	dihng yih	
定讞	dihng yihn	
碟	dihp	盤子
諜報	dihp bou	
喋喋不休	dihp dihp bāt yāu	
喋血	dihp hyut	
疊嶂	dihp jeung	
牒文	dihp màhn	
蝶式	dihp sīk	
疊韻	dihp wahn	
蝶泳	dihp wihng	
啲啲咁多	dīt dīt gam dō	一点点
啲咁多	dīt gam dō	一點點，一丁點
跌	dit	丟，掉，落
跌崩頭	dit bāng tàuh	摔破頭
跌親	dit chān	摔倒，跌倒
跌低	dit dāi	跌倒，倒下
跌落地都要楋翻揸沙	dit dāi lá fāan jah sā	不認失敗，失敗了還硬撐著，給自己一個台階下
跌宕	dit dohng	
跌倒	dit dóu	
跌價	dit ga	降價
跌跤	dit gāau	摔跤，跌倒
跌咗	dit jó	丟了，丟失
跌爛	dit laahn	摔破，摔壞了
跌落	dit lohk	掉下
跌落地	dit lohk deih	落地，掉到地上
跌落地下，揦翻拃沙	dit lohk deih há lá fāan jah sā	不認失敗，失敗了還硬撐著，給自己一個台階下
跌落去	dit lohk heui	掉下去
跌落嚟	dit lohk lèih	落下來
跌失	dit sāt	丟失，失去
迭代	diht doih	
秩序	diht jeuih	
丟架	diū gá	丟人，丟臉，丟面子
雕刻	diū hāk	
雕刻品	diū hāk bán	
雕刻家	diū hāk gā	
丟棄	diū hei	
丟擲	diū jaahk	
凋謝	diū jeh	
雕像	diū jeuhng	
刁僑扭擰	diū kiùh náuh nihng	調皮，不聽話，難以對付
刁蠻	diū màahn	蠻不講理，蠻橫，任性而刁鑽
丟那媽	diū náh mā	他媽的
刁難	diū nàahn	
丟三拉四	diū sāam laaih sei	
貂禪	diū sìhm	
雕塑	diū sou	
鯛魚	diū yùh	
吊床	diu chòhng	
吊燈	diu dāng	
吊頸	diu géng	上吊
吊靴鬼	diu hēu gwái	胡攪蠻纏的人
吊銷	diu siū	
吊銷執照	diu siū jāp jiu	
弔胃口	diu waih háu	
弔唁	diu yihn	
釣魚	diu yú	打瞌睡
吊吊揈	diùh diú fihng	悠蕩，晃悠，搖來擺去，晃來晃去，沒有結果，沒有著落
調子	diuh	調子
調兵遣將	diuh bīng hín jeung	
調查	diuh chàh	
調查表	diuh chàh biú	
調動	diuh duhng	
調虎離山	diuh fú lèih sāan	
調遣	diuh hín	
調職	diuh jīk	
調離	diuh lèih	
調令	diuh lihng	
調派	diuh paai	
調配	diuh pui	
調研	diuh yìhn	
多邊	dō bīn	
多邊條約	dō bīn tiùh yeuk	
多邊形	dō bīn yìhng	
多變	dō bin	
多半	dō bun	
多產	dō cháan	
多產作家	dō cháan jok gā	
多此一舉	dō chí yāt géui	
多情	dō chìhng	
多彩	dō chói	
多彩多姿	dō chói dō jī	
多才多藝	dō chòih dō ngaih	
多財善賈	dō chòih sihn gú	
多重	dō chùhng	
多重選擇	dō chùhng syún jaahk	
多重選擇題	dō chùhng syún jaahk tàih	
多重人格	dō chùhng yàhn gaak	
多得	dō dāk	多虧
多啲	dō dī	多一點
多多	dō dō	多，很多
多多少少	dō dō siú siú	
多多益善	dō dō yīk sihn	
多黨	dō dóng	
多黨制	dō dóng jai	
多方	dō fōng	
多方阻擾	dō fōng jó yiú	
多方面	dō fōng mihn	
多久	dō gáu	
多句嘴	dō geui jéui	多說一句話
多管	dō gún	
多管齊下	dō gún chàih hah	
多管閒事	dō gún hàahn sih	
多功能	dō gūng nàhng	
多寡	dō gwá	
多寡不拘	dō gwá bāt kēui	
多過頭	dō gwo tàuh	太多
多國	dō gwok	
多國部隊	dō gwok bouh deuih	
多行不義必自斃	dō hàhng bāt yih bīt jih baih	
多口	dō háu	多嘴
多看多聽	dō hon dō tīng	
多汁	dō jāp	
多謝	dō jeh	
多謝	dō jeh	謝謝，多謝
多謝晒	dō jeh saai	很感謝，真謝謝你
多子多孫	dō jí dō syūn	
多災	dō jōi	
多災多難	dō jōi dō naahn	
多種	dō júng	
多種多樣	dō júng dō yeuhng	
多種經營	dō júng gīng yìhng	
多虧	dō kwāi	
多禮	dō láih	
多慮	dō leuih	
多羅羅	dō lòh lòh	多多的，很多
多勞多得	dō lòuh dō dāk	
