開放粵語詞典（廣州拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［廣州拼音］	［國語解釋］
國家社會主義	gwog3 ga1 sé5 wui6 ju2 yi6	
國家圖書館	gwog3 ga1 tou4 xu1 gun2	
國家預算	gwog3 ga1 yu6 xun3	
國家元首	gwog3 ga1 yun4 seo2	
國家制度	gwog3 ga1 zei3 dou6	
國格	gwog3 gag3	
國界	gwog3 gai3	
國界線	gwog3 gai3 xin3	
國交	gwog3 gao1	
國教	gwog3 gao3	
國計民生	gwog3 gei3 men4 seng1	
國境	gwog3 ging2	
國境線	gwog3 ging2 xin3	
國歌	gwog3 go1	
國君	gwog3 gwen1	
國腳	gwog3 gêg3	
國慶	gwog3 hing3	
國慶節	gwog3 hing3 jid3	
國慶日	gwog3 hing3 yed6	
國學	gwog3 hog6	
國號	gwog3 hou6	
國籍	gwog3 jig6	
國舅	gwog3 keo5	
國劇	gwog3 kég6	
國旗	gwog3 kéi4	
國企	gwog3 kéi5	
國立	gwog3 lab6	
國立大學	gwog3 lab6 dai6 hog6	
國力	gwog3 lig6	
國民	gwog3 men4	
國文	gwog3 men4	
國民大會	gwog3 men4 dai6 wui6	
國民大會代表	gwog3 men4 dai6 wui6 doi6 biu2	
國民黨	gwog3 men4 dong2	
國民經濟	gwog3 men4 ging1 zei3	
國民經濟計劃	gwog3 men4 ging1 zei3 gei3 wag6	
國民軍	gwog3 men4 gwen1	
國民身分證	gwog3 men4 sen1 fen6 jing3	
國民生產	gwog3 men4 seng1 can2	
國民生產毛額	gwog3 men4 seng1 can2 mou4 ngag6	
國民生產總值	gwog3 men4 seng1 can2 zung2 jig6	
國貿	gwog3 meo6	
國名	gwog3 ming4	
國務部長	gwog3 mou6 bou6 zêng2	
國務卿	gwog3 mou6 hing1	
國務院	gwog3 mou6 yun6	
國門	gwog3 mun4	
國難	gwog3 nan4	
國樂	gwog3 ngog6	
國樂團	gwog3 ngog6 tün4	
國外	gwog3 ngoi6	
國外貿易	gwog3 ngoi6 meo6 yig6	
國外市場	gwog3 ngoi6 xi5 cêng4	
國內	gwog3 noi6	
國內貿易	gwog3 noi6 meo6 yig6	
國內外	gwog3 noi6 ngoi6	
國內生產	gwog3 noi6 seng1 can2	
國內市場	gwog3 noi6 xi5 cêng4	
國片	gwog3 pin2	
國片展	gwog3 pin2 jin2	
國片商	gwog3 pin2 sêng1	
國破家亡	gwog3 po3 ga1 mong4	
國恥	gwog3 qi3	
國情	gwog3 qing4	
國璽	gwog3 sai2	
國勢	gwog3 sei3	
國手	gwog3 seo2	
國術	gwog3 sêd6	
國殤	gwog3 sêng1	
國稅	gwog3 sêu3	
國稅局	gwog3 sêu3 gug6	
國粹	gwog3 sêu6	
國泰民安	gwog3 tai3 men4 on1	
國帑	gwog3 tong2	
國土	gwog3 tou2	
國畫	gwog3 wa2	
國畫家	gwog3 wa2 ga1	
國威	gwog3 wei1	
國魂	gwog3 wen4	
國運昌隆	gwog3 wen6 cêng1 lung4	
腘窩	gwog3 wo1	
國王	gwog3 wong4	
國會	gwog3 wui6	
國會議員	gwog3 wui6 yi5 yun4	
國會制	gwog3 wui6 zei3	
國師	gwog3 xi1	
國史	gwog3 xi2	
國事	gwog3 xi6	
國事犯	gwog3 xi6 fan2	
國色	gwog3 xig1	
國色天香	gwog3 xig1 tin1 hêng1	
國有	gwog3 yeo5	
國有化	gwog3 yeo5 fa3	
國醫	gwog3 yi1	
國宴	gwog3 yin3	
國營	gwog3 ying4	
國營企業	gwog3 ying4 kéi5 yib6	
國營商業	gwog3 ying4 sêng1 yib6	
國營事業	gwog3 ying4 xi6 yib6	
國語	gwog3 yu5	
國語羅馬字	gwog3 yu5 lo4 ma5 ji6	
國債	gwog3 zai3	
國際	gwog3 zei3	
國際標準	gwog3 zei3 biu1 zên2	
國際帝國主義	gwog3 zei3 dei3 gwog3 ju2 yi6	
國際都市	gwog3 zei3 dou1 xi5	
國際化	gwog3 zei3 fa3	
國際法	gwog3 zei3 fad3	
國際法庭	gwog3 zei3 fad3 ting4	
國際法院	gwog3 zei3 fad3 yun6	
國際經濟	gwog3 zei3 ging1 zei3	
國際觀	gwog3 zei3 gun1	
國際公法	gwog3 zei3 gung1 fad3	
國際公約	gwog3 zei3 gung1 yêg3	
國際關係	gwog3 zei3 gwan1 hei6	
國際慣例	gwog3 zei3 gwan3 lei6	
國際機場	gwog3 zei3 géi1 cêng4	
國際主義	gwog3 zei3 ju2 yi6	
國際勞動節	gwog3 zei3 lou4 dung6 jid3	
國際貿易	gwog3 zei3 meo6 yig6	
國際舞台	gwog3 zei3 mou5 toi4	
國際換日線	gwog3 zei3 wun6 yed6 xin3	
國際私法	gwog3 zei3 xi1 fad3	
國際市場	gwog3 zei3 xi5 cêng4	
國際音標	gwog3 zei3 yem1 biu1	
國葬	gwog3 zong3	
光筆	gwong1 bed1	
光波	gwong1 bo1	
光瞠瞠	gwong1 cang4 cang4	刺目，亮堂堂，很光亮，很明亮，很亮堂，光亮耀眼
光彩	gwong1 coi2	
光彩奪目	gwong1 coi2 düd6 mug6	
光速	gwong1 cug1	
光束	gwong1 cug1	
光碟	gwong1 dib6	
光電	gwong1 din6	
光電效應	gwong1 din6 hao6 ying3	
光度	gwong1 dou6	
光度表	gwong1 dou6 biu2	
光度計	gwong1 dou6 gei3	
光輝	gwong1 fei1	
光復	gwong1 fug6	
光顧	gwong1 gu3	
光管	gwong1 gun2	日光燈
光怪陸離	gwong1 gwai3 lug6 léi4	
光棍	gwong1 gwen3	
光棍	gwong1 gwen3	騙子，無賴
光合	gwong1 heb6	
光合作用	gwong1 heb6 zog3 yung6	
光學	gwong1 hog6	
光照	gwong1 jiu3	
光纜	gwong1 lam6	
光溜	gwong1 leo6	
光溜溜	gwong1 leo6 leo6	
桄榔	gwong1 long4	
光物理	gwong1 med6 léi5	
光明	gwong1 ming4	
光明正大	gwong1 ming4 jing3 dai6	
光明磊落	gwong1 ming4 lêu5 log6	
光芒	gwong1 mong4	
光年	gwong1 nin4	
光譜	gwong1 pou2	
光譜分析	gwong1 pou2 fen1 xig1	
光譜線	gwong1 pou2 xin3	
光譜儀	gwong1 pou2 yi4	
光纖	gwong1 qim1	
光頭	gwong1 teo4	
光頭佬	gwong1 teo4 lou2	禿子
光天化日	gwong1 tin1 fa3 yed6	
光天化日之下	gwong1 tin1 fa3 yed6 ji1 ha6	
光禿禿	gwong1 tug1	
光脫脫	gwong1 tüd1 tüd1	光禿禿，光溜溜，赤條條
光華	gwong1 wa4	
光滑	gwong1 wad6	
光環	gwong1 wan4	
光暈	gwong1 wen6	
光榮	gwong1 wing4	
光線	gwong1 xin3	
光陰	gwong1 yem1	
光陰似箭	gwong1 yem1 qi5 jin3	
光陰荏苒	gwong1 yem1 yem5 yim5	
光耀	gwong1 yiu6	
光源	gwong1 yun4	
光澤	gwong1 zag6	
光宗耀祖	gwong1 zung1 yiu6 zou2	
廣播	gwong2 bo3	
廣播劇	gwong2 bo3 kég6	
廣播台	gwong2 bo3 toi4	
廣場	gwong2 cêng4	
廣大	gwong2 dai6	
廣東話	gwong2 dung1 wa2	
廣泛	gwong2 fan3	
廣闊	gwong2 fud3	
廣告	gwong2 gou3	
廣告牌	gwong2 gou3 pai4	
廣袤	gwong2 mao6	
誑語	gwong2 yu5	
廣州話	gwong2 zeo1 wa2	
桄子	gwong3 ji2	
嘅	gé3	的
嘅話	gé3 wa6	的話
嘅時	gé3 xi4	的時候
嘅時候	gé3 xi4 heo6	的時候
嘅樣	gé3 yêng2	的樣子
gag	gég1	笑話
機	géi1	機會
飢不擇食	géi1 bed1 zag6 xig6	
基本	géi1 bun2	
基本上	géi1 bun2 sêng6	
基礎	géi1 co2	
機場	géi1 cêng4	
飢腸轆轆	géi1 cêng4 lug1 lug1	
基調	géi1 diu6	
基督教	géi1 dug1 gao3	
基地	géi1 déi6	
飢荒	géi1 fong1	
肌膚	géi1 fu1	
幾乎	géi1 fu4	
畿輔	géi1 fu6	
譏諷	géi1 fung3	
基金	géi1 gem1	
基金會	géi1 gem1 wui2	
飢饉	géi1 gen2	
肌腱	géi1 gin3	
犄角	géi1 gog3	
犄角旮旯	géi1 gog3 go1 lo1	
嘰咕	géi1 gu1	
機關槍	géi1 gwan1 cêng1	
機械	géi1 hai6	
機械化	géi1 hai6 fa3	
機械人	géi1 hai6 yen4	機器人
飢渴	géi1 hod3	
飢寒交迫	géi1 hon4 gao1 bag1	
機器	géi1 héi3	
機構	géi1 keo3	
基佬	géi1 lou2	同性戀
機率	géi1 lêd6	
機密	géi1 med6	
飢餓	géi1 ngo6	
飢餓感	géi1 ngo6 gem2	
基女	géi1 nêu5	女同性戀
機舖	géi1 pou2	遊戲機店，電子遊樂場，電子遊戲廳
機室	géi1 sed1	遊戲機店，電子遊樂場，電子遊戲廳
奇數	géi1 sou3	
基圍	géi1 wei4	堤壩
機會	géi1 wui6	
機師	géi1 xi1	
譏笑	géi1 xiu3	
基因學	géi1 yen1 hog6	
機油	géi1 yeo2	潤滑油
機翼	géi1 yig6	
肌肉	géi1 yug6	肌肉
肌肉	géi1 yug6	
肌肉發達	géi1 yug6 fad3 dad6	
肌肉組織	géi1 yug6 zou2 jig1	
譏嘲	géi1 zao1	
幾	géi2	蠻，挺
幾廿年	géi2 a6 nin4	幾十年
幾襯你喎	géi2 cen3 néi5 wo3	很適合你
幾大就幾大喇	géi2 dai2 zeo6 géi2 dai2 la3	豁出去了！
幾大	géi2 dai6	多大
幾大都	géi2 dai6 dou1	無論如何也
幾大都要	géi2 dai6 dou1 yiu3	無論如何也要
幾得人驚	géi2 deg1 yen4 géng1	挺嚇人的
幾點	géi2 dim2	
幾點鐘	géi2 dim2 zung1	
幾多	géi2 do1	多少
幾多錢	géi2 do1 qin2	多少錢
幾快	géi2 fai3	蠻快，挺快
幾分鐘	géi2 fen1 zung1	
幾咁	géi2 gem3	多麼
幾個	géi2 go3	
幾過份	géi2 gwo3 fen6	蠻過份
幾何學	géi2 ho4 hog6	
幾好	géi2 hou2	挺好，蠻好，還好
幾好吖嘛	géi2 hou2 a1 ma3	挺好的吧
幾難	géi2 lan4	好不容易
紀律	géi2 lêd6	
幾難先至	géi2 nan4 xin1 ji3	好不容易才
幾耐	géi2 noi6	多久
幾平	géi2 péng3	蠻便宜，挺便宜
幾次	géi2 qi3	
幾錢	géi2 qin2	多少錢
幾歲	géi2 sêu3	
幾時	géi2 xi4	什麼時候
杞人憂天	géi2 yen4 yeo1 tin1	
幾遠	géi2 yun5	多遠
記得	géi3 deg1	
記得起	géi3 deg1 héi2	想得起
記掛	géi3 gwa3	掛念，惦念，惦著
記起	géi3 héi2	想起
既來之則安之	géi3 loi4 ji1 zeg1 on1 ji1	
記錄片	géi3 lug6 pin2	
紀念	géi3 nim6	
紀念品	géi3 nim6 ben2	
紀念碑	géi3 nim6 béi1	
紀念館	géi3 nim6 gun2	
紀念日	géi3 nim6 yed6	
紀念郵票	géi3 nim6 yeo4 piu3	
寄平信	géi3 ping4 sên3	
寄生物	géi3 seng1 med6	
記憶	géi3 yig1	
記憶力	géi3 yig1 lig6	
既然	géi3 yin4	
記認	géi3 ying6	標記，記號
覬覦	géi3 yu4	
記載	géi3 zoi3	
記者	géi3 zé2	
記者會	géi3 zé2 wui2	
技巧	géi6 hao2	
芰荷	géi6 ho4	
芰荷映水	géi6 ho4 ying2 sêu2	
忌廉	géi6 lim1	奶油
忌廉餅乾	géi6 lim1 béng2 gon1	奶油餅乾
忌廉梳打	géi6 lim1 so1 da2	奶油蘇打，奶油蘇打汽水
忌廉威化餅	géi6 lim1 wei1 fa3 béng2	奶油維夫餅乾
技倆	géi6 lêng5	
妓女	géi6 nêu5	
技術	géi6 sêd6	
忌諱	géi6 wei5	
妓院	géi6 yun6	
驚	géng1	怕，害怕
驚青	géng1 céng1	慌張，驚慌，害怕，易受驚
驚到唔出得聲	géng1 dou2 m4 cêd1 deg1 séng1	嚇得說不出話來
驚到面青	géng1 dou3 min6 céng1	嚇得臉色蒼白，嚇得臉色發白
驚到揗揗震	géng1 dou3 ten4 ten4 zen3	嚇得直打哆嗦
驚凍	géng1 dung3	怕冷
驚住	géng1 ju6	擔心
驚死…	géng1 séi2	生怕…
驚死	géng1 séi2	怕死
驚死考唔到	géng1 séi2 hao2 m4 dou2	生怕考不上
頸	géng2	脖子
頸巾	géng2 gen1	圍巾
頸渴	géng2 hod3	口渴
頸鏈	géng2 lin2	項鏈
頸椎	géng2 zêg3	
鏡	géng3	鏡子
儆錫	géng6 ség3	小心，愛惜，愛護
腳	gêg3	腳，腿
腳板	gêg3 ban2	
腳板底	gêg3 ban2 dei2	腳底，腳掌
腳板堂	gêg3 ban2 tong4	腳掌，腳心
腳步	gêg3 bou6	
腳步聲	gêg3 bou6 séng1	
腳背	gêg3 bui3	
腳踏	gêg3 dab6	
腳踏板	gêg3 dab6 ban2	
腳踏車	gêg3 dab6 cé1	
腳踏兩條船	gêg3 dab6 lêng5 tiu4 xun4	
腳踏實地	gêg3 dab6 sed6 déi6	
腳底板	gêg3 dei2 ban2	
腳底按摩	gêg3 dei2 on3 mo1	
腳夫	gêg3 fu1	
腳架	gêg3 ga2	
腳架	gêg3 ga2	三角架
腳跟	gêg3 gen1	
腳瓜	gêg3 gwa1	腿肚子
腳瓜眈	gêg3 gwa1 dem1	腿肚子
腳瓜瓤	gêg3 gwa1 nong1	腿肚子
腳骨	gêg3 gwed1	小腿
腳骨力	gêg3 gwed1 lig6	腿力
腳後跟	gêg3 heo6 gen1	
腳氣	gêg3 héi3	
腳氣病	gêg3 héi3 béng6	
腳趾	gêg3 ji2	腳趾頭
腳趾	gêg3 ji2	
腳趾甲	gêg3 ji2 gab3	
腳趾公	gêg3 ji2 gung1	大腳趾，腳拇趾
脚趾罅	gêg3 ji2 la3	腳趾縫
腳趾屘	gêg3 ji2 méi1	腳小趾
腳趾頭	gêg3 ji2 teo4	
腳尖	gêg3 jim1	
腳註	gêg3 ju3	
腳力	gêg3 lig6	
腳鐐	gêg3 liu4	
腳鐐手銬	gêg3 liu4 seo2 kao3	
腳面	gêg3 min2	腳背
腳丫	gêg3 nga1	
腳鈪	gêg3 ngag3	腳鐲
腳眼	gêg3 ngan5	腳踝，踝子骨
腳坳	gêg3 ngao3	腘窩，膝部的後面
腳心	gêg3 sem1	
腳肚	gêg3 tou5	腿肚子
腳肚瓤	gêg3 tou5 nong1	腿肚子
腳痛醫腳	gêg3 tung3 yi1 gêg3	
腳踝	gêg3 wa5	
腳印	gêg3 yen3	
腳踭	gêg3 zang1	腳跟，腳後跟
腳枕	gêg3 zem2	腳上的繭子，腳上的老繭
腳掌	gêg3 zêng2	
薑餅	gêng1 béng2	
蜣螂	gêng1 long4	
僵硬	gêng1 ngang6	
疆土	gêng1 tou2	
疆域	gêng1 wig6	
韁繩	gêng1 xing4	
羌族	gêng1 zug6	
居住	gêu1 ju6	
居民	gêu1 men4	
居安思危	gêu1 on1 xi1 ngei4	
居心叵測	gêu1 sem1 po2 ceg1	
居然	gêu1 yin4	
舉報	gêu2 bou3	
舉重	gêu2 cung5	
矩尺	gêu2 cég3	
舉動	gêu2 dung6	
舉行	gêu2 heng4	
舉止	gêu2 ji2	
舉薦	gêu2 jin3	推薦
舉箸	gêu2 ju6	
齲齒	gêu2 qi2	
蒟蒻	gêu2 yêg6	
句	gêu3	句子
據講	gêu3 gong2	據說
句號	gêu3 hou6	
據知	gêu3 ji1	
鋸齒	gêu3 qi2	
據稱	gêu3 qing1	
據悉	gêu3 xig1	
據說	gêu3 xud3	
句型	gêu3 ying4	
句型分析	gêu3 ying4 fen1 xig1	
巨變	gêu6 bin3	
巨大	gêu6 dai6	
巨富	gêu6 fu3	
巨款	gêu6 fun2	
颶風	gêu6 fung1	
巨奸	gêu6 gan1	
懼高	gêu6 gou1	
懼高症	gêu6 gou1 jing3	
巨響	gêu6 hêng2	
詎知	gêu6 ji1	
巨資	gêu6 ji1	
詎料	gêu6 liu6	
巨浪	gêu6 long6	
巨擘	gêu6 mag3	
苣蕒菜	gêu6 mai5 coi3	
巨物	gêu6 med6	
巨蟒	gêu6 mong5	
巨無霸	gêu6 mou4 ba3	
巨額	gêu6 ngag6	
巨鳥	gêu6 niu5	
懼內	gêu6 noi6	
懼怕	gêu6 pa3	
巨細靡遺	gêu6 sei3 méi4 wei4	
巨噬細胞	gêu6 sei6 sei3 bao1	
巨獸	gêu6 seo3	
具體	gêu6 tei2	
具體化	gêu6 tei2 fa3	
巨頭	gêu6 teo4	
懼色	gêu6 xig1	
巨星	gêu6 xing1	
巨樹	gêu6 xu6	
巨人	gêu6 yen4	
具有	gêu6 yeo5	
巨型	gêu6 ying4	
巨債	gêu6 zai3	
巨匠	gêu6 zêng6	
巨像	gêu6 zêng6	
捐	gün1	鑽
捐出	gün1 cêd1	
捐款	gün1 fun2	
捐款箱	gün1 fun2 sêng1	
捐獻	gün1 hin3	
捐血	gün1 hüd3	
捐血人	gün1 hüd3 yen4	
捐軀	gün1 kêu1	
捐錢	gün1 qin4	
捐山窿	gün1 san1 lung1	鑽山洞
捐入	gün1 yeb6	鑽進
捐贈	gün1 zeng6	
捐贈人	gün1 zeng6 yen4	
捐贈者	gün1 zeng6 zé2	
捐助	gün1 zo6	
捐助人	gün1 zo6 yen4	
絹花	gün3 fa1	
眷顧	gün3 gu3	
眷戀	gün3 lün2	
眷愛	gün3 oi3	
眷屬	gün3 sug6	
眷懷	gün3 wai4	
倦怠	gün6 doi6	
倦態	gün6 tai3	
倦遊	gün6 yeo4	
倦意	gün6 yi3	
倦意頓消	gün6 yi4 dên6 xiu1	
倦容	gün6 yung4	
蝦	ha1	蝦子
蝦	ha1	欺負
哈巴	ha1 ba1	
蝦霸	ha1 ba3	欺負，欺負人，橫行霸道
蝦春	ha1 cên1	蝦卵
蝦得就蝦	ha1 deg1 zeo6 ha1	肆意侵犯他人
蝦公	ha1 gung1	蝦
哈哈大笑	ha1 ha1 dai6 xiu3	
哈欠	ha1 him3	
蝦瘌	ha1 lad3	小螃蟹
蝦碌	ha1 lug1	蝦塊兒，大蝦塊兒
蛤蟆	ha1 ma4	蟾蜍
哈密瓜	ha1 med6 gwa1	
哈士蟆	ha1 xi6 ma4	
蝦人	ha1 yen4	欺負人
吓	ha2	啊，欸
瑕不掩瑜	ha4 bed1 yim2 yu4	
瑕疵	ha4 qi1	
遐想	ha4 sêng2	
吓	ha5	一下
吓吓	ha5 ha5	次次，每次
下襬	ha6 bai2	
下班	ha6 ban1	
下班時間	ha6 ban1 xi4 gan1	
下不為例	ha6 bed1 wei4 lei6	
下邊	ha6 bin1	
下便	ha6 bin6	下面，下邊，底下
下部	ha6 bou6	
下輩	ha6 bui3	
下半	ha6 bun3	
下半場	ha6 bun3 cêng4	
下半年	ha6 bun3 nin4	
下半世	ha6 bun3 sei3	下半生，下半輩子
下半身	ha6 bun3 sen1	
下臂	ha6 béi3	
下策	ha6 cag3	
下層	ha6 ceng4	
下層社會	ha6 ceng4 sé5 wui6	
下層組織	ha6 ceng4 zou2 jig1	
下旬	ha6 cên4	
下場	ha6 cêng4	
下達	ha6 dad6	
下低	ha6 dei1	下面，底下
下底	ha6 dei2	下面
下等	ha6 deng2	
下等貨	ha6 deng2 fo3	
下跌	ha6 did3	
下碇	ha6 ding3	
下定決心	ha6 ding6 küd3 sem1	
下凡	ha6 fan4	
下方	ha6 fong1	
下腹	ha6 fug1	
下嫁	ha6 ga3	
下個	ha6 go3	
下個禮拜	ha6 go3 lei5 bai3	下個星期，下個禮拜
下個月	ha6 go3 yud6	
下崗	ha6 gong1	
下降	ha6 gong3	
夏季	ha6 gwei3	
下跪	ha6 gwei6	
下下之策	ha6 ha6 ji1 cag3	
下限	ha6 han6	
下頜骨	ha6 heb6 gwed1	
下鄉	ha6 hêng1	
下肢	ha6 ji1	
夏至	ha6 ji3	
下賤	ha6 jin6	
下詔	ha6 jiu3	
下召	ha6 jiu6	
下級	ha6 keb1	
下流	ha6 leo4	
下流社會	ha6 leo4 sé5 wui6	
下流人士	ha6 leo4 yen4 xi6	
下列	ha6 lid6	
夏令	ha6 ling6	
下令	ha6 ling6	
夏令時間	ha6 ling6 xi4 gan1	
夏令營	ha6 ling6 ying4	
下落	ha6 log6	
下落不明	ha6 log6 bed1 ming4	
夏爐冬扇	ha6 lou4 dung1 xin3	
下聯	ha6 lün4	
下馬威	ha6 ma5 wei1	
下文	ha6 men4	
夏眠	ha6 min4	
下麵	ha6 min6	
下面	ha6 min6	
下午	ha6 ng5	
下午茶	ha6 ng5 ca4	
下額	ha6 ngag6	
下眼皮	ha6 ngan5 péi4	
下顎	ha6 ngog6	
下顎骨	ha6 ngog6 gwed1	
下扒	ha6 pa4	下巴
下扒輕輕	ha6 pa4 héng1 héng1	隨便許諾，愛說大話，言而無信
下坡	ha6 po1	
下坡路	ha6 po1 lou6	
下次	ha6 qi3	
下情上達	ha6 qing4 sêng6 dad6	
夏朝	ha6 qiu4	
下山	ha6 san1	
下世	ha6 sei3	下輩子
下身	ha6 sen1	
下屬	ha6 sug6	
下脣	ha6 sên4	
下垂	ha6 sêu4	
下榻	ha6 tab3	
下體	ha6 tei2	
夏天	ha6 tin1	
下位	ha6 wei6	
下線	ha6 xin3	
下乘	ha6 xing4	
下一步	ha6 yed1 bou6	
下一代	ha6 yed1 doi6	
下一個	ha6 yed1 go3	
下任	ha6 yem6	
下人	ha6 yen4	
下丘腦	ha6 yeo1 nou5	
下游	ha6 yeo4	
下游工業	ha6 yeo4 gung1 yib6	
下意識	ha6 yi3 xig1	
下移	ha6 yi4	
下議院	ha6 yi5 yun6	
下頁	ha6 yib6	
下弦	ha6 yin4	
下弦月	ha6 yin4 yud6	
夏禹治水	ha6 yu5 ji6 sêu2	
夏夜	ha6 yé6	
下集	ha6 zab6	
下晝	ha6 zeo3	下午
下載	ha6 zoi3	
下中農	ha6 zung1 nung4	
呷	hab3	吸飲，喝，啜
呷醋	hab3 cou3	吃醋
掐住	hab3 ju6	
掐死	hab3 séi2	
掐斷	hab3 tün5	
掐著指頭	hab3 zêg6 ji2 teo4	
峽谷	hab6 gug1	
俠客	hab6 hag3	
俠氣	hab6 héi3	
狎弄	hab6 lung6	
狎侮	hab6 mou5	
狹隘	hab6 ngai3	
峽灣	hab6 wan1	
狎玩	hab6 wun6	
俠義	hab6 yi6	
赫然	hag1 yin4	
嚇	hag3	嚇唬
嚇親	hag3 cen1	嚇著，嚇一跳
客房	hag3 fong2	
嚇唬	hag3 fu2	
客觀	hag3 gun1	
客觀主義	hag3 gun1 ju2 yi6	
客觀真理	hag3 gun1 zen1 léi5	
客氣	hag3 héi3	
客路	hag3 lou6	客源
嚇我一驚	hag3 ngo5 yed1 géng1	嚇我一跳
客廳	hag3 téng1	
嚇暈	hag3 wen4	
客戶	hag3 wu6	
嚇一驚	hag3 yed1 géng1	嚇了一跳
客人	hag3 yen4	
客棧	hag3 zan6	
嚇窒	hag3 zed6	嚇呆了
客仔	hag3 zei2	客戶，顧客，客人，主顧
客座	hag3 zo6	
客座教授	hag3 zo6 gao3 seo6	
high	hai1	興奮
high	hai1	興奮，高興
揩油	hai1 yeo2	佔人便宜
鞋	hai4	鞋子
嚡	hai4	粗糙，澀，不光滑
鞋抽	hai4 ceo1	鞋拔子
骸骨	hai4 gwed1	
嚡嚡聲	hai4 hai2 séng1	歎息，歎氣，唉聲歎氣
鞋薦	hai4 jin2	鞋墊
鞋舖	hai4 pou2	鞋店
嚡熠熠	hai4 sab6 sab6	粗粗的，粗糙的，糙了呱唧的
孩提	hai4 tei4	
孩提時代	hai4 tei4 xi4 doi6	
孩童	hai4 tung4	
鞋踭	hai4 zang1	鞋跟，鞋後跟
蟹	hai5	螃蟹
蟹春	hai5 cên1	蟹卵，蟹子
蟹殼	hai5 hog3	
獬豸	hai5 ji6	
駭人聽聞	hai5 yen4 ting1 men4	
駭然	hai5 yin4	
懈惰	hai6 do6	
懈怠	hai6 doi6	
邂逅	hai6 heo6	
懈慢	hai6 man6	
懈弛	hai6 qi4	
喊	ham3	哭
喊包	ham3 bao1	淚包
喊打喊殺	ham3 da2 ham3 sad3	揚言要打人
喊苦喊忽	ham3 fu2 ham3 fed1	叫苦連天，哭個不停，哭哭啼啼，呼天搶地
喊噉口	ham3 gem2 heo2	哭喪著臉，想哭的樣子
喊喊口	ham3 ham3 heo2	哭喪著臉，想哭的樣子
喊口	ham3 heo2	愛哭
喊路	ham3 lou6	哈欠
喊唔出	ham3 m4 cêd1	哭不出來
鹹	ham4	黃色的，色情的
鹹蟲	ham4 cung2	色狼
鹹蛋	ham4 dan2	鹹鴨蛋
鹹蝦	ham4 ha1	蝦醬
鹹鹹哋	ham4 ham2 déi2	鹹鹹的，很鹹
鹹龍	ham4 lung2	港幣
鹹片	ham4 pin2	色情片，成人電影
鹹濕	ham4 seb1	淫穢，色，下流，好色，很色
鹹濕伯父	ham4 seb1 bag3 fu2	老色鬼
鹹濕電影	ham4 seb1 din6 ying2	黃色電影，色情片
鹹濕鬼	ham4 seb1 gwei2	色鬼
鹹濕佬	ham4 seb1 lou2	色狼，色鬼
鹹濕片	ham4 seb1 pin2	色情片，成人電影
銜頭	ham4 teo4	頭銜
鹹書	ham4 xu1	黃書，色情書
餡餅	ham6 béng2	
陷阱	ham6 zéng6	
慳	han1	省，省儉，節省
慳得過就慳	han1 deg1 gwo3 zeo6 han1	能省就省
慳啲使	han1 di1 sei2	省點用，省點花
慳電	han1 din6	省電
慳電膽	han1 din6 dam2	節能燈泡，省電燈泡
慳地方	han1 déi6 fong1	不佔地方，節省位置，節省地方
慳翻	han1 fan1	省卻，省了事了，省了錢了
慳翻啖氣	han1 fan1 dam6 héi3	省一點吧，節約點氣吧
慳雞	han1 gei1	節省
慳儉	han1 gim6	節省，省儉，節儉
慳慳地喇	han1 han1 déi2 la3	省一點吧
慳皮	han1 péi2	省錢，節省
慳錢	han1 qin2	省錢
慳濕	han1 seb1	吝嗇
慳水慳力	han1 sêu2 han1 lig6	省時省工
慳位	han1 wei2	不佔地方，節省位置，節省地方
慳時間	han1 xi4 gan1	省時
慳油	han1 yeo4	省油
閒蕩	han4 dong6	
閒居	han4 gêu1	
閒暇	han4 ha6	
閒逛	han4 kwang3	
閒聊	han4 liu4	
閒情逸緻	han4 qing4 yed6 ji3	
閒心	han4 sem1	
嫻熟	han4 sug6	
閒談	han4 tam4	
閒話	han4 wa2	
閒事	han4 xi6	
閒適	han4 xig1	
閒人	han4 yen4	
閒人免進	han4 yen4 min5 zên3	
閒遊	han4 yeo4	
閒言閒語	han4 yin4 han4 yu5	
限量	han6 lêng6	
限量版	han6 lêng6 ban2	
限制	han6 zei3	
夯地	hang1 déi6	
坑渠	hang1 kêu4	下水道，溝渠
行	hang4	走
行咇	hang4 bid1	巡邏
行步路打倒褪	hang4 bou6 lou6 da2 dou3 ten3	諸事不順
行出行入	hang4 cêd1 hang4 yeb6	進進出出
行出去	hang4 cêd1 hêu3	走出去
行出嚟	hang4 cêd1 léi4	走出來
行大運	hang4 dai6 wen6	走好運
行得起	hang4 deg1 héi2	走得動
行得埋	hang4 deg1 mai4	合得來，常來往
行得正，企得正	hang4 deg1 zéng3 kéi5 deg1 zéng3	光明正大，秉公辦事，身正不怕影子斜
行東行西	hang4 dung1 hang4 sei1	東溜西逛
行地方	hang4 déi6 fong1	到處去遊玩
行花街	hang4 fa1 gai1	逛花市
行花市	hang4 fa1 xi5	逛花市
行翻去	hang4 fan1 hêu3	走回去
行街	hang4 gai1	逛街，逛大街
行經	hang4 ging1	來月經
