开放粤语词典（刘锡祥版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［刘锡祥拼音］	［国语解释］
吉凶	gat1 hung1	
吉凶未卜	gat1 hung1 mei6 buk1	
吉利	gat1 lei6	
讫了	gat1 liu5	
吉屋	gat1 nguk1	空房子
吉屋招租	gat1 nguk1 jiu1 jo1	空房出租
吉普车	gat1 po2 che1	
吉身	gat1 san1	空身
吉手	gat1 sau2	空手
吉星高照	gat1 sing1 go1 jiu3	
吉兆	gat1 siu6	
吉人天相	gat1 yan4 tin1 seung3	
吉日	gat1 yat6	
拮肉	gat1 yuk6	扎人
趷	gat6	瘸腿，跛行
趷跛跛	gat6 bai1 bai1	单脚跳
疙瘩	gat6 daap3	
趷脚	gat6 geuk3	瘸腿
吃口吃舌	gat6 hau2 gat6 sit6	结结巴巴
趷起	gat6 hei2	翘起
趷起身	gat6 hei2 san1	欠起身
趷起手指公	gat6 hei2 sau2 ji2 gung1	翘起大拇指
趷起条尾	gat6 hei2 tiu4 mei5	翘起尾巴
趷路	gat6 lo6	滚蛋
篝火	gau1 foh2	
鸠占鹊巢	gau1 jim3 jeuk3 chaau4	
佝偻	gau1 lau4	
佝偻病	gau1 lau4 bing6	
九品	gau2 ban2	
久别	gau2 bit6	
久别重逢	gau2 bit6 chung4 fung4	
纠察	gau2 chaat3	
纠察队	gau2 chaat3 dui6	
纠察人员	gau2 chaat3 yan4 yuen4	
苟且	gau2 che2	
纠缠	gau2 chin4	
纠缠不清	gau2 chin4 bat1 ching1	
韭菜	gau2 choi3	
九泉	gau2 chuen4	
九泉之下	gau2 chuen4 ji1 ha6	
狗窦	gau2 dau3	狗窝
九点	gau2 dim2	
九点钟	gau2 dim2 jung1	
狗吠	gau2 fai6	
纠纷	gau2 fan1	
狗急跳墙	gau2 gap1 tiu3 cheung4	
九九表	gau2 gau2 biu2	
九九重阳	gau2 gau2 chung4 yeung4	
九九登高	gau2 gau2 dang1 go1	
九九乘法	gau2 gau2 sing4 faat3	
九九乘法表	gau2 gau2 sing4 faat3 biu2	
枸杞	gau2 gei2	
狗脚	gau2 geuk3	
纠结	gau2 git3	
狗叫声	gau2 giu3 sing1	
九个字	gau2 goh3 ji6	四十五分钟
纠葛	gau2 got3	
狗公	gau2 gung1	公狗
九宫	gau2 gung1	
九宫格	gau2 gung1 gaak3	
苟合	gau2 hap6	
狗血淋头	gau2 huet3 lam4 tau4	狗血喷头
狗血喷头	gau2 huet3 pan3 tau4	
狗熊	gau2 hung4	
纠集	gau2 jaap6	
狗仔	gau2 jai2	小狗
狗仔队	gau2 jai2 dui6	
纠正	gau2 jing3	
狗嘴吐不出象牙	gau2 jui2 to3 bat1 chut1 jeung6 nga4	
九曲十三弯	gau2 kuk1 sap6 saam1 waan1	弯弯曲曲
九唔搭八	gau2 m4 daap3 baat3	牛头不对马嘴
狗命	gau2 ming6	
九命怪猫	gau2 ming6 gwaai3 maau1	
狗乸	gau2 na2	母狗
狗牙	gau2 nga2	锯齿状的
狗牙边	gau2 nga2 bin1	锯齿边
狗咬狗	gau2 ngaau5 gau2	
狗咬吕洞宾	gau2 ngaau5 lui5 dung6 ban1	
九牛二虎之力	gau2 ngau4 yi6 foo2 ji1 lik6	
九牛一毛	gau2 ngau4 yi6 mo4	
狗年	gau2 nin4	
九年级	gau2 nin4 kap1	
狗屁	gau2 pei3	
狗屁不通	gau2 pei3 bat1 tung1	
九十	gau2 sap6	
狗蝨	gau2 sat1	跳蚤
九死一生	gau2 sei2 yat1 sang1	
狗屎	gau2 si2	
九霄云外	gau2 siu1 wan4 ngoi6	
苟同	gau2 tung4	
久违	gau2 wai4	
狗窝	gau2 woh1	
苟活	gau2 woot6	
久仰	gau2 yeung5	
久仰大名	gau2 yeung5 daai6 ming4	
久而久之	gau2 yi4 gau2 ji1	
九月	gau2 yuet6	
九月份	gau2 yuet6 fan6	
狗肉	gau2 yuk6	
狗肉汤	gau2 yuk6 tong1	
诟病	gau3 beng6	
救兵	gau3 bing1	
够呛	gau3 cheung1	
救出	gau3 chut1	
救翻	gau3 faan1	救回
救火	gau3 foh2	
救火车	gau3 foh2 che1	
救火队	gau3 foh2 dui6	
救火员	gau3 foh2 yuen4	
救苦救难	gau3 foo2 gau3 naan6	
救驾	gau3 ga3	
救急	gau3 gap1	
够姜	gau3 geung1	有种，老辣，有胆量，有骨气
究竟	gau3 ging2	到底，究竟
救国	gau3 gwok3	
救国救民	gau3 gwok3 gau3 man4	
救济	gau3 jai3	
救走	gau3 jau2	
救治	gau3 ji6	
够咗有突	gau3 joh2 yau5 dat6	够了有余
救助	gau3 joh6	
救灾	gau3 joi1	
救主	gau3 jue2	
够钟数	gau3 jung1 so3	到时间了
够quali	gau3 koh1 li2	够格，有资格
救命	gau3 meng6	
救命恩人	gau3 ming6 yan1 yan4	
救世	gau3 sai3	
救世军	gau3 sai3 gwan1	
救世主	gau3 sai3 jue2	
救生	gau3 sang1	
救生圈	gau3 sang1 huen1	
救生艇	gau3 sang1 ting5	
救生衣	gau3 sang1 yi1	
够时候咯	gau3 si4 hau6 lok3	时间到了，到点了
救星	gau3 sing1	
够数	gau3 so3	够，齐
救赎	gau3 suk6	
够运	gau3 wan6	走运
媾和	gau3 woh4	
救护车	gau3 woo6 che1	
救援	gau3 woon4	
救援军	gau3 woon4 gwan1	
救援人员	gau3 woon4 yan4 yuen4	
救活	gau3 woot6	
救人一命	gau3 yan4 yat1 ming6	
救人如救火	gau3 yan4 yue4 gau3 foh2	
够有突	gau3 yau5 dat6	有余
嚿	gau6	块
旧底	gau6 dai2	从前，以前，旧时，过去
旧阵时	gau6 jan6 si4	过去
旧俗	gau6 juk6	
旧历	gau6 lik6	农历
旧年	gau6 nin4	去年
旧时	gau6 si4	从前，过去，以前
旧日	gau6 yat6	过去
嘅	ge3	的
嘅时	ge3 si4	的时候
嘅时候	ge3 si4 hau6	的时候
嘅话	ge3 wa6	的话
嘅样	ge3 yeung2	的样子
机	gei1	机会
饥不择食	gei1 bat1 jaak6 sik6	
基本	gei1 boon2	
基本上	gei1 boon2 seung6	
机场	gei1 cheung4	
饥肠辘辘	gei1 cheung4 luk1 luk1	
基础	gei1 choh2	
基地	gei1 dei6	
基调	gei1 diu6	
基督教	gei1 duk1 gaau3	
饥荒	gei1 fong1	
肌肤	gei1 foo1	
几乎	gei1 foo4	
畿辅	gei1 foo6	
讥讽	gei1 fung3	
基金	gei1 gam1	
基金会	gei1 gam1 wooi2	
饥馑	gei1 gan2	
肌腱	gei1 gin3	
犄角	gei1 gok3	
犄角旮旯	gei1 gok3 goh1 loh1	
叽咕	gei1 goo1	
机关枪	gei1 gwaan1 cheung1	
机械	gei1 haai6	
机械化	gei1 haai6 fa3	
机械人	gei1 haai6 yan4	机器人
机器	gei1 hei3	
饥寒交迫	gei1 hon4 gaau1 baak1	
饥渴	gei1 hot3	
讥嘲	gei1 jaau1	
机构	gei1 kau3	
基佬	gei1 lo2	同性恋
机率	gei1 lut6	
机密	gei1 mat6	
饥饿	gei1 ngoh6	
饥饿感	gei1 ngoh6 gam2	
基女	gei1 nui5	女同性恋
机铺	gei1 po2	游戏机店，电子游乐场，电子游戏厅
机室	gei1 sat1	游戏机店，电子游乐场，电子游戏厅
机师	gei1 si1	
讥笑	gei1 siu3	
奇数	gei1 so3	
基围	gei1 wai4	堤坝
机会	gei1 wooi6	
基因学	gei1 yan1 hok6	
机油	gei1 yau2	润滑油
机翼	gei1 yik6	
肌肉	gei1 yuk6	
肌肉	gei1 yuk6	肌肉
肌肉发达	gei1 yuk6 faat3 daat6	
肌肉组织	gei1 yuk6 jo2 jik1	
几	gei2	蛮，挺
几廿年	gei2 a6 nin4	几十年
几衬你㖞	gei2 chan3 nei5 woh3	很适合你
几次	gei2 chi3	
几钱	gei2 chin2	多少钱
几大就几大喇	gei2 daai2 jau6 gei2 daai2 la3	豁出去了！
几大	gei2 daai6	多大
几大都	gei2 daai6 do1	无论如何也
几大都要	gei2 daai6 do1 yiu3	无论如何也要
几得人惊	gei2 dak1 yan4 geng1	挺吓人的
几点	gei2 dim2	
几点钟	gei2 dim2 jung1	
几多	gei2 doh1	多少
几多钱	gei2 doh1 chin2	多少钱
几快	gei2 faai3	蛮快，挺快
几分钟	gei2 fan1 jung1	
几咁	gei2 gam3	多么
几个	gei2 goh3	
几过份	gei2 gwoh3 fan6	蛮过份
几好	gei2 ho2	挺好，蛮好，还好
几好吖嘛	gei2 ho2 a1 ma3	挺好的吧
几何学	gei2 hoh4 hok6	
几难	gei2 laan4	好不容易
纪律	gei2 lut6	
几难先至	gei2 naan4 sin1 ji3	好不容易才
几耐	gei2 noi6	多久
几平	gei2 peng3	蛮便宜，挺便宜
几时	gei2 si4	什么时候
几岁	gei2 sui3	
杞人忧天	gei2 yan4 yau1 tin1	
几远	gei2 yuen5	多远
记得	gei3 dak1	
记得起	gei3 dak1 hei2	想得起
记挂	gei3 gwa3	挂念，惦念，惦着
记起	gei3 hei2	想起
记者	gei3 je2	
记者会	gei3 je2 wooi2	
记载	gei3 joi3	
既来之则安之	gei3 loi4 ji1 jak1 on1 ji1	
记录片	gei3 luk6 pin2	
纪念	gei3 nim6	
纪念品	gei3 nim6 ban2	
纪念碑	gei3 nim6 bei1	
纪念馆	gei3 nim6 goon2	
纪念日	gei3 nim6 yat6	
纪念邮票	gei3 nim6 yau4 piu3	
寄平信	gei3 ping4 sun3	
寄生物	gei3 sang1 mat6	
记忆	gei3 yik1	
记忆力	gei3 yik1 lik6	
既然	gei3 yin4	
记认	gei3 ying6	标记，记号
觊觎	gei3 yue4	
技巧	gei6 haau2	
芰荷	gei6 hoh4	
芰荷映水	gei6 hoh4 ying2 sui2	
技俩	gei6 leung5	
忌廉	gei6 lim1	奶油
忌廉饼干	gei6 lim1 beng2 gon1	奶油饼干
忌廉梳打	gei6 lim1 soh1 da2	奶油苏打，奶油苏打汽水
忌廉威化饼	gei6 lim1 wai1 fa3 beng2	奶油维夫饼干
妓女	gei6 nui5	
技术	gei6 sut6	
忌讳	gei6 wai5	
妓院	gei6 yuen6	
gag	gek1	笑话
惊	geng1	怕，害怕
惊青	geng1 cheng1	慌张，惊慌，害怕，易受惊
惊到唔出得声	geng1 do2 m4 chut1 dak1 seng1	吓得说不出话来
惊到面青	geng1 do3 min6 cheng1	吓得脸色苍白，吓得脸色发白
惊到揗揗震	geng1 do3 tan4 tan4 jan3	吓得直打哆嗦
惊冻	geng1 dung3	怕冷
惊住	geng1 jue6	担心
惊死…	geng1 sei2	生怕…
惊死	geng1 sei2	怕死
惊死考唔到	geng1 sei2 haau2 m4 do2	生怕考不上
颈	geng2	脖子
颈巾	geng2 gan1	围巾
颈渴	geng2 hot3	口渴
颈椎	geng2 jeuk3	
颈链	geng2 lin2	项链
镜	geng3	镜子
儆锡	geng6 sek3	小心，爱惜，爱护
脚	geuk3	脚，腿
脚板	geuk3 baan2	
脚板底	geuk3 baan2 dai2	脚底，脚掌
脚板堂	geuk3 baan2 tong4	脚掌，脚心
脚步	geuk3 bo6	
脚步声	geuk3 bo6 seng1	
脚背	geuk3 booi3	
脚踏	geuk3 daap6	
脚踏板	geuk3 daap6 baan2	
脚踏车	geuk3 daap6 che1	
脚踏两条船	geuk3 daap6 leung5 tiu4 suen4	
脚踏实地	geuk3 daap6 sat6 dei6	
脚底板	geuk3 dai2 baan2	
脚底按摩	geuk3 dai2 on3 moh1	
脚夫	geuk3 foo1	
脚架	geuk3 ga2	
脚架	geuk3 ga2	三角架
脚跟	geuk3 gan1	
脚瓜	geuk3 gwa1	腿肚子
脚瓜眈	geuk3 gwa1 dam1	腿肚子
脚瓜瓤	geuk3 gwa1 nong1	腿肚子
脚骨	geuk3 gwat1	小腿
脚骨力	geuk3 gwat1 lik6	腿力
脚后跟	geuk3 hau6 gan1	
脚气	geuk3 hei3	
脚气病	geuk3 hei3 beng6	
脚踭	geuk3 jaang1	脚跟，脚后跟
脚枕	geuk3 jam2	脚上的茧子，脚上的老茧
脚掌	geuk3 jeung2	
脚趾	geuk3 ji2	脚趾头
脚趾	geuk3 ji2	
脚趾甲	geuk3 ji2 gaap3	
脚趾公	geuk3 ji2 gung1	大脚趾，脚拇趾
脚趾罅	geuk3 ji2 la3	脚趾缝
脚趾屘	geuk3 ji2 mei1	脚小趾
脚趾头	geuk3 ji2 tau4	
脚尖	geuk3 jim1	
脚注	geuk3 jue3	
脚力	geuk3 lik6	
脚镣	geuk3 liu4	
脚镣手铐	geuk3 liu4 sau2 kaau3	
脚面	geuk3 min2	脚背
脚丫	geuk3 nga1	
脚鈪	geuk3 ngaak3	脚镯
脚眼	geuk3 ngaan5	脚踝，踝子骨
脚坳	geuk3 ngaau3	腘窝，膝部的后面
脚心	geuk3 sam1	
脚肚	geuk3 to5	腿肚子
脚肚瓤	geuk3 to5 nong1	腿肚子
脚痛医脚	geuk3 tung3 yi1 geuk3	
脚踝	geuk3 wa5	
脚印	geuk3 yan3	
姜饼	geung1 beng2	
羌族	geung1 juk6	
蜣螂	geung1 long4	
僵硬	geung1 ngaang6	
缰绳	geung1 sing4	
疆土	geung1 to2	
疆域	geung1 wik6	
叽趷	gi1 gat6	梗阻
叽叽趷趷	gi1 gi1 gat6 gat6	结结巴巴的，碍手碍脚的
叽哩咕噜	gi1 li1 goo1 loo1	叽叽咕咕
激	gik1	气，惹生气
击败	gik1 baai6	
击沉	gik1 cham4	
激亲	gik1 chan1	惹恼，惹生气，激怒，气坏了
激情	gik1 ching4	
击倒	gik1 do2	
激到死死吓	gik1 do3 sei2 sei2 ha2	气得要命
亟待解决	gik1 doi6 gaai2 kuet3	
激动	gik1 dung6	
激发	gik1 faat3	
亟亟奔走	gik1 gik1 ban1 jau2	
击剑	gik1 gim3	
击鼓	gik1 goo2	
激光	gik1 gwong1	
激起	gik1 hei2	
激气	gik1 hei3	气人
激焮	gik1 hing3	激怒
激增	gik1 jang1	
激战	gik1 jin3	
激进	gik1 jun3	
激进分子	gik1 jun3 fan6 ji2	
激进派	gik1 jun3 paai3	
击中	gik1 jung3	
击球	gik1 kau4	
击溃	gik1 kooi2	
激励	gik1 lai6	
激烈	gik1 lit6	
击落	gik1 lok6	
激嬲	gik1 nau1	惹生气
激奀	gik1 ngan1	气坏了
激昂	gik1 ngong4	
激怒	gik1 no6	
击破	gik1 poh3	
棘手	gik1 sau2	
激死	gik1 sei2	气死
激死我	gik1 sei2 ngoh5	气死我
激死人	gik1 sei2 yan4	气死人
击伤	gik1 seung1	
激素	gik1 so3	
击碎	gik1 sui3	
击退	gik1 tui3	
激活	gik1 woot6	
激扬	gik1 yeung4	
极品	gik6 ban2	
极点	gik6 dim2	
极度	gik6 do6	
极端	gik6 duen1	
极高	gik6 go1	
极限	gik6 haan6	
极之	gik6 ji1	非常，极为
极其	gik6 kei4	
极权	gik6 kuen4	
极乐	gik6 lok6	
极乐世界	gik6 lok6 sai3 gaai3	
搛菜	gim1 choi3	
鹣鲽情深	gim1 dip6 ching4 sam1	
兼队	gim1 dui2	插队，加塞儿
兼夹	gim1 gaap3	而且，并且，加上
兼顾	gim1 goo3	
兼管	gim1 goon2	
兼职	gim1 jik1	
兼爱	gim1 oi3	
兼任	gim1 yam6	
兼而有之	gim1 yi4 yau5 ji1	
兼容	gim1 yung4	
检查	gim2 cha4	
检察	gim2 chaat3	
检察官	gim2 chaat3 goon1	
检点	gim2 dim2	
检定	gim2 ding6	
检方	gim2 fong1	
检举	gim2 gui2	
检举人	gim2 gui2 yan4	
捡起	gim2 hei2	
检字	gim2 ji6	
检字法	gim2 ji6 faat3	
捡便宜	gim2 pin4 yi4	
检索	gim2 saak3	
检修	gim2 sau1	
检视	gim2 si6	
检讨	gim2 to2	
检讨会	gim2 to2 wooi6	
检胃镜	gim2 wai6 geng3	
检疫	gim2 yik6	
检疫站	gim2 yik6 jaam6	
检疫所	gim2 yik6 soh2	
检验	gim2 yim6	
检阅	gim2 yuet6	
剑拔弩张	gim3 bat6 no5 jeung1	
剑柄	gim3 beng3	
剑鞘	gim3 chiu3	
剑道	gim3 do6	
剑法	gim3 faat3	
剑光	gim3 gwong1	
剑客	gim3 haak3	
剑侠	gim3 haap6	
剑兰	gim3 laan4	
剑兰花	gim3 laan4 fa1	
剑龙	gim3 lung4	
剑眉	gim3 mei4	
剑术	gim3 sut6	
剑叶	gim3 yip6	
勤俭	gim6 kan4	
勤俭持家	gim6 kan4 chi4 ga1	
勤俭朴实	gim6 kan4 pok3 sat6	
俭朴	gim6 pok3	
俭省	gim6 saang2	
俭约	gim6 yeuk3	
坚持	gin1 chi4	
坚称	gin1 ching1	
坚定	gin1 ding6	
肩胛	gin1 gaap3	
坚决	gin1 kuet3	
坚决否认	gin1 kuet3 fau2 ying6	
坚硬	gin1 ngaang6	
坚守	gin1 sau2	
坚挺	gin1 ting5	
坚韧	gin1 yan6	
见…	gin3	跟…见面
见不得人	gin3 bat1 dak1 yan4	
见不着	gin3 bat1 jeuk6	
建设	gin3 chit3	
建设性	gin3 chit3 sing3	
见到	gin3 do2	看到，看见，见着，见到
见多识广	gin3 doh1 sik1 gwong2	
见风转舵	gin3 fung1 juen2 toh4	
见风使舵	gin3 fung1 si2 toh4	
见解	gin3 gaai2	
见机行事	gin3 gei1 hang4 si6	
见工	gin3 gung1	面试，工作面谈，工作面试
见怪不怪	gin3 gwaai3 bat1 gwaai3	
见鬼	gin3 gwai2	
见过鬼都怕黑	gin3 gwoh3 gwai2 do1 pa3 hak1	一朝被蛇咬，十年怕井绳
见过鬼就怕黑	gin3 gwoh3 gwai2 jau6 pa3 hak1	一朝被蛇咬，十年怕井绳
见过鬼怕黑	gin3 gwoh3 gwai2 pa3 hak1	一朝被蛇咬，十年怕井绳
见过世面	gin3 gwoh3 sai3 min6	
见效	gin3 haau6	
见红	gin3 hung4	流血，见血
见习	gin3 jaap6	
见习生	gin3 jaap6 sang1	
见周公	gin3 jau1 gung1	睡觉，入梦，睡着了
见证	gin3 jing3	
见证人	gin3 jing3 yan4	
见招	gin3 jiu1	
见招拆招	gin3 jiu1 chaak3 jiu1	
见状	gin3 jong6	
建筑	gin3 juk1	
建筑物	gin3 juk1 mat6	
建筑师	gin3 juk1 si1	
建立	gin3 laap6	
见利忘义	gin3 lei6 mong4 yi6	
见谅	gin3 leung6	
见连丸	gin3 lin4 yuen2	奎宁丸
见唔到	gin3 m4 do2	见不着，看不到
见闻	gin3 man4	
见面	gin3 min6	
见牙唔见眼	gin3 nga4 m4 gin3 ngaan5	笑眯了眼，笑容灿烂，见牙不见眼
见使	gin3 sai2	耐花
见死不救	gin3 sei2 bat1 gau3	
见识	gin3 sik1	
见食	gin3 sik6	耐吃
见仁见智	gin3 yan4 gin3 ji3	
建议	gin3 yi5	
见异思迁	gin3 yi6 si1 chin1	
见义勇为	gin3 yi6 yung5 wai4	
健保	gin6 bo2	
健步	gin6 bo6	
健步如飞	gin6 bo6 yue4 fei1	
健全	gin6 chuen4	
健全性	gin6 chuen4 sing3	
健健康康	gin6 gin6 hong1 hong1	
健行	gin6 haang4	
健康	gin6 hong1	
健康检查	gin6 hong1 gim2 cha4	
健将	gin6 jeung3	
健在	gin6 joi6	
健壮	gin6 jong3	
健壮如牛	gin6 jong3 yue4 ngau4	
健美	gin6 mei5	
健美操	gin6 mei5 cho1	
健忘	gin6 mong4	
键盘	gin6 poon4	
键盘乐器	gin6 poon4 ngok6 hei3	
健身	gin6 san1	
健身操	gin6 san1 cho1	
健身房	gin6 san1 fong4	
健身运动	gin6 san1 wan6 dung6	
健谈	gin6 taam4	
键入	gin6 yap6	
健儿	gin6 yi4	
惊诧	ging1 cha3	
矜持	ging1 chi4	
经典	ging1 din2	
京都	ging1 do1	
经度	ging1 do6	
惊动	ging1 dung6	
惊慌	ging1 fong1	
惊呼	ging1 foo1	
惊风骇浪	ging1 fung1 haai5 long6	
惊戒	ging1 gaai3	
京畿	ging1 gei1	
经纪	ging1 gei2	经纪人
荆棘	ging1 gik1	
惊见	ging1 gin3	
兢兢业业	ging1 ging1 yip6 yip6	
惊叫	ging1 giu3	
惊叫声	ging1 giu3 seng1	
惊觉	ging1 gok3	
惊弓之鸟	ging1 gung1 ji1 niu5	
矜贵	ging1 gwai3	珍贵，贵重
惊悸	ging1 gwai3	
经过	ging1 gwoh3	
惊骇	ging1 haai5	
惊吓	ging1 haak3	
惊喜	ging1 hei2	
惊喜交集	ging1 hei2 gaau1 jaap6	
京戏	ging1 hei3	京剧
惊险	ging1 him2	
惊险刺激	ging1 him2 chi3 gik1	
京腔	ging1 hong1	
惊恐	ging1 hung2	
惊恐万状	ging1 hung2 maan6 jong6	
惊恐失色	ging1 hung2 sat1 sik1	
惊鸿一瞥	ging1 hung4 yat1 pit3	
经济	ging1 jai3	
经济师	ging1 jai3 si1	
惊奇	ging1 kei4	
惊奇不已	ging1 kei4 bat1 yi5	
京剧	ging1 kek6	
经理	ging1 lei5	
经理人	ging1 lei5 yan4	
经历	ging1 lik6	
经唔起考验	ging1 m4 hei2 haau2 yim6	经不起考验
惊讶	ging1 nga6	
惊愕	ging1 ngok6	
惊世骇俗	ging1 sai3 haai5 juk6	
惊心	ging1 sam1	
惊心动魄	ging1 sam1 dung6 paak3	
惊醒	ging1 seng2	
经商	ging1 seung1	
经常	ging1 seung4	
京师	ging1 si1	
京城	ging1 sing4	
惊叹	ging1 taan3	
惊叹不已	ging1 taan3 bat1 yi5	
惊叹号	ging1 taan3 ho6	
惊天动地	ging1 tin1 dung6 dei6	
惊涛	ging1 to4	
惊涛骇浪	ging1 to4 haai5 long6	
惊为天人	ging1 wai4 tin1 yan4	
经纬	ging1 wai5	
泾渭不分	ging1 wai6 bat1 fan1	
泾渭分明	ging1 wai6 fan1 ming4	
惊魂	ging1 wan4	
惊惶	ging1 wong4	
惊惶失措	ging1 wong4 sat1 cho3	
惊惶失色	ging1 wong4 sat1 sik1	
惊人	ging1 yan4	
惊人之举	ging1 yan4 ji1 gui2	
惊疑	ging1 yi4	
经已	ging1 yi5	已经
惊异	ging1 yi6	
惊艳	ging1 yim6	
经验	ging1 yim6	
经营	ging1 ying4	
警备	ging2 bei6	
警备车	ging2 bei6 che1	
警备队	ging2 bei6 dui6	
警备总司令	ging2 bei6 jung2 si1 ling6	
警备区	ging2 bei6 kui1	
警备司令	ging2 bei6 si1 ling6	
警备司令部	ging2 bei6 si1 ling6 bo6	
警报	ging2 bo3	
警报系统	ging2 bo3 hai6 tung2	
警察	ging2 chaat3	
警察队	ging2 chaat3 dui6	
警察局	ging2 chaat3 guk6	
警车	ging2 che1	
警署	ging2 chue5	
境地	ging2 dei6	
警笛	ging2 dek6	
警徽	ging2 fai1	
警匪	ging2 fei2	
警方	ging2 fong1	
境况	ging2 fong3	
警界	ging2 gaai3	
境界	ging2 gaai3	
警戒	ging2 gaai3	
京畿	ging2 gei1	
警告	ging2 go3	
警觉	ging2 gok3	
警觉心	ging2 gok3 sam1	
警觉性	ging2 gok3 sing3	
警岗	ging2 gong1	
警官	ging2 goon1	
警句	ging2 gui3	
警局	ging2 guk6	
警棍	ging2 gwan3	
景气	ging2 hei3	
警犬	ging2 huen2	
警长	ging2 jeung2	
警钟	ging2 jung1	
警力	ging2 lik6	
警铃	ging2 ling4	
警务	ging2 mo6	
警务处	ging2 mo6 chue3	
境外	ging2 ngoi6	
境内	ging2 noi6	
警世	ging2 sai3	
警示	ging2 si6	
景色	ging2 sik1	
警醒	ging2 sing2	
警讯	ging2 sun3	
警探	ging2 taam3	
警惕	ging2 tik1	
警卫	ging2 wai6	
警卫队	ging2 wai6 dui6	
警卫室	ging2 wai6 sat1	
境域	ging2 wik6	
竟然	ging2 yin4	
警语	ging2 yue5	
境遇	ging2 yue6	
警员	ging2 yuen4	
敬请	ging3 ching2	
敬请指教	ging3 ching2 ji2 gaau3	
敬鬼神而远之	ging3 gwai2 san4 yi4 yuen6 ji1	
敬酒不吃吃罚酒	ging3 jau2 bat1 hek3 hek3 fat6 jau2	
敬重	ging3 jung6	
敬而远之	ging3 yi4 yuen6 ji1	
敬业	ging3 yip6	
敬业精神	ging3 yip6 jing1 san4	
劲	ging6	厉害
劲抽	ging6 chau1	厉害，很棒，水平高
竞争	ging6 jeng1	
痉挛	ging6 luen4	
劲闷	ging6 moon6	很无聊
竞选	ging6 suen2	
竞选	ging6 suen2	
喼	gip1	箱子
喼帽	gip1 mo2	鸭舌帽
劫	gip3	涩，味涩
劫	gip3	抢
劫持	gip3 chi4	
劫机	gip3 gei1	
劫机犯	gip3 gei1 faan2	
挟	gip6	夹，挤
挟亲	gip6 chan1	夹住，夹到
挟脚	gip6 geuk3	挤脚
结疤	git3 ba1	
结巴	git3 ba1	
结拜	git3 baai3	
结拜兄弟	git3 baai3 hing1 dai6	
结冰	git3 bing1	
结伴	git3 boon6	
结伴同行	git3 boon6 tung4 hang4	
结亲	git3 chan1	
结肠	git3 cheung4	
结肠炎	git3 cheung4 yim4	
结清	git3 ching1	
结存	git3 chuen4	
结存额	git3 chuen4 ngaak6	
结束	git3 chuk1	
结秦晋之好	git3 chun4 jun3 ji1 ho2	
结缔	git3 dai3	
结缔组织	git3 dai3 jo2 jik1	
结党	git3 dong2	
结党营私	git3 dong2 ying4 si1	
结队	git3 dui6	
结块	git3 faai3	
结发	git3 faat3	
结婚	git3 fan1	
结婚典礼	git3 fan1 din2 lai5	
结婚纪念日	git3 fan1 gei2 nim6 yat6	
结婚证书	git3 fan1 jing3 sue1	
结婚仪式	git3 fan1 yi4 sik1	
结伙	git3 foh2	
结伙抢劫	git3 foh2 cheung2 gip3	
结交	git3 gaau1	
结结巴巴	git3 git3 ba1 ba1	
拮据	git3 gui1	
结局	git3 guk6	
结恭	git3 gung1	便秘
结果	git3 gwoh2	
结合	git3 hap6	
结合点	git3 hap6 dim2	
结合律	git3 hap6 lut6	
结合能	git3 hap6 nang4	
结核	git3 hat6	
结集	git3 jaap6	
结紮	git3 jaat3	
结扎	git3 jaat3	
结紮手术	git3 jaat3 sau2 sut6	
结紮术	git3 jaat3 sut6	
结帐	git3 jeung3	
结晶	git3 jing1	
结晶体	git3 jing1 tai2	
结节	git3 jit3	
结咗婚	git3 joh2 fan1	结婚了，已婚
结构	git3 kau3	
结缡	git3 lei4	
结论	git3 lun6	
结盟	git3 mang4	
结尾	git3 mei5	
结膜	git3 mok6	
结膜炎	git3 mok6 yim4	
结案	git3 on3	
洁癖	git3 pik1	
结仇	git3 sau4	
结社	git3 se5	
结社自由	git3 se5 ji6 yau4	
结石	git3 sek6	
结霜	git3 seung1	
结识	git3 sik1	
结绳	git3 sing4	
结绳记事	git3 sing4 gei3 si6	
结算	git3 suen3	
结他	git3 ta1	吉他
结为	git3 wai4	
结为夫妻	git3 wai4 foo1 chai1	
结为一体	git3 wai4 yat1 tai2	
结义	git3 yi6	
结业	git3 yip6	
结业典礼	git3 yip6 din2 lai5	
结业证书	git3 yip6 jing3 sue1	
结业式	git3 yip6 sik1	
结余	git3 yue4	
结语	git3 yue5	
结缘	git3 yuen4	
杰	git6	稠
杰出	git6 chut1	
杰凸凸	git6 dat1 dat1	稠稠的
桀纣	git6 jau6	
杰作	git6 jok3	
杰粥	git6 juk1	稠粥
桀骜不驯	git6 ngo4 bat1 chun4	
结汇	git6 wooi6	
结汇证	git6 wooi6 jing3	
骄兵必败	giu1 bing1 bit1 baai6	
娇妻	giu1 chai1	
娇嗲	giu1 de2	娇
娇惯	giu1 gwaan3	
娇气	giu1 hei3	
骄者必败	giu1 je2 bit1 baai6	
骄纵	giu1 jung3	
娇躯	giu1 kui1	
娇美	giu1 mei5	
娇媚	giu1 mei6	
