开放粤语词典（广州拼音版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［广州拼音］	［国语解释］
几时	géi2 xi4	什么时候
杞人忧天	géi2 yen4 yeo1 tin1	
几远	géi2 yun5	多远
记得	géi3 deg1	
记得起	géi3 deg1 héi2	想得起
记挂	géi3 gwa3	挂念，惦念，惦着
记起	géi3 héi2	想起
既来之则安之	géi3 loi4 ji1 zeg1 on1 ji1	
记录片	géi3 lug6 pin2	
纪念	géi3 nim6	
纪念品	géi3 nim6 ben2	
纪念碑	géi3 nim6 béi1	
纪念馆	géi3 nim6 gun2	
纪念日	géi3 nim6 yed6	
纪念邮票	géi3 nim6 yeo4 piu3	
寄平信	géi3 ping4 sên3	
寄生物	géi3 seng1 med6	
记忆	géi3 yig1	
记忆力	géi3 yig1 lig6	
既然	géi3 yin4	
记认	géi3 ying6	标记，记号
觊觎	géi3 yu4	
记载	géi3 zoi3	
记者	géi3 zé2	
记者会	géi3 zé2 wui2	
技巧	géi6 hao2	
芰荷	géi6 ho4	
芰荷映水	géi6 ho4 ying2 sêu2	
忌廉	géi6 lim1	奶油
忌廉饼干	géi6 lim1 béng2 gon1	奶油饼干
忌廉梳打	géi6 lim1 so1 da2	奶油苏打，奶油苏打汽水
忌廉威化饼	géi6 lim1 wei1 fa3 béng2	奶油维夫饼干
技俩	géi6 lêng5	
妓女	géi6 nêu5	
技术	géi6 sêd6	
忌讳	géi6 wei5	
妓院	géi6 yun6	
惊	géng1	怕，害怕
惊青	géng1 céng1	慌张，惊慌，害怕，易受惊
惊到唔出得声	géng1 dou2 m4 cêd1 deg1 séng1	吓得说不出话来
惊到面青	géng1 dou3 min6 céng1	吓得脸色苍白，吓得脸色发白
惊到揗揗震	géng1 dou3 ten4 ten4 zen3	吓得直打哆嗦
惊冻	géng1 dung3	怕冷
惊住	géng1 ju6	担心
惊死…	géng1 séi2	生怕…
惊死	géng1 séi2	怕死
惊死考唔到	géng1 séi2 hao2 m4 dou2	生怕考不上
颈	géng2	脖子
颈巾	géng2 gen1	围巾
颈渴	géng2 hod3	口渴
颈链	géng2 lin2	项链
颈椎	géng2 zêg3	
镜	géng3	镜子
儆锡	géng6 ség3	小心，爱惜，爱护
脚	gêg3	脚，腿
脚板	gêg3 ban2	
脚板底	gêg3 ban2 dei2	脚底，脚掌
脚板堂	gêg3 ban2 tong4	脚掌，脚心
脚步	gêg3 bou6	
脚步声	gêg3 bou6 séng1	
脚背	gêg3 bui3	
脚踏	gêg3 dab6	
脚踏板	gêg3 dab6 ban2	
脚踏车	gêg3 dab6 cé1	
脚踏两条船	gêg3 dab6 lêng5 tiu4 xun4	
脚踏实地	gêg3 dab6 sed6 déi6	
脚底板	gêg3 dei2 ban2	
脚底按摩	gêg3 dei2 on3 mo1	
脚夫	gêg3 fu1	
脚架	gêg3 ga2	
脚架	gêg3 ga2	三角架
脚跟	gêg3 gen1	
脚瓜	gêg3 gwa1	腿肚子
脚瓜眈	gêg3 gwa1 dem1	腿肚子
脚瓜瓤	gêg3 gwa1 nong1	腿肚子
脚骨	gêg3 gwed1	小腿
脚骨力	gêg3 gwed1 lig6	腿力
脚后跟	gêg3 heo6 gen1	
脚气	gêg3 héi3	
脚气病	gêg3 héi3 béng6	
脚趾	gêg3 ji2	脚趾头
脚趾	gêg3 ji2	
脚趾甲	gêg3 ji2 gab3	
脚趾公	gêg3 ji2 gung1	大脚趾，脚拇趾
脚趾罅	gêg3 ji2 la3	脚趾缝
脚趾屘	gêg3 ji2 méi1	脚小趾
脚趾头	gêg3 ji2 teo4	
脚尖	gêg3 jim1	
脚注	gêg3 ju3	
脚力	gêg3 lig6	
脚镣	gêg3 liu4	
脚镣手铐	gêg3 liu4 seo2 kao3	
脚面	gêg3 min2	脚背
脚丫	gêg3 nga1	
脚鈪	gêg3 ngag3	脚镯
脚眼	gêg3 ngan5	脚踝，踝子骨
脚坳	gêg3 ngao3	腘窝，膝部的后面
脚心	gêg3 sem1	
脚肚	gêg3 tou5	腿肚子
脚肚瓤	gêg3 tou5 nong1	腿肚子
脚痛医脚	gêg3 tung3 yi1 gêg3	
脚踝	gêg3 wa5	
脚印	gêg3 yen3	
脚踭	gêg3 zang1	脚跟，脚后跟
脚枕	gêg3 zem2	脚上的茧子，脚上的老茧
脚掌	gêg3 zêng2	
姜饼	gêng1 béng2	
蜣螂	gêng1 long4	
僵硬	gêng1 ngang6	
疆土	gêng1 tou2	
疆域	gêng1 wig6	
缰绳	gêng1 xing4	
羌族	gêng1 zug6	
居住	gêu1 ju6	
居民	gêu1 men4	
居安思危	gêu1 on1 xi1 ngei4	
居心叵测	gêu1 sem1 po2 ceg1	
居然	gêu1 yin4	
举报	gêu2 bou3	
举重	gêu2 cung5	
矩尺	gêu2 cég3	
举动	gêu2 dung6	
举行	gêu2 heng4	
举止	gêu2 ji2	
举荐	gêu2 jin3	推荐
举箸	gêu2 ju6	
龋齿	gêu2 qi2	
蒟蒻	gêu2 yêg6	
句	gêu3	句子
据讲	gêu3 gong2	据说
句号	gêu3 hou6	
据知	gêu3 ji1	
锯齿	gêu3 qi2	
据称	gêu3 qing1	
据悉	gêu3 xig1	
据说	gêu3 xud3	
句型	gêu3 ying4	
句型分析	gêu3 ying4 fen1 xig1	
巨变	gêu6 bin3	
巨大	gêu6 dai6	
巨富	gêu6 fu3	
巨款	gêu6 fun2	
飓风	gêu6 fung1	
巨奸	gêu6 gan1	
惧高	gêu6 gou1	
惧高症	gêu6 gou1 jing3	
巨响	gêu6 hêng2	
讵知	gêu6 ji1	
巨资	gêu6 ji1	
讵料	gêu6 liu6	
巨浪	gêu6 long6	
巨擘	gêu6 mag3	
苣荬菜	gêu6 mai5 coi3	
巨物	gêu6 med6	
巨蟒	gêu6 mong5	
巨无霸	gêu6 mou4 ba3	
巨额	gêu6 ngag6	
巨鸟	gêu6 niu5	
惧内	gêu6 noi6	
惧怕	gêu6 pa3	
巨细靡遗	gêu6 sei3 méi4 wei4	
巨噬细胞	gêu6 sei6 sei3 bao1	
巨兽	gêu6 seo3	
具体	gêu6 tei2	
具体化	gêu6 tei2 fa3	
巨头	gêu6 teo4	
惧色	gêu6 xig1	
巨星	gêu6 xing1	
巨树	gêu6 xu6	
巨人	gêu6 yen4	
具有	gêu6 yeo5	
巨型	gêu6 ying4	
巨债	gêu6 zai3	
巨匠	gêu6 zêng6	
巨像	gêu6 zêng6	
捐	gün1	钻
捐出	gün1 cêd1	
捐款	gün1 fun2	
捐款箱	gün1 fun2 sêng1	
捐献	gün1 hin3	
捐血	gün1 hüd3	
捐血人	gün1 hüd3 yen4	
捐躯	gün1 kêu1	
捐钱	gün1 qin4	
捐山窿	gün1 san1 lung1	钻山洞
捐入	gün1 yeb6	钻进
捐赠	gün1 zeng6	
捐赠人	gün1 zeng6 yen4	
捐赠者	gün1 zeng6 zé2	
捐助	gün1 zo6	
捐助人	gün1 zo6 yen4	
绢花	gün3 fa1	
眷顾	gün3 gu3	
眷恋	gün3 lün2	
眷爱	gün3 oi3	
眷属	gün3 sug6	
眷怀	gün3 wai4	
倦怠	gün6 doi6	
倦态	gün6 tai3	
倦游	gün6 yeo4	
倦意	gün6 yi3	
倦意顿消	gün6 yi4 dên6 xiu1	
倦容	gün6 yung4	
虾	ha1	虾子
虾	ha1	欺负
哈巴	ha1 ba1	
虾霸	ha1 ba3	欺负，欺负人，横行霸道
虾春	ha1 cên1	虾卵
虾得就虾	ha1 deg1 zeo6 ha1	肆意侵犯他人
虾公	ha1 gung1	虾
哈哈大笑	ha1 ha1 dai6 xiu3	
哈欠	ha1 him3	
虾瘌	ha1 lad3	小螃蟹
虾碌	ha1 lug1	虾块儿，大虾块儿
蛤蟆	ha1 ma4	蟾蜍
哈密瓜	ha1 med6 gwa1	
哈士蟆	ha1 xi6 ma4	
虾人	ha1 yen4	欺负人
吓	ha2	啊，欸
瑕不掩瑜	ha4 bed1 yim2 yu4	
瑕疵	ha4 qi1	
遐想	ha4 sêng2	
吓	ha5	一下
吓吓	ha5 ha5	次次，每次
下襬	ha6 bai2	
下班	ha6 ban1	
下班时间	ha6 ban1 xi4 gan1	
下不为例	ha6 bed1 wei4 lei6	
下边	ha6 bin1	
下便	ha6 bin6	下面，下边，底下
下部	ha6 bou6	
下辈	ha6 bui3	
下半	ha6 bun3	
下半场	ha6 bun3 cêng4	
下半年	ha6 bun3 nin4	
下半世	ha6 bun3 sei3	下半生，下半辈子
下半身	ha6 bun3 sen1	
下臂	ha6 béi3	
下策	ha6 cag3	
下层	ha6 ceng4	
下层社会	ha6 ceng4 sé5 wui6	
下层组织	ha6 ceng4 zou2 jig1	
下旬	ha6 cên4	
下场	ha6 cêng4	
下达	ha6 dad6	
下低	ha6 dei1	下面，底下
下底	ha6 dei2	下面
下等	ha6 deng2	
下等货	ha6 deng2 fo3	
下跌	ha6 did3	
下碇	ha6 ding3	
下定决心	ha6 ding6 küd3 sem1	
下凡	ha6 fan4	
下方	ha6 fong1	
下腹	ha6 fug1	
下嫁	ha6 ga3	
下个	ha6 go3	
下个礼拜	ha6 go3 lei5 bai3	下个星期，下个礼拜
下个月	ha6 go3 yud6	
下岗	ha6 gong1	
下降	ha6 gong3	
夏季	ha6 gwei3	
下跪	ha6 gwei6	
下下之策	ha6 ha6 ji1 cag3	
下限	ha6 han6	
下颌骨	ha6 heb6 gwed1	
下乡	ha6 hêng1	
下肢	ha6 ji1	
夏至	ha6 ji3	
下贱	ha6 jin6	
下诏	ha6 jiu3	
下召	ha6 jiu6	
下级	ha6 keb1	
下流	ha6 leo4	
下流社会	ha6 leo4 sé5 wui6	
下流人士	ha6 leo4 yen4 xi6	
下列	ha6 lid6	
夏令	ha6 ling6	
下令	ha6 ling6	
夏令时间	ha6 ling6 xi4 gan1	
夏令营	ha6 ling6 ying4	
下落	ha6 log6	
下落不明	ha6 log6 bed1 ming4	
夏炉冬扇	ha6 lou4 dung1 xin3	
下联	ha6 lün4	
下马威	ha6 ma5 wei1	
下文	ha6 men4	
夏眠	ha6 min4	
下面	ha6 min6	
下面	ha6 min6	
下午	ha6 ng5	
下午茶	ha6 ng5 ca4	
下额	ha6 ngag6	
下眼皮	ha6 ngan5 péi4	
下颚	ha6 ngog6	
下颚骨	ha6 ngog6 gwed1	
下扒	ha6 pa4	下巴
下扒轻轻	ha6 pa4 héng1 héng1	随便许诺，爱说大话，言而无信
下坡	ha6 po1	
下坡路	ha6 po1 lou6	
下次	ha6 qi3	
下情上达	ha6 qing4 sêng6 dad6	
夏朝	ha6 qiu4	
下山	ha6 san1	
下世	ha6 sei3	下辈子
下身	ha6 sen1	
下属	ha6 sug6	
下唇	ha6 sên4	
下垂	ha6 sêu4	
下榻	ha6 tab3	
下体	ha6 tei2	
夏天	ha6 tin1	
下位	ha6 wei6	
下线	ha6 xin3	
下乘	ha6 xing4	
下一步	ha6 yed1 bou6	
下一代	ha6 yed1 doi6	
下一个	ha6 yed1 go3	
下任	ha6 yem6	
下人	ha6 yen4	
下丘脑	ha6 yeo1 nou5	
下游	ha6 yeo4	
下游工业	ha6 yeo4 gung1 yib6	
下意识	ha6 yi3 xig1	
下移	ha6 yi4	
下议院	ha6 yi5 yun6	
下页	ha6 yib6	
下弦	ha6 yin4	
下弦月	ha6 yin4 yud6	
夏禹治水	ha6 yu5 ji6 sêu2	
夏夜	ha6 yé6	
下集	ha6 zab6	
下昼	ha6 zeo3	下午
下载	ha6 zoi3	
下中农	ha6 zung1 nung4	
呷	hab3	吸饮，喝，啜
呷醋	hab3 cou3	吃醋
掐住	hab3 ju6	
掐死	hab3 séi2	
掐断	hab3 tün5	
掐着指头	hab3 zêg6 ji2 teo4	
峡谷	hab6 gug1	
侠客	hab6 hag3	
侠气	hab6 héi3	
狎弄	hab6 lung6	
狎侮	hab6 mou5	
狭隘	hab6 ngai3	
峡湾	hab6 wan1	
狎玩	hab6 wun6	
侠义	hab6 yi6	
赫然	hag1 yin4	
吓	hag3	吓唬
吓亲	hag3 cen1	吓着，吓一跳
客房	hag3 fong2	
吓唬	hag3 fu2	
客观	hag3 gun1	
客观主义	hag3 gun1 ju2 yi6	
客观真理	hag3 gun1 zen1 léi5	
客气	hag3 héi3	
客路	hag3 lou6	客源
吓我一惊	hag3 ngo5 yed1 géng1	吓我一跳
客厅	hag3 téng1	
吓晕	hag3 wen4	
客户	hag3 wu6	
吓一惊	hag3 yed1 géng1	吓了一跳
客人	hag3 yen4	
客栈	hag3 zan6	
吓窒	hag3 zed6	吓呆了
客仔	hag3 zei2	客户，顾客，客人，主顾
客座	hag3 zo6	
客座教授	hag3 zo6 gao3 seo6	
high	hai1	兴奋
high	hai1	兴奋，高兴
揩油	hai1 yeo2	占人便宜
鞋	hai4	鞋子
嚡	hai4	粗糙，涩，不光滑
鞋抽	hai4 ceo1	鞋拔子
骸骨	hai4 gwed1	
嚡嚡声	hai4 hai2 séng1	叹息，叹气，唉声叹气
鞋荐	hai4 jin2	鞋垫
鞋铺	hai4 pou2	鞋店
嚡熠熠	hai4 sab6 sab6	粗粗的，粗糙的，糙了呱唧的
孩提	hai4 tei4	
孩提时代	hai4 tei4 xi4 doi6	
孩童	hai4 tung4	
鞋踭	hai4 zang1	鞋跟，鞋后跟
蟹	hai5	螃蟹
蟹春	hai5 cên1	蟹卵，蟹子
蟹壳	hai5 hog3	
獬豸	hai5 ji6	
骇人听闻	hai5 yen4 ting1 men4	
骇然	hai5 yin4	
懈惰	hai6 do6	
懈怠	hai6 doi6	
邂逅	hai6 heo6	
懈慢	hai6 man6	
懈弛	hai6 qi4	
喊	ham3	哭
喊包	ham3 bao1	泪包
喊打喊杀	ham3 da2 ham3 sad3	扬言要打人
喊苦喊忽	ham3 fu2 ham3 fed1	叫苦连天，哭个不停，哭哭啼啼，呼天抢地
喊噉口	ham3 gem2 heo2	哭丧着脸，想哭的样子
喊喊口	ham3 ham3 heo2	哭丧着脸，想哭的样子
喊口	ham3 heo2	爱哭
喊路	ham3 lou6	哈欠
喊唔出	ham3 m4 cêd1	哭不出来
咸	ham4	黄色的，色情的
咸虫	ham4 cung2	色狼
咸蛋	ham4 dan2	咸鸭蛋
咸虾	ham4 ha1	虾酱
咸咸哋	ham4 ham2 déi2	咸咸的，很咸
咸龙	ham4 lung2	港币
咸片	ham4 pin2	色情片，成人电影
咸湿	ham4 seb1	淫秽，色，下流，好色，很色
咸湿伯父	ham4 seb1 bag3 fu2	老色鬼
咸湿电影	ham4 seb1 din6 ying2	黄色电影，色情片
咸湿鬼	ham4 seb1 gwei2	色鬼
咸湿佬	ham4 seb1 lou2	色狼，色鬼
咸湿片	ham4 seb1 pin2	色情片，成人电影
衔头	ham4 teo4	头衔
咸书	ham4 xu1	黄书，色情书
馅饼	ham6 béng2	
陷阱	ham6 zéng6	
悭	han1	省，省俭，节省
悭得过就悭	han1 deg1 gwo3 zeo6 han1	能省就省
悭啲使	han1 di1 sei2	省点用，省点花
悭电	han1 din6	省电
悭电胆	han1 din6 dam2	节能灯泡，省电灯泡
悭地方	han1 déi6 fong1	不占地方，节省位置，节省地方
悭翻	han1 fan1	省却，省了事了，省了钱了
悭翻啖气	han1 fan1 dam6 héi3	省一点吧，节约点气吧
悭鸡	han1 gei1	节省
悭俭	han1 gim6	节省，省俭，节俭
悭悭地喇	han1 han1 déi2 la3	省一点吧
悭皮	han1 péi2	省钱，节省
悭钱	han1 qin2	省钱
悭湿	han1 seb1	吝啬
悭水悭力	han1 sêu2 han1 lig6	省时省工
悭位	han1 wei2	不占地方，节省位置，节省地方
悭时间	han1 xi4 gan1	省时
悭油	han1 yeo4	省油
闲荡	han4 dong6	
闲居	han4 gêu1	
闲暇	han4 ha6	
闲逛	han4 kwang3	
闲聊	han4 liu4	
闲情逸致	han4 qing4 yed6 ji3	
闲心	han4 sem1	
娴熟	han4 sug6	
闲谈	han4 tam4	
闲话	han4 wa2	
闲事	han4 xi6	
闲适	han4 xig1	
闲人	han4 yen4	
闲人免进	han4 yen4 min5 zên3	
闲游	han4 yeo4	
闲言闲语	han4 yin4 han4 yu5	
限量	han6 lêng6	
限量版	han6 lêng6 ban2	
限制	han6 zei3	
夯地	hang1 déi6	
坑渠	hang1 kêu4	下水道，沟渠
行	hang4	走
行咇	hang4 bid1	巡逻
行步路打倒褪	hang4 bou6 lou6 da2 dou3 ten3	诸事不顺
行出行入	hang4 cêd1 hang4 yeb6	进进出出
行出去	hang4 cêd1 hêu3	走出去
行出嚟	hang4 cêd1 léi4	走出来
行大运	hang4 dai6 wen6	走好运
行得起	hang4 deg1 héi2	走得动
行得埋	hang4 deg1 mai4	合得来，常来往
行得正，企得正	hang4 deg1 zéng3 kéi5 deg1 zéng3	光明正大，秉公办事，身正不怕影子斜
行东行西	hang4 dung1 hang4 sei1	东溜西逛
行地方	hang4 déi6 fong1	到处去游玩
行花街	hang4 fa1 gai1	逛花市
行花市	hang4 fa1 xi5	逛花市
行翻去	hang4 fan1 hêu3	走回去
行街	hang4 gai1	逛街，逛大街
行经	hang4 ging1	来月经
行蛊惑	hang4 gu2 wag6	出来混，走江湖，做黑社会份子
行公司	hang4 gung1 xi1	逛商店
行过笼	hang4 gwo3 lung4	走过了头
行过嚟	hang4 gwo4 léi4	走过来
行吓	hang4 ha5	走一走
行吓公司	hang4 ha5 gung1 xi1	逛逛商店
行行企企	hang4 hang4 kéi2 kéi2	无所事事，混过日子
行后门	hang4 heo6 mun4	走后门
行开	hang4 hoi1	走开，离开
行开啲啦	hang4 hoi1 di1 la1	走开！
行开咗	hang4 hoi1 zo2	出去了
行近路	hang4 ken5 lou6	走近道，走捷径
行路	hang4 lou6	走路
行路唔带眼	hang4 lou6 m4 dai3 ngan5	遇事盲目，瞎搞一气
行雷	hang4 lêu4	打雷
行唔开	hang4 m4 hoi1	脱不开身
行唔埋	hang4 m4 mai4	合不来
行唔喐	hang4 m4 yug1	走不动
行埋嚟	hang4 mai4 léi4	走过来
行万里路	hang4 man6 léi5 lou6	
行山	hang4 san1	到山上步行，爬山
行山径	hang4 san1 ging3	人行山路
行衰运	hang4 sêu1 wen6	走背运
行水	hang4 sêu2	买路钱
行梯	hang4 tei1	梯子
行匀	hang4 wen4	走遍
行匀全国	hang4 wen4 qun4 gwog3	走遍全国
行运	hang4 wen6	走运
行入去	hang4 yeb6 hêu3	走进去
行入嚟	hang4 yeb6 léi4	走进来
行一步睇一步	hang4 yed1 bou6 tei2 yed1 bou6	一步一步做着看
行人道	hang4 yen4 dou6	
行人路	hang4 yen4 lou6	人行道
行远必自迩	hang4 yun5 bid1 ji6 yi5	
行走	hang4 zeo2	
行者	hang4 zé2	
烤鸭	hao1 ngab3	
哮喘	hao1 qun2	
巧辩	hao2 bin6	
考妣	hao2 béi2	
考察	hao2 cad3	
拷打	hao2 da2	
巧夺天工	hao2 düd6 tin1 gung1	
考古	hao2 gu2	
考古学	hao2 gu2 hog6	
巧合	hao2 heb6	
考核	hao2 hed6	
考起	hao2 héi2	被考倒了
考虑	hao2 lêu6	
考唔到	hao2 m4 dou2	考不上
考唔合格	hao2 m4 heb6 gag3	考不及格
拷问	hao2 men6	
巧妙	hao2 miu6	
考柯佬	hao2 o1 lou2	做口试
考牌	hao2 pai4	考执照，考汽车驾驶证
巧手	hao2 seo2	
考试	hao2 xi3	
考医生牌	hao2 yi1 seng1 pai4	考行医资格证
巧言	hao2 yin4	
巧言令色	hao2 yin4 ling6 xig1	
巧遇	hao2 yu6	
孝悌	hao3 dei6	
孝顺	hao3 sên6	
姣	hao4	淫荡，轻佻，放荡
姣气	hao4 héi3	威风
姣婆	hao4 po4	淫妇，骚货，小骚货
姣婆蓝	hao4 po4 lam4	翠蓝，孔雀蓝
效果	hao6 gwo2	
效力	hao6 lig6	
效劳	hao6 lou4	
效率	hao6 lêd6	
效命	hao6 ming6	
效能	hao6 neng4	
效颦	hao6 pen4	
校舍	hao6 sé3	
效益	hao6 yig1	
效应	hao6 ying3	
校园	hao6 yun2	
效用	hao6 yung6	
效忠	hao6 zung1	
校长	hao6 zêng2	
恰	heb1	欺负
瞌	heb1	小睡，假睡，合眼
恰当	heb1 dong3	
瞌眼瞓	heb1 ngan5 fen3	打瞌睡
盒	heb6	盒子
合办	heb6 ban6	
合并	heb6 bing3	
合唱团	heb6 cêng3 tün4	
合订本	heb6 ding3 bun2	
合法	heb6 fad3	
合法化	heb6 fad3 fa3	
合夥	heb6 fo2	
合夥人	heb6 fo2 yen4	
阖府	heb6 fu2	全家，阖家
阖府安康	heb6 fu2 on1 hong1	全家安康，阖家安康
合乎	heb6 fu4	
合乎逻辑	heb6 fu4 lo4 ceb1	
合肥	heb6 féi4	
阖家	heb6 ga1	
阖家欢	heb6 ga1 fun1	
合家欢	heb6 ga1 fun1	
合格	heb6 gag3	
合计	heb6 gei3	
合金	heb6 gem1	
合久必分	heb6 geo2 bid1 fen1	
合股	heb6 gu2	
合好	heb6 hou2	
合资	heb6 ji1	
合照	heb6 jiu3	
合照留念	heb6 jiu3 leo4 nim6	
合流	heb6 leo4	
合理	heb6 léi5	
合理化	heb6 léi5 fa3	
阖埋双眼	heb6 mai4 sêng1 ngan5	闭上眼睛
阖眼	heb6 ngan5	合眼，闭眼
磕破	heb6 po3	
磕碰	heb6 pung3	
合皮	heb6 péi4	开心，高兴，心情好
合辙	heb6 qid3	
合情	heb6 qing4	
合情合理	heb6 qing4 heb6 léi5	
合身	heb6 sen1	
磕头	heb6 teo4	
合桃	heb6 tou4	核桃
合桃酥	heb6 tou4 sou1	桃酥
合同	heb6 tung4	
合胃口	heb6 wei6 heo2	
合适	heb6 xig1	
合成	heb6 xing4	
合成物	heb6 xing4 med6	
合成纤维	heb6 xing4 qim1 wei4	
合成体	heb6 xing4 tei2	
合算	heb6 xun3	
合而为一	heb6 yi4 wei4 yed1	
合演	heb6 yin2	
合影	heb6 ying2	
合营	heb6 ying4	
和约	heb6 yêg3	
合约	heb6 yêg3	
盒仔饭	heb6 zei2 fan6	盒饭
合奏	heb6 zeo3	
合奏曲	heb6 zeo3 kug1	
合作	heb6 zog3	
合作社	heb6 zog3 sé5	
合租	heb6 zou1	
乞	hed1	讨，乞求，乞讨
乞求	hed1 keo4	
乞丐	hed1 koi3	
乞嗤	hed1 qi1	喷嚏
乞讨	hed1 tou2	
乞食	hed1 xig6	讨饭，要饭
乞人憎	hed1 yen4 zeng1	讨人厌
乞儿	hed1 yi1	乞丐
乞儿公	hed1 yi1 gung1	老乞丐
核办	hed6 ban6	
核爆	hed6 bao3	
核爆炸	hed6 bao3 za3	
核弹	hed6 dan6	
核蛋白	hed6 dan6 bag6	
核电	hed6 din6	
核电厂	hed6 din6 cong2	
核定	hed6 ding6	
辖地	hed6 déi6	
核对	hed6 dêu3	
核反应	hed6 fan2 ying3	
核反应堆	hed6 fan2 ying3 dêu1	
核分裂	hed6 fen1 lid6	
核飞弹	hed6 féi1 dan6	
核计	hed6 gei3	
核子	hed6 ji2	
核子弹	hed6 ji2 dan6	
核子弹头	hed6 ji2 dan6 teo4	
核子战争	hed6 ji2 jin3 zeng1	
核子武器	hed6 ji2 mou5 héi3	
核子能	hed6 ji2 neng4	
核子潜艇	hed6 ji2 qim4 ting5	
核子试爆	hed6 ji2 xi3 bao3	
核战	hed6 jin3	
核战争	hed6 jin3 zeng1	
辖区	hed6 kêu1	
核裂变	hed6 lid6 bin3	
核力	hed6 lig6	
檄文	hed6 men4	
核膜	hed6 mog6	
核武	hed6 mou5	
核武器	hed6 mou5 héi3	
核能	hed6 neng4	
核能发电厂	hed6 neng4 fad3 din6 cong2	
核潜艇	hed6 qim4 ting5	
核实	hed6 sed6	
核心	hed6 sem1	
核心人物	hed6 sem1 yen4 med6	
核糖酶	hed6 tong4 mui4	
核桃	hed6 tou4	
核黄素	hed6 wong4 sou3	
核试爆	hed6 xi3 bao3	
核试验	hed6 xi3 yim6	
核销	hed6 xiu1	
核算	hed6 xun3	
核仁	hed6 yen4	
核验	hed6 yim6	
核燃料	hed6 yin4 liu6	
核融合	hed6 yung4 heb6	
核准	hed6 zên2	
黑	heg1	运气不好，倒霉
黑白片	heg1 bag6 pin2	
黑板	heg1 ban2	
刻版	heg1 ban2	
刻版印刷	heg1 ban2 yen3 cad3	
刻不容缓	heg1 bed1 yung4 wun6	
刻薄	heg1 bog6	
克敌	heg1 dig6	
克敌制胜	heg1 dig6 zei3 xing3	
黑鲷	heg1 diu1	
黑暗	heg1 em3	
黑发	heg1 fad3	
黑发人	heg1 fad3 yen4	
刻苦	heg1 fu2	
刻苦耐劳	heg1 fu2 noi6 lou4	
克服	heg1 fug6	
黑啡	heg1 fé1	清咖啡，黑咖啡
黑键	heg1 gin6	
黑咕隆咚	heg1 gu1 lung4 dung1	
黑古勒特	heg1 gu2 leg6 deg6	黑不溜秋，黑黑的
黑工	heg1 gung1	非法劳工
刻骨铭心	heg1 gwed1 ming4 sem1	
黑过墨斗	heg1 gwo3 meg3 deo2	倒霉透了，十分倒霉
克己	heg1 géi2	
克己奉公	heg1 géi2 fung6 gung1	
黑口黑面	heg1 hou2 heg1 min6	黑着脸，板着脸，满脸阴云
黑痣	heg1 ji3	
刻字	heg1 ji6	
克勤克俭	heg1 ken4 heg1 gim6	
黑鲸	heg1 king4	
黑孖孖	heg1 ma1 ma1	黑漆漆，黑咪麻，黑洞洞的，黑咕隆冬
黑麦	heg1 meg6	
黑擝擝	heg1 meng1 meng1	黑黑的，黑漆漆，黑咕隆咚
黑面包	heg1 min6 bao1	
黑名单	heg1 ming4 dan1	
黑莓	heg1 mui4	
黑超	heg1 qiu1	墨镜，太阳镜
黑社会	heg1 sé5 wui6	
黑体	heg1 tei2	
黑体字	heg1 tei2 ji6	
刻划	heg1 wag6	
黑色	heg1 xig1	
克星	heg1 xing1	
黑猩猩	heg1 xing1 xing1	
刻印	heg1 yen3	
刻意	heg1 yi3	
黑仔	heg1 zei2	倒楣
克制	heg1 zei3	
刻舟求剑	heg1 zeo1 keo4 gim3	
喺	hei2	在
喺边度	hei2 bin1 dou6	在哪里
喺…度	hei2 dou6	在…
喺度	hei2 dou6	在这里，在那里
喺企	hei2 kéi2	在家
喺屋企	hei2 ngug1 kéi2	在家
喺晒	hei2 sai3	都在，全部在
喺处	hei2 xu3	在这里，在那里
奚落	hei4 log6	
系	hei6	是
系吖！	hei6 a1	是啊！
系呀	hei6 a3	是啊
系衙？	hei6 a4	是吗？
系噉噶啦	hei6 gem2 ga3 la3	就是这样
系列	hei6 lid6	
系啰	hei6 lo1	是啊！
系路	hei6 lou6	对劲儿，对头
系唔系	hei6 m4 hei6	是不是
系咪	hei6 mei6	是不是
系咪…先	hei6 mei6 xin1	是不是…？
系咪真嘅	hei6 mei6 zen1 gé3	是不是真的
系咩？	hei6 mé1	真的吗？
系你先至好讲呀	hei6 néi5 xin1 ji3 hou2 gong2 a3	不要信口开河
系上	hei6 sêng6	
系统	hei6 tung2	
系人都	hei6 yen4 dou1	谁都
系人都知	hei6 yen4 dou1 ji1	人人皆知，谁都知道
系人都唔	hei6 yen4 dou1 m4	谁都不
校勘	hem1 gao3	
勘正	hem1 jing3	
戡乱	hem1 lün6	
勘误	hem1 ng6	
勘误表	hem1 ng6 biu2	
堪称	hem1 qing1	
堪舆	hem1 yu4	
扻	hem2	碰
扻崩头	hem2 beng1 teo4	磕破头
扻亲	hem2 cen1	碰伤，碰着
砍伐	hem2 fed6	
坎坷	hem2 ho2	
坎坷不平	hem2 ho2 bed1 ping4	
扻烂	hem2 lan6	碰破
扻头埋墙	hem2 teo4 mai4 cêng4	自惩，自讨苦吃，自己作贱
堪	hem3	码头
勘查	hem3 ca4	
