開放粵語詞典（國際音標版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［國際音標］	［國語解釋］
國家標準	kwɔ:k˧ ka:˥ pi:u˥ tsɵn˧˥	
國家社會主義	kwɔ:k˧ ka:˥ sɛ:˩˧ wu:i˨ tsy:˧˥ ji:˨	
國家資本主義	kwɔ:k˧ ka:˥ tsi:˥ pu:n˧˥ tsy:˧˥ ji:˨	
國家至上	kwɔ:k˧ ka:˥ tsi:˧ sœ:ŋ˨	
國家主義	kwɔ:k˧ ka:˥ tsy:˧˥ ji:˨	
國家制度	kwɔ:k˧ ka:˥ tsɐi˧ tou˨	
國家隊	kwɔ:k˧ ka:˥ tɵy˨	
國家圖書館	kwɔ:k˧ ka:˥ tʰou˨˩ sy:˥ ku:n˧˥	
國家銀行	kwɔ:k˧ ka:˥ ŋɐn˨˩ hɔ:ŋ˨˩	
國家安全	kwɔ:k˧ ka:˥ ɔ:n˥ tsʰy:n˨˩	
國君	kwɔ:k˧ kwɐn˥	
國腳	kwɔ:k˧ kœ:k˧	
國計民生	kwɔ:k˧ kɐi˧ mɐn˨˩ sɐŋ˥	
國歌	kwɔ:k˧ kɔ:˥	
國境	kwɔ:k˧ kɪŋ˧˥	
國境線	kwɔ:k˧ kɪŋ˧˥ si:n˧	
國旗	kwɔ:k˧ kʰei˨˩	
國企	kwɔ:k˧ kʰei˩˧	
國舅	kwɔ:k˧ kʰɐu˩˧	
國劇	kwɔ:k˧ kʰɛ:k˨	
國立	kwɔ:k˧ la:p˨	
國立大學	kwɔ:k˧ la:p˨ ta:i˨ hɔ:k˨	
國力	kwɔ:k˧ lɪk˨	
國務卿	kwɔ:k˧ mou˨ hɪŋ˥	
國務院	kwɔ:k˧ mou˨ jy:n˨	
國務部長	kwɔ:k˧ mou˨ pou˨ tsœ:ŋ˧˥	
國門	kwɔ:k˧ mu:n˨˩	
國民	kwɔ:k˧ mɐn˨˩	
國文	kwɔ:k˧ mɐn˨˩	
國民軍	kwɔ:k˧ mɐn˨˩ kwɐn˥	
國民經濟	kwɔ:k˧ mɐn˨˩ kɪŋ˥ tsɐi˧	
國民經濟計劃	kwɔ:k˧ mɐn˨˩ kɪŋ˥ tsɐi˧ kɐi˧ wa:k˨	
國民身分證	kwɔ:k˧ mɐn˨˩ sɐn˥ fɐn˨ tsɪŋ˧	
國民生產	kwɔ:k˧ mɐn˨˩ sɐŋ˥ tsʰa:n˧˥	
國民生產毛額	kwɔ:k˧ mɐn˨˩ sɐŋ˥ tsʰa:n˧˥ mou˨˩ ŋa:k˨	
國民生產總值	kwɔ:k˧ mɐn˨˩ sɐŋ˥ tsʰa:n˧˥ tsʊŋ˧˥ tsɪk˨	
國民大會	kwɔ:k˧ mɐn˨˩ ta:i˨ wu:i˨	
國民大會代表	kwɔ:k˧ mɐn˨˩ ta:i˨ wu:i˨ tɔ:i˨ pi:u˧˥	
國民黨	kwɔ:k˧ mɐn˨˩ tɔ:ŋ˧˥	
國貿	kwɔ:k˧ mɐu˨	
國名	kwɔ:k˧ mɪŋ˨˩	
國難	kwɔ:k˧ na:n˨˩	
國內	kwɔ:k˧ nɔ:i˨	
國內貿易	kwɔ:k˧ nɔ:i˨ mɐu˨ jɪk˨	
國內市場	kwɔ:k˧ nɔ:i˨ si:˩˧ tsʰœ:ŋ˨˩	
國內生產	kwɔ:k˧ nɔ:i˨ sɐŋ˥ tsʰa:n˧˥	
國內外	kwɔ:k˧ nɔ:i˨ ŋɔ:i˨	
國寶	kwɔ:k˧ pou˧˥	
國寶級	kwɔ:k˧ pou˧˥ kʰɐp˥	
國步艱難	kwɔ:k˧ pou˨ ka:n˥ na:n˨˩	
國賓	kwɔ:k˧ pɐn˥	
國片	kwɔ:k˧ pʰi:n˧˥	
國片商	kwɔ:k˧ pʰi:n˧˥ sœ:ŋ˥	
國片展	kwɔ:k˧ pʰi:n˧˥ tsi:n˧˥	
國破家亡	kwɔ:k˧ pʰɔ:˧ ka:˥ mɔ:ŋ˨˩	
國璽	kwɔ:k˧ sa:i˧˥	
國師	kwɔ:k˧ si:˥	
國史	kwɔ:k˧ si:˧˥	
國事	kwɔ:k˧ si:˨	
國事犯	kwɔ:k˧ si:˨ fa:n˧˥	
國殤	kwɔ:k˧ sœ:ŋ˥	
國勢	kwɔ:k˧ sɐi˧	
國手	kwɔ:k˧ sɐu˧˥	
國色	kwɔ:k˧ sɪk˥	
國色天香	kwɔ:k˧ sɪk˥ tʰi:n˥ hœ:ŋ˥	
國術	kwɔ:k˧ sɵt˨	
國稅	kwɔ:k˧ sɵy˧	
國稅局	kwɔ:k˧ sɵy˧ kʊk˨	
國粹	kwɔ:k˧ sɵy˨	
國大	kwɔ:k˧ ta:i˨	
國大代表	kwɔ:k˧ ta:i˨ tɔ:i˨ pi:u˧˥	
國都	kwɔ:k˧ tou˥	
國道	kwɔ:k˧ tou˨	
國度	kwɔ:k˧ tou˨	
國債	kwɔ:k˧ tsa:i˧	
國際	kwɔ:k˧ tsɐi˧	
國際法	kwɔ:k˧ tsɐi˧ fa:t˧	
國際法院	kwɔ:k˧ tsɐi˧ fa:t˧ jy:n˨	
國際法庭	kwɔ:k˧ tsɐi˧ fa:t˧ tʰɪŋ˨˩	
國際化	kwɔ:k˧ tsɐi˧ fa:˧	
國際音標	kwɔ:k˧ tsɐi˧ jɐm˥ pi:u˥	
國際機場	kwɔ:k˧ tsɐi˧ kei˥ tsʰœ:ŋ˨˩	
國際觀	kwɔ:k˧ tsɐi˧ ku:n˥	
國際關係	kwɔ:k˧ tsɐi˧ kwa:n˥ hɐi˨	
國際慣例	kwɔ:k˧ tsɐi˧ kwa:n˧ lɐi˨	
國際經濟	kwɔ:k˧ tsɐi˧ kɪŋ˥ tsɐi˧	
國際公法	kwɔ:k˧ tsɐi˧ kʊŋ˥ fa:t˧	
國際公約	kwɔ:k˧ tsɐi˧ kʊŋ˥ jœ:k˧	
國際勞動節	kwɔ:k˧ tsɐi˧ lou˨˩ tʊŋ˨ tsi:t˧	
國際舞台	kwɔ:k˧ tsɐi˧ mou˩˧ tʰɔ:i˨˩	
國際貿易	kwɔ:k˧ tsɐi˧ mɐu˨ jɪk˨	
國際標準	kwɔ:k˧ tsɐi˧ pi:u˥ tsɵn˧˥	
國際私法	kwɔ:k˧ tsɐi˧ si:˥ fa:t˧	
國際市場	kwɔ:k˧ tsɐi˧ si:˩˧ tsʰœ:ŋ˨˩	
國際都市	kwɔ:k˧ tsɐi˧ tou˥ si:˩˧	
國際主義	kwɔ:k˧ tsɐi˧ tsy:˧˥ ji:˨	
國際帝國主義	kwɔ:k˧ tsɐi˧ tɐi˧ kwɔ:k˧ tsy:˧˥ ji:˨	
國際換日線	kwɔ:k˧ tsɐi˧ wu:n˨ jɐt˨ si:n˧	
國葬	kwɔ:k˧ tsɔ:ŋ˧	
國籍	kwɔ:k˧ tsɪk˨	
國策	kwɔ:k˧ tsʰa:k˧	
國策顧問	kwɔ:k˧ tsʰa:k˧ ku:˧ mɐn˨	
國賊	kwɔ:k˧ tsʰa:k˨	
國產	kwɔ:k˧ tsʰa:n˧˥	
國產品	kwɔ:k˧ tsʰa:n˧˥ pɐn˧˥	
國恥	kwɔ:k˧ tsʰi:˧	
國情	kwɔ:k˧ tsʰɪŋ˨˩	
國代	kwɔ:k˧ tɔ:i˨	
國代選舉	kwɔ:k˧ tɔ:i˨ sy:n˧˥ kɵy˧˥	
國定	kwɔ:k˧ tɪŋ˨	
國定假日	kwɔ:k˧ tɪŋ˨ ka:˧ jɐt˨	
國定紀念日	kwɔ:k˧ tɪŋ˨ kei˧˥ ni:m˨ jɐt˨	
國泰民安	kwɔ:k˧ tʰa:i˧ mɐn˨˩ ɔ:n˥	
國土	kwɔ:k˧ tʰou˧˥	
國帑	kwɔ:k˧ tʰɔ:ŋ˧˥	
國畫	kwɔ:k˧ wa:˧˥	
國畫家	kwɔ:k˧ wa:˧˥ ka:˥	
國會	kwɔ:k˧ wu:i˨	
國會議員	kwɔ:k˧ wu:i˨ ji:˩˧ jy:n˨˩	
國會制	kwɔ:k˧ wu:i˨ tsɐi˧	
國威	kwɔ:k˧ wɐi˥	
國運昌隆	kwɔ:k˧ wɐn˨ tsʰœ:ŋ˥ lʊŋ˨˩	
國魂	kwɔ:k˧ wɐn˨˩	
國王	kwɔ:k˧ wɔ:ŋ˨˩	
腘窩	kwɔ:k˧ wɔ:˥	
國外	kwɔ:k˧ ŋɔ:i˨	
國外貿易	kwɔ:k˧ ŋɔ:i˨ mɐu˨ jɪk˨	
國外市場	kwɔ:k˧ ŋɔ:i˨ si:˩˧ tsʰœ:ŋ˨˩	
國樂	kwɔ:k˧ ŋɔ:k˨	
國樂團	kwɔ:k˧ ŋɔ:k˨ tʰy:n˨˩	
光輝	kwɔ:ŋ˥ fɐi˥	
光復	kwɔ:ŋ˥ fʊk˨	
光合	kwɔ:ŋ˥ hɐp˨	
光合作用	kwɔ:ŋ˥ hɐp˨ tsɔ:k˧ jʊŋ˨	
光學	kwɔ:ŋ˥ hɔ:k˨	
光耀	kwɔ:ŋ˥ ji:u˨	
光源	kwɔ:ŋ˥ jy:n˨˩	
光陰	kwɔ:ŋ˥ jɐm˥	
光陰荏苒	kwɔ:ŋ˥ jɐm˥ jɐm˩˧ ji:m˩˧	
光陰似箭	kwɔ:ŋ˥ jɐm˥ tsʰi:˩˧ tsi:n˧	
光管	kwɔ:ŋ˥ ku:n˧˥	日光燈
光顧	kwɔ:ŋ˥ ku:˧	
光怪陸離	kwɔ:ŋ˥ kwa:i˧ lʊk˨ lei˨˩	
光棍	kwɔ:ŋ˥ kwɐn˧	騙子，無賴
光棍	kwɔ:ŋ˥ kwɐn˧	
光纜	kwɔ:ŋ˥ la:m˨	
光溜	kwɔ:ŋ˥ lɐu˨	
光溜溜	kwɔ:ŋ˥ lɐu˨ lɐu˨	
桄榔	kwɔ:ŋ˥ lɔ:ŋ˨˩	
光物理	kwɔ:ŋ˥ mɐt˨ lei˩˧	
光芒	kwɔ:ŋ˥ mɔ:ŋ˨˩	
光明	kwɔ:ŋ˥ mɪŋ˨˩	
光明磊落	kwɔ:ŋ˥ mɪŋ˨˩ lɵy˩˧ lɔ:k˨	
光明正大	kwɔ:ŋ˥ mɪŋ˨˩ tsɪŋ˧ ta:i˨	
光年	kwɔ:ŋ˥ ni:n˨˩	
光筆	kwɔ:ŋ˥ pɐt˥	
光波	kwɔ:ŋ˥ pɔ:˥	
光譜	kwɔ:ŋ˥ pʰou˧˥	
光譜分析	kwɔ:ŋ˥ pʰou˧˥ fɐn˥ sɪk˥	
光譜儀	kwɔ:ŋ˥ pʰou˧˥ ji:˨˩	
光譜線	kwɔ:ŋ˥ pʰou˧˥ si:n˧	
光線	kwɔ:ŋ˥ si:n˧	
光電	kwɔ:ŋ˥ ti:n˨	
光電效應	kwɔ:ŋ˥ ti:n˨ ha:u˨ jɪŋ˧	
光碟	kwɔ:ŋ˥ ti:p˨	
光度	kwɔ:ŋ˥ tou˨	
光度計	kwɔ:ŋ˥ tou˨ kɐi˧	
光度表	kwɔ:ŋ˥ tou˨ pi:u˧˥	
光澤	kwɔ:ŋ˥ tsa:k˨	
光照	kwɔ:ŋ˥ tsi:u˧	
光宗耀祖	kwɔ:ŋ˥ tsʊŋ˥ ji:u˨ tsou˧˥	
光瞠瞠	kwɔ:ŋ˥ tsʰa:ŋ˨˩ tsʰa:ŋ˨˩	刺目，亮堂堂，很光亮，很明亮，很亮堂，光亮耀眼
光纖	kwɔ:ŋ˥ tsʰi:m˥	
光彩	kwɔ:ŋ˥ tsʰɔ:i˧˥	
光彩奪目	kwɔ:ŋ˥ tsʰɔ:i˧˥ ty:t˨ mʊk˨	
光速	kwɔ:ŋ˥ tsʰʊk˥	
光束	kwɔ:ŋ˥ tsʰʊk˥	
光天化日	kwɔ:ŋ˥ tʰi:n˥ fa:˧ jɐt˨	
光天化日之下	kwɔ:ŋ˥ tʰi:n˥ fa:˧ jɐt˨ tsi:˥ ha:˨	
光脫脫	kwɔ:ŋ˥ tʰy:t˥ tʰy:t˥	光禿禿，光溜溜，赤條條
光頭	kwɔ:ŋ˥ tʰɐu˨˩	
光頭佬	kwɔ:ŋ˥ tʰɐu˨˩ lou˧˥	禿子
光禿禿	kwɔ:ŋ˥ tʰʊk˥	
光環	kwɔ:ŋ˥ wa:n˨˩	
光滑	kwɔ:ŋ˥ wa:t˨	
光華	kwɔ:ŋ˥ wa:˨˩	
光暈	kwɔ:ŋ˥ wɐn˨	
光榮	kwɔ:ŋ˥ wɪŋ˨˩	
桄子	kwɔ:ŋ˧ tsi:˧˥	
廣泛	kwɔ:ŋ˧˥ fa:n˧	
廣闊	kwɔ:ŋ˧˥ fu:t˧	
誑語	kwɔ:ŋ˧˥ jy:˩˧	
廣告	kwɔ:ŋ˧˥ kou˧	
廣告牌	kwɔ:ŋ˧˥ kou˧ pʰa:i˨˩	
廣袤	kwɔ:ŋ˧˥ ma:u˨	
廣播	kwɔ:ŋ˧˥ pɔ:˧	
廣播劇	kwɔ:ŋ˧˥ pɔ:˧ kʰɛ:k˨	
廣播台	kwɔ:ŋ˧˥ pɔ:˧ tʰɔ:i˨˩	
廣大	kwɔ:ŋ˧˥ ta:i˨	
廣州話	kwɔ:ŋ˧˥ tsɐu˥ wa:˧˥	
廣場	kwɔ:ŋ˧˥ tsʰœ:ŋ˨˩	
廣東話	kwɔ:ŋ˧˥ tʊŋ˥ wa:˧˥	
過份	kwɔ:˧ fɐn˨	
過埠	kwɔ:˧ fɐu˨	出洋，出國，去外國，漂洋過海
過火	kwɔ:˧ fɔ:˧˥	過份，過頭
過海	kwɔ:˧ hɔ:i˧˥	去澳門賭錢
過海	kwɔ:˧ hɔ:i˧˥	渡江
過去	kwɔ:˧ hɵy˧	
過意得去	kwɔ:˧ ji:˧ tɐk˥ hɵy˧	心安理得
過癮	kwɔ:˧ jɐn˧˥	
過夜	kwɔ:˧ jɛ:˨	
過幾日	kwɔ:˧ kei˧˥ jɐt˨	過幾天
過骨	kwɔ:˧ kwɐt˥	過關
過嚟	kwɔ:˧ lei˨˩	過來
過慮	kwɔ:˧ lɵy˨	
過濾器	kwɔ:˧ lɵy˨ hei˧	
過籠	kwɔ:˧ lʊŋ˨˩	過了頭
過敏	kwɔ:˧ mɐn˩˧	
過時補水	kwɔ:˧ si:˨˩ pou˧˥ sɵy˧˥	加班費
過樹榕	kwɔ:˧ sy:˨ jʊŋ˨˩	灰鼠蛇，細紋南蛇
過身	kwɔ:˧ sɐn˥	去世
過剩	kwɔ:˧ sɪŋ˨	
過水	kwɔ:˧ sɵy˧˥	涮，汆
過渡	kwɔ:˧ tou˨	
過造	kwɔ:˧ tsou˨	旺季已過
過則勿憚改	kwɔ:˧ tsɐk˥ mɐt˨ ta:n˨ kɔ:i˧˥	
過載	kwɔ:˧ tsɔ:i˧	
過咗火	kwɔ:˧ tsɔ:˧˥ fɔ:˧˥	過了，過份了，過了頭
過咗身	kwɔ:˧ tsɔ:˧˥ sɐn˥	去世
過程	kwɔ:˧ tsʰɪŋ˨˩	
過底紙	kwɔ:˧ tɐi˧˥ tsi:˧˥	復寫紙
過檔	kwɔ:˧ tɔ:ŋ˧	跳槽，調職
過冬	kwɔ:˧ tʊŋ˥	過冬至，過冬節
過雲雨	kwɔ:˧ wɐn˨˩ jy:˩˧	陣雨
過五關斬六將	kwɔ:˧ ŋ˨ kwa:n˥ tsa:m˧˥ lʊk˨ tsœ:ŋ˧	
果然	kwɔ:˧˥ ji:n˨˩	
果蠅	kwɔ:˧˥ jɪŋ˨˩	
裹腳	kwɔ:˧˥ kœ:k˧	
果脯	kwɔ:˧˥ pʰou˧˥	
果醬	kwɔ:˧˥ tsœ:ŋ˧	
果汁	kwɔ:˧˥ tsɐp˥	
果占	kwɔ:˧˥ tsɛ:m˥	果醬
果占麵包	kwɔ:˧˥ tsɛ:m˥ mi:n˨ pa:u˥	果醬麵包
隙縫	kwɪk˥ fʊŋ˨˩	
迥然	kwɪŋ˧˥ ji:n˨˩	
迥然不同	kwɪŋ˧˥ ji:n˨˩ pɐt˥ tʰʊŋ˨˩	
迥異	kwɪŋ˧˥ ji:˨	
炯炯有神	kwɪŋ˧˥ kwɪŋ˧˥ jɐu˩˧ sɐn˨˩	
捐	ky:n˥	鑽
捐款	ky:n˥ fu:n˧˥	
捐款箱	ky:n˥ fu:n˧˥ sœ:ŋ˥	
捐獻	ky:n˥ hi:n˧	
捐血	ky:n˥ hy:t˧	
捐血人	ky:n˥ hy:t˧ jɐn˨˩	
捐入	ky:n˥ jɐp˨	鑽進
捐軀	ky:n˥ kʰɵy˥	
捐山窿	ky:n˥ sa:n˥ lʊŋ˥	鑽山洞
捐贈	ky:n˥ tsɐŋ˨	
捐贈人	ky:n˥ tsɐŋ˨ jɐn˨˩	
捐贈者	ky:n˥ tsɐŋ˨ tsɛ:˧˥	
捐助	ky:n˥ tsɔ:˨	
捐助人	ky:n˥ tsɔ:˨ jɐn˨˩	
捐錢	ky:n˥ tsʰi:n˨˩	
捐出	ky:n˥ tsʰɵt˥	
絹花	ky:n˧ fa:˥	
眷顧	ky:n˧ ku:˧	
眷戀	ky:n˧ ly:n˧˥	
眷屬	ky:n˧ sʊk˨	
眷懷	ky:n˧ wa:i˨˩	
眷愛	ky:n˧ ɔ:i˧	
倦意	ky:n˨ ji:˧	
倦意頓消	ky:n˨ ji:˨˩ tɵn˨ si:u˥	
倦遊	ky:n˨ jɐu˨˩	
倦容	ky:n˨ jʊŋ˨˩	
倦怠	ky:n˨ tɔ:i˨	
倦態	ky:n˨ tʰa:i˧	
腳	kœ:k˧	腳，腿
腳夫	kœ:k˧ fu:˥	
腳氣	kœ:k˧ hei˧	
腳氣病	kœ:k˧ hei˧ pɛ:ŋ˨	
腳後跟	kœ:k˧ hɐu˨ kɐn˥	
腳印	kœ:k˧ jɐn˧	
腳架	kœ:k˧ ka:˧˥	
腳架	kœ:k˧ ka:˧˥	三角架
腳瓜	kœ:k˧ kwa:˥	腿肚子
腳瓜瓤	kœ:k˧ kwa:˥ nɔ:ŋ˥	腿肚子
腳瓜眈	kœ:k˧ kwa:˥ tɐm˥	腿肚子
腳骨	kœ:k˧ kwɐt˥	小腿
腳骨力	kœ:k˧ kwɐt˥ lɪk˨	腿力
腳跟	kœ:k˧ kɐn˥	
腳鐐	kœ:k˧ li:u˨˩	
腳鐐手銬	kœ:k˧ li:u˨˩ sɐu˧˥ kʰa:u˧	
腳力	kœ:k˧ lɪk˨	
腳面	kœ:k˧ mi:n˧˥	腳背
腳板	kœ:k˧ pa:n˧˥	
腳板底	kœ:k˧ pa:n˧˥ tɐi˧˥	腳底，腳掌
腳板堂	kœ:k˧ pa:n˧˥ tʰɔ:ŋ˨˩	腳掌，腳心
腳步	kœ:k˧ pou˨	
腳步聲	kœ:k˧ pou˨ sɛ:ŋ˥	
腳背	kœ:k˧ pu:i˧	
腳心	kœ:k˧ sɐm˥	
腳踏	kœ:k˧ ta:p˨	
腳踏兩條船	kœ:k˧ ta:p˨ lœ:ŋ˩˧ tʰi:u˨˩ sy:n˨˩	
腳踏板	kœ:k˧ ta:p˨ pa:n˧˥	
腳踏實地	kœ:k˧ ta:p˨ sɐt˨ tei˨	
腳踏車	kœ:k˧ ta:p˨ tsʰɛ:˥	
腳踭	kœ:k˧ tsa:ŋ˥	腳跟，腳後跟
腳尖	kœ:k˧ tsi:m˥	
腳趾	kœ:k˧ tsi:˧˥	
腳趾	kœ:k˧ tsi:˧˥	腳趾頭
腳趾甲	kœ:k˧ tsi:˧˥ ka:p˧	
腳趾公	kœ:k˧ tsi:˧˥ kʊŋ˥	大腳趾，腳拇趾
脚趾罅	kœ:k˧ tsi:˧˥ la:˧	腳趾縫
腳趾屘	kœ:k˧ tsi:˧˥ mei˥	腳小趾
腳趾頭	kœ:k˧ tsi:˧˥ tʰɐu˨˩	
腳註	kœ:k˧ tsy:˧	
腳掌	kœ:k˧ tsœ:ŋ˧˥	
腳枕	kœ:k˧ tsɐm˧˥	腳上的繭子，腳上的老繭
腳底板	kœ:k˧ tɐi˧˥ pa:n˧˥	
腳底按摩	kœ:k˧ tɐi˧˥ ɔ:n˧ mɔ:˥	
腳肚	kœ:k˧ tʰou˩˧	腿肚子
腳肚瓤	kœ:k˧ tʰou˩˧ nɔ:ŋ˥	腿肚子
腳痛醫腳	kœ:k˧ tʰʊŋ˧ ji:˥ kœ:k˧	
腳踝	kœ:k˧ wa:˩˧	
腳鈪	kœ:k˧ ŋa:k˧	腳鐲
腳眼	kœ:k˧ ŋa:n˩˧	腳踝，踝子骨
腳坳	kœ:k˧ ŋa:u˧	腘窩，膝部的後面
腳丫	kœ:k˧ ŋa:˥	
蜣螂	kœ:ŋ˥ lɔ:ŋ˨˩	
薑餅	kœ:ŋ˥ pɛ:ŋ˧˥	
韁繩	kœ:ŋ˥ sɪŋ˨˩	
羌族	kœ:ŋ˥ tsʊk˨	
疆土	kœ:ŋ˥ tʰou˧˥	
疆域	kœ:ŋ˥ wɪk˨	
僵硬	kœ:ŋ˥ ŋa:ŋ˨	
雞	kɐi˥	妓女，暗娼
雞	kɐi˥	扳機
雞	kɐi˥	哨子
雞飛狗跳	kɐi˥ fei˥ kɐu˧˥ tʰi:u˧	
雞犬不寧	kɐi˥ hy:n˧˥ pɐt˥ nɪŋ˨˩	
雞項	kɐi˥ hɔ:ŋ˧˥	小母雞，嫩母雞
雞紅	kɐi˥ hʊŋ˨˩	雞血
雞翼	kɐi˥ jɪk˨	雞翅膀
雞肉	kɐi˥ jʊk˨	
雞姦	kɐi˥ ka:n˥	
雞叫	kɐi˥ ki:u˧	
雞冠	kɐi˥ ku:n˥	
雞關	kɐi˥ kwa:n˥	雞冠子
雞骨	kɐi˥ kwɐt˥	
雞腳	kɐi˥ kœ:k˧	雞爪子
雞噉腳	kɐi˥ kɐm˧˥ kœ:k˧	走得快
雞頸	kɐi˥ kɛ:ŋ˧˥	雞脖子
雞公	kɐi˥ kʊŋ˥	公雞
雞零狗碎	kɐi˥ lɪŋ˨˩ kɐu˧˥ sɵy˧	
雞籠	kɐi˥ lʊŋ˨˩	
雞盲	kɐi˥ ma:ŋ˨˩	夜盲症
雞尾	kɐi˥ mei˩˧	
雞尾	kɐi˥ mei˩˧	雞屁股
雞尾酒	kɐi˥ mei˩˧ tsɐu˧˥	
雞尾酒會	kɐi˥ mei˩˧ tsɐu˧˥ wu:i˨	
雞毛	kɐi˥ mou˨˩	
雞毛掃	kɐi˥ mou˨˩ sou˧˥	雞毛撣子
雞毛蒜皮	kɐi˥ mou˨˩ sy:n˧ pʰei˨˩	
雞毛撢子	kɐi˥ mou˨˩ ta:n˩˧ tsi:˧˥	
雞毛帚	kɐi˥ mou˨˩ tsɐu˧˥	
雞鳴	kɐi˥ mɪŋ˨˩	
雞鳴狗盜	kɐi˥ mɪŋ˨˩ kɐu˧˥ tou˨	
雞乸	kɐi˥ na:˧˥	母雞
雞乸咁大隻字	kɐi˥ na:˧˥ kɐm˧ ta:i˨ tsɛ:k˧ tsi:˨	斗那麼大的字
雞年	kɐi˥ ni:n˨˩	
雞包	kɐi˥ pa:u˥	雞肉包
雞髀	kɐi˥ pei˧˥	雞腿
雞皮	kɐi˥ pʰei˨˩	
雞皮疙瘩	kɐi˥ pʰei˨˩ kɐt˨ ta:p˧	
雞泡魚	kɐi˥ pʰou˩˧ jy:˨˩	河豚
雞心	kɐi˥ sɐm˥	
雞心形	kɐi˥ sɐm˥ jɪŋ˨˩	
雞腎	kɐi˥ sɐn˧˥	雞胗，雞肫，雞肫子
雞手鴨腳	kɐi˥ sɐu˧˥ ŋa:p˧ kœ:k˧	毛手毛腳，笨手笨腳
雞蛋	kɐi˥ ta:n˨	
雞蛋裡挑骨頭	kɐi˥ ta:n˨ lɵy˩˧ tʰi:u˥ kwɐt˥ tʰɐu˨˩	
雞蛋碰石頭	kɐi˥ ta:n˨ pʰʊŋ˧ sɛ:k˨ tʰɐu˨˩	
雞仔	kɐi˥ tsɐi˧˥	小雞
雞胗	kɐi˥ tsɐn˥	
雞腸	kɐi˥ tsʰœ:ŋ˨˩	天書
雞春	kɐi˥ tsʰɵn˥	雞蛋
雞春孳	kɐi˥ tsʰɵn˥ tsi:˥	母雞腹內未成形的小蛋
雞啄唔斷	kɐi˥ tœ:ŋ˥ m̩˨˩ tʰy:n˩˧	說話沒個完，說個不停，沒完沒了，絮絮不休，滔滔不絕，拉扯不斷，老談個沒完的
雞丁	kɐi˥ tɪŋ˥	
雞頭	kɐi˥ tʰɐu˨˩	
雞湯	kɐi˥ tʰɔ:ŋ˥	
雞同鴨講	kɐi˥ tʰɔ:ŋ˨˩ ŋa:p˧ kɔ:ŋ˧˥	啞巴說聾子聽
雞眼	kɐi˥ ŋa:n˩˧	
佳偶天成	kɐi˥ ŋɐu˩˧ tʰi:n˥ sɪŋ˨˩	
計翻條數	kɐi˧ fa:n˥ tʰi:u˨˩ sou˧	算起來，如此算來
計吓	kɐi˧ ha:˩˧	算算，算一下
計吓條數	kɐi˧ ha:˩˧ tʰi:u˨˩ sou˧	算算帳
救人	kɐi˧ jɐn˨˩	
計落	kɐi˧ lɔ:k˨	算起來，如此算來
計埋	kɐi˧ ma:i˨˩	把那些都算上
計唔掂	kɐi˧ m̩˨˩ ti:m˨	算不清
計唔清	kɐi˧ m̩˨˩ tsʰɪŋ˥	數不清，算不清，無法算得清楚
計你話	kɐi˧ nei˩˧ wa:˨	依你說，依你看，按你的意思
計晒	kɐi˧ sa:i˧	都算完了，全部算好了
計數	kɐi˧ sou˧	計算，算帳
計數機	kɐi˧ sou˧ kei˥	計算器，計算機
計算	kɐi˧ sy:n˧	
繼承	kɐi˧ sɪŋ˨˩	
繼承人	kɐi˧ sɪŋ˨˩ jɐn˨˩	
繼承者	kɐi˧ sɪŋ˨˩ tsɛ:˧˥	
計帶	kɐi˧ ta:i˧	計較，在意，介意
計掂	kɐi˧ ti:m˨	算好，算好了
計正	kɐi˧ tsɛ:ŋ˧	按理說，照理說，按道理，本來
繼續	kɐi˧ tsʊk˨	
計清楚	kɐi˧ tsʰɪŋ˥ tsʰɔ:˧˥	算清楚
計條數	kɐi˧ tʰi:u˨˩ sou˧	算一算
計劃	kɐi˧ wa:k˨	
計我話	kɐi˧ ŋɔ:˩˧ wa:˨	依我看，依我說，按我的意思
偈	kɐi˧˥	話
偈	kɐi˧˥	内燃機
計	kɐi˧˥	辦法，主意
偈油	kɐi˧˥ jɐu˨˩	機油，機器潤滑油
計仔	kɐi˧˥ tsɐi˧˥	辦法，主意，計策
金髮	kɐm˥ fa:t˧	
金髮女郎	kɐm˥ fa:t˧ nɵy˩˧ lɔ:ŋ˨˩	
金髮碧眼	kɐm˥ fa:t˧ pɪk˥ ŋa:n˩˧	
今非昔比	kɐm˥ fei˥ sɪk˥ pei˧˥	
今後	kɐm˥ hɐu˨	
甘願	kɐm˥ jy:n˨	
金魚	kɐm˥ jy:˨˩	
金魚缸	kɐm˥ jy:˨˩ kɔ:ŋ˥	
今日	kɐm˥ jɐt˨	今天
今日好凍	kɐm˥ jɐt˨ hou˧˥ tʊŋ˧	今天很冷
金玉滿堂	kɐm˥ jʊk˨ mu:n˩˧ tʰɔ:ŋ˨˩	
金融	kɐm˥ jʊŋ˨˩	
金融業	kɐm˥ jʊŋ˨˩ ji:p˨	
金融界	kɐm˥ jʊŋ˨˩ ka:i˧	
金融機構	kɐm˥ jʊŋ˨˩ kei˥ kʰɐu˧	
金融市場	kɐm˥ jʊŋ˨˩ si:˩˧ tsʰœ:ŋ˨˩	
