开放粤语词典（耶鲁拼音调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
捡起	gím héi	
检字	gím jih	
检字法	gím jih faat	
捡便宜	gím pìhn yìh	
检索	gím saak	
检修	gím sāu	
检视	gím sih	
检讨	gím tóu	
检讨会	gím tóu wuih	
检胃镜	gím waih geng	
检疫	gím yihk	
检疫站	gím yihk jaahm	
检疫所	gím yihk só	
检验	gím yihm	
检阅	gím yuht	
剑拔弩张	gim baht nóuh jeūng	
剑柄	gim beng	
剑鞘	gim chiu	
剑道	gim douh	
剑法	gim faat	
剑光	gim gwōng	
剑客	gim haak	
剑侠	gim haahp	
剑兰	gim làahn	
剑兰花	gim làahn fā	
剑龙	gim lùhng	
剑眉	gim mèih	
剑术	gim seuht	
剑叶	gim yihp	
勤俭	gihm kàhn	
勤俭持家	gihm kàhn chìh gā	
勤俭朴实	gihm kàhn pok saht	
俭朴	gihm pok	
俭省	gihm sáang	
俭约	gihm yeuk	
坚持	gīn chìh	
坚称	gīn chīng	
坚定	gīn dihng	
肩胛	gīn gaap	
坚决	gīn kyut	
坚决否认	gīn kyut fáu yihng	
坚硬	gīn ngaahng	
坚守	gīn sáu	
坚挺	gīn tíhng	
坚韧	gīn yahn	
见…	gin	跟…见面
见不得人	gin bāt dāk yàhn	
见不着	gin bāt jeuhk	
建设	gin chit	
建设性	gin chit sing	
见多识广	gin dō sīk gwóng	
见到	gin dóu	看到，看见，见着，见到
见风转舵	gin fūng jyún tòh	
见风使舵	gin fūng sí tòh	
见解	gin gáai	
见机行事	gin gēi hàhng sih	
见工	gin gūng	面试，工作面谈，工作面试
见怪不怪	gin gwaai bāt gwaai	
见鬼	gin gwái	
见过鬼都怕黑	gin gwo gwái dōu pa hāk	一朝被蛇咬，十年怕井绳
见过鬼就怕黑	gin gwo gwái jauh pa hāk	一朝被蛇咬，十年怕井绳
见过鬼怕黑	gin gwo gwái pa hāk	一朝被蛇咬，十年怕井绳
见过世面	gin gwo sai mihn	
见效	gin haauh	
见红	gin hùhng	流血，见血
见习	gin jaahp	
见习生	gin jaahp sāng	
见周公	gin jāu gūng	睡觉，入梦，睡着了
见证	gin jing	
见证人	gin jing yàhn	
见招	gin jiū	
见招拆招	gin jiū chaak jiū	
见状	gin johng	
建筑	gin jūk	
建筑物	gin jūk maht	
建筑师	gin jūk sī	
建立	gin laahp	
见利忘义	gin leih mòhng yih	
见谅	gin leuhng	
见连丸	gin lìhn yún	奎宁丸
见唔到	gin m̀h dóu	见不着，看不到
见闻	gin màhn	
见面	gin mihn	
见牙唔见眼	gin ngàh m̀h gin ngáahn	笑眯了眼，笑容灿烂，见牙不见眼
见使	gin sái	耐花
见死不救	gin séi bāt gau	
见识	gin sīk	
见食	gin sihk	耐吃
见仁见智	gin yàhn gin ji	
建议	gin yíh	
见异思迁	gin yih sī chīn	
见义勇为	gin yih yúhng wàih	
健保	gihn bóu	
健步	gihn bouh	
健步如飞	gihn bouh yùh fēi	
健全	gihn chyùhn	
健全性	gihn chyùhn sing	
健健康康	gihn gihn hōng hōng	
健行	gihn hàahng	
健康	gihn hōng	
健康检查	gihn hōng gím chàh	
健将	gihn jeung	
健在	gihn joih	
健壮	gihn jong	
健壮如牛	gihn jong yùh ngàuh	
健美	gihn méih	
健美操	gihn méih chōu	
健忘	gihn mòhng	
键盘	gihn pùhn	
键盘乐器	gihn pùhn ngohk hei	
健身	gihn sān	
健身操	gihn sān chōu	
健身房	gihn sān fòhng	
健身运动	gihn sān wahn duhng	
健谈	gihn tàahm	
键入	gihn yahp	
健儿	gihn yìh	
惊诧	gīng cha	
矜持	gīng chìh	
经典	gīng dín	
京都	gīng dōu	
经度	gīng douh	
惊动	gīng duhng	
惊慌	gīng fōng	
惊呼	gīng fū	
惊风骇浪	gīng fūng háaih lohng	
惊戒	gīng gaai	
京畿	gīng gēi	
经纪	gīng géi	经纪人
荆棘	gīng gīk	
惊见	gīng gin	
兢兢业业	gīng gīng yihp yihp	
惊叫	gīng giu	
惊叫声	gīng giu sēng	
惊觉	gīng gok	
惊弓之鸟	gīng gūng jī niúh	
惊悸	gīng gwai	
矜贵	gīng gwai	珍贵，贵重
经过	gīng gwo	
惊骇	gīng háaih	
惊吓	gīng haak	
惊喜	gīng héi	
惊喜交集	gīng héi gāau jaahp	
京戏	gīng hei	京剧
惊险	gīng hím	
惊险刺激	gīng hím chi gīk	
京腔	gīng hōng	
惊恐	gīng húng	
惊恐万状	gīng húng maahn johng	
惊恐失色	gīng húng sāt sīk	
惊鸿一瞥	gīng hùhng yāt pit	
经济	gīng jai	
经济师	gīng jai sī	
惊奇	gīng kèih	
惊奇不已	gīng kèih bāt yíh	
京剧	gīng kehk	
经理	gīng léih	
经理人	gīng léih yàhn	
经历	gīng lihk	
经唔起考验	gīng m̀h héi háau yihm	经不起考验
惊讶	gīng ngah	
惊愕	gīng ngohk	
惊世骇俗	gīng sai háaih juhk	
惊心	gīng sām	
惊心动魄	gīng sām duhng paak	
惊醒	gīng séng	
经商	gīng seūng	
经常	gīng seùhng	
京师	gīng sī	
京城	gīng sìhng	
惊叹	gīng taan	
惊叹不已	gīng taan bāt yíh	
惊叹号	gīng taan houh	
惊天动地	gīng tīn duhng deih	
惊涛	gīng tòuh	
惊涛骇浪	gīng tòuh háaih lohng	
惊为天人	gīng wàih tīn yàhn	
经纬	gīng wáih	
泾渭不分	gīng waih bāt fān	
泾渭分明	gīng waih fān mìhng	
惊魂	gīng wàhn	
惊惶	gīng wòhng	
惊惶失措	gīng wòhng sāt chou	
惊惶失色	gīng wòhng sāt sīk	
惊人	gīng yàhn	
惊人之举	gīng yàhn jī géui	
惊疑	gīng yìh	
经已	gīng yíh	已经
惊异	gīng yih	
经验	gīng yihm	
惊艳	gīng yihm	
经营	gīng yìhng	
警备	gíng beih	
警备车	gíng beih chē	
警备队	gíng beih deuih	
警备总司令	gíng beih júng sī lihng	
警备区	gíng beih kēui	
警备司令	gíng beih sī lihng	
警备司令部	gíng beih sī lihng bouh	
警报	gíng bou	
警报系统	gíng bou haih túng	
警察	gíng chaat	
警察队	gíng chaat deuih	
警察局	gíng chaat guhk	
警车	gíng chē	
警署	gíng chyúh	
境地	gíng deih	
警笛	gíng dehk	
警徽	gíng fāi	
警匪	gíng féi	
警方	gíng fōng	
境况	gíng fong	
境界	gíng gaai	
警戒	gíng gaai	
警界	gíng gaai	
京畿	gíng gēi	
警句	gíng geui	
警觉	gíng gok	
警觉心	gíng gok sām	
警觉性	gíng gok sing	
警岗	gíng gōng	
警告	gíng gou	
警局	gíng guhk	
警官	gíng gūn	
警棍	gíng gwan	
景气	gíng hei	
警犬	gíng hyún	
警长	gíng jeúng	
警钟	gíng jūng	
警力	gíng lihk	
警铃	gíng lìhng	
警务	gíng mouh	
警务处	gíng mouh chyu	
境外	gíng ngoih	
境内	gíng noih	
警世	gíng sai	
警讯	gíng seun	
警示	gíng sih	
景色	gíng sīk	
警醒	gíng síng	
警探	gíng taam	
警惕	gíng tīk	
警卫	gíng waih	
警卫队	gíng waih deuih	
警卫室	gíng waih sāt	
境域	gíng wihk	
竟然	gíng yìhn	
警语	gíng yúh	
境遇	gíng yuh	
警员	gíng yùhn	
敬请	ging chíng	
敬请指教	ging chíng jí gaau	
敬鬼神而远之	ging gwái sàhn yìh yuhn jī	
敬酒不吃吃罚酒	ging jáu bāt hek hek faht jáu	
敬重	ging juhng	
敬而远之	ging yìh yuhn jī	
敬业	ging yihp	
敬业精神	ging yihp jīng sàhn	
劲	gihng	厉害
劲抽	gihng chāu	厉害，很棒，水平高
竞争	gihng jēng	
痉挛	gihng lyùhn	
劲闷	gihng muhn	很无聊
竞选	gihng syún	
竞选	gihng syún	
喼	gīp	箱子
喼帽	gīp móu	鸭舌帽
劫	gip	抢
劫	gip	涩，味涩
劫持	gip chìh	
劫机	gip gēi	
劫机犯	gip gēi fáan	
挟	gihp	夹，挤
挟亲	gihp chān	夹住，夹到
挟脚	gihp geuk	挤脚
结巴	git bā	
结疤	git bā	
结拜	git baai	
结拜兄弟	git baai hīng daih	
结冰	git bīng	
结伴	git buhn	
结伴同行	git buhn tùhng hàhng	
结亲	git chān	
结秦晋之好	git cheùhn jeun jī hóu	
结肠	git cheùhng	
结肠炎	git cheùhng yìhm	
结清	git chīng	
结束	git chūk	
结存	git chyùhn	
结存额	git chyùhn ngaahk	
结缔	git dai	
结缔组织	git dai jóu jīk	
结队	git deuih	
结党	git dóng	
结党营私	git dóng yìhng sī	
结块	git faai	
结发	git faat	
结婚	git fān	
结婚典礼	git fān dín láih	
结婚纪念日	git fān géi nihm yaht	
结婚证书	git fān jing syū	
结婚仪式	git fān yìh sīk	
结伙	git fó	
结伙抢劫	git fó cheúng gip	
结交	git gāau	
拮据	git gēui	
结结巴巴	git git bā bā	
结局	git guhk	
结恭	git gūng	便秘
结果	git gwó	
结合	git hahp	
结合点	git hahp dím	
结合律	git hahp leuht	
结合能	git hahp nàhng	
结核	git haht	
结集	git jaahp	
结扎	git jaat	
结紮	git jaat	
结紮手术	git jaat sáu seuht	
结紮术	git jaat seuht	
结帐	git jeung	
结晶	git jīng	
结晶体	git jīng tái	
结节	git jit	
结咗婚	git jó fān	结婚了，已婚
结构	git kau	
结缡	git lèih	
结论	git leuhn	
结盟	git màhng	
结尾	git méih	
结膜	git mohk	
结膜炎	git mohk yìhm	
结案	git on	
洁癖	git pīk	
结仇	git sàuh	
结社	git séh	
结社自由	git séh jih yàuh	
结石	git sehk	
结霜	git seūng	
结识	git sīk	
结绳	git sìhng	
结绳记事	git sìhng gei sih	
结算	git syun	
结他	git tā	吉他
结为	git wàih	
结为夫妻	git wàih fū chāi	
结为一体	git wàih yāt tái	
结义	git yih	
结业	git yihp	
结业典礼	git yihp dín láih	
结业证书	git yihp jing syū	
结业式	git yihp sīk	
结余	git yùh	
结语	git yúh	
结缘	git yùhn	
杰	giht	稠
杰出	giht cheūt	
杰凸凸	giht dāt dāt	稠稠的
桀纣	giht jauh	
杰作	giht jok	
杰粥	giht jūk	稠粥
桀骜不驯	giht ngòuh bāt cheùhn	
结汇	giht wuih	
结汇证	giht wuih jing	
骄兵必败	giū bīng bīt baaih	
娇妻	giū chāi	
娇嗲	giū dé	娇
娇惯	giū gwaan	
娇气	giū hei	
骄者必败	giū jé bīt baaih	
骄纵	giū jung	
娇躯	giū kēui	
娇美	giū méih	
娇媚	giū meih	
骄傲自大	giū ngòuh jih daaih	
骄傲	giū ngouh	
骄傲感	giū ngouh gám	
娇嫩	giū nyuhn	
娇生惯养	giū sāng gwaan yeúhng	
娇小	giū siú	
娇小玲珑	giū siú lìhng lùhng	
娇态	giū taai	
骄横	giū waahng	
娇柔	giū yàuh	
骄阳	giū yeùhng	
娇艳	giū yihm	
娇娆	giū yiùh	
挢	giú	擦
缴费	giú fai	
挢汗	giú hohn	擦汗
矫正	giú jing	
挢眼泪	giú ngáahn leuih	擦眼泪
叫白车	giu baahk chē	叫救护车
叫车	giu chē	
叫苦	giu fú	
叫苦连天	giu fú lìhn tīn	
叫价	giu ga	
叫鸡	giu gāi	召妓，嫖妓
叫喊	giu haam	
叫嚣	giu hiū	
叫好	giu hóu	
叫阵	giu jahn	
叫座	giu joh	
叫做	giu jouh	
叫骂	giu mah	
叫卖	giu maaih	
叫门	giu mùhn	
叫醒	giu séng	
叫声	giu sīng	
叫唆	giu sō	
叫餸	giu sung	点菜
叫餸食饭	giu sung sihk faahn	点菜吃饭
叫停	giu tìhng	
叫屈	giu wāt	
叫唤	giu wuhn	
叫嚷	giu yeúhng	
撬	giuh	挖
轿车	giuh chē	
撬墙脚	giuh cheùhng geuk	挖墙脚
撬走	giuh jáu	挖走
歌词	gō chìh	
哥记	gō gei	老兄
歌功颂德	gō gūng juhng dāk	
歌颂	gō juhng	
歌剧	gō kehk	
歌曲	gō kūk	
旮旯	gō lō	
仡佬族	gō lóu juhk	
歌迷	gō màih	
歌手	gō sáu	
歌声	gō sīng	
嗰	gó	那
嗰便	gó bihn	那边
嗰次	gó chi	那次
嗰单畸士	gó dāan kēi sí	那件事
嗰啲	gó dī	那些
嗰啲嘢	gó dī yéh	那些东西
嗰度	gó douh	那里
嗰个	gó go	那个
嗰个系	gó go haih	那是
嗰阵	gó jahn	那时候，那时，那阵子，那个时候
嗰阵时	gó jahn sìh	的时候
嗰只衰嘢	gó jek sēui yéh	那个坏东西
嗰种	gó júng	那种
嗰晚	gó máahn	那晚，那天晚上
嗰排	gó páai	那阵子，那些日子，那个时候，那一阵子，那一段日子
嗰时	gó sìh	那时候，那个时候，那时
嗰处	gó syu	那边，那里，那儿，那个地方
嗰条友	gó tiùh yáu	那个家伙
嗰条友仔	gó tiùh yáu jái	那个小子
嗰一晚	gó yāt máahn	那一夜
嗰日	gó yaht	那天
个噃	go bo	啦，啊
个个	go go	每个，人人，每个人，每人
个啰	go lo	啦，啊
个心好翳	go sām hóu ngai	心里很烦闷
个心十五十六	go sām sahp ńgh sahp luhk	心里乱糟糟的，忐忑不安，心里七上八下
个性	go sing	
个肚有啲唔妥	go tóuh yáuh dī m̀h tóh	肚子不舒服
个㖞	go wóh	啦，啊
个人	go yàhn	
个样好得戚	go yeúng hóu dāk chīk	样子很得意
哥哥	gòh gō	
哥哥仔	gòh gō jái	小兄弟
该判何罪	gōi pun hòh jeuih	
该煨	gōi wuī	糟糕
改变	gói bin	
改过自新	gói gwo jih sān	
改转	gói jyun	变换，改换
改良	gói leùhng	
改良品种	gói leùhng bán júng	
改名	gói méng	起名，取名
改判	gói pun	
改善	gói sihn	
改为	gói wàih	
改弦易辙	gói yìhn yihk chit	
改用	gói yuhng	
盖	goi	盖子
阁	gok	阁楼
各奔前程	gok bān chìhn chìhng	
各不相同	gok bāt seūng tùhng	
各不相让	gok bāt seūng yeuhng	
各取所需	gok chéui só sēui	
各持己见	gok chìh géi gin	
搁浅	gok chín	
觉得	gok dāk	
各得其所	gok dāk kèih só	
各地	gok deih	
角度	gok douh	
各花入各眼	gok fā yahp gok ngáahn	情人眼里出西施，见仁见智，萝卜青菜各有所爱
各方面	gok fōng mihn	
各界人士	gok gaai yàhn sih	
各国	gok gwok	
阁下	gok hah	
各行各路	gok hàahng gok louh	各走各的路
各行其是	gok hàhng kèih sih	
各显神通	gok hín sàhn tūng	
各行各业	gok hòhng gok yihp	
角仔	gok jái	油角，油炸餃子
阁仔	gok jái	阁楼
各尽所能	gok jeuhn só nàhng	
各自	gok jih	
各自为政	gok jih wàih jing	
各种	gok júng	
各种各样	gok júng gok yeuhng	
各种人	gok júng yàhn	
阁揆	gok kwàih	
阁楼	gok làuh	
各领风骚	gok líhng fūng sōu	
角落头	gok lōk táu	角落
角落	gok lohk	
各路人马	gok louh yàhn máh	
觉悟	gok ngh	
角色	gok sīk	
各式各样	gok sīk gok yeuhng	
各色各样	gok sīk gok yeuhng	
各抒己见	gok syū géi gin	
各位	gok waih	
各人自扫门前雪	gok yàhn jih sou mùhn chìhn syut	
各有千秋	gok yáuh chīn chāu	
各有巧妙不同	gok yáuh háau miuh bāt tùhng	
各有所好	gok yáuh só hou	
各形各色	gok yìhng gok sīk	
肝	gōn	肝脏
干瘪	gōn biht	
干瘪瘪	gōn biht biht	
肝部	gōn bouh	
干杯	gōn buī	
干柴	gōn chàaih	
干柴烈火	gōn chàaih liht fó	
干脆	gōn cheui	
干草	gōn chóu	
干草叉	gōn chóu chā	
干草堆	gōn chóu dēui	
干草机	gōn chóu gēi	
干燥	gōn chou	
干躁	gōn chou	
肝胆	gōn dáam	
肝胆俱裂	gōn dáam kēui liht	
肝胆相照	gōn dáam seūng jiu	
干电池	gōn dihn chìh	
肝火	gōn fó	
干枯	gōn fū	
干干净净	gōn gōn jehng jehng	很干净
干系	gōn haih	
干旱	gōn hóhn	
干渴	gōn hot	
干净	gōn jehng	
干净俐落	gōn jihng leih lohk	
肝脏	gōn johng	
干鲠	gōn káng	干噎
干鲠鲠	gōn káng káng	干巴巴，没有水分
干酪	gōn lok	
肝癌	gōn ngàahm	
肝硬化	gōn ngaahng fa	
肝脑涂地	gōn nóuh tòuh deih	
干晒塘	gōn saai tòhng	手头缺钱，经济拮据
干洗	gōn sái	
干洗店	gōn sái dim	
干湿褛	gōn sāp lāu	风雨衣
干嗽	gōn sau	
干瘦	gōn sau	
干癣	gōn sín	
干涉	gōn sip	
肝炎	gōn yìhm	
干热	gōn yiht	
干扰	gōn yiú	
赶得切	gón dāk chit	来得及
赶工	gón gūng	加班
赶住去投胎咩	gón jyuh heui tàuh tōi mē	你没长眼呀？
赶唔切	gón m̀h chit	来不及
赶唔得切	gón m̀h dāk chit	来不及
赶上	gón seuhng	
赶时候	gón sìh hauh	赶时间
干部	gon bouh	
缸	gōng	水缸
刚愎自用	gōng bīk jih yuhng	
刚才	gōng chòih	
工厂妹	gōng chóng muī	工厂女工
刚刚	gōng gōng	
江郎才尽	gōng lòhng chòih jeuhn	
冈峦	gōng lyùhn	
肛门	gōng mùhn	
刚啱	gōng ngāam	刚好，刚才
缸盆	gōng pùhn	
岗位	gōng waih	
江湖	gōng wùh	
纲要	gōng yiu	
江珧柱	gōng yiùh chyúh	干贝
讲	góng	说
讲畀佢听	góng béi kéuih tēng	告诉他
讲畀…听	góng béi tēng	告诉…
讲波	góng bō	球赛评述
讲波佬	góng bō lóu	足球解说员，球评人
港产片	góng cháan pín	港产电影
讲出嚟	góng cheūt lèih	说出来
讲错嘢	góng cho yéh	说错话
讲粗口	góng chōu háu	说粗话
讲粗口闹人	góng chōu háu naauh yàhn	说粗话骂人
讲大话	góng daaih wah	撒谎，说谎
讲得口响	góng dāk háu heúng	说得好听
讲得啱	góng dāk ngāam	说得对
讲定	góng dihng	说好，说定
讲到尾	góng dou méih	说到底
讲到实牙实齿	góng dou saht ngàh saht chí	说得板上钉钉的
讲到天花龙凤	góng dou tīn fā lùhng fuhng	说得天花乱坠
讲到话	góng dou wah	至于
港督	góng dūk	香港总督
讲翻转头	góng fāan jyún tàuh	话说回来
讲法	góng faat	说法
讲假	góng gá	说假话
降价	góng ga	
讲咁易咩	góng gam yih mē	说倒是容易
讲究	góng gau	
讲故	góng gú	讲故事，说故事
讲故仔	góng gú jái	讲故事，说故事
讲吓笑啫！	góng háh siu jē	只是说笑而已啦
港客	góng haak	来自香港的人
港口	góng háu	
讲口齿	góng háu chí	讲信用
讲起上嚟	góng héi seúhng lèih	说起来，开始说起话来
讲起又讲	góng héi yauh góng	说起来，依我说
讲开又讲	góng hōi yauh góng	说起来，话说回头
讲真	góng jān	说实话
港姐	góng jé	香港小姐
港纸	góng jí	港币，港钞
讲座	góng joh	
讲烂口	góng laahn háu	说粗话，说下流话
讲漏嘴	góng lauh jéui	说走了嘴，说话走了火
讲嚟听吓	góng lèih tēng háh	说来听听
讲落去	góng lohk heui	说下去
港漫	góng maahn	香港漫画
讲咩	góng mē	说什么
讲三讲四	góng sāam góng sei	说三道四，说长论短
老在说	góng sāang saai	
讲心嗰句	góng sām gó geui	说真心话，说实在的
讲实	góng saht	说定
讲是非	góng sih fēi	说人是非
讲笑	góng siu	开玩笑
讲笑揾第样	góng siu wán daih yeúng	别拿我开玩笑
讲数	góng sou	谈判，讨价
讲数口	góng sou háu	讨价还价
讲书	góng syū	讲课
讲话	góng wá	说话
讲话好似鸡啄唔断噉	góng wá hóu chíh gāi deūng m̀h tyúhn gám	说话没个完
港人	góng yàhn	香港人
讲人事	góng yàhn sí	讲人情，讲情面
讲一套做一套	góng yāt tou jouh yāt tou	口不对心
讲耶稣	góng yèh sōu	说教，说废话
讲嘢	góng yéh	说话
讲嘢鬼食泥咁	góng yéh gwái sihk nàih gam	讲话不清不楚
讲嘢好乸型	góng yéh hóu ná yìhng	娘娘腔
钢笔	gong bāt	
钢骨	gong gwāt	钢筋
钢骨水泥	gong gwāt séui nàih	钢筋水泥
钢琴	gong kàhm	
钢梁	gong leùhng	
降落	gong lohk	
降落伞	gong lohk saan	
绛纱	gong sā	
钢索	gong sok	
钢铁	gong tit	
割草机	got chóu gēi	
割禾	got wòh	割稻子
割让	got yeuhng	
高压	gōu aat	
高不可攀	gōu bāt hó pāan	
高不成低不就	gōu bāt sìhng dāi bāt jauh	
糕饼	gōu béng	
高层	gōu chàhng	
高清	gōu chīng	
高潮	gōu chiùh	
高才生	gōu chòih sāang	
高速煲	gōu chūk bōu	压力锅，高压锅
高速公路	gōu chūk gūng louh	
高达	gōu daaht	
高等	gōu dáng	
高等法院	gōu dáng faat yuhn	
高窦	gōu dau	傲慢
高调	gōu diuh	
高度	gōu douh	
高度自治	gōu douh jih jih	
高度评价	gōu douh pìhng ga	
高科技	gōu fō geih	
高峰	gōu fūng	
高峰期	gōu fūng wuih	
高举	gōu géui	
高高大大	gōu gōu daaih daaih	很高大
高贵	gōu gwai	
高效	gōu haauh	
高兴	gōu hing	
高空	gōu hūng	
高血压	gōu hyut aat	
高踭鞋	gōu jāang hàaih	高跟鞋
高瞻远瞩	gōu jīm yúhn jūk	
高中生	gōu jūng sāang	
高级	gōu kāp	
高亢	gōu kong	
高丽参	gōu laih sām	
高楼	gōu làuh	
高楼大厦	gōu làuh daaih hah	
高利贷	gōu leih taai	
高梁	gōu leùhng	
高粱	gōu leùhng	
高梁酒	gōu leùhng jáu	
高梁米	gōu leùhng máih	
高龄	gōu lìhng	
高佬	gōu lóu	高个子
高攀	gōu pāan	
高频	gōu pàhn	
高朋满座	gōu pàhng múhn joh	
高山	gōu sāan	
高深莫测	gōu sām mohk chāk	
高瘦	gōu sau	
高尚	gōu seuhng	
高烧	gōu siū	
高温	gōu wān	
高人一等	gōu yàhn yāt dáng	
膏药	gōu yeuhk	
羔羊	gōu yeùhng	
高尔夫	gōu yíh fū	
高尔夫球	gōu yíh fū kàuh	
高尔夫球场	gōu yíh fū kàuh cheùhng	
高热	gōu yiht	
睾丸	gōu yùhn	
高原	gōu yùhn	
稿件	góu gihn	
槁木	góu muhk	
告	gou	控告，起诉，诉讼，告状
告白	gou baahk	广告
告别	gou biht	
告辞	gou chìh	
告到佢甩裤	gou dou kéuih lāt fu	把他告到底，告得他坐牢
告到你甩裤	gou dou néih lāt fu	一定投诉你，把你告到底
告发	gou faat	
告诫	gou gaai	
告急	gou gāp	
告罪	gou jeuih	
告知	gou jī	
告状	gou johng	
告终	gou jūng	
告票	gou piu	传票，罚单，罚款通知书
告示	gou sih	
告示板	gou sih báan	
告诉	gou sou	
告退	gou teui	
告一段落	gou yāt dyuhn lohk	
姑且	gū ché	
孤单	gū dāan	
孤单单	gū dāan dāan	
孤岛	gū dóu	
孤独	gū duhk	
孤芳自赏	gū fōng jih seúng	
孤苦伶仃	gū fú lìhng dīng	
辜负	gū fuh	
孤孤单单	gū gū dāan dāan	
孤军	gū gwān	
孤军作战	gū gwān jok jin	
孤寒	gū hòhn	小气，吝啬
孤寒铎	gū hòhn dohk	小气鬼
孤寒到死	gū hòhn dou séi	小气得要命，非常吝啬
孤寒鬼	gū hòhn gwái	小气鬼
孤寒种	gū hòhn júng	小气鬼
孤寒佬	gū hòhn lóu	小气鬼
姑仔	gū jái	小姑子
姑姐	gū jē	姑姑，姑母
姑丈	gū jeúng	姑父
孤掌难鸣	gū jeúng nàahn mìhng	
孤子	gū jí	
孤寂	gū jihk	
孤注一掷	gū jyu yāt jaahk	
孤立	gū laahp	
孤立主义	gū laahp jyú yih	
孤立无援	gū laahp mòuh wùhn	
孤陋	gū lauh	
孤陋寡闻	gū lauh gwá màhn	
咕哩	gū lēi	苦力，搬运工
孤零	gū lìhng	
孤伶伶	gū lìhng lìhng	
孤零零	gū lìhng lìhng	
咕噜	gū lōu	
轱辘	gū lūk	
孤鸾年	gū lyùhn nìhn	
姑妈	gū mā	姑姑，姑母
姑勿论	gū maht leuhn	且不说
沽名钓誉	gū mìhng diu yuh	
孤女	gū néuih	
姑娘	gū neùhng	护士，看护
姑娘仔	gū neùhng jái	小姑娘
孤僻	gū pīk	
姑婆	gū pòh	祖父的姐妹
孤身	gū sān	
姑息	gū sīk	
姑息养奸	gū sīk yeúhng gāan	
姑太	gū taai	丈夫的姑母
孤魂	gū wàhn	
孤儿	gū yìh	
孤儿寡妇	gū yìh gwá fúh	
孤儿仔	gū yìh jái	孤儿
孤儿院	gū yìh yún	
估	gú	猜，想，以为
古巴人	gú bā yàhn	
古堡	gú bóu	
估错	gú cho	猜错
古典	gú dín	
古典主义	gú dín jyú yih	
古典文学	gú dín màhn hohk	
古典艺术	gú dín ngaih seuht	
古典音乐	gú dín yām ngohk	
古代	gú doih	
古代史	gú doih sí	
古代人	gú doih yàhn	
古都	gú dōu	
估到	gú dóu	猜着，猜到，猜中
古道	gú douh	
股东	gú dūng	
古董	gú dúng	
古董店	gú dúng dim	
古董铺	gú dúng pou	
古董商	gú dúng seūng	
古训	gú fan	
股份	gú fahn	
股份公司	gú fahn gūng sī	
股份有限公司	gú fahn yáuh haahn gūng sī	
古风	gú fūng	
股价	gú ga	
估计	gú gai	
古今中外	gú gām jūng ngoih	
古旧	gú gauh	
估估吓	gú gú há	瞎猜，乱猜，臆想，随便猜
古怪	gú gwaai	
股肱	gú gwāng	
古国	gú gwok	
古希腊	gú hēi laahp	
故仔	gú jái	故事
古筝	gú jāng	
古字	gú jih	
古蹟	gú jīk	
古装	gú jōng	
古装戏	gú jōng hei	
古装片	gú jōng pín	
古早	gú jóu	
古琴	gú kàhm	
鼓其如簧之舌	gú kéi yùh wòhng jī sit	
古兰经	gú làahn gīng	
鼓励	gú laih	
古灵精怪	gú lìhng jīng gwaai	古里古怪，稀奇古怪
古罗马	gú lòh máh	
古老	gú lóuh	
估唔到	gú m̀h dóu	想不到，猜不到
古文	gú màhn	
古文学	gú màhn hohk	
古文字	gú màhn jih	
古墓	gú mouh	
古雅	gú ngáh	
估啱	gú ngāam	猜对，猜中
牯牛	gú ngàuh	
股票	gú piu	
股票市场	gú piu síh cheùhng	
古生物	gú sāng maht	
古诗	gú sī	
古时	gú sìh	
股市	gú síh	
股息	gú sīk	
古色古香	gú sīk	
古城	gú sìhng	
古书	gú syū	
古书店	gú syū dim	
古铜	gú tùhng	
古铜色	gú tùhng sīk	
蛊惑	gú waahk	狡猾，诡计多端
蛊惑仔	gú waahk jái	小滑头，小混混，黑社会份子
古为今用	gú wàih gām yuhng	
古韵	gú wahn	
古往今来	gú wóhng gām lòih	
古玩	gú wún	
古玩铺	gú wún póu	卖古玩的商店
古人	gú yàhn	
古谚	gú yihn	
古月粉	gú yuht fán	胡椒粉
故步自封	gu bouh jih fūng	
顾此失彼	gu chí sāt béi	
顾全	gu chyùhn	
顾全大局	gu chyùhn daaih guhk	
故地重游	gu deih chùhng yàuh	
固定	gu dihng	
故都	gu dōu	
顾家	gu gā	
顾忌	gu geih	
故技重演	gu geih chùhng yín	
故居	gu gēui	
故宫	gu gūng	
故宫博物馆	gu gūng bok maht gún	
顾客	gu haak	
顾客群	gu haak kwàhn	
故乡	gu heūng	
固执	gu jāp	
固执己见	gu jāp géi gin	
故障	gu jeung	
故址	gu jí	
顾左右而言他	gu jó yauh yìh yìhn tā	
僱主	gu jyú	
雇主	gu jyú	
顾主	gu jyú	
顾住	gu jyuh	留意，当心
顾及	gu kahp	
顾虑	gu leuih	
故弄	gu luhng	
故弄玄虚	gu luhng yùhn hēui	
顾问	gu mahn	
顾问公司	gu mahn gūng sī	
顾问团	gu mahn tyùhn	
顾名思义	gu mìhng sī yih	
顾盼	gu paan	
故事	gu sih	
顾小失大	gu siú sāt daaih	
故态复萌	gu taai fuhk màhng	
固体	gu tái	
固有	gu yáuh	
