开放粤语词典（国际音标版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［国际音标］	［国语解释］
革命委员会	ka:k˧ mɪŋ˨ wɐi˧˥ jy:n˨˩ wu:i˨	
胳臂	ka:k˧ pei˧	
胳膊	ka:k˧ pɔ:k˧	
胳膀	ka:k˧ pɔ:k˧	
隔壁	ka:k˧ pɪk˥	
格杀勿论	ka:k˧ sa:t˧ mɐt˨ lɵn˨	
革新	ka:k˧ sɐn˥	
革新派	ka:k˧ sɐn˥ pʰa:i˧	
格调	ka:k˧ ti:u˨	
隔渣	ka:k˧ tsa:˥	过滤渣滓
胳肢窝	ka:k˧ tsi:˥ wɔ:˥	
格仔	ka:k˧ tsɐi˧˥	格子，格儿
格仔裙	ka:k˧ tsɐi˧˥ kʰwɐn˨˩	花格裙子
格仔饼	ka:k˧ tsɐi˧˥ pɛ:ŋ˧˥	格子松饼，格子饼，窝夫
格仔恤	ka:k˧ tsɐi˧˥ sɵt˥	花格衬衫
格仔纸	ka:k˧ tsɐi˧˥ tsi:˧˥	方格纸，坐标纸
隔咗咁耐	ka:k˧ tsɔ:˧˥ kɐm˧ nɔ:i˨	这么久了，已经这么久了，隔了这么长时间
革职	ka:k˧ tsɪk˥	
隔墙有耳	ka:k˧ tsʰœ:ŋ˨˩ jɐu˩˧ ji:˩˧	
革除	ka:k˧ tsʰɵy˨˩	
格外	ka:k˧ ŋɔ:i˨	
监	ka:m˥	强迫，逼迫
缄口	ka:m˥ hɐu˧˥	
监狱	ka:m˥ jʊk˨	
尴尬	ka:m˥ ka:i˧	
尴尬	ka:m˥ ka:i˧	
监工	ka:m˥ kʊŋ˥	
监视	ka:m˥ si:˨	
监视器	ka:m˥ si:˨ hei˧	
监守自盗	ka:m˥ sɐu˧˥ tsi:˨ tou˨	
监制	ka:m˥ tsɐi˧	
监察	ka:m˥ tsʰa:t˧	
监察院	ka:m˥ tsʰa:t˧ jy:n˨	
监察院长	ka:m˥ tsʰa:t˧ jy:n˨ tsœ:ŋ˧˥	
监察人	ka:m˥ tsʰa:t˧ jɐn˨˩	
监察官	ka:m˥ tsʰa:t˧ ku:n˥	
监测	ka:m˥ tsʰɐk˥	
监测器	ka:m˥ tsʰɐk˥ hei˧	
监仓	ka:m˥ tsʰɔ:ŋ˥	监狱，牢房
监督	ka:m˥ tʊk˥	
监听	ka:m˥ tʰɪŋ˥	
监听器	ka:m˥ tʰɪŋ˥ hei˧	
监护	ka:m˥ wu:˨	
监护人	ka:m˥ wu:˨ jɐn˨˩	
监	ka:m˧	趁着，带着
监热食	ka:m˧ ji:t˨ sɪk˨	热着吃，趁热吃
鉴于	ka:m˧ jy:˥	
鉴戒	ka:m˧ ka:i˧	
减价	ka:m˧ ka:˧	
鉴别	ka:m˧ pi:t˨	
鉴频	ka:m˧ pʰɐn˨˩	
鉴频器	ka:m˧ pʰɐn˨˩ hei˧	
监生食	ka:m˧ sa:ŋ˥ sɪk˨	生着吃
鉴赏	ka:m˧ sœ:ŋ˧˥	
鉴赏家	ka:m˧ sœ:ŋ˧˥ ka:˥	
鉴赏力	ka:m˧ sœ:ŋ˧˥ lɪk˨	
鉴赏能力	ka:m˧ sœ:ŋ˧˥ nɐŋ˨˩ lɪk˨	
鉴识	ka:m˧ sɪk˥	
鉴察	ka:m˧ tsʰa:t˧	
鉴定	ka:m˧ tɪŋ˨	
鉴定人	ka:m˧ tɪŋ˨ jɐn˨˩	
鉴往知来	ka:m˧ wɔ:ŋ˩˧ tsi:˥ lɔ:i˨˩	
减压	ka:m˧˥ a:t˧	
减肥	ka:m˧˥ fei˨˩	
减轻	ka:m˧˥ hɪŋ˥	
减弱	ka:m˧˥ jœ:k˨	
减刑	ka:m˧˥ jɪŋ˨˩	
减慢	ka:m˧˥ ma:n˨	
减免	ka:m˧˥ mi:n˩˧	
减半	ka:m˧˥ pu:n˧	
减少	ka:m˧˥ si:u˧˥	
减薪	ka:m˧˥ sɐn˥	
减息	ka:m˧˥ sɪk˥	
减税	ka:m˧˥ sɵy˧	
减缩	ka:m˧˥ sʊk˥	
减租减息	ka:m˧˥ tsou˥ ka:m˧˥ sɪk˥	
减值	ka:m˧˥ tsɪk˨	
减产	ka:m˧˥ tsʰa:n˧˥	
减速	ka:m˧˥ tsʰʊk˥	
减低	ka:m˧˥ tɐi˥	
减退	ka:m˧˥ tʰɵy˧	
减缓	ka:m˧˥ wu:n˨	
奸夫	ka:n˥ fu:˥	
艰苦	ka:n˥ fu:˧˥	
艰险	ka:n˥ hi:m˧˥	
艰巨	ka:n˥ kɵy˧	
艰巨	ka:n˥ kɵy˨	
艰困	ka:n˥ kʰwɐn˧	
艰难	ka:n˥ na:n˨˩	
艰深	ka:n˥ sɐm˥	
艰辛	ka:n˥ sɐn˥	
奸臣	ka:n˥ sɐn˨˩	
橺	ka:n˧	隔开，隔出
橺房	ka:n˧ fɔ:ŋ˧˥	打隔断
橺一间房	ka:n˧ jɐt˥ ka:n˥ fɔ:ŋ˧˥	隔出一个房间来
间隔	ka:n˧ ka:k˧	
间谍	ka:n˧ ti:p˨	
间接	ka:n˧ tsi:p˧	
间尺	ka:n˧ tsʰɛ:k˧	尺子，直尺
枧	ka:n˧˥	肥皂
拣	ka:n˧˥	选，挑，选择，挑选
枧粉	ka:n˧˥ fɐn˧˥	洗衣粉，肥皂粉
枧盒	ka:n˧˥ hɐp˨	肥皂盒
拣饮择食	ka:n˧˥ jɐm˧˥ tsa:k˨ sɪk˨	挑吃拣喝
枧液	ka:n˧˥ jɪk˨	肥皂液
简简单单	ka:n˧˥ ka:n˧˥ ta:n˥ ta:n˥	很简单
简略	ka:n˧˥ lœ:k˨	
简陋	ka:n˧˥ lɐu˨	
枧片	ka:n˧˥ pʰi:n˧˥	肥皂片
硷性	ka:n˧˥ sɪŋ˧	
简单	ka:n˧˥ ta:n˥	
拣择	ka:n˧˥ tsa:k˨	挑选，挑剔
简直	ka:n˧˥ tsɪk˨	
简直系	ka:n˧˥ tsɪk˨ hɐi˨	简直是
柬帖	ka:n˧˥ tʰi:p˧	
夹	ka:p˧	与，和，而且
合	ka:p˧	凑，聚合，连同
合份	ka:p˧ fɐn˨	合伙，合股
合份送礼	ka:p˧ fɐn˨ sʊŋ˧ lɐi˩˧	凑份子
夹口供	ka:p˧ hɐu˧˥ kʊŋ˥	串通口供，统一口供
甲烷	ka:p˧ jy:n˨˩	
夹计	ka:p˧ kɐi˧˥	合谋，串通
合计	ka:p˧ kɐi˧˥	串通，合谋
合埋	ka:p˧ ma:i˨˩	合起来，合在一起，算在一起，凑起来
合埋一齐去	ka:p˧ ma:i˨˩ jɐt˥ tsʰɐi˨˩ hɵy˧	搭伙一块儿去
合埋有几多？	ka:p˧ ma:i˨˩ jɐu˩˧ kei˧˥ tɔ:˥	凑起来有多少？
夹万	ka:p˧ ma:n˨	保险箱，保险柜
夹衲	ka:p˧ na:p˨	夹衣
夹被	ka:p˧ pʰei˩˧	
合手	ka:p˧ sɐu˧˥	紧密配合
合手合脚	ka:p˧ sɐu˧˥ ka:p˧ kœ:k˧	互相配合，一齐动手
挟餸	ka:p˧ sʊŋ˧	夹菜，搛菜
蛱蝶	ka:p˧ ti:p˨	
夹住	ka:p˧ tsy:˨	夹着
合钱	ka:p˧ tsʰi:n˧˥	凑钱，共同出资
合钱送礼	ka:p˧ tsʰi:n˧˥ sʊŋ˧ lɐi˩˧	凑份子
甲虫	ka:p˧ tsʰʊŋ˨˩	
合档	ka:p˧ tɔ:ŋ˧	合作，配合
夹硬要佢去	ka:p˧ ŋa:ŋ˨	硬是要他去
夹硬	ka:p˧ ŋa:ŋ˨	硬着，硬的，硬是
夹硬迫入去	ka:p˧ ŋa:ŋ˨	硬着挤进去
夹袄	ka:p˧ ŋou˧	
夹	ka:p˧˥	夹子
曱甴	ka:t˨ tsa:t˨	蟑螂
曱甴屎	ka:t˨ tsa:t˨ si:˧˥	雀斑
胶	ka:u˥	橡胶，塑胶，塑料
交	ka:u˥	打架
胶花	ka:u˥ fa:˥	塑料花
胶盒	ka:u˥ hɐp˨	塑料盒子，塑胶盒子，塑料盒
胶喉	ka:u˥ hɐu˨˩	胶管子，皮管子，胶管，橡胶水管，塑胶水管，塑料喉管
交行货啫	ka:u˥ hɔ:ŋ˨˩ fɔ:˧ tsɛ:˥	只是一般的水平
郊游	ka:u˥ jɐu˨˩	
交由	ka:u˥ jɐu˨˩	
交友	ka:u˥ jɐu˩˧	
交易	ka:u˥ jɪk˨	
交界	ka:u˥ ka:i˧	
交更	ka:u˥ ka:ŋ˥	交班，交接班
交关	ka:u˥ kwa:n˥	厉害
交媾	ka:u˥ kɐu˧	
胶公仔	ka:u˥ kʊŋ˥ tsɐi˧˥	塑料娃娃
胶箍	ka:u˥ kʰu:˥	橡皮筋，橡皮圈
郊区	ka:u˥ kʰɵy˥	
交流	ka:u˥ lɐu˨˩	
蛟龙	ka:u˥ lʊŋ˨˩	
茭白	ka:u˥ pa:k˨	
胶杯	ka:u˥ pu:i˥	塑料杯
胶丝	ka:u˥ si:˥	尼龙丝
茭笋	ka:u˥ sɵn˧˥	茭白，茭白笋，茭白笋
胶水	ka:u˥ sɵy˧˥	
胶碟	ka:u˥ ti:p˨	塑料碟子，塑料碟
胶刀	ka:u˥ tou˥	塑料刀子，塑料刀
胶纸	ka:u˥ tsi:˧˥	胶带
交际	ka:u˥ tsɐi˧	
胶樽	ka:u˥ tsɵn˥	塑料瓶，塑胶瓶
胶擦	ka:u˥ tsʰa:t˧	橡皮擦
胶叉	ka:u˥ tsʰa:˥	塑料叉子，塑胶叉
交叉	ka:u˥ tsʰa:˥	
胶凳	ka:u˥ tɐŋ˧	塑料椅子，塑料凳子
胶袋	ka:u˥ tɔ:i˧˥	塑料袋，塑胶袋
交谈	ka:u˥ tʰa:m˨˩	
胶套	ka:u˥ tʰou˧	塑料袋子，塑料套，塑料袋儿
胶枱布	ka:u˥ tʰɔ:i˧˥ pou˧	塑料桌布
胶拖	ka:u˥ tʰɔ:˥	橡皮拖鞋，塑料拖鞋
交通	ka:u˥ tʰʊŋ˥	
胶通	ka:u˥ tʰʊŋ˥	胶管子，皮管子
交通工具	ka:u˥ tʰʊŋ˥ kʊŋ˥ kɵy˨	
交通事故	ka:u˥ tʰʊŋ˥ si:˨ ku:˧	
胶桶	ka:u˥ tʰʊŋ˧˥	塑料桶，塑胶桶
交换	ka:u˥ wu:n˨	
交换	ka:u˥ wu:n˨	
胶眼镜	ka:u˥ ŋa:n˩˧ kɛ:ŋ˧˥	塑料眼镜，塑胶眼镜
郊外	ka:u˥ ŋɔ:i˨	
铰	ka:u˧	合页，铰链
较	ka:u˧	调节，调整，校正
教诲	ka:u˧ fu:i˧	
教父	ka:u˧ fu:˨	
教训	ka:u˧ fɐn˧	
教科文	ka:u˧ fɔ:˥ mɐn˨˩	
教科书	ka:u˧ fɔ:˥ sy:˥	
教学	ka:u˧ hɔ:k˨	
教学不倦	ka:u˧ hɔ:k˨ pɐt˥ ky:n˨	
教学相长	ka:u˧ hɔ:k˨ sœ:ŋ˥ tsœ:ŋ˧˥	
教学大纲	ka:u˧ hɔ:k˨ ta:i˨ kɔ:ŋ˥	
教研	ka:u˧ ji:n˨˩	
教义	ka:u˧ ji:˨	
教员	ka:u˧ jy:n˨˩	
教养	ka:u˧ jœ:ŋ˩˧	
教友	ka:u˧ jɐu˩˧	
教育	ka:u˧ jʊk˨	
教育方针	ka:u˧ jʊk˨ fɔ:ŋ˥ tsɐm˥	
教育学	ka:u˧ jʊk˨ hɔ:k˨	
教育学院	ka:u˧ jʊk˨ hɔ:k˨ jy:n˨	
教育界	ka:u˧ jʊk˨ ka:i˧	
教育家	ka:u˧ jʊk˨ ka:˥	
教育改革	ka:u˧ jʊk˨ kɔ:i˧˥ ka:k˧	
教育局	ka:u˧ jʊk˨ kʊk˨	
教育局长	ka:u˧ jʊk˨ kʊk˨ tsœ:ŋ˧˥	
教育部	ka:u˧ jʊk˨ pou˨	
教育部长	ka:u˧ jʊk˨ pou˨ tsœ:ŋ˧˥	
教育制度	ka:u˧ jʊk˨ tsɐi˧ tou˨	
教育厅	ka:u˧ jʊk˨ tʰɪŋ˥	
教育厅长	ka:u˧ jʊk˨ tʰɪŋ˥ tsœ:ŋ˧˥	
教诫	ka:u˧ ka:i˧	
教官	ka:u˧ ku:n˥	
校官	ka:u˧ ku:n˥	
教改	ka:u˧ kɔ:i˧˥	
教规	ka:u˧ kʰwɐi˥	
教区	ka:u˧ kʰɵy˥	
教区长	ka:u˧ kʰɵy˥ tsœ:ŋ˧˥	
教练	ka:u˧ li:n˨	
较味	ka:u˧ mei˨	烹调食物的时候加上调料调味
教务	ka:u˧ mou˨	
教务长	ka:u˧ mou˨ tsœ:ŋ˧˥	
教务处	ka:u˧ mou˨ tsʰy:˧	
酵母	ka:u˧ mou˩˧	
教派	ka:u˧ pʰa:i˧	
教师	ka:u˧ si:˥	
教师节	ka:u˧ si:˥ tsi:t˧	
教书	ka:u˧ sy:˥	
教室	ka:u˧ sɐt˥	
教授	ka:u˧ sɐu˨	
教唆	ka:u˧ sɔ:˥	
教唆犯	ka:u˧ sɔ:˥ fa:n˧˥	
教唆罪	ka:u˧ sɔ:˥ tsɵy˨	
教导	ka:u˧ tou˨	
教导有方	ka:u˧ tou˨ jɐu˩˧ fɔ:ŋ˥	
铰剪	ka:u˧ tsi:n˧˥	剪刀
较早时	ka:u˧ tsou˧˥ si:˨˩	早前，早些时候，刚刚不久
较早前	ka:u˧ tsou˧˥ tsʰi:n˨˩	早前，早些时候，刚刚不久
教职	ka:u˧ tsɪk˥	
校正	ka:u˧ tsɪŋ˧	
较钟	ka:u˧ tsʊŋ˥	对表
教宗	ka:u˧ tsʊŋ˥	
教材	ka:u˧ tsʰɔ:i˨˩	
教程	ka:u˧ tsʰɪŋ˨˩	
校对	ka:u˧ tɵy˧	
教坛	ka:u˧ tʰa:n˨˩	
教条	ka:u˧ tʰi:u˨˩	
教条主义	ka:u˧ tʰi:u˨˩ tsy:˧˥ ji:˨	
教堂	ka:u˧ tʰɔ:ŋ˨˩	
教廷	ka:u˧ tʰɪŋ˨˩	
教坏	ka:u˧ wa:i˨	
教会	ka:u˧ wu:i˨	
教会学校	ka:u˧ wu:i˨ hɔ:k˨ ha:u˨	
教皇	ka:u˧ wɔ:ŋ˨˩	
搅	ka:u˧˥	搞，做，办
搅花臣	ka:u˧˥ fa:˥ sɐn˧˥	搞花样
搅风搅雨	ka:u˧˥ fʊŋ˥ ka:u˧˥ jy:˩˧	兴风作浪，搬弄是非
姣好	ka:u˧˥ hou˧˥	
搅瘀	ka:u˧˥ jy:˧˥	搞糟，搞砸，搞糟糕
绞刑	ka:u˧˥ jɪŋ˨˩	
绞肉	ka:u˧˥ jʊk˨	
绞肉机	ka:u˧˥ jʊk˨ kei˥	
搅搅震	ka:u˧˥ ka:u˧˥ tsɐn˧	穷折腾，不停地瞎闹
佼佼者	ka:u˧˥ ka:u˧˥ tsɛ:˧˥	
绞架	ka:u˧˥ ka:˧˥	
皎洁	ka:u˧˥ ki:t˧	
搅gag	ka:u˧˥ kɛ:k˥	搞笑，讲笑话
狡黠	ka:u˧˥ kʰi:t˧	
狡狯	ka:u˧˥ kʰu:i˧˥	
搅烂gag	ka:u˧˥ la:n˨ kɛ:k˥	讲冷笑话
搅唔掂	ka:u˧˥ m̩˨˩ ti:m˨	办不到，弄不了，不好办
搅边科呀	ka:u˧˥ pi:n˥ fɔ:˥ a:˧	搞什么鬼？
狡辩	ka:u˧˥ pi:n˨	
搅拌	ka:u˧˥ pu:n˨	
搅三搅四	ka:u˧˥ sa:m˥ ka:u˧˥ sei˧	拈花惹草
绞杀	ka:u˧˥ sa:t˧	
搅笑	ka:u˧˥ si:u˧	好笑，搞笑
搅屎棍	ka:u˧˥ si:˧˥ kwɐn˧	刺儿头，搞事者，搞事的
搅事	ka:u˧˥ si:˨	闹事
搅成噉	ka:u˧˥ sɪŋ˨˩ kɐm˧˥	弄成这样
搅衰	ka:u˧˥ sɵy˥	弄坏
搅掂	ka:u˧˥ ti:m˨	办好，办妥，弄好
搅到	ka:u˧˥ tou˧	搞得，弄得
搅到一身潺	ka:u˧˥ tou˧ jɐt˥ sɐn˥ sa:n˨˩	惹得许多麻烦，惹了一身麻烦，招惹了许多麻烦
搅到咁大剂	ka:u˧˥ tou˧ kɐm˧ ta:i˨ tsɐi˥	弄得这么严重，事情闹大了
搅到咁大镬	ka:u˧˥ tou˧ kɐm˧ ta:i˨ wɔ:k˨	弄得这么严重，事情闹大了
搅到满天神佛	ka:u˧˥ tou˧ mu:n˩˧ tʰi:n˥ sɐn˨˩ fɐt˨	都闹翻天了，整个翻了天
搅到乌喱单刀	ka:u˧˥ tou˧ wu:˥ lei˥ ta:n˥ tou˥	弄得一塌糊涂
搞砸	ka:u˧˥ tsa:p˧	
狡诈	ka:u˧˥ tsa:˧	
饺子	ka:u˧˥ tsi:˧˥	
搅作	ka:u˧˥ tsɔ:k˧	搞法
绞尽脑汁	ka:u˧˥ tsɵn˨ nou˩˧ tsɐp˥	
搅错	ka:u˧˥ tsʰɔ:˧	弄错，搞错
搅得掂	ka:u˧˥ tɐk˥ ti:m˨	办得到，能办好
绞痛	ka:u˧˥ tʰʊŋ˧	
狡猾	ka:u˧˥ wa:t˨	
搅堝	ka:u˧˥ wɔ:˩˧	弄坏，搞坏，弄糕，搞糟
觉觉猪	ka:u˨˩ ka:u˥ tsy:˥	睡懒觉
更	ka:ŋ˥	班
耕作	ka:ŋ˥ tsɔ:k˧	
耕种	ka:ŋ˥ tsʊŋ˧	
耕田	ka:ŋ˥ tʰi:n˨˩	
耕田佬	ka:ŋ˥ tʰi:n˨˩ lou˧˥	庄稼人
耕耘	ka:ŋ˥ wɐn˨˩	
加压	ka:˥ a:t˧	
加快	ka:˥ fa:i˧	
家训	ka:˥ fɐn˧	
家伙	ka:˥ fɔ:˧˥	
家下	ka:˥ ha:˩˧	现在，这会儿
加号	ka:˥ hou˨	
家乡	ka:˥ hœ:ŋ˥	
家乡话	ka:˥ hœ:ŋ˥ wa:˧˥	
加厚	ka:˥ hɐu˩˧	
家燕	ka:˥ ji:n˧	
加热	ka:˥ ji:t˨	
加以	ka:˥ ji:˩˧	
家园	ka:˥ jy:n˨˩	
加于	ka:˥ jy:˥	
家喻户晓	ka:˥ jy:˨ wu:˨ hi:u˧˥	
家人	ka:˥ jɐn˨˩	
加人一等	ka:˥ jɐn˨˩ jɐt˥ tɐŋ˧˥	
加入	ka:˥ jɐp˨	
加油	ka:˥ jɐu˨˩	
加油站	ka:˥ jɐu˨˩ tsa:m˨	
加油添醋	ka:˥ jɐu˨˩ tʰi:m˥ tsʰou˧	
家蝇	ka:˥ jɪŋ˨˩	
家用	ka:˥ jʊŋ˧˥	家里的开支
家用	ka:˥ jʊŋ˨	
家用电脑	ka:˥ jʊŋ˨ ti:n˨ nou˩˧	
加减	ka:˥ ka:m˧˥	
加减法	ka:˥ ka:m˧˥ fa:t˧	
加减乘除	ka:˥ ka:m˧˥ sɪŋ˨˩ tsʰɵy˨˩	
家教	ka:˥ ka:u˧	
加高	ka:˥ kou˥	
加官	ka:˥ ku:n˥	
加官进禄	ka:˥ ku:n˥ tsɵn˧ lʊk˨	
加官晋爵	ka:˥ ku:n˥ tsɵn˧ tsœ:k˧	
加固	ka:˥ ku:˧	
家眷	ka:˥ ky:n˨˩	
加紧	ka:˥ kɐn˧˥	
家境	ka:˥ kɪŋ˧˥	
家境清寒	ka:˥ kɪŋ˧˥ tsʰɪŋ˥ hɔ:n˨˩	
家居	ka:˥ kɵy˥	
家具	ka:˥ kɵy˨	
加工	ka:˥ kʊŋ˥	
家公	ka:˥ kʊŋ˥	公公
加工品	ka:˥ kʊŋ˥ pɐn˧˥	
加工厂	ka:˥ kʊŋ˥ tsʰɔ:ŋ˧˥	
加强	ka:˥ kʰœ:ŋ˨˩	
家禽	ka:˥ kʰɐm˨˩	
加力	ka:˥ lɪk˨	
加仑	ka:˥ lɵn˨˩	
家猫	ka:˥ ma:u˥	
加冕	ka:˥ mi:n˩˧	
加冕典礼	ka:˥ mi:n˩˧ ti:n˧˥ lɐi˩˧	
家务	ka:˥ mou˨	
家门	ka:˥ mu:n˨˩	
加密	ka:˥ mɐt˨	
加盟	ka:˥ mɐŋ˨˩	
加拿大人	ka:˥ na:˨˩ ta:i˨ jɐn˨˩	
家奴	ka:˥ nou˨˩	
加班	ka:˥ pa:n˥	
加班费	ka:˥ pa:n˥ fɐi˧	
加把口	ka:˥ pa:˧˥ hɐu˧˥	插嘴，插一嘴
嘉宾	ka:˥ pɐn˥	
家仆	ka:˥ pʊk˨	
加倍	ka:˥ pʰu:i˩˧	
家破人亡	ka:˥ pʰɔ:˧ jɐn˨˩ mɔ:ŋ˨˩	
家婆	ka:˥ pʰɔ:˧˥	婆婆
家山有眼	ka:˥ sa:n˥ jɐu˩˧ ŋa:n˩˧	祖宗有灵
袈裟	ka:˥ sa:˥	
家俬	ka:˥ si:˥	家俱
家俬铺	ka:˥ si:˥ pʰou˧˥	家具店
家事	ka:˥ si:˨	
家嫂	ka:˥ sou˧˥	媳妇，儿媳妇，儿媳
家书	ka:˥ sy:˥	
加上	ka:˥ sœ:ŋ˨	
家常	ka:˥ sœ:ŋ˨˩	
家常饭	ka:˥ sœ:ŋ˨˩ fa:n˨	
家常便饭	ka:˥ sœ:ŋ˨˩ pi:n˨ fa:n˨	
家常菜	ka:˥ sœ:ŋ˨˩ tsʰɔ:i˧	
家世	ka:˥ sɐi˧	
加深	ka:˥ sɐm˥	
加薪	ka:˥ sɐn˥	
枷锁	ka:˥ sɔ:˧˥	
加色	ka:˥ sɪk˥	
家信	ka:˥ sɵn˧	
加税	ka:˥ sɵy˧	
家属	ka:˥ sʊk˨	
加餸	ka:˥ sʊŋ˧	加菜
加大	ka:˥ ta:i˨	
家祖	ka:˥ tsou˧˥	
家长	ka:˥ tsœ:ŋ˧˥	
家长会	ka:˥ tsœ:ŋ˧˥ wu:i˨	
家阵	ka:˥ tsɐn˧˥	现在，这会儿
家姐	ka:˥ tsɛ:˥	大姐，亲姐姐
加值	ka:˥ tsɪk˨	
家政	ka:˥ tsɪŋ˧	
家族	ka:˥ tsʊk˨	
家中	ka:˥ tsʊŋ˥	
家蚕	ka:˥ tsʰa:m˨˩	
加粗	ka:˥ tsʰou˥	
加场	ka:˥ tsʰœ:ŋ˨˩	
加长	ka:˥ tsʰœ:ŋ˨˩	
加场赛	ka:˥ tsʰœ:ŋ˨˩ tsʰɔ:i˧	
家丑	ka:˥ tsʰɐu˧˥	
家丑不可外扬	ka:˥ tsʰɐu˧˥ pɐt˥ hɔ:˧˥ ŋɔ:i˨ jœ:ŋ˨˩	
加菜	ka:˥ tsʰɔ:i˧	加餐
加菜	ka:˥ tsʰɔ:i˧	
家财	ka:˥ tsʰɔ:i˨˩	
加速	ka:˥ tsʰʊk˥	
家畜	ka:˥ tsʰʊk˥	
加速器	ka:˥ tsʰʊk˥ hei˧	
家头细务	ka:˥ tʰɐu˨˩ sɐi˧ mou˨	家务，家务事，家庭琐事
家庭	ka:˥ tʰɪŋ˨˩	
家庭教师	ka:˥ tʰɪŋ˨˩ ka:u˧ si:˥	
家庭工业	ka:˥ tʰɪŋ˨˩ kʊŋ˥ ji:p˨	
家庭主妇	ka:˥ tʰɪŋ˨˩ tsy:˧˥ fu:˩˧	
家庭作业	ka:˥ tʰɪŋ˨˩ tsɔ:k˧ ji:p˨	
[噶]	ka:˧	的，的呀
咖啡	ka:˧ fɛ:˥	
咖啡馆	ka:˧ fɛ:˥ ku:n˧˥	
咖啡渍	ka:˧ fɛ:˥ tsɪk˥	咖啡的污迹
驾鹤西归	ka:˧ hɔ:k˨ sɐi˥ kwɐi˥	
驾御	ka:˧ jy:˨	
驾驭	ka:˧ jy:˨	
嫁人	ka:˧ jɐn˨˩	
假日	ka:˧ jɐt˨	
价格	ka:˧ ka:k˧	
嫁鸡随鸡	ka:˧ kɐi˥ tsʰɵy˨˩ kɐi˥	
嫁狗随狗	ka:˧ kɐu˧˥ tsʰɵy˨˩ kɐu˧˥	
噶喇	ka:˧ la:˧	的，的了
噶啦	ka:˧ la:˨˩	吗
咖喱	ka:˧ lei˥	
架步	ka:˧ pou˨	色情场所
驾步	ka:˧ pou˨	架势
架步	ka:˧ pou˨	地下妓院
驾崩	ka:˧ pɐŋ˥	
家生	ka:˧ sa:ŋ˥	工具，武器
架势	ka:˧ sɐi˧	威风，了不起，堂皇
驾驶	ka:˧ sɐi˧˥	
驾驶员	ka:˧ sɐi˧˥ jy:n˨˩	
驾驶人	ka:˧ sɐi˧˥ jɐn˨˩	
驾驶盘	ka:˧ sɐi˧˥ pʰu:n˨˩	
驾驶室	ka:˧ sɐi˧˥ sɐt˥	
驾驶执照	ka:˧ sɐi˧˥ tsɐp˥ tsi:u˧	
驾驶座	ka:˧ sɐi˧˥ tsɔ:˨	
驾驶者	ka:˧ sɐi˧˥ tsɛ:˧˥	
驾驶舱	ka:˧ sɐi˧˥ tsʰɔ:ŋ˥	
驾到	ka:˧ tou˧	
嫁接	ka:˧ tsi:p˧	
嫁接法	ka:˧ tsi:p˧ fa:t˧	
驾照	ka:˧ tsi:u˧	
嫁妆	ka:˧ tsɔ:ŋ˥	
价值	ka:˧ tsɪk˨	
价值观	ka:˧ tsɪk˨ ku:n˥	
架罉	ka:˧ tsʰa:ŋ˥	工具
价钱	ka:˧ tsʰi:n˨˩	
驾车	ka:˧ tsʰɛ:˥	
架车死咗火	ka:˧ tsʰɛ:˥ sei˧˥ tsɔ:˧˥ fɔ:˧˥	车子抛锚了
嫁祸	ka:˧ wɔ:˨	
嫁祸于人	ka:˧ wɔ:˨ jy:˥ jɐn˨˩	
假飞	ka:˧˥ fei˥	假票
假膊	ka:˧˥ pɔ:k˧	垫肩
假使	ka:˧˥ si:˧˥	
假装	ka:˧˥ tsɔ:ŋ˥	
假设	ka:˧˥ tsʰi:t˧	
尕娃	ka:˧˥ wa:˥	
噶佬	ka:˨˩ lou˧˥	日本人
噶妹	ka:˨˩ mu:i˥	日本少女
噶仔	ka:˨˩ tsɐi˧˥	日本少男
噶头	ka:˨˩ tʰɐu˨˩	日本人
噶话	ka:˨˩ wa:˧˥	日语，日文
机	kei˥	机会
肌肤	kei˥ fu:˥	
畿辅	kei˥ fu:˨	
几乎	kei˥ fu:˨˩	
饥荒	kei˥ fɔ:ŋ˥	
讥讽	kei˥ fʊŋ˧	
机械	kei˥ ha:i˨	
机械化	kei˥ ha:i˨ fa:˧	
机械人	kei˥ ha:i˨ jɐn˨˩	机器人
机器	kei˥ hei˧	
饥寒交迫	kei˥ hɔ:n˨˩ ka:u˥ pa:k˥	
饥渴	kei˥ hɔ:t˧	
基因学	kei˥ jɐn˥ hɔ:k˨	
机油	kei˥ jɐu˧˥	润滑油
机翼	kei˥ jɪk˨	
肌肉	kei˥ jʊk˨	
肌肉	kei˥ jʊk˨	肌肉
肌肉发达	kei˥ jʊk˨ fa:t˧ ta:t˨	
肌肉组织	kei˥ jʊk˨ tsou˧˥ tsɪk˥	
肌腱	kei˥ ki:n˧	
叽咕	kei˥ ku:˥	
机关枪	kei˥ kwa:n˥ tsʰœ:ŋ˥	
基金	kei˥ kɐm˥	
基金会	kei˥ kɐm˥ wu:i˧˥	
饥馑	kei˥ kɐn˧˥	
犄角	kei˥ kɔ:k˧	
犄角旮旯	kei˥ kɔ:k˧ kɔ:˥ lɔ:˥	
机构	kei˥ kʰɐu˧	
基佬	kei˥ lou˧˥	同性恋
