開放粵語詞典（劉錫祥版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［劉錫祥拼音］	［國語解釋］
搭救	daap3 gau3	
搭機	daap3 gei1	
搭建	daap3 gin3	
答卷	daap3 guen2	
搭句說話	daap3 gui3 suet3 wa6	帶個話兒，捎個口信，捎話
搭公車	daap3 gung1 che1	
搭腔	daap3 hong1	
答腔	daap3 hong1	
答謝	daap3 je6	
搭造	daap3 jo6	
搭載	daap3 joi3	
搭住膊	daap3 jue6 bok3	搭著肩
搭住膊噉行	daap3 jue6 bok3 gam2 haang4	搭著肩走路
搭嘴	daap3 jui2	插嘴
答錄機	daap3 luk6 gei1	
答唔切	daap3 m4 chit3	來不及回答
答問	daap3 man6	
答案	daap3 on3	
搭棚	daap3 paang4	搭腳手架，搭設腳手架，搭建腳手架
搭配	daap3 pooi3	
搭訕	daap3 saan3	
搭上搭	daap3 seung6 daap3	轉託
搭食	daap3 sik6	搭伙，搭飯
搭線	daap3 sin3	
搭乘	daap3 sing4	
搭船	daap3 suen4	
搭話	daap3 wa2	
搭van仔	daap3 weng1 jai2	搭中巴
答應	daap3 ying3	
踏板	daap6 baan2	
踏板車	daap6 baan2 che1	
踏步	daap6 bo6	
踏青	daap6 ching1	
踏錯	daap6 choh3	
踏踏實實	daap6 daap6 sat6 sat6	
踏腳	daap6 geuk3	
踏腳板	daap6 geuk3 baan2	
踏腳石	daap6 geuk3 sek6	
踏空	daap6 hung1	
踏正	daap6 jeng3	對準，剛剛
沓正	daap6 jeng3	整，整點，整整
沓正〜點	daap6 jeng3 dim2	〜點整
踏足	daap6 juk1	
踏破鐵鞋無覓處	daap6 poh3 tit3 haai4 mo4 mik6 chue3	
踏破鐵鞋無覓處，得來全不費工夫	daap6 poh3 tit3 haai4 mo4 mik6 chue3 dak1 loi4 chuen4 bat1 fai3 gung1 foo1	
踏實	daap6 sat6	
踏雪尋梅	daap6 suet3 cham4 mooi4	
沓水	daap6 sui2	有錢
笪	daat3	塊
笪	daat3	摔，摔倒，跌倒
笪	daat3	竹蓆
笪餐死	daat3 chaan1 sei2	摔了個半死
笪親	daat3 chan1	摔了一跤
笪低	daat3 dai1	摔了下來
笪落床	daat3 lok6 chong4	倒在床上
笪落地	daat3 lok6 dei6	摔下地，摔下來
笪落嚟	daat3 lok6 lei4	摔下來
笪生魚	daat3 saang1 yue4	重重地摔了一跤
笪死	daat3 sei2	摔死了
笪傷	daat3 seung1	摔傷了
達成	daat6 sing4	
達成協議	daat6 sing4 hip3 yi5	
低壓	dai1 aat3	
低B	dai1 bi1	蠢笨，沒頭腦
低波	dai1 boh1	低速，低速檔
低波	dai1 boh1	風格低，手段低下，水平低下，小氣
低波行駛	dai1 boh1 hang4 sai2	低速開車，低速行駛
低產	dai1 chaan2	
低產期	dai1 chaan2 kei4	
低產量	dai1 chaan2 leung6	
低沉	dai1 cham4	
低唱	dai1 cheung3	
低潮	dai1 chiu4	
低潮期	dai1 chiu4 kei4	
低速	dai1 chuk1	
低低哋	dai1 dai1 dei2	有點蠢笨
低等	dai1 dang2	
低等動物	dai1 dang2 dung6 mat6	
低等植物	dai1 dang2 jik6 mat6	
低等生物	dai1 dang2 sang1 mat6	
低地	dai1 dei6	
低點	dai1 dim2	
低調	dai1 diu6	
低端	dai1 duen1	
低飛	dai1 fei1	
低價	dai1 ga3	
低估	dai1 goo2	
低下	dai1 ha6	
低氣壓	dai1 hei3 aat3	
低血壓	dai1 huet3 aat3	
低血糖	dai1 huet3 tong4	
低胸	dai1 hung1	
低空	dai1 hung1	
低空飛行	dai1 hung1 fei1 hang4	
低胸裝	dai1 hung1 jong1	
低賤	dai1 jin6	
低俗	dai1 juk6	
低級	dai1 kap1	
低廉	dai1 lim4	
低劣	dai1 luet3	
低劣性	dai1 luet3 sing3	
低迷	dai1 mai4	
低迷不振	dai1 mai4 bat1 jan3	
低微	dai1 mei4	
低能	dai1 nang4	智障
低能	dai1 nang4	
低能兒童	dai1 nang4 yi4 tung4	智障少年，低能兒
低矮	dai1 ngai2	
低年級	dai1 nin4 kap1	
低頻	dai1 pan4	
低三下四	dai1 saam1 ha6 sei3	
低收入	dai1 sau1 yap6	
低聲	dai1 sing1	
低聲下氣	dai1 sing1 ha6 hei3	
低成本	dai1 sing4 boon2	
低垂	dai1 sui4	
低頭	dai1 tau4	
低頭不語	dai1 tau4 bat1 yue5	
低窪	dai1 wa1	
低窪地區	dai1 wa1 dei6 kui1	
低威	dai1 wai1	比不上，不如人，不行，沒骨氣，妄自菲薄
低溫	dai1 wan1	
低溫特報	dai1 wan1 dak6 bo3	
低溫氣候	dai1 wan1 hei3 hau6	
低音	dai1 yam1	
低人一等	dai1 yan4 yat1 dang2	
低熱	dai1 yit6	
低熱量	dai1 yit6 leung6	
低於	dai1 yue1	
抵	dai2	耐，捱，忍受
抵	dai2	值得，合算，值，該
抵埗	dai2 bo6	抵達，到達
抵錢	dai2 chin2	值錢
抵打	dai2 da2	該揍，該打，欠打，欠揍
抵達	dai2 daat6	
抵得	dai2 dak1	能夠忍受，挺得住
抵得頸	dai2 dak1 geng2	忍得住氣
抵得痛	dai2 dak1 tung3	禁得住疼
抵到飛起	dai2 do3 fei1 hei2	很值，很合算，很划算
抵到爛	dai2 do3 laan6	太便宜了，太值得了
底褲	dai2 foo3	內褲
抵頸唔住	dai2 geng2 m4 jue6	忍不住，氣不過
抵港	dai2 gong2	
骶骨	dai2 gwat1	
底下	dai2 ha6	
抵制	dai2 jai3	
抵抗	dai2 kong3	
抵冷	dai2 laang5	耐寒，捱凍，防寒，禦寒，忍著寒冷
抵力	dai2 lik6	吃力，費力，費勁
抵買	dai2 maai5	值得買，買得過，合算，划算
抵鬧	dai2 naau6	欠罵，該罵
抵你死	dai2 nei5 sei2	活該
抵牾	dai2 ng5	
底衫	dai2 saam1	內衣
底薪	dai2 san1	基本工資
抵手	dai2 sau2	能幹，有能耐，手巧
抵死	dai2 sei2	該死
抵食	dai2 sik6	值得吃
抵肚餓	dai2 to5 ngoh6	捱餓
抵禦	dai2 yue6	
帝國	dai3 gwok3	
帝國主義	dai3 gwok3 jue2 yi6	
帝國主義份子	dai3 gwok3 jue2 yi6 fan6 ji2	
締造	dai3 jo6	
諦聽	dai3 teng1	
帝位	dai3 wai6	
帝王	dai3 wong4	
帝業	dai3 yip6	
第	dai6	別，別的
第八	dai6 baat3	
遞畀	dai6 bei2	遞給
逮捕	dai6 bo6	
第七	dai6 chat1	
第次	dai6 chi3	下次
第度	dai6 do6	别處，別的地方
第九	dai6 gau2	
第個	dai6 goh3	別的
第個禮拜	dai6 goh3 lai5 baai3	下個星期
第個人	dai6 goh3 yan4	別人
第個月	dai6 goh3 yuet6	下個月
逮住	dai6 jue6	
第六	dai6 luk6	
第晚	dai6 maan5	改天晚上，第二天晚上
第屘	dai6 mei1	最末尾，倒數第一
第五	dai6 ng5	
第三者	dai6 saam1 je2	
第三世界	dai6 saam1 sai3 gaai3	
第三人稱	dai6 saam1 yan4 ching1	
第世	dai6 sai3	下輩子
第十	dai6 sap6	
第四	dai6 sei3	
第時	dai6 si4	以後，下次，改天，下回
隸書	dai6 sue1	
第處	dai6 sue3	別的地方
隸屬	dai6 suk6	
隸屬於	dai6 suk6 yue1	
遞送	dai6 sung3	
逮獲	dai6 wok6	
第一	dai6 yat1	
第一次	dai6 yat1 chi3	
第一名	dai6 yat1 ming4	
第一審	dai6 yat1 sam2	
第一時間	dai6 yat1 si4 gaan1	立刻
第一人稱	dai6 yat1 yan4 ching1	
第日	dai6 yat6	改天，改日，以後
第二	dai6 yi6	
第二	dai6 yi6	別的，另外的
第二次	dai6 yi6 chi3	
第二次世界大戰	dai6 yi6 chi3 sai3 gaai3 daai6 jin3	
第二度	dai6 yi6 do6	別的地方，別處
第二世界	dai6 yi6 sai3 gaai3	
第二審	dai6 yi6 sam2	
第二人稱	dai6 yi6 yan4 ching1	
得	dak1	光，只有
得	dak1	可以，行
得把口	dak1 ba2 hau2	就會耍嘴皮子，光說不做
得把聲	dak1 ba2 seng1	光說不幹，只說不做，光說不做
得不償失	dak1 bat1 seung4 sat1	
得病	dak1 bing6	
得標	dak1 biu1	
得敕	dak1 chik1	神氣，得意洋洋，得意忘形
得戚	dak1 chik1	得意，得意忘形，洋洋自得，得意洋洋
得敕喇你	dak1 chik1 la3 nei5	有什麼可神氣的
得逞	dak1 ching2	
德才兼備	dak1 choi4 gim1 bei6	
得寸進尺	dak1 chuen3 jun3 chek3	
得寵	dak1 chung2	
得出	dak1 chut1	
得啖笑	dak1 daam6 siu3	只有笑的份，笑一笑
得啖笑啫	dak1 daam6 siu3 je1	只不過笑一笑罷了，只不過樂一樂罷了
得到	dak1 do3	
得分	dak1 fan1	
得噶啦	dak1 ga3 la3	沒問題
得救	dak1 gau3	
得個吉	dak1 goh3 gat1	一場空，一無所得
得個講字	dak1 goh3 gong2 ji6	光說不做，只說不做
得閒	dak1 haan4	有空
得滯	dak1 jai6	過於，太過，過分
得…啫	dak1 je1	只有…
得獎	dak1 jeung2	
得獎者	dak1 jeung2 je2	
得獎人	dak1 jeung2 yan4	
得知	dak1 ji1	
得志	dak1 ji3	
得主	dak1 jue2	
得罪	dak1 jui6	
得其所哉	dak1 kei4 soh2 joi1	
得喇	dak1 la3	行了，可以了，成了，沒問題了
得力	dak1 lik6	
得力助手	dak1 lik6 joh6 sau2	
得來不易	dak1 loi4 bat1 yi6	
得來全不費功夫	dak1 loi4 chuen4 bat1 fai3 gung1 foo1	
得隴望蜀	dak1 lung5 mong6 suk6	
得唔得	dak1 m4 dak1	可不可以，行不行
得米	dak1 mai5	得手，得計，達到目的
得票	dak1 piu3	
得勢	dak1 sai3	
得心應手	dak1 sam1 ying3 sau2	
得失	dak1 sat1	
得失參半	dak1 sat1 chaam1 boon3	
得悉	dak1 sik1	
得勝	dak1 sing3	
得數	dak1 so3	
得體	dak1 tai2	
得天獨厚	dak1 tin1 duk6 hau5	
得人驚	dak1 yan4 geng1	嚇人，可怕，令人害怕
得人怕	dak1 yan4 pa3	嚇人，可怕，令人害怕
得意	dak1 yi3	
得意	dak1 yi3	可愛
得意趣致	dak1 yi3 chui3 ji3	可愛有趣
得意忘形	dak1 yi3 mong4 ying4	
得意門生	dak1 yi3 moon4 sang1	
得意洋洋	dak1 yi3 yeung4 yeung4	
得意揚揚	dak1 yi3 yeung4 yeung4	
得而復失	dak1 yi4 fuk6 sat1	
得以	dak1 yi5	
得益	dak1 yik1	
得魚忘筌	dak1 yue4 mong4 chuen4	
德裔	dak1 yui6	
特别	dak6 bit6	
特別版	dak6 bit6 baan2	
特別法	dak6 bit6 faat3	
特別獎	dak6 bit6 jeung2	
特產	dak6 chaan2	
特輯	dak6 chap1	
特此	dak6 chi2	
特此通知	dak6 chi2 tung1 ji1	
特稱	dak6 ching1	
特大	dak6 daai6	
特大號	dak6 daai6 ho6	
特登	dak6 dang1	特地，特意，故意
特等	dak6 dang2	
特等艙	dak6 dang2 chong1	
特等獎	dak6 dang2 jeung2	
特地	dak6 dei6	
特點	dak6 dim2	
特定	dak6 ding6	
特快	dak6 faai3	
特快車	dak6 faai3 che1	
特快號	dak6 faai3 ho6	
特訓	dak6 fan3	
特價	dak6 ga3	
特價品	dak6 ga3 ban2	
特急	dak6 gap1	
特技	dak6 gei6	
特工	dak6 gung1	
特效藥	dak6 haau6 yeuk6	
特遣	dak6 hin2	
特遣隊	dak6 hin2 dui6	
特刊	dak6 hon2	
特許	dak6 hui2	
特許證	dak6 hui2 jing3	
特許狀	dak6 hui2 jong6	
特許權	dak6 hui2 kuen4	
特製	dak6 jai3	
特製品	dak6 jai3 ban2	
特質	dak6 jat1	
特獎	dak6 jeung2	
特指	dak6 ji2	
特徵	dak6 jing1	
特種	dak6 jung2	
特種兵	dak6 jung2 bing1	
特種部隊	dak6 jung2 bo6 dui6	
特級	dak6 kap1	
特權	dak6 kuen4	
特權份子	dak6 kuen4 fan6 ji2	
特區	dak6 kui1	
特立獨行	dak6 laap6 duk6 hang4	
特例	dak6 lai6	
特免	dak6 min5	
特務	dak6 mo6	
特務組織	dak6 mo6 jo2 jik1	
特派	dak6 paai3	
特派記者	dak6 paai3 gei3 je2	
特派員	dak6 paai3 yuen4	
特寫	dak6 se2	
特寫鏡頭	dak6 se2 geng3 tau4	
特赦	dak6 se3	
特使	dak6 si3	
特色	dak6 sik1	
特性	dak6 sing3	
特殊	dak6 sue4	
特殊化	dak6 sue4 fa3	
特殊教育	dak6 sue4 gaau3 yuk6	
特殊性	dak6 sue4 sing3	
特選	dak6 suen2	
特惠	dak6 wai6	
特惠關稅	dak6 wai6 gwaan1 sui3	
特有	dak6 yau5	
特約	dak6 yeuk3	
特約記者	dak6 yeuk3 gei3 je2	
特約稿	dak6 yeuk3 go2	
特意	dak6 yi3	
特異	dak6 yi6	
特異性	dak6 yi6 sing3	
揼	dam1	磨蹭，磨時間，費時間，磨
揼時間	dam1 si4 gaan1	磨時間
抌	dam2	扔，扔掉，丟掉
抌	dam2	砸，捶
抌低	dam2 dai1	扔下
抌咗	dam2 joh2	扔了，扔掉了，丟掉了
抌咗都冇人執	dam2 joh2 do1 mo5 yan4 jap1	扔了也沒有人撿
抌落街	dam2 lok6 gaai1	扔到街道上
抌心口	dam2 sam1 hau2	捶胸，懊悔
抌印	dam2 yan3	蓋章
抌遠啲	dam2 yuen5 di1	扔遠一點
躉	dan2	放
躉低	dan2 dai1	放下
躉貨	dan2 foh3	囤貨
躉落地	dan2 lok6 dei6	放在地上
扽	dan3	震，顛，抖動，震動，顛簸
扽扽吓	dan3 dan3 ha5	顛簸
扽監	dan3 gaam1	蹲監獄，坐牢
扽氣	dan3 hei3	發洩怨氣，出氣
扽手踭	dan3 sau2 jaang1	撞擊
登報	dang1 bo3	
登報聲明	dang1 bo3 sing1 ming4	
登場	dang1 cheung4	
登出	dang1 chut1	
燈膽	dang1 daam2	電燈泡
燈火	dang1 foh2	
燈火通明	dang1 foh2 tung1 ming4	
登峰造極	dang1 fung1 jo6 gik6	
登機	dang1 gei1	
登記	dang1 gei3	
燈光	dang1 gwong1	
登廣告	dang1 gwong2 go3	
燈紅酒綠	dang1 hung4 jau2 luk6	
登載	dang1 joi3	
登錄	dang1 luk6	
登陸	dang1 luk6	
燈籠	dang1 lung4	
燈籠褲	dang1 lung4 foo3	
登門	dang1 moon4	
燈泡	dang1 paau1	
登山	dang1 saan1	
登山隊	dang1 saan1 dui6	
登山鞋	dang1 saan1 haai4	
燈心	dang1 sam1	
燈心草	dang1 sam1 cho2	
燈心絨	dang1 sam1 yung4	
登時	dang1 si4	
登船	dang1 suen4	
燈塔	dang1 taap3	
登堂入室	dang1 tong4 yap6 sat1	
登位	dang1 wai6	
燈暈	dang1 wan6	
登入	dang1 yap6	
登月	dang1 yuet6	
等	dang2	讓
等錢使	dang2 chin2 sai2	手頭緊，沒錢花
等等	dang2 dang2	
等到頸都長	dang2 do3 geng2 do1 cheung4	等得很久了，等得太久了，等得脖子都酸了
等待	dang2 doi6	
等吓	dang2 ha5	等一等
等閒	dang2 haan4	
等閒之輩	dang2 haan4 ji1 booi3	
等閒視之	dang2 haan4 si6 ji1	
等號	dang2 ho6	
等陣	dang2 jan6	等一下
等陣先	dang2 jan6 sin1	先等一下
等咗好耐	dang2 joh2 ho2 noi6	等了很久
等唔切	dang2 m4 chit3	不等了，來不及了
等埋	dang2 maai4	等等
等我嚟	dang2 ngoh5 lei4	讓我來
等我睇吓	dang2 ngoh5 tai2 ha5	讓我看看
凳	dang3	椅子，凳子，板凳
凳仔	dang3 jai2	小凳，凳子
戥	dang6	替，為
戥興	dang6 hing3	湊熱鬧
戥你難過	dang6 nei5 naan4 goh3	替你難過
瞪眼	dang6 ngaan5	
戥頭	dang6 tau4	平衡
耷	dap1	垂下，耷拉
耷低頭	dap1 dai1 tau4	垂頭，低頭，耷拉著腦袋
耷唔切	dap1 m4 chit3	來不及煞車
耷濕	dap1 sap1	沒分寸，寒磣，不體面，簡陋
耷頭耷腦	dap1 tau4 dap1 no5	垂頭喪氣
[揜]	dap6	捶打，砸，掉，摔
揜骨	dap6 gwat1	按摩
揜骨場	dap6 gwat1 cheung4	按摩院
揜骨妹	dap6 gwat1 mooi1	按摩女郎
揜鐵	dap6 tit3	打鐵
揜一拳	dap6 yat1 kuen4	打一拳
凸出	dat6 chut1	
凸鏡	dat6 geng3	
凸起	dat6 hei2	
凸顯	dat6 hin2	
凸狀	dat6 jong6	
凸狀物	dat6 jong6 mat6	
凸面	dat6 min6	
凸面鏡	dat6 min6 geng3	
突兀	dat6 ngat6	
凸透鏡	dat6 tau3 geng3	
突然	dat6 yin4	
蔸	dau1	棵，叢，條
兜踎	dau1 mau1	難看，醜陋，寒酸
豆	dau2	豆子
陡峭	dau2 chiu3	
斗笠	dau2 lap1	
斗零	dau2 ling2	半角錢
抖擻	dau2 sau2	
竇	dau3	窩，巢穴
鬥	dau3	比賽，比
鬥	dau3	碰，動
鬥細佬哥	dau3	逗小孩
鬥	dau3	逗
鬥毆	dau3 au2	
鬥大力	dau3 daai6 lik6	比氣力
鬥快	dau3 faai3	比快，看誰快
鬥負氣	dau3 foo3 hei3	鬥彆扭，賭氣
鬥雞	dau3 gai1	
鬥雞場	dau3 gai1 cheung4	
鬥雞眼	dau3 gai1 ngaan5	
鬥氣	dau3 hei3	賭氣，慪氣，鬥彆扭
鬥爭	dau3 jang1	
鬥爭性	dau3 jang1 sing3	
鬥爭意志	dau3 jang1 yi3 ji3	
鬥志	dau3 ji3	
鬥智	dau3 ji3	
鬥智鬥力	dau3 ji3 dau3 lik6	
鬥志昂揚	dau3 ji3 ngong4 yeung4	
鬥蟀	dau3 jut1	鬥蟋蟀
鬥靚	dau3 leng3	比美，比漂亮
鬥龍船	dau3 lung4 suen4	划龍舟比賽
鬥木	dau3 muk6	做木器
鬥木佬	dau3 muk6 lo2	木匠
鬥牛	dau3 ngau4	
鬥牛場	dau3 ngau4 cheung4	
鬥牛士	dau3 ngau4 si6	
鬥批改	dau3 pai1 goi2	
鬥私批修	dau3 si1 pai1 sau1	
鬥士	dau3 si6	
鬥蟋蟀	dau3 sik1 sut1	
豆	dau6	取，拿
逗趣	dau6 chui3	
豆瓣	dau6 faan6	
豆瓣醬	dau6 faan6 jeung3	
豆科	dau6 foh1	
豆腐	dau6 foo6	
豆腐煲	dau6 foo6 bo1	沙鍋豆腐
豆腐花	dau6 foo6 fa1	豆腐花，豆腐腦兒
豆腐乾	dau6 foo6 gon1	
豆腐皮	dau6 foo6 pei4	
豆腐泡	dau6 foo6 pok1	豆泡，油炸豆腐
豆腐乳	dau6 foo6 yue5	
豆腐膶	dau6 foo6 yun2	豆腐干，豆干
豆殼	dau6 hok3	
豆渣	dau6 ja1	
豆漿	dau6 jeung1	
豆漿店	dau6 jeung1 dim3	
豆住	dau6 jue6	托著，兜著
豆蔻	dau6 kau3	
豆利是	dau6 lai6 si6	拿紅包，討紅包
逗留	dau6 lau4	
逗樂	dau6 lok6	
豆類	dau6 lui6	
豆綠	dau6 luk6	
逗弄	dau6 lung6	
豆苗	dau6 miu4	
痘苗	dau6 miu4	
豆泥	dau6 nai4	劣，次，寒酸，劣等，質量差，水平低
豆泥嘢	dau6 nai4 ye5	次貨
豆芽	dau6 nga4	
豆芽菜	dau6 nga4 choi3	
豆皮	dau6 pei4	麻臉，麻子
豆泡	dau6 pok1	豆泡，油炸豆腐
豆沙	dau6 sa1	
豆沙餅	dau6 sa1 beng2	
豆沙喉	dau6 sa1 hau4	沙嗓子
豆沙月餅	dau6 sa1 yuet6 beng2	
豆豉	dau6 si6	
逗笑	dau6 siu3	
豆膶	dau6 yun2	豆乾
嗲哋	de1 di3	爸爸
嗲哋媽咪	de1 di3 ma1 mi3	爸爸媽媽
爹娘	de1 neung4	
嗲	de2	嬌，撒嬌
嗲聲嗲氣	de2 seng1 de2 hei3	嬌裡嬌氣，很嬌氣
嗲	de4	扯，談話
哋	dei6	們
地板	dei6 baan2	
地步	dei6 bo6	
地埗	dei6 bo6	地址，地方
地產	dei6 chaan2	房地產
地產稅	dei6 chaan2 sui3	
地層	dei6 chang4	
地磁	dei6 chi4	
地帶	dei6 daai3	
地大物博	dei6 daai6 mat6 bok3	
地底	dei6 dai2	
地底下	dei6 dai2 ha6	
地點	dei6 dim2	
地道	dei6 do6	
地段	dei6 duen6	
地對地	dei6 dui3 dei6	
地對空	dei6 dui3 hung1	
地洞	dei6 dung6	
地方	dei6 fong1	
地方官	dei6 fong1 goon1	
地方政府	dei6 fong1 jing3 foo2	
地方稅	dei6 fong1 sui3	
地縫	dei6 fung4	
地界	dei6 gaai3	
地窖	dei6 gaau3	
地基	dei6 gei1	
地腳	dei6 geuk3	地基
地極	dei6 gik6	
地檢處	dei6 gim2 chue3	
地檢署	dei6 gim2 chue5	
地瓜	dei6 gwa1	
地瓜湯	dei6 gwa1 tong1	
地下	dei6 ha2	地上
地下	dei6 ha6	
地下室	dei6 ha6 sat1	
地下鐵	dei6 ha6 tit3	
地峽	dei6 haap6	
地核	dei6 hat6	
地殼	dei6 hok3	
地殼運動	dei6 hok3 wan6 dung6	
地震	dei6 jan3	
地震學	dei6 jan3 hok6	
地震儀	dei6 jan3 yi4	
地震預報	dei6 jan3 yue6 bo3	
地質	dei6 jat1	
地質學	dei6 jat1 hok6	
地質學家	dei6 jat1 hok6 ga1	
地支	dei6 ji1	
地址	dei6 ji2	
地誌	dei6 ji3	
地氊	dei6 jin1	地毯
地租	dei6 jo1	
地主	dei6 jue2	
地主份子	dei6 jue2 fan6 ji2	
地主階級	dei6 jue2 gaai1 kap1	
地中海	dei6 jung1 hoi2	
地球	dei6 kau4	
地球科學	dei6 kau4 foh1 hok6	
地球日	dei6 kau4 yat6	
地球儀	dei6 kau4 yi4	
地權	dei6 kuen4	
地區	dei6 kui1	
地理	dei6 lei5	
地理學	dei6 lei5 hok6	
地理學家	dei6 lei5 hok6 ga1	
地理環境	dei6 lei5 waan4 ging2	
地理位置	dei6 lei5 wai6 ji3	
地牢	dei6 lo4	地窖，地下室
地牢商場	dei6 lo4 seung1 cheung4	地下商場
地老天荒	dei6 lo5 tin1 fong1	
地老天荒不了情	dei6 lo5 tin1 fong1 bat1 liu5 ching4	
地雷	dei6 lui4	
地幔	dei6 maan6	
地踎	dei6 mau1	地痞
地畝	dei6 mau5	
地面	dei6 min6	
地面溫度	dei6 min6 wan1 do6	
地痞	dei6 pei2	
地痞流氓	dei6 pei2 lau4 mong4	
地皮	dei6 pei4	
地平線	dei6 ping4 sin3	
地盤	dei6 poon4	
地盤	dei6 poon4	工地，建築工地
地心	dei6 sam1	
地心引力	dei6 sam1 yan5 lik6	
地稅	dei6 sui3	
地毯	dei6 taam2	
地毯式轟炸	dei6 taam2 sik1 gwang1 ja3	
地攤	dei6 taan1	
地頭	dei6 tau4	地盤
地頭蟲	dei6 tau4 chung4	地頭蛇
地鐵	dei6 tit3	
地鐵站	dei6 tit3 jaam6	
地圖	dei6 to4	
地拖	dei6 toh1	拖把
地位	dei6 wai6	
地溫	dei6 wan1	
地域	dei6 wik6	
地窨子	dei6 yam3 ji2	
地形	dei6 ying4	
地形圖	dei6 ying4 to4	
地熱	dei6 yit6	
地熱能	dei6 yit6 nang4	
地獄	dei6 yuk6	
趯	dek3	跑，逃跑
趯	dek3	驅趕，驅逐
趯更	dek3 gaang1	逃亡，逃命，溜走，開小差
趯唔切	dek3 m4 chit3	跑不掉，跑不贏，跑得太慢了
糴糧食	dek6 leung4 sik6	
糴米	dek6 mai5	
釘翻粒紐	deng1 faan1 nap1 nau2	把扣子縫上
釘仔	deng1 jai2	釘子
釘咗	deng1 joh2	死了
釘紐	deng1 nau2	縫上扣子
掟	deng3	投，扔，投擲
掟煲	deng3 bo1	吹了，分手
掟球	deng3 kau4	扔球
掟彎	deng3 waan1	轉彎，拐彎
埞	deng6	地方，空間，地兒
定	deng6	定金
埞方	deng6 fong1	地方，位置
訂房	deng6 fong2	
訂雜誌	deng6 jaap6 ji3	
琢磨	deuk3 moh4	
啄木鳥	deuk3 muk6 niu5	
啄	deung1	啄，啄食，啄咬，叮咬
啄親	deung1 chan1	叮，叮著，被叮了
啲	di1	一些，一點
啲朋友	di1 pang4 yau5	朋友們
啲人	di1 yan4	人們
弟	di2	撲克牌中的“2”
的	dik1	提拿，提溜
嫡親	dik1 chan1	
嫡系	dik1 hai6	
的起嚟	dik1 hei2 lei4	提起來，提溜起來
的起心肝	dik1 hei2 sam1 gon1	立下決心，專心致志
的確	dik1 kok3	
嫡派	dik1 paai3	
的士	dik1 si2	出租車，計程車
的士佬	dik1 si2 lo2	出租車司機，計程車司機
的士司機	dik1 si2 si1 gei1	
的士高	dik1 si6 go1	迪斯科
的式	dik1 sik1	精緻，輕巧，小巧玲瓏
的而且確	dik1 yi4 che2 kok3	千真萬確，確確實實，非常肯定，確鑿無疑
敵軍	dik6 gwan1	
敵人	dik6 yan4	
點	dim2	蘸
點	dim2	怎麼，怎樣，怎麼樣
點清	dim2 ching1	
點得	dim2 dak1	怎麼行，怎麼成
點都好	dim2 do1 ho2	不管怎樣
點都要	dim2 do1 yiu3	怎麼都要，無論如何都要
點火	dim2 foh2	
點解	dim2 gaai2	為什麼
點攪噶	dim2 gaau2 ga3	怎麼搞的
點講	dim2 gong2	怎麼說
點鬼樣	dim2 gwai2 yeung2	怎樣？
點係	dim2 hai6	不敢當
點好	dim2 ho2	怎麼辦
點好呢	dim2 ho2 le3	怎樣才好，怎麼辦
點可以	dim2 hoh2 yi5	怎麼可以
點知	dim2 ji1	哪兒知道
點止	dim2 ji2	何止，豈止
點做	dim2 jo6	怎樣去做
點綴	dim2 jui6	
點呢	dim2 le3	怎麼辦呢，如何是好
…點賣？	dim2 maai6	…多少錢？
點脈	dim2 mak6	點穴
點心	dim2 sam1	小吃，點心
點豉油	dim2 si6 yau4	蘸酱油
點先算…	dim2 sin1 suen3	什麼才是…？
點少得	dim2 siu2 dak1	怎麼少得了
點算	dim2 suen3	怎麼辦
點算好	dim2 suen3 ho2	怎麼辦才好，該怎麼辦，如何是好
點睇	dim2 tai2	怎麼看，怎麼樣，有什麼看法，有何看法
點話點好	dim2 wa6 dim2 ho2	怎麼都可以，怎樣說都可以，怎麼說就怎麼辦
點會	dim2 wooi5	怎麼會
點樣	dim2 yeung2	怎樣，怎麼樣
點燃	dim2 yin4	
玷	dim3	碰，摸，輕觸，觸碰，觸摸
惦記	dim3 gei3	
踮腳	dim3 geuk3	
惦掛	dim3 gwa3	
惦念	dim3 nim6	
店舖	dim3 po3	
玷污	dim3 woo1	
玷辱	dim3 yuk6	
掂	dim6	妥當，成功，…好
掂筆甩	dim6 bat1 lat1	筆直，徑直
掂過條蔗	dim6 gwoh3 tiu4 je3	非常順利，非常舒心
癲癲廢廢	din1 din1 fai3 fai3	傻裡傻氣
顛倒	din1 do2	
巔峰	din1 fung1	
癲狗	din1 gau2	瘋狗
癲癇	din1 haan4	
癲佬	din1 lo2	瘋子
典押	din2 aat3	
典當	din2 dong3	
典範	din2 faan6	
典故	din2 goo3	
典禮	din2 lai5	
典雅	din2 nga5	
典型	din2 ying4	
電壓	din6 aat3	
電壓表	din6 aat3 biu2	
電板	din6 baan2	
電錶	din6 biu1	
電報	din6 bo3	
電報費	din6 bo3 fai3	
電報機	din6 bo3 gei1	
電報局	din6 bo3 guk6	
電波	din6 boh1	
電親	din6 chan1	觸電，被電到
電車	din6 che1	
電車站	din6 che1 jaam6	
電唱機	din6 cheung3 gei1	
電唱針	din6 cheung3 jam1	
電磁	din6 chi4	
