開放粵語詞典（粵語拼音字調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
風乾機	fönk gön gëy	
豐功	fönk gönk	
風景	fönk gẽnk	
風景區	fönk gẽnk köy	
風向	fönk heông	
風向標	fönk heông bïu	
風向器	fönk heông hêy	
風向針	fönk heông jämp	
瘋犬病	fönk heũn bèng	
楓紅	fönk honk	
豐厚	fönk háw	
風氣	fönk hêy	
風險	fönk hĩm	
風疹	fönk jãnt	
風箏	fönk jänk	
丰姿	fönk jï	
風俗	fönk jòk	
風俗習慣	fönk jòk jàb guân	
風災	fönk jöi	
豐足	fönk jök	
風燭殘年	fönk jök can nin	
風中	fönk jönk	
風中殘燭	fönk jönk can jök	
風琴	fönk kamp	
瘋狂	fönk kuong	
風流	fönk law	出風頭
風流	fönk law	閒情逸致，閒心
風流	fönk law	
風流成性	fönk law senk sênk	
風流瀟灑	fönk law sïu sã	
風流韻事	fönk law wànt sì	
風流人物	fönk law yant màt	
風鈴	fönk lenk	
風涼	fönk leong	
風涼話	fönk leong wã	
風爐	fönk low	
風褸	fönk läw	風衣，擋風外衣
風力	fönk lèk	
風力機	fönk lèk gëy	
鋒利	fönk lèy	
風栗	fönk lòt	栗子
風爐	fönk lõw	小爐子
風靡	fönk mey	
風靡一時	fönk mey yät si	
鋒鋩	fönk mong	
蜂蜜	fönk màt	
風馬牛	fönk má ngaw	
風馬牛不相及	fönk má ngaw bät seöng kàp	
封面	fönk mìn	
風帽	fönk mòw	
豐滿	fönk mún	
豐年	fönk nin	
豐年祭	fönk nin jây	
風赧	fönk nân	蕁麻疹
風平浪靜	fönk penk lòng jènk	
豐沛	fönk pûi	
風尚	fönk seòng	
楓樹	fönk seù	
風生水起	fönk säng sõy hẽy	活躍，興隆，興旺，有生氣，生機勃勃，發達興旺
風濕	fönk säp	
豐收	fönk säw	
豐碩	fönk sèg	
豐盛	fönk sènk	
風聲	fönk sëng	
風扇	fönk sîn	電風扇
風扇	fönk sîn	
風信	fönk sônt	
風信鴿	fönk sônt gâp	
風信子	fönk sônt jĩ	
封鎖	fönk sõ	
風水	fönk sõy	
風水生	fönk sõy lõw	堪輿家，陰陽生，風水師
風水佬	fönk sõy lõw	陰陽先生，堪輿家
風水師	fönk sõy sï	
風水先生	fönk sõy sïn säng	
風騷	fönk söw	
風調雨順	fönk tiu yeú sònt	
楓糖	fönk tong	
楓糖漿	fönk tong jeöng	
風筒	fönk tõnk	吹風機，電吹風
風土	fönk tõw	
風雲	fönk want	
風雲人物	fönk want yant màt	
風韻	fönk wànt	
豐韻	fönk wànt	
瘋話	fönk wã	
峰會	fönk wùi	
瘋人院	fönk yant yeùn	
豐盈	fönk yenk	
豐裕	fönk yeù	
風月	fönk yeùd	
風雨燈	fönk yeú dänk	
風雨交加	fönk yeú gäu gä	
風雨雷電	fönk yeú loy dìn	
風雨無阻	fönk yeú mow jõ	
風雨如晦，雞鳴不已	fönk yeú yeu fûi gäy menk bät yí	
風雨如磐	fönk yeú yeu pun	
瘋言瘋語	fönk yin fönk yeú	
豐饒	fönk yiu	
楓葉	fönk yìb	
豐衣足食	fönk yï jök sèk	
鋒銳	fönk yòy	
腐敗	fù bài	
腐敗無能	fù bài mow nank	
輔弼	fù bàt	
付出	fù cöt	
付錢	fù cĩn	
負擔	fù däm	
輔導	fù dòw	
付費	fù fây	
付款	fù fũn	
附近	fù gànt	
付訖	fù gät	
負荷	fù hò	
負責	fù jâg	
負責任	fù jâg yàmp	
付之一炬	fù jï yät gòy	
輔助	fù jò	
輔佐	fù jô	
腐爛	fù làn	
附錄	fù lòk	
駙馬	fù má	
負面	fù mìn	
負面影響	fù mìn yẽnk heõng	
腐蝕	fù sèk	
付息	fù sëk	
附屬	fù sòk	
赴湯蹈火	fù töng dòw fõ	
赴會	fù wùi	
腐乳	fù yeú	
赴任	fù yàmp	
赴宴	fù yîn	
負屭	fù ây	
婦產科	fú cãn fö	
婦德	fú däk	
婦道	fú dòw	
婦科	fú fö	
婦科醫生	fú fö yï sänk	
婦聯	fú leun	
婦聯會	fú leún wùi	
婦女	fú nóy	
婦女節	fú nóy jîd	
婦女運動	fú nóy wànt dònk	
婦孺	fú yeu	
褲	fû	褲子
副班長	fû bän jeõng	
副處長	fû ceû jeõng	
副詞	fû ci	
副產品	fû cãn bãnt	
副廠長	fû cõng jeõng	
褲带	fû dãi	皮帶，褲帶
副董事長	fû dõnk sì jeõng	
褲腳	fû geôg	褲腿
富貴	fû guây	
富貴病	fû guây bènk	
富貴逼人	fû guây bëk yant	
富貴在天	fû guây jòi tïn	
富貴榮華	fû guây wenk wa	
富國	fû guôg	
富國強兵	fû guôg keong bënk	
副教授	fû gâu sàw	
富家	fû gä	
富家子弟	fû gä jĩ dày	
富豪	fû how	
副校長	fû hàu jeõng	
富厚	fû háw	
副刊	fû hõn	
副主席	fû jeũ jèk	
副主任	fû jeũ yàmp	
副職	fû jëk	
副作用	fû jôg yònk	
副總裁	fû jõnk coi	
副總經理	fû jõnk gënk léy	
副總理	fû jõnk léy	
副總司令	fû jõnk sï lènk	
副總統	fû jõnk tõnk	
富足	fû jök	
富麗	fû lày	
富麗堂皇	fû lày tong wong	
褲浪	fû lòng	褲襠
富農	fû nonk	
富農份子	fû nonk fànt jĩ	
富農經濟	fû nonk gënk jây	
富商	fû seöng	
副審	fû sãmp	
副社長	fû sé jeõng	
副司令	fû sï lènk	
副所長	fû sõ jeõng	
褲頭	fû taw	褲腰
褲頭帶	fû taw dãi	褲帶，腰帶
副團長	fû teun jeõng	
富太	fû tãi	貴婦
富華	fû wa	
富戶	fû wù	
富人	fû yant	
富餘	fû yeu	
富裕	fû yeù	
富而不驕	fû yi bät gïu	
富饒	fû yiu	
富有	fû yáw	
副業	fû yìb	
闊	fûd	寬
闊綽	fûd ceôg	
闊氣	fûd hêy	
闊落	fûd lòg	寬暢，寬敞
闊佬	fûd lõw	闊氣，闊氣的人，有錢人，財主
闊佬懒理	fûd lõw lán léy	不理不睬，不聞不問，甩手不管
悔恨	fûi hànt	
晦氣	fûi hêy	
晦氣星	fûi hêy sënk	倒霉鬼
誨人不倦	fûi yant bät geùn	
悔悟	fûi ǹg	
枯燥	fü côw	
枯燥無味	fü côw mow mèy	
枯草	fü cõw	
呼出	fü cöt	
孵出	fü cöt	
孵蛋	fü dàn	
孵化	fü fâ	
呼風喚雨	fü fönk wùn yeú	
夫婦	fü fú	
呼呼大睡	fü fü dài sòy	
枯骨	fü guät	
呼救	fü gâw	
呼救信號	fü gâw sônt hòw	
呼叫	fü gîu	
呼叫器	fü gîu hêy	
枯槁	fü gõw	
枯乾	fü gön	
呼喊	fü hâm	
呼口號	fü hãw hòw	
呼氣	fü hêy	
呼之欲出	fü jï yòk cöt	
枯焦	fü jïu	
枯井	fü jẽng	
呼吸	fü käp	
呼吸道	fü käp dòw	
呼吸系統	fü käp hày tõnk	
呼吸器官	fü käp hêy gün	
呼吸困難	fü käp kuânt nan	
呼吸聲	fü käp sëng	
枯竭	fü kîd	
枯涸	fü kôg	
骷髏	fü law	
俘虜	fü lów	
孵卵	fü lõnt	
呼嚕	fü löw	
枯木	fü mòk	
枯木逢春	fü mòk fonk cönt	
呼朋引類	fü pank yánt lòy	
麩皮	fü pey	
枯樹	fü seù	
枯瘦	fü sâw	
呼聲	fü sëng	
呼嘯	fü sîu	
呼嘯而過	fü sîu yi guô	
枯水	fü sõy	
枯水期	fü sõy key	
枯水位	fü sõy wày	
孵小雞	fü sĩu gäy	
枯死	fü sẽy	
呼天搶地	fü tïn ceõng dèy	
枯榮	fü wenk	
枯黃	fü wong	
枯萎	fü wãy	
俘獲	fü wòg	
呼喚	fü wùn	
呼籲	fü yeù	
呼應	fü yênk	
呼應聲	fü yênk sëng	
枯葉	fü yìb	
孵育	fü yòk	
敷衍	fü yĩn	
敷衍了事	fü yĩn líu sì	
灰白	füi bàg	
灰白色	füi bàg sëk	
灰飛煙滅	füi fëy yïn mìd	
恢復	füi fòk	
灰狗	füi gãw	
詼諧	füi hai	
灰燼	füi jònt	
灰鯨	füi kenk	
灰佬	füi lõw	奸細
灰濛濛	füi monk monk	
魁梧	füi ng	
灰鼠	füi seũ	
魁首	füi sãw	
灰心	füi sämp	
灰心喪氣	füi sämp sông hêy	
灰色	füi sëk	
魁星	füi sënk	
灰水	füi sõy	石灰水
魁偉	füi wáy	
寬敞	fün cõng	
髖骨	fün guät	髖骨
寬廣	fün guõng	
歡慶	fün hênk	
歡喜	fün hẽy	喜歡，愛好，喜愛，高興，快樂
歡樂	fün lòg	
歡迎	fün yenk	
歡迎光臨	fün yenk guöng lamp	
寬裕	fün yeù	
寬容	fün yonk	
歡欣	fün yänt	
虎	fũ	老虎
苦楚	fũ cõ	
俯衝	fũ cönk	
俯衝角	fũ cönk gôg	
苦刁刁	fũ dïu dïu	非常苦
俯伏	fũ fòk	
苦瓜	fũ guä	
苦過弟弟	fũ guô di dĩ	苦不堪言，非常辛苦
撫今追昔	fũ gämp jöy sëk	
撫躬自問	fũ gönk jì mànt	
俯瞰	fũ hâmp	
苦口苦面	fũ hãw fũ mìn	愁眉苦臉，哭喪著臉，耷拉著臉，整天苦著臉
俯看	fũ hôn	
拊掌	fũ jeõng	
俯就	fũ jàw	
腑臟	fũ jòng	
苦衷	fũ jönk	
撫琴	fũ kamp	
俯曲	fũ kök	
撫弄	fũ lònk	
撫摸	fũ mõ	
撫摩	fũ mö	
俯臥	fũ ngò	
俯臥撐	fũ ngò cäng	
苦惱	fũ nów	
撫平	fũ penk	
琥珀	fũ pâg	
俯拾	fũ sàp	
俯拾皆是	fũ sàp gäi sì	
俯拾即是	fũ sàp jëk sì	
俯首	fũ sãw	
俯首稱臣	fũ sãw cënk sant	
俯首就範	fũ sãw jàw fàn	
俯身	fũ sänt	
俯視	fũ sì	
虎視眈眈	fũ sì däm däm	
俯視圖	fũ sì tow	
撫屍痛哭	fũ sï tônk hök	
撫恤金	fũ söt gämp	
俯頭	fũ taw	
斧頭	fũ taw	
俯泳	fũ wènk	
撫養	fũ yeóng	
俯仰	fũ yeóng	
俯仰之間	fũ yeóng jï gän	
俯仰無愧	fũ yeóng mow kuáy	
俯仰由人	fũ yeóng yaw yant	
撫育	fũ yòk	
撫愛	fũ ôi	
鮪魚	fũi yeu	
款項	fũn hòng	
款式	fũn sëk	
悱惻	fẽy cäk	
翡翠	fẽy côy	
誹謗	fẽy pông	
匪徒	fẽy tow	
匪夷所思	fẽy yi sõ sï	
噶仔	ga jãy	日本少男
噶佬	ga lõw	日本人
噶妹	ga müi	日本少女
噶頭	ga taw	日本人
噶話	ga wã	日語，日文
覺覺豬	gau gäu jeü	睡懶覺
腳	geôg	腳，腿
腳板	geôg bãn	
腳板底	geôg bãn dãy	腳底，腳掌
腳板堂	geôg bãn tong	腳掌，腳心
腳步	geôg bòw	
腳步聲	geôg bòw sëng	
腳背	geôg bûi	
腳踏	geôg dàb	
腳踏板	geôg dàb bãn	
腳踏車	geôg dàb cë	
腳踏兩條船	geôg dàb leóng tiu seun	
腳踏實地	geôg dàb sàt dèy	
腳底板	geôg dãy bãn	
腳底按摩	geôg dãy ôn mö	
腳夫	geôg fü	
腳瓜	geôg guä	腿肚子
腳瓜眈	geôg guä dämp	腿肚子
腳瓜瓤	geôg guä nöng	腿肚子
腳骨	geôg guät	小腿
腳骨力	geôg guät lèk	腿力
腳架	geôg gã	三角架
腳架	geôg gã	
腳跟	geôg gänt	
腳後跟	geôg hàw gänt	
腳氣	geôg hêy	
腳氣病	geôg hêy bèng	
腳掌	geôg jeõng	
腳註	geôg jeû	
腳枕	geôg jãmp	腳上的繭子，腳上的老繭
腳踭	geôg jäng	腳跟，腳後跟
腳尖	geôg jïm	
腳趾	geôg jĩ	
腳趾	geôg jĩ	腳趾頭
腳趾甲	geôg jĩ gâb	
腳趾公	geôg jĩ gönk	大腳趾，腳拇趾
脚趾罅	geôg jĩ lâ	腳趾縫
腳趾屘	geôg jĩ mëy	腳小趾
腳趾頭	geôg jĩ taw	
腳鐐	geôg liu	
腳鐐手銬	geôg liu sãw kâu	
腳力	geôg lèk	
腳面	geôg mĩn	腳背
腳眼	geôg ngán	腳踝，踝子骨
腳鈪	geôg ngâg	腳鐲
腳坳	geôg ngâu	腘窩，膝部的後面
腳丫	geôg ngä	
腳心	geôg sämp	
腳肚	geôg tów	腿肚子
腳肚瓤	geôg tów nöng	腿肚子
腳痛醫腳	geôg tônk yï geôg	
腳踝	geôg wá	
腳印	geôg yânt	
薑餅	geöng bẽng	
羌族	geöng jòk	
蜣螂	geöng long	
僵硬	geöng ngàng	
韁繩	geöng senk	
疆土	geöng tõw	
疆域	geöng wèk	
倦怠	geùn dòi	
倦態	geùn tâi	
倦遊	geùn yaw	
倦意頓消	geùn yi dònt sïu	
倦容	geùn yonk	
倦意	geùn yî	
絹花	geûn fä	
眷顧	geûn gû	
眷戀	geûn leũn	
眷屬	geûn sòk	
眷懷	geûn wai	
眷愛	geûn ôi	
捐	geün	鑽
捐錢	geün cin	
捐出	geün cöt	
捐款	geün fũn	
捐款箱	geün fũn seöng	
捐血	geün heûd	
捐血人	geün heûd yant	
捐獻	geün hîn	
捐贈	geün jànk	
捐贈者	geün jànk jẽ	
捐贈人	geün jànk yant	
捐助	geün jò	
捐助人	geün jò yant	
捐軀	geün köy	
捐山窿	geün sän lönk	鑽山洞
捐入	geün yàp	鑽進
哥哥	go gö	
哥哥仔	go gö jãy	小兄弟
共鳴	gonk menk	
郡縣	guànt yeùn	
倔	guàt	固執，倔強
掘	guàt	挖
倔	guàt	瞪，盯住
倔情	guàt cenk	無情，冷淡
掘出	guàt cöt	挖出
倔篤	guàt dök	盡頭
倔強	guàt geòng	
掘金	guàt gämp	淘金
崛起	guàt hẽy	
掘井	guàt jẽng	
倔頭	guàt taw	盡頭
倔頭巷	guàt taw hõng	死路，死衚衕
倔頭路	guàt taw lòw	死路，死衚衕
櫃	guày	櫃櫥
跪拜	guày bâi	
跪低	guày däy	跪下
跪地	guày dèy	
跪地求饒	guày dèy kaw yiu	
饋贈	guày jànk	
跪薦	guày jĩn	跪拜時的墊子
櫃面	guày mĩn	櫃台
櫃枱	guày tõi	
櫃桶	guày tõnk	抽屜
啩	guâ	吧
掛鉤	guâ gäw	
掛號處	guâ hòw ceû	
掛號費	guâ hòw fây	
掛號信	guâ hòw sônt	
掛住	guâ jeù	想念，掛念
掛鐘	guâ jönk	
掛麵	guâ mìn	
掛念	guâ nìm	
掛屏	guâ pẽnk	
掛羊頭賣狗肉	guâ yeong taw mài gãw yòk	
颳風	guâd fönk	
刮臉	guâd lím	
刮削	guâd seôg	剝削，剋扣
刮痧	guâd sä	
摑	guâg	打耳光
摑一巴掌	guâg yät bä jeõng	打一個耳光
摑耳光	guâg yí guöng	
怪	guâi	奇怪
怪病	guâi bèng	
怪誕	guâi dân	
怪誕不經	guâi dân bät gënk	
怪怪	guâi guâi	
怪叫	guâi gîu	
怪之得	guâi jï däk	怪不得，難怪
怪罪	guâi jòy	
怪哉	guâi jöi	
怪論	guâi lònt	
怪裡怪氣	guâi lóy guâi hêy	
怪唔得	guâi m däk	難怪，怪不得
怪唔之得	guâi m jï däk	怪不得，難怪
怪模怪樣	guâi mow guâi yeòng	
怪物	guâi màt	
怪癖	guâi pëk	
怪獸	guâi sâw	
怪石	guâi sèg	
怪石嶙峋	guâi sèg lont sönt	
怪聲怪氣	guâi sëng guâi hêy	
怪事	guâi sì	
怪笑	guâi sîu	
怪談	guâi tam	
怪胎	guâi töi	
怪人	guâi yant	
怪異	guâi yì	
慣	guân	習慣
躀	guân	摔，跌，摔跤，跌跤
慣賊	guân càg	
躀低	guân däy	摔倒，跌倒
慣犯	guân fãn	
躀跤	guân gäu	摔跤，跌跤
關照	guân jîu	
慣咗	guân jõ	習慣了
慣咗喇	guân jõ lâ	習慣了啦
躀咗一跤	guân jõ yät gäu	摔了一跤
慣例	guân lày	
慣常	guân seong	
慣性	guân sênk	
慣性定律	guân sênk dènk lòt	
慣性作用	guân sênk jôg yònk	
慣性力	guân sênk lèk	
慣竊	guân sîd	
慣壞	guân wài	
慣於	guân yeü	
慣用	guân yònk	
慣用語	guân yònk yeú	
棍	guânt	騙，詐騙
棍騙	guânt pîn	哄騙
貴賓	guây bänt	
季度	guây dòw	
貴到飛起	guây dôw fëy hẽy	非常貴
季風	guây fönk	
季軍	guây guänt	
季軍獎	guây guänt jeõng	
貴金屬	guây gämp sòk	
桂冠	guây gün	
季刊	guây hõn	
季節	guây jîd	
季節風	guây jîd fönk	
季節性	guây jîd sênk	
貴族政治	guây jòk jênk jì	
貴重	guây jònk	
貴利	guây lẽy	高利貸，閻王賬
寡不敵眾	guã bät dèk jônk	
寡婦	guã fú	
寡居	guã göy	
寡廉鮮恥	guã lim sĩn cĩ	
寡佬	guã lõw	光棍，單身漢
寡母婆	guã mów põ	寡婦
寡婆	guã po	寡婦
寡頭	guã taw	
寡頭政治	guã taw jênk jì	
寡慾	guã yòk	
拐杖	guãi jeõng	
滾	guãnt	搞女人，跟女人鬼混
滾	guãnt	詐騙，不問自取
滾錢	guãnt cĩn	騙錢
滾攪	guãnt gãu	打擾，打攪
滾攪晒	guãnt gãu sâi	打擾了
滾紅滾綠	guãnt honk guãnt lòk	搗亂，胡鬧，亂搞；胡說，信口開河，胡說八道
滾起	guãnt hẽy	揚起
滾軸溜冰	guãnt jòk law bënk	旱冰，滑旱冰
滾軸溜冰鞋	guãnt jòk law bënk hai	旱冰鞋
滾水	guãnt sõy	開水，沸水，滾開的水，沸騰的水
滾瀉	guãnt sẽ	沸得溢出
滾友	guãnt yãw	騙子
滾熱辣	guãnt yìd làd	滾燙
詭秘	guãy bêy	
鬼才	guãy coi	
鬼打鬼	guãy dã guãy	狗咬狗，自己人打自己人
軌道	guãy dòw	
鬼火	guãy fõ	
鬼斧神工	guãy fũ sant gönk	
鬼鬼哋	guãy guãy dêy	洋里洋氣
鬼鬼鼠鼠	guãy guãy seũ seũ	鬼鬼祟祟
鬼鬼祟祟	guãy guãy sòy sòy	
鬼咁…	guãy gâmp	非常…，極為…，怪…的
詭計	guãy gây	
詭計多端	guãy gây dö deün	
鬼叫你…	guãy gîu néy	誰叫你…？
鬼故事	guãy gû sì	
鬼仔	guãy jãy	外國男孩，外國小孩
鬼知	guãy jï	誰知，誰曉得
鬼黠	guãy kîd	
鬼佬	guãy lõw	外國人，洋人，老外，洋鬼子
鬼唔知咩	guãy m jï më	誰不知道？誰不知道哇
鬼迷心竅	guãy may sämp hîu	
鬼門關	guãy mun guän	
鬼馬	guãy má	鬼點子多，狡猾，不正經，滑頭，靈巧古怪
鬼魅	guãy mèy	
鬼魔	guãy mö	
鬼妹	guãy müi	外國女孩，外國少女，外國姑娘
鬼屋	guãy ngök	
鬼婆	guãy põ	外國女人，洋女人，外國婦女
鬼神	guãy sant	
鬼上身	guãy seóng sänt	鬼魂纏身，被鬼附體，被鬼附身
鬼上身	guãy seóng sänt	胡說八道，語無倫次
鬼鼠	guãy seũ	鬼祟
鬼殺咁嘈	guãy sâd gâmp cow	吵死了，大聲嚷嚷，吵得要命，大吵大鬧
鬼食泥	guãy sèk nay	不清不楚
鬼銷	guãy sïu	洋銷
鬼祟	guãy sòy	
鬼使神差	guãy sĩ sant cäi	
鬼死	guãy sẽy	極度，要命，非常
鬼死咁…	guãy sẽy gâmp	極度…，非常…，…要命
鬼頭	guãy taw	洋上司
鬼頭鬼腦	guãy taw guãy nów	
鬼胎	guãy töi	
鬼魂	guãy want	
鬼混	guãy wànt	
鬼話連篇	guãy wã lin pïn	
鬼蜮	guãy wèk	
詭異	guãy yì	
鬼影都冇隻	guãy yẽnk döw mów jêg	一個人影都沒有
鬼五馬六	guãy ńg má lòk	烏七八糟，狡猾古怪，不正經，見不得人的
瓜椗	guä dênk	瓜蒂
呱呱叫	guä guä gîu	
瓜果	guä guõ	
瓜咗	guä jõ	死了
瓜籽	guä jĩ	
瓜老襯	guä lów cânt	死了
瓜褦藤，藤褦瓜	guä nânk tank tank nânk guä	瓜瓜蔓蔓互相牽連
瓜田李下	guä tin léy hà	
瓜田李下之嫌	guä tin léy hà jï yim	
乖巧	guäi hãu	
關閉	guän bây	
關切	guän cîd	
關刀	guän döw	
關防	guän fong	
鰥夫	guän fü	
鰥寡	guän guã	
鰥寡孤獨	guän guã gü dòk	
關鍵	guän gìn	
關鍵字	guän gìn jì	
關鍵問題	guän gìn mànt tay	
關鍵時刻	guän gìn si häk	
關鍵性	guän gìn sênk	
鰥居	guän göy	
關係	guän hày	
關口	guän hãw	
關注	guän jeû	
關節	guän jîd	
關節痛	guän jîd tônk	
關節炎	guän jîd yim	
關卡	guän kã	
關聯	guän leun	
關聯性	guän leun sênk	
關廟	guän mìu	
關外	guän ngòi	
關內	guän nòi	
關心	guän sämp	
關稅	guän sôy	
關懷	guän wai	
關人！	guän yant	管他呢！
關於	guän yeü	
關押	guän âd	
關愛	guän ôi	
轟動	guänk dònk	
轟動一時	guänk dònk yät si	
轟轟烈烈	guänk guänk lìd lìd	
肱骨	guänk guät	
轟擊	guänk gëk	
轟炸機	guänk jâ gëy	
轟隆	guänk lonk	
轟鳴	guänk menk	
軍備	guänt bèy	
軍備品	guänt bèy bãnt	
軍車	guänt cë	
軍隊	guänt dòy	
軍閥	guänt fàt	
軍閥主義	guänt fàt jeũ yì	
軍法	guänt fâd	
軍法官	guänt fâd gün	
軍法審判	guänt fâd sãmp pûn	
軍訓	guänt fânt	
軍費	guänt fây	
軍服	guänt fòk	
軍火	guänt fõ	
軍火庫	guänt fõ fû	
軍火商	guänt fõ seöng	
軍方	guänt föng	
軍國	guänt guôg	
軍國主義	guänt guôg jeũ yì	
軍界	guänt gâi	
軍機	guänt gëy	
軍歌	guänt gö	
軍功	guänt gönk	
軍官	guänt gün	
軍官學校	guänt gün hòg hàu	
軍官團	guänt gün teun	
軍管	guänt gũn	
軍管區	guänt gũn köy	
軍警	guänt gẽnk	
軍紀	guänt gẽy	
軍銜	guänt ham	
軍餉	guänt heõng	
軍靴	guänt heö	
軍犬	guänt heũn	
軍械	guänt hài	
軍械庫	guänt hài fû	
軍校	guänt hàu	
君主	guänt jeũ	
君主國	guänt jeũ guôg	
君主專制	guänt jeũ jeün jây	
君主專政	guänt jeũ jeün jênk	
君主主義	guänt jeũ jeũ yì	
君主制	guänt jeũ jây	
君主權	guänt jeũ keun	
君主立憲制	guänt jeũ làb hîn jây	
軍制	guänt jây	
君真	guänt jänt	認真，公道，不含糊，照章辦事，公正嚴謹
軍政	guänt jênk	
軍政府	guänt jênk fũ	
軍政權	guänt jênk keun	
軍政時期	guänt jênk si key	
軍政人員	guänt jênk yant yeun	
軍職	guänt jëk	
君之	guänt jï	反正，橫豎
軍種	guänt jõnk	
軍裝	guänt jöng	
君子動口不動手	guänt jĩ dònk hãw bät dònk sãw	
君子協定	guänt jĩ hîb dènk	
君子好逑	guänt jĩ hõw kaw	
君子之交	guänt jĩ jï gäu	
君子之交淡如水	guänt jĩ jï gäu dam yeu sõy	
軍權	guänt keun	
君權	guänt keun	
軍旗	guänt key	
軍規	guänt kuäy	
軍區	guänt köy	
君臨天下	guänt lamp tïn hà	
軍糧	guänt leong	
軍艦	guänt làm	
軍禮	guänt láy	
軍力	guänt lèk	
軍令	guänt lènk	
軍律	guänt lòt	
軍旅	guänt lóy	
軍民	guänt mant	
軍民一家	guänt mant yät gä	
軍馬	guänt má	
軍務	guänt mòw	
軍帽	guänt mòw	
軍樂	guänt ngòg	
軍樂隊	guänt ngòg dòy	
軍心	guänt sämp	
軍士	guänt sì	
軍事	guänt sì	
軍事化	guänt sì fâ	
軍事法庭	guänt sì fâd tenk	
軍事訓練	guänt sì fânt lìn	
軍事家	guänt sì gä	
軍事基地	guänt sì gëy dèy	
軍事顧問	guänt sì gû mànt	
軍事行動	guänt sì hank dònk	
軍事學校	guänt sì hòg hàu	
軍事學院	guänt sì hòg yeùn	
軍事區	guänt sì köy	
軍事委員	guänt sì wãy yeun	
軍事委員會	guänt sì wãy yeun wùi	
軍事演習	guänt sì yĩn jàb	
軍師	guänt sï	
軍屬	guänt sòk	
軍需	guänt söy	
軍需品	guänt söy bãnt	
軍團	guänt teun	
均勻	guänt want	
君王	guänt wong	
軍援	guänt wun	
軍委	guänt wãy	
軍威	guänt wäy	
軍人	guänt yant	
軍營	guänt yenk	
軍醫	guänt yï	
軍用	guänt yònk	
軍用品	guänt yònk bãnt	
軍用機場	guänt yònk gëy ceong	
軍用物資	guänt yònk màt jï	
骨	guät	骨頭
骨	guät	一刻，四分之一，十五分鐘
骨	guät	關，關卡
骨痺	guät bêy	肉麻
骨縫	guät fonk	
骨粉	guät fãnt	
骨科	guät fö	
骨科醫生	guät fö yï sänk	
骨灰	guät füi	
骨灰罈	guät füi tâm	
骨灰甕	guät füi ônk	
骨骼	guät gâg	
骨架	guät gã	
骨感	guät gãmp	
骨鯁	guät gãnk	
骨鯁在喉	guät gãnk jòi haw	
骨幹	guät gôn	
骨幹份子	guät gôn fànt jĩ	
骨骸	guät hai	
骨氣	guät hêy	
骨質	guät jät	
骨質疏鬆	guät jät sö sönk	
骨質疏鬆症	guät jät sö sönk jênk	
骨節	guät jîd	
骨折	guät jîd	
骨緻	guät jĩ	精緻，別緻，雅緻，玲瓏
骨膜	guät mòg	
骨膜炎	guät mòg yim	
骨癌	guät ngam	
骨女	guät nóy	按摩女郎
骨牌	guät pai	
骨牌效應	guät pai hàu yênk	
骨盆	guät pun	
骨瘦如柴	guät sâw yeu cai	
骨瘦如材	guät sâw yeu coi	
骨髓	guät sóy	
骨髓炎	guät sóy yim	
骨壇	guät tan	
骨頭	guät taw	
骨肉	guät yòk	
骨肉至親	guät yòk jî cänt	
骨肉之情	guät yòk jï cenk	
骨肉相殘	guät yòk seöng can	
骨肉相連	guät yòk seöng lin	
骨肉團聚	guät yòk teun jòy	
龜	guäy	烏龜
歸併	guäy bênk	
龜鱉	guäy bîd	
龜卜	guäy bök	
歸程	guäy cenk	
龜蛋	guäy dãn	龜兒子，王八蛋
歸隊	guäy dòy	
歸檔	guäy dông	
歸化	guäy fâ	
歸返	guäy fãn	
歸國	guäy guôg	
龜甲	guäy gâb	
歸咎	guäy gâw	
歸咎於	guäy gâw yeü	
歸根	guäy gänt	
歸根到底	guäy gänt dôw dãy	
歸根究底	guäy gänt gâw dãy	
歸根結蒂	guäy gänt gîd dây	
歸根結底	guäy gänt gîd dãy	
歸結	guäy gîd	
歸功	guäy gönk	
龜公	guäy gönk	王八，戴綠帽子的人
龜公	guäy gönk	拉皮條的
歸功於	guäy gönk yeü	
歸鄉	guäy heöng	
龜殼	guäy hôg	
龜殼花	guäy hôg fä	
歸去	guäy hôy	
歸罪	guäy jòy	
歸罪於	guäy jòy yeü	
歸路	guäy lòw	
歸類	guäy lòy	
歸類法	guäy lòy fâd	
龜紋	guäy mant	
歸納	guäy nàb	
歸納法	guäy nàb fâd	
閨女	guäy nóy	
龜婆	guäy põ	鴇母，老鴇
龜筮	guäy sày	
歸心似箭	guäy sämp cí jîn	
歸西	guäy säy	
歸屬	guäy sòk	
歸屬於	guäy sòk yeü	
歸順	guäy sònt	
龜縮	guäy sök	
龜頭	guäy taw	
歸途	guäy tow	
歸天	guäy tïn	
歸還	guäy wan	
歸位	guäy wày	
歸位鍵	guäy wày gìn	
鮭魚	guäy yeu	
歸入	guäy yàp	
圭臬	guäy yìd	
龜肉	guäy yòk	
歸案	guäy ôn	
隙縫	guëk fonk	
過程	guô cenk	
過底紙	guô dãy jĩ	復寫紙
