开放粤语词典（粤语拼音字调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
合埋一齐去	gâb mai yät cay hôy	搭伙一块儿去
夹万	gâb màn	保险箱，保险柜
夹硬	gâb ngàng	硬着，硬的，硬是
夹硬要佢去	gâb ngàng	硬是要他去
夹硬迫入去	gâb ngàng	硬着挤进去
夹袄	gâb ngôw	
夹衲	gâb nàb	夹衣
夹被	gâb péy	
合手	gâb sãw	紧密配合
合手合脚	gâb sãw gâb geôg	互相配合，一齐动手
挟餸	gâb sônk	夹菜，搛菜
甲烷	gâb yeun	
隔	gâg	距离，间隔
隔	gâg	滤，过滤，滤去
胳臂	gâg bêy	
隔壁	gâg bëk	
胳膊	gâg bôg	
胳膀	gâg bôg	
隔墙有耳	gâg ceong yáw yí	
革除	gâg coy	
格调	gâg dìu	
格价	gâg gâ	比价，打听价格，互相比较
格局	gâg gòk	
隔阂	gâg hàt	
隔开	gâg höi	
格仔	gâg jãy	格子，格儿
格仔饼	gâg jãy bẽng	格子松饼，格子饼，窝夫
格仔纸	gâg jãy jĩ	方格纸，坐标纸
格仔裙	gâg jãy kuant	花格裙子
格仔恤	gâg jãy söt	花格衬衫
隔渣	gâg jä	过滤渣滓
革职	gâg jëk	
胳肢窝	gâg jï wö	
隔咗咁耐	gâg jõ gâmp nòi	这么久了，已经这么久了，隔了这么长时间
隔篱	gâg ley	隔壁，邻居，旁边
隔篱饭香	gâg ley fàn heöng	外国的月亮比较圆
隔篱邻舍	gâg ley lont sê	邻居，街坊
隔篱屋	gâg ley ngök	隔壁邻居
胳肋底	gâg läg dãy	腋下，胳膊窝，腋窝，胳肢窝
胳肋底毛	gâg läg dãy mow	腋毛
革履	gâg léy	
革命	gâg mènk	
革命党	gâg mènk dõng	
革命化	gâg mènk fâ	
革命军	gâg mènk guänt	
革命家	gâg mènk gä	
革命战争	gâg mènk jîn jänk	
革命知识分子	gâg mènk jï sëk fànt jĩ	
革命文学	gâg mènk mant hòg	
革命委员	gâg mènk wãy yeun	
革命委员会	gâg mènk wãy yeun wùi	
革命英雄主义	gâg mènk yënk honk jeũ yì	
革命意志	gâg mènk yî jî	
革面洗心	gâg mìn sãy sämp	
膈膜	gâg mòg	
格外	gâg ngòi	
格杀勿论	gâg sâd màt lònt	
革新	gâg sänt	
革新派	gâg sänt pâi	
隔夜	gâg yè	隔了一夜的，前一天的
隔夜茶	gâg yè ca	隔了一夜的茶
隔夜茶唔饮得	gâg yè ca m yãmp däk	隔了一夜的茶不能喝
隔夜饭	gâg yè fàn	剩饭，前一天的剩饭
隔夜仇	gâg yè saw	很小的嫌隙
隔夜餸	gâg yè sônk	剩菜，前一天的剩菜
鎅	gâi	锯，割
鎅板	gâi bãn	把木材锯成板子
鎅崩手	gâi bänk sãw	割破手
戒备	gâi bèy	
介词	gâi ci	
鎅亲	gâi cänt	刮破，刮伤，刮出一点小伤口
疥疮	gâi cöng	
界定	gâi dènk	
鎅刀	gâi döw	裁纸、切薄木的刀
介乎	gâi fu	介于，之间，在…之间
鎅花	gâi fä	刮出一点痕迹
界限	gâi hàn	
介系词	gâi hày ci	
戒口	gâi hãw	忌口
芥酱	gâi jeông	芥末酱
介质	gâi jät	
鎅纸	gâi jĩ	裁纸
戒指	gâi jĩ	
鎅纸刀	gâi jĩ döw	割纸刀
届期	gâi key	
芥蓝菜	gâi lam côi	
芥辣	gâi làd	芥末
芥兰	gâi lãn	甘蓝菜，芥蓝菜，花茎甘蓝
戒唔甩	gâi m lät	戒不掉
介面	gâi mìn	
芥末	gâi mùd	
戒奶	gâi nái	断奶
介绍	gâi sìu	
介绍信	gâi sìu sônt	
介绍所	gâi sìu sõ	
介绍人	gâi sìu yant	
疥癣	gâi sĩn	
戒甜	gâi tim	禁食甜品
介于	gâi yeü	
介入	gâi yàp	
介意	gâi yî	
监	gâm	趁着，带着
鉴别	gâm bìd	
鉴察	gâm câd	
鉴定	gâm dènk	
鉴定人	gâm dènk yant	
减价	gâm gâ	
鉴戒	gâm gâi	
鉴频	gâm pant	
鉴频器	gâm pant hêy	
鉴赏	gâm seõng	
鉴赏家	gâm seõng gä	
鉴赏力	gâm seõng lèk	
鉴赏能力	gâm seõng nank lèk	
监生食	gâm säng sèk	生着吃
鉴识	gâm sëk	
鉴往知来	gâm wóng jï loi	
鉴于	gâm yeü	
监热食	gâm yìd sèk	热着吃，趁热吃
咁	gâmp	这么，那么
禁闭	gâmp bây	
禁闭室	gâmp bây sät	
咁串	gâmp ceûn	趾高气扬，骄傲自大、自命不凡的样子
咁迟先嚟	gâmp ci sïn ley	这么晚才来
禁地	gâmp dèy	
禁赌	gâmp dõw	
咁多年	gâmp dö nin	这么多年，那么多年
咁多位	gâmp dö wày	各位，诸位
咁鬼死…	gâmp guãy sẽy	那么…
禁军	gâmp guänt	
禁果	gâmp guõ	
禁忌	gâmp gèy	
咁嘅嘢	gâmp gê yé	这种事，这种东西
咁高咁大	gâmp göw gâmp dài	差不多
禁绝	gâmp jeùd	
咁滞	gâmp jày	快要，即将，差不多
咁盏	gâmp jãn	有这等好事
禁酒	gâmp jãw	
禁酒令	gâmp jãw lènk	
咁做	gâmp jòw	这么做
禁止	gâmp jĩ	
禁止停车	gâmp jĩ tenk cë	
禁止通行	gâmp jĩ tönk hank	
赣剧	gâmp kèg	
禁区	gâmp köy	
禁脔	gâmp leũn	
禁例	gâmp lày	
禁令	gâmp lènk	
咁盟塞	gâmp mank säk	不开窍，不明事理，信息闭塞
咁晏	gâmp ngân	这么晚
咁啱	gâmp ngäm	那么巧
咁啱嘅	gâmp ngäm gê	怎么这么凑巧，怎么会这么巧
咁上下	gâmp seông hã	差不多
禁书	gâmp seü	
禁食	gâmp sèk	
淦水	gâmp sõy	
禁条	gâmp tiu	
禁运	gâmp wànt	
禁运令	gâmp wànt lènk	
禁卫	gâmp wày	
禁卫军	gâmp wày guänt	
噤若寒蝉	gâmp yeòg hon sin	
禁烟	gâmp yïn	
禁欲	gâmp yòk	
禁欲主义	gâmp yòk jeũ yì	
禁用	gâmp yònk	
橺	gân	隔开，隔出
间尺	gân cêg	尺子，直尺
间谍	gân dìb	
橺房	gân fõng	打隔断
间隔	gân gâg	
间接	gân jîb	
橺一间房	gân yät gän fõng	隔出一个房间来
更多	gânk dö	
更加	gânk gä	
鸽	gâp	鸽子
蛤蚧	gâp gãi	
蛤蜊	gâp ley	
铰	gâu	合页，铰链
较	gâu	调节，调整，校正
教程	gâu cenk	
教材	gâu coi	
教导	gâu dòw	
教导有方	gâu dòw yáw föng	
校对	gâu dôy	
教训	gâu fânt	
教科文	gâu fö mant	
教科书	gâu fö seü	
教父	gâu fù	
教诲	gâu fûi	
教诫	gâu gâi	
教改	gâu gõi	
教官	gâu gün	
校官	gâu gün	
教学	gâu hòg	
教学不倦	gâu hòg bät geùn	
教学大纲	gâu hòg dài göng	
教学相长	gâu hòg seöng jeõng	
校正	gâu jênk	
教职	gâu jëk	
较早前	gâu jõw cin	早前，早些时候，刚刚不久
较早时	gâu jõw si	早前，早些时候，刚刚不久
较钟	gâu jönk	对表
教宗	gâu jönk	
铰剪	gâu jĩn	剪刀
教规	gâu kuäy	
教区	gâu köy	
教区长	gâu köy jeõng	
教练	gâu lìn	
较味	gâu mèy	烹调食物的时候加上调料调味
教务	gâu mòw	
教务处	gâu mòw ceû	
教务长	gâu mòw jeõng	
酵母	gâu mów	
教派	gâu pâi	
教书	gâu seü	
教授	gâu sàw	
教室	gâu sät	
教师	gâu sï	
教师节	gâu sï jîd	
教唆	gâu sö	
教唆犯	gâu sö fãn	
教唆罪	gâu sö jòy	
教坛	gâu tan	
教廷	gâu tenk	
教条	gâu tiu	
教条主义	gâu tiu jeũ yì	
教堂	gâu tong	
教皇	gâu wong	
教坏	gâu wài	
教会	gâu wùi	
教会学校	gâu wùi hòg hàu	
教员	gâu yeun	
教养	gâu yeóng	
教研	gâu yin	
教友	gâu yáw	
教义	gâu yì	
教育	gâu yòk	
教育部	gâu yòk bòw	
教育部长	gâu yòk bòw jeõng	
教育方针	gâu yòk föng jämp	
教育界	gâu yòk gâi	
教育家	gâu yòk gä	
教育局	gâu yòk gòk	
教育局长	gâu yòk gòk jeõng	
教育改革	gâu yòk gõi gâg	
教育学	gâu yòk hòg	
教育学院	gâu yòk hòg yeùn	
教育制度	gâu yòk jây dòw	
教育厅	gâu yòk tënk	
教育厅长	gâu yòk tënk jeõng	
诟病	gâw bèng	
救兵	gâw bënk	
够呛	gâw ceöng	
救出	gâw cöt	
救翻	gâw fän	救回
救火	gâw fõ	
救火车	gâw fõ cë	
救火队	gâw fõ dòy	
救火员	gâw fõ yeun	
救苦救难	gâw fũ gâw nàn	
够姜	gâw geöng	有种，老辣，有胆量，有骨气
救国	gâw guôg	
救国救民	gâw guôg gâw mant	
救驾	gâw gâ	
救急	gâw gäp	
究竟	gâw gẽnk	到底，究竟
救主	gâw jeũ	
救济	gâw jây	
救走	gâw jãw	
救治	gâw jì	
救助	gâw jò	
够咗有突	gâw jõ yáw dàt	够了有余
救灾	gâw jöi	
够钟数	gâw jönk sôw	到时间了
够quali	gâw kö lĩ	够格，有资格
救命	gâw mèng	
救命恩人	gâw mènk yänt yant	
够时候咯	gâw si hàw lôg	时间到了，到点了
救世	gâw sây	
救世军	gâw sây guänt	
救世主	gâw sây jeũ	
救生	gâw sänk	
救生圈	gâw sänk heün	
救生艇	gâw sänk ténk	
救生衣	gâw sänk yï	
救星	gâw sënk	
救赎	gâw sòk	
够数	gâw sôw	够，齐
媾和	gâw wo	
救援	gâw wun	
救援军	gâw wun guänt	
救援人员	gâw wun yant yeun	
够运	gâw wànt	走运
救护车	gâw wù cë	
救活	gâw wùd	
救人如救火	gâw yant yeu gâw fõ	
救人一命	gâw yant yät mènk	
够有突	gâw yáw dàt	有余
计清楚	gây cënk cõ	算清楚
计带	gây dâi	计较，在意，介意
计掂	gây dìm	算好，算好了
计翻条数	gây fän tiu sôw	算起来，如此算来
计吓	gây há	算算，算一下
计吓条数	gây há tiu sôw	算算帐
计正	gây jêng	按理说，照理说，按道理，本来
继续	gây jòk	
计落	gây lòg	算起来，如此算来
计唔清	gây m cënk	数不清，算不清，无法算得清楚
计唔掂	gây m dìm	算不清
计埋	gây mai	把那些都算上
计我话	gây ngó wà	依我看，依我说，按我的意思
计你话	gây néy wà	依你说，依你看，按你的意思
继承	gây senk	
继承者	gây senk jẽ	
继承人	gây senk yant	
计算	gây seûn	
计晒	gây sâi	都算完了，全部算好了
计数	gây sôw	计算，算帐
计数机	gây sôw gëy	计算器，计算机
计条数	gây tiu sôw	算一算
计划	gây wàg	
救人	gây yant	
假膊	gã bôg	垫肩
假设	gã cîd	
假飞	gã fëy	假票
假装	gã jöng	
假使	gã sĩ	
尕娃	gã wä	
夹	gãb	夹子
解	gãi	解释，说明
解雇	gãi gû	
解决	gãi keûd	
解缬	gãi lîd	解开结，解开疙瘩
解剖	gãi pãw	
解释	gãi sëk	
解脱	gãi teûd	
减半	gãm bûn	
减产	gãm cãn	
减速	gãm cök	
减低	gãm däy	
减肥	gãm fey	
减轻	gãm hënk	
减值	gãm jèk	
减租减息	gãm jöw gãm sëk	
减慢	gãm màn	
减免	gãm mín	
减薪	gãm sänt	
减息	gãm sëk	
减税	gãm sôy	
减缩	gãm sök	
减少	gãm sĩu	
减退	gãm tôy	
减缓	gãm wùn	
减刑	gãm yenk	
减弱	gãm yeòg	
减压	gãm âd	
…噉	gãmp	…的样子
噉	gãmp	那么，这么，那样，这样
锦标赛	gãmp bïu côi	
感情	gãmp cenk	
感情用事	gãmp cenk yònk sì	
感触	gãmp cök	
感动	gãmp dònk	
感到	gãmp dõw	
敢当	gãmp döng	
噉都得	gãmp döw däk	怎么可以这样，居然可以这样，这样都行？
噉都得嘅？	gãmp döw däk gê	这还行？
噉都好	gãmp döw hõw	这样子也好
噉都唔得	gãmp döw m däk	这样还不行吗，这样干也不行吗
噉都唔得咩	gãmp döw m däk më	难道这样还不行吗，难道这样都不行吗
感化	gãmp fâ	
感化院	gãmp fâ yeùn	
感光	gãmp guöng	
…噉解	gãmp gãi	这就是为什么…，这样来理解
感激	gãmp gëk	
感激不尽	gãmp gëk bät jònt	
感激万分	gãmp gëk màn fänt	
感觉	gãmp gôg	
感官	gãmp gün	
感兴趣	gãmp hênk côy	
感荷	gãmp hò	
噉就弊	gãmp jàw bày	这样就糟糕了，这样做就糟糕了
噉就啱	gãmp jàw ngäm	这样就对了，那就对了，这样做就对了
感谢	gãmp jè	
感召	gãmp jìu	
感召力	gãmp jìu lèk	
噉仲得掂	gãmp jònk däk dìm	这还了得
敢作敢当	gãmp jôg gãmp döng	
敢作敢为	gãmp jôg gãmp way	
感慨	gãmp kôi	
感慨万千	gãmp kôi màn cïn	
橄榄	gãmp lám	
噉唔系	gãmp m hày	可不是吗
敢问	gãmp mànt	
感冒	gãmp mòw	
感冒药	gãmp mòw yeòg	
敢怒不敢言	gãmp nòw bät gãmp yin	
敢怒而不敢言	gãmp nòw yi bät gãmp yin	
感想	gãmp seõng	
感伤	gãmp seöng	
感受	gãmp sàw	
感性	gãmp sênk	
敢死	gãmp sẽy	
敢死队	gãmp sẽy dòy	
感同身受	gãmp tonk sänt sàw	
感叹	gãmp tân	
感叹词	gãmp tân ci	
…噉头	gãmp tãw	像…似的，…的样子
感人	gãmp yant	
感人肺腑	gãmp yant fây fũ	
噉样	gãmp yeõng	这样，那样，这么样，这么着
噉又得	gãmp yàw däk	怎么可以这样，居然可以这样
噉又点	gãmp yàw dĩm	那又怎样？，这么说来，打算怎么样
噉又点呀？	gãmp yàw dĩm â	那又怎样？
噉又系	gãmp yàw hày	说的也是，可也是
噉又唔系	gãmp yàw m hày	那倒不是
噉又唔系噃	gãmp yàw m hày bô	那倒不是的
噉又唔同	gãmp yàw m tonk	那就不同
感恩荷德	gãmp yänt hò däk	
感恩节	gãmp yänt jîd	
感应	gãmp yênk	
感染	gãmp yím	
感染力	gãmp yím lèk	
感悟	gãmp ǹg	
拣	gãn	选，挑，选择，挑选
枧	gãn	肥皂
简单	gãn dän	
枧粉	gãn fãnt	洗衣粉，肥皂粉
简简单单	gãn gãn dän dän	很简单
枧盒	gãn hàb	肥皂盒
拣择	gãn jàg	挑选，挑剔
简直	gãn jèk	
简直系	gãn jèk hày	简直是
简略	gãn leòg	
简陋	gãn làw	
枧片	gãn pĩn	肥皂片
硷性	gãn sênk	
柬帖	gãn tîb	
拣饮择食	gãn yãmp jàg sèk	挑吃拣喝
枧液	gãn yèk	肥皂液
梗	gãnk	当然，一定
亘古	gãnk gũ	
亘古以来	gãnk gũ yí loi	
梗系	gãnk hày	当然
梗系啦	gãnk hày lä	当然是了
哽咽	gãnk yîd	
…紧	gãnt	…着，正在…
仅存	gãnt ceun	
仅次于	gãnt cî yeü	
仅此	gãnt cĩ	
谨防	gãnt fong	
谨防假冒	gãnt fong gã mòw	
谨防扒手	gãnt fong pa sãw	
仅仅	gãnt gãnt	
紧急	gãnt gäp	
仅供	gãnt gönk	
仅供参考	gãnt gönk cäm hãu	
仅可	gãnt hõ	
紧张	gãnt jeöng	
紧箍咒	gãnt kü jâw	
紧密	gãnt màt	
谨慎	gãnt sànt	
仅有	gãnt yáw	
仅以身免	gãnt yí sänt mín	
紧要	gãnt yîu	要紧，重要，严重
紧要事	gãnt yîu sì	重要事情，要紧的事
搅	gãu	搞，做，办
狡辩	gãu bìn	
搅边科呀	gãu bïn fö â	搞什么鬼？
搅拌	gãu bùn	
搅错	gãu cô	弄错，搞错
搅得掂	gãu däk dìm	办得到，能办好
搅掂	gãu dìm	办好，办妥，弄好
搅到	gãu dôw	搞得，弄得
搅到咁大剂	gãu dôw gâmp dài jäy	弄得这么严重，事情闹大了
搅到咁大镬	gãu dôw gâmp dài wòg	弄得这么严重，事情闹大了
搅到满天神佛	gãu dôw mún tïn sant fàt	都闹翻天了，整个翻了天
搅到乌喱单刀	gãu dôw wü lëy dän döw	弄得一塌糊涂
搅到一身潺	gãu dôw yät sänt san	惹得许多麻烦，惹了一身麻烦，招惹了许多麻烦
搅花臣	gãu fä sãnt	搞花样
搅风搅雨	gãu fönk gãu yeú	兴风作浪，搬弄是非
绞架	gãu gã	
搅搅震	gãu gãu jânt	穷折腾，不停地瞎闹
佼佼者	gãu gãu jẽ	
搅gag	gãu gëg	搞笑，讲笑话
皎洁	gãu gîd	
姣好	gãu hõw	
狡诈	gãu jâ	
搞砸	gãu jâb	
绞尽脑汁	gãu jònt nów jäp	
搅作	gãu jôg	搞法
饺子	gãu jĩ	
狡黠	gãu kîd	
狡狯	gãu kũi	
搅烂gag	gãu làn gëg	讲冷笑话
搅唔掂	gãu m dìm	办不到，弄不了，不好办
搅成噉	gãu senk gãmp	弄成这样
绞杀	gãu sâd	
搅三搅四	gãu säm gãu sêy	拈花惹草
搅事	gãu sì	闹事
搅笑	gãu sîu	好笑，搞笑
搅衰	gãu söy	弄坏
搅屎棍	gãu sĩ guânt	刺儿头，搞事者，搞事的
绞痛	gãu tônk	
狡猾	gãu wàd	
搅堝	gãu wó	弄坏，搞坏，弄糕，搞糟
绞刑	gãu yenk	
搅瘀	gãu yeũ	搞糟，搞砸，搞糟糕
绞肉	gãu yòk	
绞肉机	gãu yòk gëy	
九品	gãw bãnt	
久别	gãw bìd	
久别重逢	gãw bìd conk fonk	
九泉	gãw ceun	
九泉之下	gãw ceun jï hà	
纠缠	gãw cin	
纠缠不清	gãw cin bät cënk	
纠察	gãw câd	
纠察队	gãw câd dòy	
纠察人员	gãw câd yant yeun	
韭菜	gãw côi	
苟且	gãw cẽ	
狗窦	gãw dâw	狗窝
九点	gãw dĩm	
九点钟	gãw dĩm jönk	
狗吠	gãw fày	
纠纷	gãw fänt	
狗脚	gãw geôg	
九九表	gãw gãw bĩu	
九九重阳	gãw gãw conk yeong	
九九登高	gãw gãw dänk göw	
九九乘法	gãw gãw senk fâd	
九九乘法表	gãw gãw senk fâd bĩu	
狗急跳墙	gãw gäp tîu ceong	
纠结	gãw gîd	
狗叫声	gãw gîu sënk	
九个字	gãw gô jì	四十五分钟
纠葛	gãw gôd	
狗公	gãw gönk	公狗
九宫	gãw gönk	
九宫格	gãw gönk gâg	
枸杞	gãw gẽy	
狗血淋头	gãw heûd lamp taw	狗血喷头
狗血喷头	gãw heûd pânt taw	
狗熊	gãw honk	
苟合	gãw hàb	
纠集	gãw jàb	
狗仔	gãw jãy	小狗
狗仔队	gãw jãy dòy	
纠正	gãw jênk	
狗嘴吐不出象牙	gãw jõy tôw bät cöt jeòng nga	
九曲十三弯	gãw kök sàp säm wän	弯弯曲曲
九唔搭八	gãw m dâb bâd	牛头不对马嘴
狗命	gãw mènk	
九命怪猫	gãw mènk guâi mäu	
九牛二虎之力	gãw ngaw yì fũ jï lèk	
九牛一毛	gãw ngaw yì mow	
狗咬狗	gãw ngáu gãw	
狗咬吕洞宾	gãw ngáu lóy dònk bänt	
狗牙	gãw ngã	锯齿状的
狗牙边	gãw ngã bïn	锯齿边
狗年	gãw nin	
九年级	gãw nin käp	
狗乸	gãw nã	母狗
狗屁	gãw pêy	
狗屁不通	gãw pêy bät tönk	
九十	gãw sàp	
狗蝨	gãw sät	跳蚤
九霄云外	gãw sïu want ngòi	
狗屎	gãw sĩ	
九死一生	gãw sẽy yät sänk	
苟同	gãw tonk	
久违	gãw way	
狗窝	gãw wö	
苟活	gãw wùd	
久仰	gãw yeóng	
久仰大名	gãw yeóng dài menk	
九月	gãw yeùd	
九月份	gãw yeùd fànt	
久而久之	gãw yi gãw jï	
狗肉	gãw yòk	
狗肉汤	gãw yòk töng	
偈	gãy	内燃机
计	gãy	办法，主意
偈	gãy	话
计仔	gãy jãy	办法，主意，计策
偈油	gãy yaw	机油，机器润滑油
加把口	gä bã hãw	插嘴，插一嘴
加班	gä bän	
加班费	gä bän fây	
嘉宾	gä bänt	
家仆	gä bòk	
家蚕	gä cam	
加长	gä ceong	
加场	gä ceong	
加场赛	gä ceong côi	
家财	gä coi	
家丑	gä cãw	
家丑不可外扬	gä cãw bät hõ ngòi yeong	
加菜	gä côi	加餐
加菜	gä côi	
加速	gä cök	
家畜	gä cök	
加速器	gä cök hêy	
加粗	gä cöw	
加大	gä dài	
加快	gä fâi	
家训	gä fânt	
家伙	gä fõ	
家眷	gä geun	
家教	gä gâu	
加减	gä gãm	
加减法	gä gãm fâd	
加减乘除	gä gãm senk coy	
加紧	gä gãnt	
家具	gä gòy	
加工	gä gönk	
家公	gä gönk	公公
加工品	gä gönk bãnt	
加工厂	gä gönk cõng	
加高	gä göw	
家居	gä göy	
加固	gä gû	
加官	gä gün	
加官晋爵	gä gün jônt jeôg	
加官进禄	gä gün jônt lòk	
家境	gä gẽnk	
家境清寒	gä gẽnk cënk hon	
家乡	gä heöng	
家乡话	gä heöng wã	
家下	gä há	现在，这会儿
加厚	gä háw	
加号	gä hòw	
家长	gä jeõng	
家长会	gä jeõng wùi	
家阵	gä jãnt	现在，这会儿
加值	gä jèk	
家政	gä jênk	
家姐	gä jë	大姐，亲姐姐
家族	gä jòk	
家祖	gä jõw	
家中	gä jönk	
家禽	gä kamp	
加强	gä keong	
加仑	gä lont	
加力	gä lèk	
加盟	gä mank	
家门	gä mun	
加密	gä màt	
家猫	gä mäu	
加冕	gä mín	
加冕典礼	gä mín dĩn láy	
家务	gä mòw	
加拿大人	gä na dài yant	
家奴	gä now	
家破人亡	gä pô yant mong	
家婆	gä põ	婆婆
加倍	gä púi	
家常	gä seong	
家常便饭	gä seong bìn fàn	
家常菜	gä seong côi	
家常饭	gä seong fàn	
加上	gä seòng	
家书	gä seü	
家世	gä sây	
袈裟	gä sä	
加深	gä sämp	
家山有眼	gä sän yáw ngán	祖宗有灵
加薪	gä sänt	
加色	gä sëk	
家事	gä sì	
家俬	gä sï	家俱
家俬铺	gä sï põw	家具店
家属	gä sòk	
加餸	gä sônk	加菜
家信	gä sônt	
加税	gä sôy	
枷锁	gä sõ	
家嫂	gä sõw	媳妇，儿媳妇，儿媳
家头细务	gä taw sây mòw	家务，家务事，家庭琐事
家庭	gä tenk	
家庭教师	gä tenk gâu sï	
家庭工业	gä tenk gönk yìb	
家庭主妇	gä tenk jeũ fú	
家庭作业	gä tenk jôg yìb	
家人	gä yant	
加人一等	gä yant yät dãnk	
加油	gä yaw	
加油站	gä yaw jàm	
加油添醋	gä yaw tïm côw	
家蝇	gä yenk	
家园	gä yeun	
家喻户晓	gä yeù wù hĩu	
加于	gä yeü	
加入	gä yàp	
加热	gä yìd	
加以	gä yí	
家燕	gä yîn	
家用	gä yònk	
家用电脑	gä yònk dìn nów	
家用	gä yõnk	家里的开支
加压	gä âd	
街边	gäi bïn	马路边，街道旁边
阶层	gäi cank	
街车	gäi cë	
阶段	gäi deùn	
皆大欢喜	gäi dài fün hẽy	
街灯	gäi dänk	
街道	gäi dòw	
街坊	gäi föng	
街角	gäi gôg	
佳境	gäi gẽnk	
街景	gäi gẽnk	
街喉	gäi haw	消防栓
街口	gäi hãw	路口，街段
街口	gäi hãw	
阶砖	gäi jeün	方砖，地砖，地板砖
阶砖	gäi jeün	方块，方片儿，方块儿
阶砖仔	gäi jeün jãy	马赛克，马赛克方块石
佳节	gäi jîd	
街知巷闻	gäi jï hòng mant	家喻户晓
佳作	gäi jôg	
街井	gäi jẽng	消防栓
佳期	gäi key	
佳肴	gäi ngau	
佳肴美酒	gäi ngau méy jãw	
佳评	gäi penk	
佳评如潮	gäi penk yeu ciu	
街市	gäi sí	菜市场
街市仔	gäi sí jãy	菜市小贩，摆摊卖菜的，市井之徒
街市佬	gäi sí lõw	菜市小贩
街头	gäi taw	
佳人	gäi yant	
皆有	gäi yáw	
皆因	gäi yänt	都是因为
监	gäm	强迫，逼迫
监察	gäm câd	
监察官	gäm câd gün	
监察人	gäm câd yant	
监察院	gäm câd yeùn	
监察院长	gäm câd yeùn jeõng	
监测	gäm cäk	
监测器	gäm cäk hêy	
监仓	gäm cöng	监狱，牢房
监督	gäm dök	
尴尬	gäm gâi	
尴尬	gäm gâi	
监工	gäm gönk	
缄口	gäm hãw	
监制	gäm jây	
监守自盗	gäm sãw jì dòw	
监视	gäm sì	
监视器	gäm sì hêy	
监听	gäm tënk	
监听器	gäm tënk hêy	
监护	gäm wù	
监护人	gäm wù yant	
监狱	gäm yòk	
禁不起	gämp bät hẽy	
禁不住	gämp bät jeù	
金不换	gämp bät wùn	
金表	gämp bïu	
金钱	gämp cin	
金朝	gämp ciu	
今次	gämp cî	这次
禁得起	gämp däk hẽy	
禁得住	gämp däk jeù	
金发	gämp fâd	
金发碧眼	gämp fâd bëk ngán	
金发女郎	gämp fâd nóy long	
今非昔比	gämp fëy sëk bẽy	
金脚带	gämp geôg dâi	金环蛇
金瓜	gämp guä	
金橘	gämp guät	
金光	gämp guöng	
金光闪闪	gämp guöng sĩm sĩm	
金价	gämp gâ	
今届	gämp gâi	本届
柑桔	gämp gät	
今个月	gämp gô yeùd	这个月
今个月尾	gämp gô yeùd méy	这个月底
甘菊	gämp gök	
今后	gämp hàw	
金匠	gämp jeòng	
金像奖	gämp jeòng jeõng	
金奖	gämp jeõng	
金猪	gämp jeü	烤猪
金砖	gämp jeün	
金针	gämp jämp	黄花菜，金针菜
金针菜	gämp jämp côi	黄花菜，金针菜
甘蔗	gämp jê	
甘蔗渣	gämp jê jä	
甘蔗汁	gämp jê jäp	
甘蔗田	gämp jê tin	
金字	gämp jì	
金字塔	gämp jì tâb	
甘之如饴	gämp jï yeu yi	
金枝玉叶	gämp jï yòk yìb	
今朝	gämp jïu	今天早上
今朝有酒今朝醉	gämp jïu yáw jãw gämp jïu jôy	
金矿	gämp kuông	
金箍棒	gämp kü páng	
甘蓝	gämp lam	
今晚黑	gämp mán häk	今天晚上
金银	gämp ngant	
金银纸	gämp ngant jĩ	纸钱
金牛	gämp ngaw	
金牛座	gämp ngaw jò	
金额	gämp ngàg	
金鈪	gämp ngâg	金镯
今年	gämp nin	
金牌	gämp pai	
金牌奖	gämp pai jeõng	
金袍	gämp pow	
金铺	gämp põw	金店，金器店
今铺	gämp pöw	这次
甘薯	gämp seu	
今时今日	gämp si gämp yàt	现在，如今，这些日子，现在这个年头
今时唔同往日	gämp si m tonk wóng yàt	今非昔比
金蝉脱壳	gämp sin teûd hôg	
甘醇	gämp sont	
金手指	gämp sãw jĩ	背地里伤人
今生	gämp sänk	
今昔	gämp sëk	
金色	gämp sëk	
金星	gämp sënk	
金丝	gämp sï	
金属	gämp sòk	
泔水	gämp sõy	
甘甜	gämp tim	
今天	gämp tïn	
今匀	gämp want	这次
金黄	gämp wong	
金黄色	gämp wong sëk	
金援	gämp wun	
金鱼	gämp yeu	
金鱼缸	gämp yeu göng	
甘愿	gämp yeùn	
金融	gämp yonk	
金融界	gämp yonk gâi	
金融机构	gämp yonk gëy kâw	
金融中心	gämp yonk jönk sämp	
金融市场	gämp yonk sí ceong	
金融业	gämp yonk yìb	
今日	gämp yàt	今天
今日好冻	gämp yàt hõw dônk	今天很冷
金玉满堂	gämp yòk mún tong	
金瓯	gämp äw	
奸夫	gän fü	
艰苦	gän fũ	
艰巨	gän gòy	
艰巨	gän gôy	
艰险	gän hĩm	
艰困	gän kuânt	
艰难	gän nan	
奸臣	gän sant	
艰深	gän sämp	
艰辛	gän sänt	
更	gäng	班
耕作	gäng jôg	
耕种	gäng jônk	
耕田	gäng tin	
耕田佬	gäng tin lõw	庄稼人
耕耘	gäng want	
羹匙	gänk ci	
更始	gänk cí	
更定	gänk dènk	
更迭	gänk dìd	
更动	gänk dònk	
