开放粤语词典（黄锡凌调符调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］
呼风唤雨	'fu 'fʊŋ _wun ˏjy	
枯骨	'fu 'gwɐt	
枯干	'fu 'gɔn	
呼吸	'fu 'kɐp	
呼吸声	'fu 'kɐp 'sɛŋ	
呼吸道	'fu 'kɐp _dou	
呼吸系统	'fu 'kɐp _hɐi ´tʊŋ	
呼吸器官	'fu 'kɐp ¯hei 'gun	
呼吸困难	'fu 'kɐp ¯kwɐn ˌnan	
呼噜	'fu 'lou	
呼声	'fu 'sɛŋ	
呼天抢地	'fu 'tin ´tsœŋ _dei	
呼出	'fu 'tsœt	
孵出	'fu 'tsœt	
孵蛋	'fu _dan	
枯叶	'fu _jip	
呼籲	'fu _jy	
孵育	'fu _jʊk	
枯木	'fu _mʊk	
枯木逢春	'fu _mʊk ˌfʊŋ 'tsœn	
枯树	'fu _sy	
呼唤	'fu _wun	
俘获	'fu _wɔk	
孵化	'fu ¯fa	
呼叫	'fu ¯giu	
呼叫器	'fu ¯giu ¯hei	
呼救	'fu ¯gɐu	
呼救信号	'fu ¯gɐu ¯sœn _hou	
呼喊	'fu ¯ham	
呼气	'fu ¯hei	
呼应	'fu ¯jɪŋ	
呼应声	'fu ¯jɪŋ 'sɛŋ	
枯竭	'fu ¯kit	
枯涸	'fu ¯kɔk	
呼啸	'fu ¯siu	
呼啸而过	'fu ¯siu ˌji ¯gwɔ	
枯瘦	'fu ¯sɐu	
枯燥	'fu ¯tsou	
枯燥无味	'fu ¯tsou ˌmou _mei	
枯井	'fu ´dzɛŋ	
枯槁	'fu ´gou	
呼口号	'fu ´hɐu _hou	
敷衍	'fu ´jin	
敷衍了事	'fu ´jin ˏliu _si	
孵卵	'fu ´lœn	
枯死	'fu ´sei	
孵小鸡	'fu ´siu 'gɐi	
枯水	'fu ´sœy	
枯水位	'fu ´sœy _wɐi	
枯水期	'fu ´sœy ˌkei	
枯草	'fu ´tsou	
枯萎	'fu ´wɐi	
骷髅	'fu ˌlɐu	
麸皮	'fu ˌpei	
呼朋引类	'fu ˌpɐŋ ˏjɐn _lœy	
枯黄	'fu ˌwɔŋ	
枯荣	'fu ˌwɪŋ	
夫妇	'fu ˏfu	
俘虏	'fu ˏlou	
灰飞烟灭	'fui 'fei 'jin _mit	
灰色	'fui 'sik	
灰心	'fui 'sɐm	
灰心丧气	'fui 'sɐm ¯sɔŋ ¯hei	
魁星	'fui 'sɪŋ	
灰白	'fui _bak	
灰白色	'fui _bak 'sik	
灰烬	'fui _dzœn	
恢复	'fui _fʊk	
灰狗	'fui ´gɐu	
灰佬	'fui ´lou	奸细
灰鼠	'fui ´sy	
灰水	'fui ´sœy	石灰水
魁首	'fui ´sɐu	
诙谐	'fui ˌhai	
灰鲸	'fui ˌkɪŋ	
灰蒙蒙	'fui ˌmʊŋ ˌmʊŋ	
魁梧	'fui ˌŋ̩	
魁伟	'fui ˏwɐi	
髋骨	'fun 'gwɐt	髋骨
欢欣	'fun 'jɐn	
宽裕	'fun _jy	
欢乐	'fun _lɔk	
欢庆	'fun ¯hɪŋ	
宽广	'fun ´gwɔŋ	
欢喜	'fun ´hei	喜欢，爱好，喜爱，高兴，快乐
宽敞	'fun ´tsɔŋ	
欢迎	'fun ˌjɪŋ	
欢迎光临	'fun ˌjɪŋ 'gwɔŋ ˌlɐm	
宽容	'fun ˌjʊŋ	
挥刀	'fɐi 'dou	
挥之不去	'fɐi 'dzi 'bɐt ¯hœy	
徽章	'fɐi 'dzœŋ	
挥金如土	'fɐi 'gɐm ˌjy ´tou	
挥春	'fɐi 'tsœn	春联
挥别	'fɐi _bit	
挥泪	'fɐi _lœy	
挥发	'fɐi ¯fat	
挥霍	'fɐi ¯fɔk	
挥霍无度	'fɐi ¯fɔk ˌmou _dou	
挥剑	'fɐi ¯gim	
挥手	'fɐi ´sɐu	
挥拳	'fɐi ˌkyn	
辉煌	'fɐi ˌwɔŋ	
分崩离析	'fɐn 'bɐŋ ˌlei 'sik	
分崩离兮	'fɐn 'bɐŋ ˌlei ˌhɐi	
分支	'fɐn 'dzi	
分租	'fɐn 'dzou	
分针	'fɐn 'dzɐm	
纷争	'fɐn 'dzɐŋ	
分赃	'fɐn 'dzɔŋ	
分分钟	'fɐn 'fɐn 'dzʊŋ	随时，时时刻刻
分科	'fɐn 'fɔ	
芬芳	'fɐn 'fɔŋ	
分封	'fɐn 'fʊŋ	
分机	'fɐn 'gei	
分光	'fɐn 'gwɔŋ	
分居	'fɐn 'gœy	
分工	'fɐn 'gʊŋ	
分工合作	'fɐn 'gʊŋ _hɐp ¯dzɔk	
分开	'fɐn 'hɔi	
婚姻	'fɐn 'jɐn	
分忧	'fɐn 'jɐu	
分忧解劳	'fɐn 'jɐu ´gai ˌlou	
分区	'fɐn 'kœy	
分级	'fɐn 'kɐp	
分级淬火	'fɐn 'kɐp ¯tsœy ´fɔ	
分批	'fɐn 'pɐi	
婚纱	'fɐn 'sa	
婚纱铺	'fɐn 'sa ´pou	婚纱店
分析	'fɐn 'sik	
分色	'fɐn 'sik	
分式	'fɐn 'sik	
分式方程	'fɐn 'sik 'fɔŋ ˌtsɪŋ	
分析家	'fɐn 'sik 'ga	
分色镜	'fɐn 'sik ¯gɛŋ	
分析仪	'fɐn 'sik ˌji	
分销	'fɐn 'siu	
分销店	'fɐn 'siu ¯dim	
分心	'fɐn 'sɐm	
分身	'fɐn 'sɐn	
分身家	'fɐn 'sɐn 'ga	分财产，分家
分身乏术	'fɐn 'sɐn _fɐt _sœt	
婚丧喜庆	'fɐn 'sɔŋ ´hei ¯hɪŋ	
荤腥不沾	'fɐn 'sɛŋ 'bɐt 'dzim	
分清	'fɐn 'tsɪŋ	
分辨	'fɐn _bin	
分辨真假	'fɐn _bin 'dzɐn ´ga	
分辨是非	'fɐn _bin _si 'fei	
分辨善恶	'fɐn _bin _sin ¯ɔk	
分别	'fɐn _bit	
分别	'fɐn _bit	
分部	'fɐn _bou	
分道扬镳	'fɐn _dou ˌjœŋ 'biu	
分段	'fɐn _dyn	
分集	'fɐn _dzap	
吩咐	'fɐn _fu	
分赴	'fɐn _fu	
分局	'fɐn _gʊk	
分校	'fɐn _hau	
分号	'fɐn _hou	
婚后	'fɐn _hɐu	
分页	'fɐn _jip	
分立	'fɐn _lap	
分利	'fɐn _lei	
分列	'fɐn _lit	
分裂	'fɐn _lit	
分裂法	'fɐn _lit ¯fat	
分裂性	'fɐn _lit ¯sɪŋ	
分裂主义	'fɐn _lit ´dzy _ji	
分路	'fɐn _lou	
分类广告	'fɐn _lœy ´gwɔŋ ¯gou	
分馏	'fɐn _lɐu	
分馏法	'fɐn _lɐu ¯fat	
分馏器	'fɐn _lɐu ¯hei	
分馏塔	'fɐn _lɐu ¯tap	
婚事	'fɐn _si	
分属	'fɐn _sʊk	
婚外	'fɐn _ŋɔi	
婚外情	'fɐn _ŋɔi ˌtsɪŋ	
分泌	'fɐn ¯bei	
分泌物	'fɐn ¯bei _mɐt	
分泌腺	'fɐn ¯bei ¯sin	
婚变	'fɐn ¯bin	
分布	'fɐn ¯bou	
分布区	'fɐn ¯bou 'kœy	
分布图	'fɐn ¯bou ˌtou	
分店	'fɐn ¯dim	
纷至沓来	'fɐn ¯dzi _dap ˌlɔi	
分化	'fɐn ¯fa	
分发	'fɐn ¯fat	
婚嫁	'fɐn ¯ga	
婚假	'fɐn ¯ga	
分界	'fɐn ¯gai	
分界线	'fɐn ¯gai ¯sin	
分隔	'fɐn ¯gak	
分句	'fɐn ¯gœy	
婚媾	'fɐn ¯gɐu	
分割	'fɐn ¯gɔt	
婚宴	'fɐn ¯jin	
婚约	'fɐn ¯jœk	
分派	'fɐn ¯pai	
分配	'fɐn ¯pui	
分配率	'fɐn ¯pui _lœt	
分配律	'fɐn ¯pui _lœt	
分配器	'fɐn ¯pui ¯hei	
分散	'fɐn ¯san	
分线	'fɐn ¯sin	
分数	'fɐn ¯sou	
分岔路	'fɐn ¯tsa _lou	
分子式	'fɐn ´dzi 'sik	
分子筛	'fɐn ´dzi 'sɐi	
分子生物学	'fɐn ´dzi 'sɐŋ _mɐt _hɔk	
分子论	'fɐn ´dzi _lœn	
分子量	'fɐn ´dzi _lœŋ	
分子运动	'fɐn ´dzi _wɐn _dʊŋ	
分子结构	'fɐn ´dzi ¯git ¯kɐu	
分组	'fɐn ´dzou	
分组讨论	'fɐn ´dzou ´tou _lœn	
分解	'fɐn ´gai	
分馆	'fɐn ´gun	
分晓	'fɐn ´hiu	
分享	'fɐn ´hœŋ	
昏聩	'fɐn ´kui	
分水岭	'fɐn ´sœy ˏlɪŋ	
分手	'fɐn ´sɐu	
分毫	'fɐn ˌhou	
分行	'fɐn ˌhɔŋ	
分红	'fɐn ˌhʊŋ	
分而治之	'fɐn ˌji _dzi 'dzi	
婚筵	'fɐn ˌjin	
分期	'fɐn ˌkei	
分歧	'fɐn ˌkei	
分岐	'fɐn ˌkei	
分期付款	'fɐn ˌkei _fu ´fun	
分权	'fɐn ˌkyn	
分离	'fɐn ˌlei	
分流	'fɐn ˌlɐu	
婚龄	'fɐn ˌlɪŋ	
分门别类	'fɐn ˌmun _bit _lœy	
分文	'fɐn ˌmɐn	
分文不值	'fɐn ˌmɐn 'bɐt _dzik	
分文不取	'fɐn ˌmɐn 'bɐt ´tsœy	
分神	'fɐn ˌsɐn	
分成	'fɐn ˌsɪŋ	
熏陶	'fɐn ˌtou	
分词	'fɐn ˌtsi	
婚前	'fɐn ˌtsin	
酚醛塑料	'fɐn ˌtsyn ¯sou ˌliu	
分层	'fɐn ˌtsɐŋ	
分头	'fɐn ˌtɐu	
昏头晕脑	'fɐn ˌtɐu ˌwɐn ˏnou	
分庭抗礼	'fɐn ˌtɪŋ ¯kɔŋ ˏlɐi	
分为	'fɐn ˌwɐi	
纷纭	'fɐn ˌwɐn	
婚友社	'fɐn ˏjɐu ˏsɛ	
分野	'fɐn ˏjɛ	
婚礼	'fɐn ˏlɐi	
分娩	'fɐn ˏmin	
分母	'fɐn ˏmou	
分社	'fɐn ˏsɛ	
分我杯羹	'fɐn ˏŋɔ 'bui 'gɐŋ	
忽	'fɐt	小块，块
忽	'fɐt	处，地方，处所
忽	'fɐt	处所，位置，地方
佛家	'fɐt 'ga	
佛家弟子	'fɐt 'ga _dɐi ´dzi	
佛骨	'fɐt 'gwɐt	
佛光	'fɐt 'gwɔŋ	
佛经	'fɐt 'gɪŋ	
佛殿	'fɐt _din	
佛寺	'fɐt _dzi	
佛像	'fɐt _dzœŋ	
佛学	'fɐt _hɔk	
佛学界	'fɐt _hɔk ¯gai	
忽略	'fɐt _lœk	
忽视	'fɐt _si	
佛诞	'fɐt ¯dan	
佛法	'fɐt ¯fat	
佛教	'fɐt ¯gau	
佛教徒	'fɐt ¯gau ˌtou	
佛性	'fɐt ¯sɪŋ	
佛塔	'fɐt ¯tap	
笏板	'fɐt ´ban	
佛宝	'fɐt ´bou	
佛典	'fɐt ´din	
佛祖	'fɐt ´dzou	
忽然	'fɐt ˌjin	
囫囵	'fɐt ˌlœn	
囫囵吞枣	'fɐt ˌlœn 'tɐn ´dzou	
窟窿	'fɐt ˌlʊŋ	
佛门	'fɐt ˌmun	
佛门弟子	'fɐt ˌmun _dɐi ´dzi	
佛头	'fɐt ˌtɐu	
佛堂	'fɐt ˌtɔŋ	
foul	'fɐu	淘汰
foul出局	'fɐu 'tsœt _gʊk	淘汰出局
科技	'fɔ _gei	
科学	'fɔ _hɔk	
科学家	'fɔ _hɔk 'ga	
科目	'fɔ _mʊk	
科幻	'fɔ _wan	
科幻片	'fɔ _wan ´pin	
科幻小说	'fɔ _wan ´siu ¯syt	
蝌蚪	'fɔ ´dɐu	
科研	'fɔ ˌjin	
慌	'fɔŋ	怕，慌，害怕
慌张	'fɔŋ 'dzœŋ	
慌慌	'fɔŋ 'fɔŋ	
荒郊	'fɔŋ 'gau	
芳香	'fɔŋ 'hœŋ	
荒腔走板	'fɔŋ 'hɔŋ ´dzɐu ´ban	
荒山	'fɔŋ 'san	
方式	'fɔŋ 'sik	
慌失失	'fɔŋ 'sɐt 'sɐt	慌手慌脚，慌慌张张
荒村	'fɔŋ 'tsyn	
方便	'fɔŋ _bin	
荒地	'fɔŋ _dei	
慌乱	'fɔŋ _lyn	
荒乱	'fɔŋ _lyn	
方略	'fɔŋ _lœk	
方面	'fɔŋ _min	
荒谬	'fɔŋ _mɐu	
荒漠	'fɔŋ _mɔk	
荒诞	'fɔŋ ¯dan	
荒诞不经	'fɔŋ ¯dan 'bɐt 'gɪŋ	
荒政	'fɔŋ ¯dzɪŋ	
方法	'fɔŋ ¯fat	
荒废	'fɔŋ ¯fɐi	
慌叫	'fɔŋ ¯giu	
方向	'fɔŋ ¯hœŋ	
方向感	'fɔŋ ¯hœŋ ´gɐm	
慌怕	'fɔŋ ¯pa	怕，担心
方案	'fɔŋ ¯ɔn	
荒岛	'fɔŋ ´dou	
荒土	'fɔŋ ´tou	
谎话	'fɔŋ ´wa	
方言	'fɔŋ ˌjin	
荒原	'fɔŋ ˌjyn	
荒淫	'fɔŋ ˌjɐm	
荒淫无度	'fɔŋ ˌjɐm ˌmou _dou	
荒淫无道	'fɔŋ ˌjɐm ˌmou _dou	
荒淫无耻	'fɔŋ ˌjɐm ˌmou ´tsi	
荒凉	'fɔŋ ˌlœŋ	
荒芜	'fɔŋ ˌmou	
荒无人烟	'fɔŋ ˌmou ˌjɐn 'jin	
慌忙	'fɔŋ ˌmɔŋ	
荒年	'fɔŋ ˌnin	
荒田	'fɔŋ ˌtin	
荒唐	'fɔŋ ˌtɔŋ	
方糖	'fɔŋ ˌtɔŋ	
荒旱	'fɔŋ ˏhɔn	
荒野	'fɔŋ ˏjɛ	
啡	'fɛ	咖啡
啡色	'fɛ 'sik	咖啡色，褐色
friend	'fɛn	朋友
粉丝	'fɛn ´si	歌迷，支持者，爱好者，入迷者
fax	'fɛt ´si	传真
福州话	'fʊk 'dzɐu ´wa	
复兴	'fʊk 'hɪŋ	
福音	'fʊk 'jɐm	
馥郁	'fʊk 'jʊk	
福星	'fʊk 'sɪŋ	
福星高照	'fʊk 'sɪŋ 'gou ¯dziu	
覆电话	'fʊk _din ´wa	回电话
复杂	'fʊk _dzap	
福利	'fʊk _lei	
福禄寿	'fʊk _lʊk _sɐu	
辐射	'fʊk _sɛ	
辐射状	'fʊk _sɛ _dzɔŋ	
辐射热	'fʊk _sɛ _jit	
辐射量	'fʊk _sɛ _lœŋ	
辐射计	'fʊk _sɛ ¯gɐi	
辐射线	'fʊk _sɛ ¯sin	
辐射性	'fʊk _sɛ ¯sɪŋ	
辐射体	'fʊk _sɛ ´tɐi	
辐射能	'fʊk _sɛ ˌnɐŋ	
辐射尘	'fʊk _sɛ ˌtsɐn	
福至心灵	'fʊk ¯dzi 'sɐm ˌlɪŋ	
复制	'fʊk ¯dzɐi	
复制品	'fʊk ¯dzɐi ´bɐn	
福建人	'fʊk ¯gin ˌjɐn	
福气	'fʊk ¯hei	
复印机	'fʊk ¯jɐn 'gei	
复盖	'fʊk ¯kɔi	
福祉	'fʊk ´dzi	
蝠鼠	'fʊk ´sy	蝙蝠
福如东海	'fʊk ˌjy 'dʊŋ ´hɔi	
福无双至	'fʊk ˌmou 'sœŋ ¯dzi	
蝮蛇	'fʊk ˌsɛ	
福头	'fʊk ˌtɐu	笨蛋，蠢货
封包	'fʊŋ 'bau	红封，赏封
风波	'fʊŋ 'bɔ	
疯癫	'fʊŋ 'din	
丰姿	'fʊŋ 'dzi	
风筝	'fʊŋ 'dzɐŋ	
风灾	'fʊŋ 'dzɔi	
丰足	'fʊŋ 'dzʊk	
风烛残年	'fʊŋ 'dzʊk ˌtsan ˌnin	
风中	'fʊŋ 'dzʊŋ	
风中残烛	'fʊŋ 'dzʊŋ ˌtsan 'dzʊk	
风灯	'fʊŋ 'dɐŋ	
疯疯癫癫	'fʊŋ 'fʊŋ 'din 'din	
风风雨雨	'fʊŋ 'fʊŋ ˏjy ˏjy	
风骨	'fʊŋ 'gwɐt	
风光	'fʊŋ 'gwɔŋ	
风光十足	'fʊŋ 'gwɔŋ _sɐp 'dzʊk	
风光明媚	'fʊŋ 'gwɔŋ ˌmɪŋ _mei	
风干	'fʊŋ 'gɔn	
风干机	'fʊŋ 'gɔn 'gei	
丰功	'fʊŋ 'gʊŋ	
丰衣足食	'fʊŋ 'ji 'dzʊk _sik	
风褛	'fʊŋ 'lɐu	风衣，挡风外衣
风生水起	'fʊŋ 'saŋ ´sœy ´hei	活跃，兴隆，兴旺，有生气，生机勃勃，发达兴旺
风骚	'fʊŋ 'sou	
风湿	'fʊŋ 'sɐp	
丰收	'fʊŋ 'sɐu	
风声	'fʊŋ 'sɛŋ	
风餐露宿	'fʊŋ 'tsan _lou 'sʊk	
风吹	'fʊŋ 'tsœy	
风吹草动	'fʊŋ 'tsœy ´tsou _dʊŋ	
风吹雨打	'fʊŋ 'tsœy ˏjy ´da	
风吹两面倒	'fʊŋ 'tsœy ˏlœŋ _min ´dou	
风枪	'fʊŋ 'tsœŋ	气枪
风车	'fʊŋ 'tsɛ	
风速	'fʊŋ 'tsʊk	
风暴	'fʊŋ _bou	
风度	'fʊŋ _dou	
风度翩翩	'fʊŋ _dou 'pin 'pin	
风俗	'fʊŋ _dzʊk	
风俗习惯	'fʊŋ _dzʊk _dzap ¯gwan	
风笛	'fʊŋ _dɛk	
风范	'fʊŋ _fan	
枫叶	'fʊŋ _jip	
丰裕	'fʊŋ _jy	
风月	'fʊŋ _jyt	
锋锐	'fʊŋ _jœy	
锋利	'fʊŋ _lei	
风力	'fʊŋ _lik	
风力机	'fʊŋ _lik 'gei	
风栗	'fʊŋ _lœt	栗子
封面	'fʊŋ _min	
风帽	'fʊŋ _mou	
蜂蜜	'fʊŋ _mɐt	
枫树	'fʊŋ _sy	
风尚	'fʊŋ _sœŋ	
丰硕	'fʊŋ _sɛk	
丰盛	'fʊŋ _sɪŋ	
峰会	'fʊŋ _wui	
丰韵	'fʊŋ _wɐn	
风韵	'fʊŋ _wɐn	
封闭	'fʊŋ ¯bɐi	
风化	'fʊŋ ¯fa	
丰富	'fʊŋ ¯fu	
丰富多彩	'fʊŋ ¯fu 'dɔ ´tsɔi	
风格	'fʊŋ ¯gak	
风季	'fʊŋ ¯gwɐi	
风气	'fʊŋ ¯hei	
风向	'fʊŋ ¯hœŋ	
风向标	'fʊŋ ¯hœŋ 'biu	
风向针	'fʊŋ ¯hœŋ 'dzɐm	
风向器	'fʊŋ ¯hœŋ ¯hei	
风赧	'fʊŋ ¯nan	荨麻疹
丰沛	'fʊŋ ¯pui	
风扇	'fʊŋ ¯sin	电风扇
风扇	'fʊŋ ¯sin	
风信	'fʊŋ ¯sœn	
风信鸽	'fʊŋ ¯sœn ¯gɐp	
风信子	'fʊŋ ¯sœn ´dzi	
蜂虿	'fʊŋ ¯tsai	
风趣	'fʊŋ ¯tsœy	
风疹	'fʊŋ ´dzɐn	
烽火	'fʊŋ ´fɔ	
风火	'fʊŋ ´fɔ	
疯狗	'fʊŋ ´gɐu	
风景	'fʊŋ ´gɪŋ	
风景区	'fʊŋ ´gɪŋ 'kœy	
风险	'fʊŋ ´him	
疯犬病	'fʊŋ ´hyn _bɛŋ	
风炉	'fʊŋ ´lou	小炉子
风水	'fʊŋ ´sœy	
风水师	'fʊŋ ´sœy 'si	
风水先生	'fʊŋ ´sœy 'sin 'saŋ	
风水佬	'fʊŋ ´sœy ´lou	阴阳先生，堪舆家
风水生	'fʊŋ ´sœy ´lou	堪舆家，阴阳生，风水师
封锁	'fʊŋ ´sɔ	
风土	'fʊŋ ´tou	
丰产	'fʊŋ ´tsan	
丰产田	'fʊŋ ´tsan ˌtin	
风肠	'fʊŋ ´tsœŋ	腊肠
丰采	'fʊŋ ´tsɔi	
风筒	'fʊŋ ´tʊŋ	吹风机，电吹风
疯话	'fʊŋ ´wa	
枫红	'fʊŋ ˌhʊŋ	
疯言疯语	'fʊŋ ˌjin 'fʊŋ ˏjy	
丰饶	'fʊŋ ˌjiu	
疯人院	'fʊŋ ˌjɐn _jyn	
丰盈	'fʊŋ ˌjɪŋ	
疯狂	'fʊŋ ˌkwɔŋ	
风琴	'fʊŋ ˌkɐm	
风炉	'fʊŋ ˌlou	
风凉	'fʊŋ ˌlœŋ	
风凉话	'fʊŋ ˌlœŋ ´wa	
风流	'fʊŋ ˌlɐu	出风头
风流	'fʊŋ ˌlɐu	闲情逸致，闲心
风流	'fʊŋ ˌlɐu	
风流潇洒	'fʊŋ ˌlɐu 'siu ´sa	
风流韵事	'fʊŋ ˌlɐu _wɐn _si	
风流人物	'fʊŋ ˌlɐu ˌjɐn _mɐt	
风流成性	'fʊŋ ˌlɐu ˌsɪŋ ¯sɪŋ	
风铃	'fʊŋ ˌlɪŋ	
风靡	'fʊŋ ˌmei	
风靡一时	'fʊŋ ˌmei 'jɐt ˌsi	
锋铓	'fʊŋ ˌmɔŋ	
丰年	'fʊŋ ˌnin	
丰年祭	'fʊŋ ˌnin ¯dzɐi	
风平浪静	'fʊŋ ˌpɪŋ _lɔŋ _dzɪŋ	
风调雨顺	'fʊŋ ˌtiu ˏjy _sœn	
风驰电掣	'fʊŋ ˌtsi _din ¯dzɐi	
风尘	'fʊŋ ˌtsɐn	
风尘中人	'fʊŋ ˌtsɐn 'dzʊŋ ˌjɐn	
风尘仆仆	'fʊŋ ˌtsɐn _bʊk _bʊk	
风情万种	'fʊŋ ˌtsɪŋ _man ´dzʊŋ	
枫糖	'fʊŋ ˌtɔŋ	
枫糖浆	'fʊŋ ˌtɔŋ 'dzœŋ	
风云	'fʊŋ ˌwɐn	
风云人物	'fʊŋ ˌwɐn ˌjɐn _mɐt	
丰厚	'fʊŋ ˏhɐu	
风雨灯	'fʊŋ ˏjy 'dɐŋ	
风雨交加	'fʊŋ ˏjy 'gau 'ga	
风雨如晦，鸡鸣不已	'fʊŋ ˏjy ˌjy ¯fui 'gɐi ˌmɪŋ 'bɐt ˏji	
风雨如磐	'fʊŋ ˏjy ˌjy ˌpun	
风雨雷电	'fʊŋ ˏjy ˌlœy _din	
风雨无阻	'fʊŋ ˏjy ˌmou ´dzɔ	
风马牛	'fʊŋ ˏma ˌŋɐu	
风马牛不相及	'fʊŋ ˏma ˌŋɐu 'bɐt 'sœŋ _kɐp	
丰满	'fʊŋ ˏmun	
加班	'ga 'ban	
加班费	'ga 'ban ¯fɐi	
嘉宾	'ga 'bɐn	
家姐	'ga 'dzɛ	大姐，亲姐姐
家中	'ga 'dzʊŋ	
加高	'ga 'gou	
加官	'ga 'gun	
加官进禄	'ga 'gun ¯dzœn _lʊk	
加官晋爵	'ga 'gun ¯dzœn ¯dzœk	
家居	'ga 'gœy	
家公	'ga 'gʊŋ	公公
加工	'ga 'gʊŋ	
加工品	'ga 'gʊŋ ´bɐn	
加工厂	'ga 'gʊŋ ´tsɔŋ	
家乡	'ga 'hœŋ	
家乡话	'ga 'hœŋ ´wa	
加于	'ga 'jy	
家猫	'ga 'mau	
袈裟	'ga 'sa	
家山有眼	'ga 'san ˏjɐu ˏŋan	祖宗有灵
家俬	'ga 'si	家俱
家俬铺	'ga 'si ´pou	家具店
加色	'ga 'sik	
家书	'ga 'sy	
加深	'ga 'sɐm	
加薪	'ga 'sɐn	
加粗	'ga 'tsou	
加速	'ga 'tsʊk	
家畜	'ga 'tsʊk	
加速器	'ga 'tsʊk ¯hei	
家仆	'ga _bʊk	
加大	'ga _dai	
加值	'ga _dzik	
家族	'ga _dzʊk	
家具	'ga _gœy	
加号	'ga _hou	
加热	'ga _jit	
家喻户晓	'ga _jy _wu ´hiu	
加入	'ga _jɐp	
家用	'ga _jʊŋ	
家用电脑	'ga _jʊŋ _din ˏnou	
加力	'ga _lik	
家务	'ga _mou	
加密	'ga _mɐt	
家事	'ga _si	
加上	'ga _sœŋ	
家属	'ga _sʊk	
加压	'ga ¯at	
家政	'ga ¯dzɪŋ	
加快	'ga ¯fai	
家训	'ga ¯fɐn	
家教	'ga ¯gau	
加固	'ga ¯gu	
家燕	'ga ¯jin	
家破人亡	'ga ¯pɔ ˌjɐn ˌmɔŋ	
家信	'ga ¯sœn	
加税	'ga ¯sœy	
家世	'ga ¯sɐi	
加餸	'ga ¯sʊŋ	加菜
加菜	'ga ¯tsɔi	加餐
加菜	'ga ¯tsɔi	
加把口	'ga ´ba ´hɐu	插嘴，插一嘴
家祖	'ga ´dzou	
家长	'ga ´dzœŋ	
家长会	'ga ´dzœŋ _wui	
家阵	'ga ´dzɐn	现在，这会儿
家伙	'ga ´fɔ	
加减	'ga ´gam	
加减法	'ga ´gam ¯fat	
加减乘除	'ga ´gam ˌsɪŋ ˌtsœy	
加紧	'ga ´gɐn	
家境	'ga ´gɪŋ	
家境清寒	'ga ´gɪŋ 'tsɪŋ ˌhɔn	
家用	'ga ´jʊŋ	家里的开支
家婆	'ga ´pɔ	婆婆
家嫂	'ga ´sou	媳妇，儿媳妇，儿媳
枷锁	'ga ´sɔ	
家丑	'ga ´tsɐu	
家丑不可外扬	'ga ´tsɐu 'bɐt ´hɔ _ŋɔi ˌjœŋ	
家眷	'ga ˌgyn	
家园	'ga ˌjyn	
家人	'ga ˌjɐn	
加人一等	'ga ˌjɐn 'jɐt ´dɐŋ	
加油	'ga ˌjɐu	
加油添醋	'ga ˌjɐu 'tim ¯tsou	
加油站	'ga ˌjɐu _dzam	
家蝇	'ga ˌjɪŋ	
加强	'ga ˌkœŋ	
家禽	'ga ˌkɐm	
加仑	'ga ˌlœn	
家门	'ga ˌmun	
加盟	'ga ˌmɐŋ	
加拿大人	'ga ˌna _dai ˌjɐn	
家奴	'ga ˌnou	
家常	'ga ˌsœŋ	
家常便饭	'ga ˌsœŋ _bin _fan	
家常饭	'ga ˌsœŋ _fan	
家常菜	'ga ˌsœŋ ¯tsɔi	
家蚕	'ga ˌtsam	
加长	'ga ˌtsœŋ	
加场	'ga ˌtsœŋ	
加场赛	'ga ˌtsœŋ ¯tsɔi	
家财	'ga ˌtsɔi	
家头细务	'ga ˌtɐu ¯sɐi _mou	家务，家务事，家庭琐事
家庭	'ga ˌtɪŋ	
家庭工业	'ga ˌtɪŋ 'gʊŋ _jip	
家庭作业	'ga ˌtɪŋ ¯dzɔk _jip	
家庭教师	'ga ˌtɪŋ ¯gau 'si	
家庭主妇	'ga ˌtɪŋ ´dzy ˏfu	
家下	'ga ˏha	现在，这会儿
加厚	'ga ˏhɐu	
加以	'ga ˏji	
加冕	'ga ˏmin	
加冕典礼	'ga ˏmin ´din ˏlɐi	
加倍	'ga ˏpui	
街边	'gai 'bin	马路边，街道旁边
街知巷闻	'gai 'dzi _hɔŋ ˌmɐn	家喻户晓
阶砖	'gai 'dzyn	方块，方片儿，方块儿
阶砖	'gai 'dzyn	方砖，地砖，地板砖
阶砖仔	'gai 'dzyn ´dzɐi	马赛克，马赛克方块石
街灯	'gai 'dɐŋ	
街坊	'gai 'fɔŋ	
皆因	'gai 'jɐn	都是因为
街车	'gai 'tsɛ	
皆大欢喜	'gai _dai 'fun ´hei	
街道	'gai _dou	
阶段	'gai _dyn	
佳节	'gai ¯dzit	
佳作	'gai ¯dzɔk	
街角	'gai ¯gɔk	
街井	'gai ´dzɛŋ	消防栓
街景	'gai ´gɪŋ	
佳境	'gai ´gɪŋ	
街口	'gai ´hɐu	路口，街段
街口	'gai ´hɐu	
街喉	'gai ˌhɐu	消防栓
佳人	'gai ˌjɐn	
佳期	'gai ˌkei	
佳评	'gai ˌpɪŋ	
