開放粵語詞典（耶魯拼音數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［耶魯拼音］	［國語解釋］
地步	dei6 bou6	
地埗	dei6 bou6	地址，地方
地產	dei6 chaan2	房地產
地產稅	dei6 chaan2 seui3	
地層	dei6 chang4	
地磁	dei6 chi4	
地帶	dei6 daai3	
地大物博	dei6 daai6 mat9 bok8	
地底	dei6 dai2	
地底下	dei6 dai2 ha6	
地對地	dei6 deui3 dei6	
地對空	dei6 deui3 hung1	
地點	dei6 dim2	
地道	dei6 dou6	
地洞	dei6 dung6	
地段	dei6 dyun6	
地方	dei6 fong1	
地方官	dei6 fong1 gun1	
地方政府	dei6 fong1 jing3 fu2	
地方稅	dei6 fong1 seui3	
地縫	dei6 fung4	
地界	dei6 gaai3	
地窖	dei6 gaau3	
地基	dei6 gei1	
地腳	dei6 geuk8	地基
地極	dei6 gik9	
地檢處	dei6 gim2 chyu3	
地檢署	dei6 gim2 chyu5	
地瓜	dei6 gwa1	
地瓜湯	dei6 gwa1 tong1	
地下	dei6 ha2	地上
地下	dei6 ha6	
地下室	dei6 ha6 sat7	
地下鐵	dei6 ha6 tit8	
地峽	dei6 haap9	
地核	dei6 hat9	
地殼	dei6 hok8	
地殼運動	dei6 hok8 wan6 dung6	
地震	dei6 jan3	
地震學	dei6 jan3 hok9	
地震儀	dei6 jan3 yi4	
地震預報	dei6 jan3 yu6 bou3	
地質	dei6 jat7	
地質學	dei6 jat7 hok9	
地質學家	dei6 jat7 hok9 ga1	
地支	dei6 ji1	
地址	dei6 ji2	
地誌	dei6 ji3	
地氊	dei6 jin1	地毯
地租	dei6 jou1	
地中海	dei6 jung1 hoi2	
地主	dei6 jyu2	
地主份子	dei6 jyu2 fan6 ji2	
地主階級	dei6 jyu2 gaai1 kap7	
地球	dei6 kau4	
地球科學	dei6 kau4 fo1 hok9	
地球日	dei6 kau4 yat9	
地球儀	dei6 kau4 yi4	
地區	dei6 keui1	
地權	dei6 kyun4	
地理	dei6 lei5	
地理學	dei6 lei5 hok9	
地理學家	dei6 lei5 hok9 ga1	
地理環境	dei6 lei5 waan4 ging2	
地理位置	dei6 lei5 wai6 ji3	
地雷	dei6 leui4	
地牢	dei6 lou4	地窖，地下室
地牢商場	dei6 lou4 seung1 cheung4	地下商場
地老天荒	dei6 lou5 tin1 fong1	
地老天荒不了情	dei6 lou5 tin1 fong1 bat7 liu5 ching4	
地幔	dei6 maan6	
地踎	dei6 mau1	地痞
地畝	dei6 mau5	
地面	dei6 min6	
地面溫度	dei6 min6 wan1 dou6	
地痞	dei6 pei2	
地痞流氓	dei6 pei2 lau4 mong4	
地皮	dei6 pei4	
地平線	dei6 ping4 sin3	
地盤	dei6 pun4	
地盤	dei6 pun4	工地，建築工地
地心	dei6 sam1	
地心引力	dei6 sam1 yan5 lik9	
地稅	dei6 seui3	
地毯	dei6 taam2	
地毯式轟炸	dei6 taam2 sik7 gwang1 ja3	
地攤	dei6 taan1	
地頭	dei6 tau4	地盤
地頭蟲	dei6 tau4 chung4	地頭蛇
地鐵	dei6 tit8	
地鐵站	dei6 tit8 jaam6	
地拖	dei6 to1	拖把
地圖	dei6 tou4	
地位	dei6 wai6	
地溫	dei6 wan1	
地域	dei6 wik9	
地窨子	dei6 yam3 ji2	
地形	dei6 ying4	
地形圖	dei6 ying4 tou4	
地熱	dei6 yit9	
地熱能	dei6 yit9 nang4	
地獄	dei6 yuk9	
趯	dek8	跑，逃跑
趯	dek8	驅趕，驅逐
趯更	dek8 gaang1	逃亡，逃命，溜走，開小差
趯唔切	dek8 m4 chit8	跑不掉，跑不贏，跑得太慢了
糴糧食	dek9 leung4 sik9	
糴米	dek9 mai5	
釘翻粒紐	deng1 faan1 nap7 nau2	把扣子縫上
釘仔	deng1 jai2	釘子
釘咗	deng1 jo2	死了
釘紐	deng1 nau2	縫上扣子
掟	deng3	投，扔，投擲
掟煲	deng3 bou1	吹了，分手
掟球	deng3 kau4	扔球
掟彎	deng3 waan1	轉彎，拐彎
埞	deng6	地方，空間，地兒
定	deng6	定金
埞方	deng6 fong1	地方，位置
訂房	deng6 fong2	
訂雜誌	deng6 jaap9 ji3	
對	deui2	對聯
懟	deui2	捅，推
懟冧	deui2 lam3	毆打，打死，幹掉
對稱	deui3 ching3	
對待	deui3 doi6	
對方	deui3 fong1	
對講機	deui3 gong2 gei1	步行機，對話機
對胸衫	deui3 hung1 saam1	對襟衫
對峙	deui3 ji6	
對鐘	deui3 jung1	對時間
對抗	deui3 kong3	
對立	deui3 laap9	
對唔住	deui3 m4 jyu6	對不起
對埋	deui3 maai4	靠裡邊，靠裡邊的
對面	deui3 min6	
對我嚟講	deui3 ngo5 lei4 gong2	對我來說
對手	deui3 sau2	
對頭	deui3 tau4	
對話	deui3 wa2	
對胃口	deui3 wai6 hau2	
對弈	deui3 yik9	
兌付	deui6 fu6	
隊伍	deui6 ng5	
兌換	deui6 wun6	
兌現	deui6 yin6	
琢磨	deuk8 mo4	
啄木鳥	deuk8 muk9 niu5	
敦煌	deun1 wong4	
敦煌石窟	deun1 wong4 sek9 gwat9	
鈍	deun6	遲鈍
頓悟	deun6 ng6	
啄	deung1	啄，啄食，啄咬，叮咬
啄親	deung1 chan1	叮，叮著，被叮了
咄咄逼人	deut7 deut7 bik7 yan4	
啲	di1	一些，一點
啲朋友	di1 pang4 yau5	朋友們
啲人	di1 yan4	人們
弟	di2	撲克牌中的“2”
的	dik7	提拿，提溜
嫡親	dik7 chan1	
嫡系	dik7 hai6	
的起嚟	dik7 hei2 lei4	提起來，提溜起來
的起心肝	dik7 hei2 sam1 gon1	立下決心，專心致志
的確	dik7 kok8	
嫡派	dik7 paai3	
的士	dik7 si2	出租車，計程車
的士佬	dik7 si2 lou2	出租車司機，計程車司機
的士司機	dik7 si2 si1 gei1	
的士高	dik7 si6 gou1	迪斯科
的式	dik7 sik7	精緻，輕巧，小巧玲瓏
的而且確	dik7 yi4 che2 kok8	千真萬確，確確實實，非常肯定，確鑿無疑
敵軍	dik9 gwan1	
敵人	dik9 yan4	
點	dim2	怎麼，怎樣，怎麼樣
點	dim2	蘸
點清	dim2 ching1	
點得	dim2 dak7	怎麼行，怎麼成
點都好	dim2 dou1 hou2	不管怎樣
點都要	dim2 dou1 yiu3	怎麼都要，無論如何都要
點火	dim2 fo2	
點解	dim2 gaai2	為什麼
點攪噶	dim2 gaau2 ga3	怎麼搞的
點講	dim2 gong2	怎麼說
點鬼樣	dim2 gwai2 yeung2	怎樣？
點係	dim2 hai6	不敢當
點可以	dim2 ho2 yi5	怎麼可以
點好	dim2 hou2	怎麼辦
點好呢	dim2 hou2 le3	怎樣才好，怎麼辦
點綴	dim2 jeui6	
點知	dim2 ji1	哪兒知道
點止	dim2 ji2	何止，豈止
點做	dim2 jou6	怎樣去做
點呢	dim2 le3	怎麼辦呢，如何是好
…點賣？	dim2 maai6	…多少錢？
點脈	dim2 mak9	點穴
點心	dim2 sam1	小吃，點心
點豉油	dim2 si6 yau4	蘸酱油
點先算…	dim2 sin1 syun3	什麼才是…？
點少得	dim2 siu2 dak7	怎麼少得了
點算	dim2 syun3	怎麼辦
點算好	dim2 syun3 hou2	怎麼辦才好，該怎麼辦，如何是好
點睇	dim2 tai2	怎麼看，怎麼樣，有什麼看法，有何看法
點話點好	dim2 wa6 dim2 hou2	怎麼都可以，怎樣說都可以，怎麼說就怎麼辦
點會	dim2 wui5	怎麼會
點樣	dim2 yeung2	怎樣，怎麼樣
點燃	dim2 yin4	
玷	dim3	碰，摸，輕觸，觸碰，觸摸
惦記	dim3 gei3	
踮腳	dim3 geuk8	
惦掛	dim3 gwa3	
惦念	dim3 nim6	
店舖	dim3 pou3	
玷污	dim3 wu1	
玷辱	dim3 yuk9	
掂	dim6	妥當，成功，…好
掂筆甩	dim6 bat7 lat7	筆直，徑直
掂過條蔗	dim6 gwo3 tiu4 je3	非常順利，非常舒心
癲癲廢廢	din1 din1 fai3 fai3	傻裡傻氣
顛倒	din1 dou2	
巔峰	din1 fung1	
癲狗	din1 gau2	瘋狗
癲癇	din1 haan4	
癲佬	din1 lou2	瘋子
典押	din2 aat8	
典當	din2 dong3	
典範	din2 faan6	
典故	din2 gu3	
典禮	din2 lai5	
典雅	din2 nga5	
典型	din2 ying4	
電壓	din6 aat8	
電壓表	din6 aat8 biu2	
電板	din6 baan2	
電錶	din6 biu1	
電波	din6 bo1	
電報	din6 bou3	
電報費	din6 bou3 fai3	
電報機	din6 bou3 gei1	
電報局	din6 bou3 guk9	
電親	din6 chan1	觸電，被電到
電車	din6 che1	
電車站	din6 che1 jaam6	
電唱機	din6 cheung3 gei1	
電唱針	din6 cheung3 jam1	
電池	din6 chi4	
電磁	din6 chi4	
電磁波	din6 chi4 bo1	
電磁場	din6 chi4 cheung4	
電磁輻射	din6 chi4 fuk7 se6	
電磁感應	din6 chi4 gam2 ying3	
電磁學	din6 chi4 hok9	
電磁爐	din6 chi4 lou4	
電磁鐵	din6 chi4 tit8	
靛青	din6 ching1	
電廠	din6 chong2	
電傳	din6 chyun4	
電傳機	din6 chyun4 gei1	
電單車	din6 daan1 che1	摩托車，機車
電燈	din6 dang1	
電燈杉	din6 dang1 chaam3	電桿
電燈柱	din6 dang1 chyu5	
電燈膽	din6 dang1 daam2	電燈泡
電燈架	din6 dang1 ga2	
電燈總掣	din6 dang1 jung2 jai3	電燈總開關
電燈泡	din6 dang1 paau1	
奠定	din6 ding6	
電導	din6 dou6	
電鍍	din6 dou6	
電導體	din6 dou6 tai2	
電動	din6 dung6	
電動機	din6 dung6 gei1	
電動學	din6 dung6 hok9	
電動勢	din6 dung6 sai3	
電化	din6 fa3	
電化學	din6 fa3 hok9	
電飯煲	din6 faan6 bou1	電飯鍋
電髮	din6 faat8	燙髮
電費	din6 fai3	
澱粉	din6 fan2	
電風扇	din6 fung1 sin3	電扇
電價	din6 ga3	
電解	din6 gaai2	
電解電容	din6 gaai2 din6 yung4	
電解電容器	din6 gaai2 din6 yung4 hei3	
電解質	din6 gaai2 jat7	
電解液	din6 gaai2 yik9	
電介質	din6 gaai3 jat7	
電感	din6 gam2	
電感應	din6 gam2 ying3	
電鋸	din6 geui3	
電擊	din6 gik7	
電極	din6 gik9	
電信局	din6 guk9	
電工	din6 gung1	
電工學	din6 gung1 hok9	
電光	din6 gwong1	
電器	din6 hei3	
電氣	din6 hei3	
電氣化	din6 hei3 fa3	
電器舖	din6 hei3 pou2	電器店
電氣石	din6 hei3 sek9	
電荷	din6 ho6	
電學	din6 hok9	
電焊	din6 hon6	
電焊工	din6 hon6 gung1	
電漿	din6 jeung1	
電匠	din6 jeung6	
電子	din6 ji2	
電子錶	din6 ji2 biu1	
電子報	din6 ji2 bou3	
電子槍	din6 ji2 cheung1	
電子電路	din6 ji2 din6 lou6	
電子科	din6 ji2 fo1	
電子計算機	din6 ji2 gai3 syun3 gei1	
電子管	din6 ji2 gun2	
電子工業	din6 ji2 gung1 yip9	
電子系	din6 ji2 hai6	
電子顯微鏡	din6 ji2 hin2 mei4 geng3	
電子學	din6 ji2 hok9	
電子展	din6 ji2 jin2	
電子琴	din6 ji2 kam4	
電子流	din6 ji2 lau4	
電子書	din6 ji2 syu1	
電子郵件	din6 ji2 yau4 gin6	
電晶體	din6 jing1 tai2	
電阻	din6 jo2	
電阻器	din6 jo2 hei3	
電鐘	din6 jung1	
電鑽	din6 jyun3	
電橋	din6 kiu4	
電纜	din6 laam6	
電纜線	din6 laam6 sin3	
電流	din6 lau4	
電流表	din6 lau4 biu2	
電流計	din6 lau4 gai3	
電流強度	din6 lau4 keung4 dou6	
電離	din6 lei4	
電離層	din6 lei4 chang4	
電離作用	din6 lei4 jok8 yung6	
電量	din6 leung6	
電力	din6 lik9	
電力廠	din6 lik9 chong2	
電力公司	din6 lik9 gung1 si1	
電力工業	din6 lik9 gung1 yip9	
電力學	din6 lik9 hok9	
電力站	din6 lik9 jaam6	
電力網	din6 lik9 mong5	
電力線	din6 lik9 sin3	
電鈴	din6 ling4	
電療	din6 liu4	
電療法	din6 liu4 faat8	
電料	din6 liu6	
電料行	din6 liu6 hong4	
電爐	din6 lou4	
電路	din6 lou6	
電路板	din6 lou6 baan2	
電路圖	din6 lou6 tou4	
電網	din6 mong5	
電鈕	din6 nau2	
電腦	din6 nou5	電腦，電子計算機
電腦主機	din6 nou5 jyu2 gei1	
佃農	din6 nung4	
電芯	din6 sam1	電池
電石	din6 sek9	
電石氣	din6 sek9 hei3	
電信	din6 seun3	
電訊	din6 seun3	
電信號	din6 seun3 hou6	
電視	din6 si6	
電視界	din6 si6 gaai3	
電視機	din6 si6 gei1	
電視觀眾	din6 si6 gun1 jung3	
電視公司	din6 si6 gung1 si1	
電視廣播	din6 si6 gwong2 bo3	
電視直播	din6 si6 jik9 bo3	
電視直播衛星	din6 si6 jik9 bo3 wai6 sing1	
電視接收機	din6 si6 jip8 sau1 gei1	
電視節目	din6 si6 jit8 muk9	
電視劇	din6 si6 kek9	
電視網	din6 si6 mong5	
電視頻道	din6 si6 pan4 dou6	
電視台	din6 si6 toi4	
電線	din6 sin3	
電線桿	din6 sin3 gon2	
電船	din6 syun4	汽船
電梯	din6 tai1	自動扶梯
電台	din6 toi4	
電燙斗	din6 tong3 dau2	電熨斗
電話	din6 wa2	
電話簿	din6 wa2 bou6	
電話費	din6 wa2 fai3	
電話機	din6 wa2 gei1	
電話講緊	din6 wa2 gong2 gan2	電話佔線
電話號碼	din6 wa2 hou6 ma5	
電話咭	din6 wa2 kat7	電話卡
電話冇人聽	din6 wa2 mou5 yan4 teng1	電話沒人接
電話線	din6 wa2 sin3	
電話亭	din6 wa2 ting4	
電話筒	din6 wa2 tung2	
電話會議	din6 wa2 wui6 yi5	
電位	din6 wai6	
電位差	din6 wai6 cha1	
電位器	din6 wai6 hei3	
電鍋	din6 wo1	
電鍋爐	din6 wo1 lou4	
電壺	din6 wu2	
電弧	din6 wu4	
電匯	din6 wui6	
電玩	din6 wun6	
電油	din6 yau4	汽油
電椅	din6 yi2	
電影	din6 ying2	
電影界	din6 ying2 gaai3	
電影圈	din6 ying2 hyun1	
電影劇本	din6 ying2 kek9 bun2	
電影明星	din6 ying2 ming4 sing1	
電影院	din6 ying2 yun2	
電刑	din6 ying4	
電熱	din6 yit9	
電熱器	din6 yit9 hei3	
電源	din6 yun4	
電源開關	din6 yun4 hoi1 gwaan1	
電容	din6 yung4	
電容器	din6 yung4 hei3	
丁等	ding1 dang2	
叮噹	ding1 dong1	
丁咁多	ding1 gam3 do1	一丁點兒
丁香	ding1 heung1	
丁香	ding1 heung1	嬌小玲瓏
丁香花	ding1 heung1 fa1	
丁香油	ding1 heung1 yau4	
丁字	ding1 ji6	
丁字尺	ding1 ji6 chek8	
丁字褲	ding1 ji6 fu3	
丁字形	ding1 ji6 ying4	
叮囑	ding1 juk7	
丁級	ding1 kap7	
叮嚀	ding1 ning4	
丁是丁卯是卯	ding1 si6 ding1 maau5 si6 maau5	
訂書機	ding1 syu1 gei1	
頂	ding2	撐，挺，支撐，支持
頂包	ding2 baau1	冒名頂替，以假充真
頂得住	ding2 dak7 jyu6	撐得住，受得了
頂檔	ding2 dong3	頂替
頂夾	ding2 gaap2	頭髮夾子
頂頸	ding2 geng2	拌嘴，頂嘴，抬槓，反駁
頂吓肚	ding2 ha5 tou5	點補點補，充充飢
頂尖	ding2 jim1	
頂住	ding2 jyu6	撐著，撐住
頂唔住	ding2 m4 jyu6	受不了，撐不住
頂唔順	ding2 m4 seun6	受不了，吃不消
頂心杉	ding2 sam1 chaam3	眼中釘
頂肚	ding2 tou5	充飢，解餓
頂肚餓	ding2 tou5 ngo6	充飢，解餓
椗	ding3	核，蒂
訂閱	ding3 yut9	
定	ding6	還是，或者
定啲	ding6 di1	鎮定一點
定啲嚟	ding6 di1 lei4	穩住
定點	ding6 dim2	小數點，點
定係	ding6 hai6	還是
定期	ding6 kei4	
定銀	ding6 ngan2	定錢，定金
定晒形	ding6 saai3 ying4	愣住了，發愣，發呆
定義	ding6 yi6	
定讞	ding6 yin6	
碟	dip9	盤子
諜報	dip9 bou3	
喋喋不休	dip9 dip9 bat7 yau1	
喋血	dip9 hyut8	
疊嶂	dip9 jeung3	
牒文	dip9 man4	
蝶式	dip9 sik7	
疊韻	dip9 wan6	
蝶泳	dip9 wing6	
啲啲咁多	dit7 dit7 gam3 do1	一点点
啲咁多	dit7 gam3 do1	一點點，一丁點
跌	dit8	丟，掉，落
跌崩頭	dit8 bang1 tau4	摔破頭
跌親	dit8 chan1	摔倒，跌倒
跌低	dit8 dai1	跌倒，倒下
跌落地都要楋翻揸沙	dit8 dai1 la2 faan1 ja6 sa1	不認失敗，失敗了還硬撐著，給自己一個台階下
跌宕	dit8 dong6	
跌倒	dit8 dou2	
跌價	dit8 ga3	降價
跌跤	dit8 gaau1	摔跤，跌倒
跌咗	dit8 jo2	丟了，丟失
跌爛	dit8 laan6	摔破，摔壞了
跌落	dit8 lok9	掉下
跌落地	dit8 lok9 dei6	落地，掉到地上
跌落地下，揦翻拃沙	dit8 lok9 dei6 ha2 la2 faan1 ja6 sa1	不認失敗，失敗了還硬撐著，給自己一個台階下
跌落去	dit8 lok9 heui3	掉下去
跌落嚟	dit8 lok9 lei4	落下來
跌失	dit8 sat7	丟失，失去
迭代	dit9 doi6	
秩序	dit9 jeui6	
丟架	diu1 ga2	丟人，丟臉，丟面子
雕刻	diu1 hak7	
雕刻品	diu1 hak7 ban2	
雕刻家	diu1 hak7 ga1	
丟棄	diu1 hei3	
丟擲	diu1 jaak9	
凋謝	diu1 je6	
雕像	diu1 jeung6	
刁僑扭擰	diu1 kiu4 nau5 ning6	調皮，不聽話，難以對付
刁蠻	diu1 maan4	蠻不講理，蠻橫，任性而刁鑽
丟那媽	diu1 na5 ma1	他媽的
刁難	diu1 naan4	
丟三拉四	diu1 saam1 laai6 sei3	
貂禪	diu1 sim4	
雕塑	diu1 sou3	
鯛魚	diu1 yu4	
吊床	diu3 chong4	
吊燈	diu3 dang1	
吊頸	diu3 geng2	上吊
吊靴鬼	diu3 heu1 gwai2	胡攪蠻纏的人
吊銷	diu3 siu1	
吊銷執照	diu3 siu1 jap7 jiu3	
弔胃口	diu3 wai6 hau2	
弔唁	diu3 yin6	
釣魚	diu3 yu2	打瞌睡
吊吊揈	diu4 diu2 fing6	悠蕩，晃悠，搖來擺去，晃來晃去，沒有結果，沒有著落
調子	diu6	調子
調兵遣將	diu6 bing1 hin2 jeung3	
調查	diu6 cha4	
調查表	diu6 cha4 biu2	
調動	diu6 dung6	
調虎離山	diu6 fu2 lei4 saan1	
調遣	diu6 hin2	
調職	diu6 jik7	
調離	diu6 lei4	
調令	diu6 ling6	
調派	diu6 paai3	
調配	diu6 pui3	
調研	diu6 yin4	
多邊	do1 bin1	
多邊條約	do1 bin1 tiu4 yeuk8	
多邊形	do1 bin1 ying4	
多變	do1 bin3	
多半	do1 bun3	
多產	do1 chaan2	
多產作家	do1 chaan2 jok8 ga1	
多此一舉	do1 chi2 yat7 geui2	
多情	do1 ching4	
多彩	do1 choi2	
多彩多姿	do1 choi2 do1 ji1	
多才多藝	do1 choi4 do1 ngai6	
多財善賈	do1 choi4 sin6 gu2	
多重	do1 chung4	
多重選擇	do1 chung4 syun2 jaak9	
多重選擇題	do1 chung4 syun2 jaak9 tai4	
多重人格	do1 chung4 yan4 gaak8	
多得	do1 dak7	多虧
多啲	do1 di1	多一點
多多	do1 do1	多，很多
多多少少	do1 do1 siu2 siu2	
多多益善	do1 do1 yik7 sin6	
多黨	do1 dong2	
多黨制	do1 dong2 jai3	
多方	do1 fong1	
多方阻擾	do1 fong1 jo2 yiu2	
多方面	do1 fong1 min6	
多久	do1 gau2	
多句嘴	do1 geui3 jeui2	多說一句話
多管	do1 gun2	
多管齊下	do1 gun2 chai4 ha6	
多管閒事	do1 gun2 haan4 si6	
多功能	do1 gung1 nang4	
多寡	do1 gwa2	
多寡不拘	do1 gwa2 bat7 keui1	
多過頭	do1 gwo3 tau4	太多
多國	do1 gwok8	
多國部隊	do1 gwok8 bou6 deui6	
多行不義必自斃	do1 hang4 bat7 yi6 bit7 ji6 bai6	
多口	do1 hau2	多嘴
多看多聽	do1 hon3 do1 ting1	
多汁	do1 jap7	
多謝	do1 je6	
多謝	do1 je6	謝謝，多謝
多謝晒	do1 je6 saai3	很感謝，真謝謝你
多子多孫	do1 ji2 do1 syun1	
多災	do1 joi1	
多災多難	do1 joi1 do1 naan6	
多種	do1 jung2	
多種多樣	do1 jung2 do1 yeung6	
多種經營	do1 jung2 ging1 ying4	
多虧	do1 kwai1	
多禮	do1 lai5	
多慮	do1 leui6	
多羅羅	do1 lo4 lo4	多多的，很多
多勞多得	do1 lou4 do1 dak7	
多謀善斷	do1 mau4 sin6 dyun6	
多麼	do1 mo1	
多媒體	do1 mui4 tai2	
多年	do1 nin4	
多年來	do1 nin4 loi4	
多年生	do1 nin4 sang1	
多年生植物	do1 nin4 sang1 jik9 mat9	
多心	do1 sam1	
多愁善感	do1 sau4 sin6 gam2	
多士	do1 si2	烤麵包，土司
多士爐	do1 si2 lou4	烤麵包機，電烤箱
多事	do1 si6	
多事之秋	do1 si6 ji1 chau1	
多少	do1 siu2	
多少	do1 siu2	一些，一點兒
多少少	do1 siu2 siu2	多一點，多一些，多出一點點
哆嗦	do1 so1	
多數	do1 sou3	大部分，大多，多半兒，大概
多數票	do1 sou3 piu3	
多數人	do1 sou3 yan4	
多選	do1 syun2	
多選題	do1 syun2 tai4	
多退少補	do1 teui3 siu2 bou2	
多胎	do1 toi1	
多位	do1 wai6	
多位數	do1 wai6 sou3	
多雲	do1 wan4	
多一事長一智	do1 yat7 si6 jeung2 yat7 ji3	經一事長一智
多一事長一智	do1 yat7 si6 jeung2 yat7 ji3	經一事長一智
多義詞	do1 yi6 chi4	
多義字	do1 yi6 ji6	
多言	do1 yin4	
多於	do1 yu1	
多餘	do1 yu4	
多如牛毛	do1 yu4 ngau4 mou4	
多雨	do1 yu5	
多元	do1 yun4	
多元化	do1 yun4 fa3	
多元論	do1 yun4 leun6	
多元性	do1 yun4 sin3	
躲避	do2 bei6	
跺腳	do2 geuk8	
剁碎	do2 seui3	
剁肉	do2 yuk9	
惰	do6	墜，往下垂
惰角	do6 gok8	偏僻
惰角地方	do6 gok8 dei6 fong1	偏僻的地方，偏地方
墮落	do6 lok9	
惰落	do6 lok9	墜下
惰落嚟	do6 lok9 lei4	墜下來
惰性	do6 sing3	
墮胎	do6 toi1	
墮入	do6 yap9	
袋	doi2	口袋
袋鼠	doi2 syu2	
袋	doi6	袋子
代表	doi6 biu2	
殆盡	doi6 jeun6	
怠慢	doi6 maan6	
玳瑁	doi6 mou6	
岱山	doi6 saan1	
代替	doi6 tai3	
待遇	doi6 yu6	
度	dok9	量
踱步	dok9 bou6	
度錯	dok9 cho3	量錯
度德量力	dok9 dak7 leung6 lik9	
度橋	dok9 kiu2	想法子，過關
度身	dok9 san1	量身
度水	dok9 seui2	借錢
當兵	dong1 bing1	
當差	dong1 chaai1	當警察
當前	dong1 chin4	
當朝	dong1 chiu4	
當初	dong1 cho1	
當地	dong1 dei6	
當代	dong1 doi6	
當道	dong1 dou6	
當家	dong1 ga1	
當家作主	dong1 ga1 jok8 jyu2	
當更	dong1 gaang1	值班
當今	dong1 gam1	
當局	dong1 guk9	
當局者迷	dong1 guk9 je2 mai4	
當官	dong1 gun1	
當歸	dong1 gwai1	
當下	dong1 ha6	
當空	dong1 hung1	
當紅	dong1 hung4	
當之無愧	dong1 ji1 mou4 kwai5	
當政	dong1 jing3	
當政者	dong1 jing3 je2	
當造	dong1 jou6	當季
當中	dong1 jung1	
當眾	dong1 jung3	
當住	dong1 jyu6	當著，當面
當住佢講	dong1 jyu6 keui5 gong2	當著他的面說
當權	dong1 kyun4	
噹啷	dong1 long1	
當老師	dong1 lou5 si1	
當面	dong1 min6	
當務之急	dong1 mou6 ji1 gap7	
當心	dong1 sam1	
當衰	dong1 seui1	倒霉，遭殃，該倒霉，運氣差，合該倒霉
當時	dong1 si4	
當先	dong1 sin1	
當選	dong1 syun2	
當選者	dong1 syun2 je2	
當頭	dong1 tau4	
當頭棒喝	dong1 tau4 paang5 hot8	
當堂	dong1 tong4	當場
當堂甩鬚	dong1 tong4 lat7 sou1	當場出醜
當日更	dong1 yat9 gaang1	值日班，上白班，值白班
當夜更	dong1 ye6 gaang1	值夜班
當然	dong1 yin4	
擋箭牌	dong2 jin3 paai4	
黨政	dong2 jing3	
黨派	dong2 paai3	
黨委	dong2 wai2	
檔	dong3	攤子，攤兒，攤
檔口	dong3 hau2	攤子，攤
當真	dong3 jan1	
當作	dong3 jok8	
當佢冇到	dong3 keui5 mou5 dou3	不放在眼裡，不管他，不給他一點面子
當…冇到	dong3 mou5 dou3	當…不在
檔案	dong3 on3	
當舖	dong3 pou3	
當成	dong3 sing4	
檔位	dong3 wai2	攤位
當日	dong3 yat9	
當耳邊風	dong3 yi5 bin1 fung1	
蕩失路	dong6 sat7 lou6	迷路
都	dou1	也
刀疤	dou1 ba1	
刀把	dou1 ba2	
刀柄	dou1 beng3	
刀背	dou1 bui3	
刀叉	dou1 cha1	
刀槍	dou1 cheung1	
刀槍不入	dou1 cheung1 bat7 yap9	
都似	dou1 chi5	有可能，很可能
叨叨絮絮	dou1 dou1 seui5 seui5	
刀鋒	dou1 fung1	
…都假啦	dou1 ga2 la1	…也是白搭，…也是白費勁
刀具	dou1 geui6	
刀劍	dou1 gim3	
刀割	dou1 got8	
叨光	dou1 gwong1	
刀光劍影	dou1 gwong1 gim3 ying2	
都係	dou1 hai6	也是，都是，還是
刀口	dou1 hau2	
都可以	dou1 ho2 yi5	
刀仔	dou1 jai2	小刀
嘟嘴	dou1 jeui2	
刀匠	dou1 jeung6	
刀尖	dou1 jim1	
刀俎	dou1 jo2	
刀俎魚肉	dou1 jo2 yu4 yuk9	
嘟嚕	dou1 lou1	
…都唔得	dou1 m4 dak7	…都不行
刀馬旦	dou1 ma5 daan3	
都未知	dou1 mei6 ji1	還不知道
刀面	dou1 min6	
嘟囔	dou1 nong4	
刀片	dou1 pin3	
刀山	dou1 saan1	
刀山劍樹	dou1 saan1 gim3 syu6	
刀削麵	dou1 seuk8 min6	
刀傷	dou1 seung1	
都市	dou1 si5	
刀刃	dou1 yan6	
都一樣	dou1 yat7 yeung6	
叨擾	dou1 yiu2	
…到	dou2	到了，著
倒閉	dou2 bai3	
賭博	dou2 bok8	
賭場	dou2 cheung4	
倒出嚟	dou2 cheut7 lei4	倒出來
搗蛋	dou2 daan6	
搗蛋鬼	dou2 daan6 gwai2	
賭檔	dou2 dong3	地下賭場
賭棍	dou2 gwan3	指靠賭錢騙人為生的人
島國	dou2 gwok8	
島嶼	dou2 jeui6	
倒竈	dou2 jou3	幫倒忙，砸鍋，辦事失敗
搗爛	dou2 laan6	
倒垃圾	dou2 laap9 saap8	
倒冧	dou2 lam3	倒塌
搗亂	dou2 lyun6	
搗亂份子	dou2 lyun6 fan6 ji2	
搗米	dou2 mai5	
倒米	dou2 mai5	闖禍，搗蛋，惹麻煩，捅婁子
倒米壽星	dou2 mai5 sau6 sing1	搗亂的人，搗蛋的人，幫倒忙者
倒米壽星公	dou2 mai5 sau6 sing1 gung1	搗亂的人，搗蛋的人，幫倒忙者
島民	dou2 man4	
堵塞	dou2 sak7	
倒瀉	dou2 se2	傾倒，溢出，倒出，倒撒了，灑
倒瀉籮蟹	dou2 se2 lo4 haai5	場面一時大亂，手忙腳亂，亂成一團，場面混亂
搗碎	dou2 seui3	
