开放粤语词典（耶鲁拼音数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［耶鲁拼音］	［国语解释］
肥硕	fei4 sek9	
肥水不落外人田	fei4 seui2 bat7 lok9 ngoi6 yan4 tin4	
肥尸大只	fei4 si1 daai6 jek8	肥胖，肥硕，个子大，肥头大耳，又胖又大
肥揗揗	fei4 tan4 tan4	胖乎乎，胖胖的
肥田	fei4 tin4	
肥田料	fei4 tin4 liu2	化肥，化学肥料
肥土	fei4 tou2	
肥肚腩	fei4 tou5 naam5	大肚子，大肚皮
肥壤	fei4 yeung6	
肥沃	fei4 yuk7	
肥肉	fei4 yuk9	
friend	fen1	朋友
粉丝	fen1 si2	歌迷，支持者，爱好者，入迷者
fax	fet7 si2	传真
揈	fing6	甩，扔，晃动，甩动，摆动
揈头	fing6 tau4	摇头，晃脑袋
揈头丸	fing6 tau4 yun2	摇头丸
弗	fit7	标致
弗到漏油	fit7 dou3 lau6 yau4	非常的标致
feel	fiu1	感觉
灰士	fiu1 si2	保险丝
蝌蚪	fo1 dau2	
科技	fo1 gei6	
科学	fo1 hok9	
科学家	fo1 hok9 ga1	
科目	fo1 muk9	
科幻	fo1 waan6	
科幻片	fo1 waan6 pin2	
科幻小说	fo1 waan6 siu2 syut8	
科研	fo1 yin4	
火把	fo2 ba2	
火爆	fo2 baau3	
火柴	fo2 chaai4	
火柴盒	fo2 chaai4	
火车	fo2 che1	
火车站	fo2 che1 jaam6	
火车票	fo2 che1 piu3	
火车头	fo2 che1 tau4	
火枪	fo2 cheung1	
火墙	fo2 cheung4	
火速	fo2 chuk7	
火大	fo2 daai6	
火花	fo2 fa1	
火化	fo2 fa3	
伙房	fo2 fong4	
火鸡	fo2 gai1	
火急	fo2 gap7	
火机	fo2 gei1	打火机
伙记	fo2 gei3	店员，服务员，员工
火颈	fo2 geng2	脾气暴躁，脾气不好
火炬	fo2 geui6	
火警	fo2 ging2	
火攻	fo2 gung1	
火滚	fo2 gwan2	恼火，生气
火光	fo2 gwong1	
火坑	fo2 haang1	
火候	fo2 hau6	
火候未到	fo2 hau6 mei6 dou3	
火起	fo2 hei2	发火，冒火，火儿
火气	fo2 hei3	脾气
火气唔系几好	fo2 hei3 m4 hai6 gei2 hou2	脾气不怎么好
火海	fo2 hoi2	
火红	fo2 hung4	
火红色	fo2 hung4 sik7	
火箭	fo2 jin3	
火箭炮	fo2 jin3 paau3	
火灾	fo2 joi1	
火灾保险	fo2 joi1 bou2 him2	
火灾现场	fo2 joi1 yin6 cheung4	
火葬	fo2 jong3	
火烛	fo2 juk7	火警，火灾，着火
火烛车	fo2 juk7 che1	消防车
火烛喇	fo2 juk7 la3	着火啦！
火中取栗	fo2 jung1 cheui2 leut9	
火种	fo2 jung2	
火球	fo2 kau4	
火炕	fo2 kong3	
火辣	fo2 laat9	
火辣辣	fo2 laat9 laat9	
火轮	fo2 leun4	
火力	fo2 lik9	
火饠	fo2 lo3	烟味，烧焦味，火烟味
火饠瀡	fo2 lo3 cheui4	烟味，火烟味
火炉	fo2 lou4	
火龙	fo2 lung4	
火尾	fo2 mei5	火舌
火苗	fo2 miu4	
火冒三丈	fo2 mou6 saam1 jeung6	
颗粒	fo2 nap7	
颗粒状	fo2 nap7 jong6	
火牛	fo2 ngau4	变压器
火鸟	fo2 niu5	
火炮	fo2 paau3	
火山	fo2 saan1	
火山爆发	fo2 saan1 baau3 faat8	
火山岛	fo2 saan1 dou2	
火山灰	fo2 saan1 fui1	
火山口	fo2 saan1 hau2	
火山岩	fo2 saan1 ngaam4	
火势	fo2 sai3	
火神	fo2 san4	
火水	fo2 seui2	煤油
火水灯	fo2 seui2 dang1	煤油灯
火水炉	fo2 seui2 lou4	煤油炉
火上加油	fo2 seung6 ga1 yau4	
伙食	fo2 sik9	
火星	fo2 sing1	
火星人	fo2 sing1 yan4	
火舌	fo2 sit8	
火烧	fo2 siu1	
火烧眉毛	fo2 siu1 mei4 mou4	
火太猛	fo2 taai3 maang5	火太旺
火炭	fo2 taan3	
火腿	fo2 teui2	
火腿肉	fo2 teui2 yuk9	
火锅	fo2 wo1	
火油	fo2 yau4	煤油
火药	fo2 yeuk9	
火药库	fo2 yeuk9 fu3	
火药味	fo2 yeuk9 mei6	
火焰	fo2 yim6	
火刑	fo2 ying4	
火热	fo2 yit9	
火窑	fo2 yiu4	
货币	fo3 bai6	
货品	fo3 ban2	
课本	fo3 bun2	
货车	fo3 che1	
货车	fo3 che1	卡车
课程	fo3 ching4	
货仓	fo3 chong1	
货柜	fo3 gwai6	
货柜车	fo3 gwai6 che1	集装厢车
货柜码头	fo3 gwai6 ma5 tau4	
课室	fo3 sat7	教室
货van	fo3 wen1	轻型货车
攫夺	fok8 dyut9	
霍乱	fok8 lyun6	
慌	fong1	怕，慌，害怕
方便	fong1 bin6	
荒村	fong1 chyun1	
荒诞	fong1 daan3	
荒诞不经	fong1 daan3 bat7 ging1	
荒地	fong1 dei6	
荒岛	fong1 dou2	
方法	fong1 faat8	
荒废	fong1 fai3	
慌慌	fong1 fong1	
荒郊	fong1 gaau1	
慌叫	fong1 giu3	
芳香	fong1 heung1	
方向	fong1 heung3	
方向感	fong1 heung3 gam2	
荒旱	fong1 hon5	
荒腔走板	fong1 hong1 jau2 baan2	
慌张	fong1 jeung1	
荒政	fong1 jing3	
方略	fong1 leuk9	
荒凉	fong1 leung4	
慌乱	fong1 lyun6	
荒乱	fong1 lyun6	
荒谬	fong1 mau6	
方面	fong1 min6	
荒漠	fong1 mok9	
慌忙	fong1 mong4	
荒芜	fong1 mou4	
荒无人烟	fong1 mou4 yan4 yin1	
荒年	fong1 nin4	
方案	fong1 on3	
慌怕	fong1 pa3	怕，担心
荒山	fong1 saan1	
慌失失	fong1 sat7 sat7	慌手慌脚，慌慌张张
方式	fong1 sik7	
荒田	fong1 tin4	
方糖	fong1 tong4	
荒唐	fong1 tong4	
荒土	fong1 tou2	
谎话	fong1 wa2	
荒淫	fong1 yam4	
荒淫无耻	fong1 yam4 mou4 chi2	
荒淫无度	fong1 yam4 mou4 dou6	
荒淫无道	fong1 yam4 mou4 dou6	
荒野	fong1 ye5	
方言	fong1 yin4	
荒原	fong1 yun4	
房	fong2	房间，屋子
纺锭	fong2 ding3	
恍惚	fong2 fat7	
恍恍惚惚	fong2 fong2 fat7 fat7	
纺织	fong2 jik7	
房中房	fong2 jung1 fong2	分间楼宇单位
访问	fong2 man6	
晃眼	fong2 ngaan5	
恍若	fong2 yeuk9	
恍然大悟	fong2 yin4 daai6 ng6	
恍如隔世	fong2 yu4 gaak8 sai3	
恍如梦境	fong2 yu4 mung6 ging2	
放臭屁	fong3 chau3 pei3	
况且	fong3 che2	
放长线钓大鱼	fong3 cheung4 sin3 diu3 daai6 yu4	
放出	fong3 cheut7	
放矢	fong3 chi2	
放晴	fong3 ching4	
放大镜	fong3 daai6 geng3	
放胆	fong3 daam2	
放胆	fong3 daam2	放心
放胆去	fong3 daam2 heui3	放心去
放胆做	fong3 daam2 jou6	放心做
放低	fong3 dai1	放下
放电	fong3 din6	
放荡	fong3 dong6	
放荡不羁	fong3 dong6 bat7 gei1	
放飞机	fong3 fei1 gei2	放鸽子，失约，爽约
放火	fong3 fo2	
放虎归山	fong3 fu2 gwai1 saan1	
放宽	fong3 fun1	
放风筝	fong3 fung1 jang1	
放假	fong3 ga3	
放监	fong3 gaam1	出狱
放高利贷	fong3 gou1 lei6 taai3	
放工	fong3 gung1	下班
放光	fong3 gwong1	
放下屠刀立地成佛	fong3 ha6 tou4 dou1 laap9 dei6 sing4 fat7	
放喺	fong3 hai2	放在，摆在
放喺地下	fong3 hai2 dei6 ha2	放在地上
放弃	fong3 hei3	
放轻松	fong3 hing1 sung1	
放开	fong3 hoi1	
放寒假	fong3 hon4 ga3	
放血	fong3 hyut8	
放走	fong3 jau2	
放之四海而皆准	fong3 ji1 sei3 hoi2 yi4 gaai1 jeun2	
放纸鹞	fong3 ji2 yiu2	放风筝
放置	fong3 ji3	
放逐	fong3 juk9	
放纵	fong3 jung3	
放诸四海而皆准	fong3 jyu1 sei3 hoi2 yi4 gaai1 jeun2	
放唔低	fong3 m4 dai1	放不下
放马	fong3 ma5	
放马过嚟	fong3 ma5 gwo3 lei4	尽管出招吧，放马过来
放慢	fong3 maan6	
放牧	fong3 muk9	
放牧地	fong3 muk9 dei6	
放牧区	fong3 muk9 keui1	
放眼	fong3 ngaan5	
放牛	fong3 ngau4	
放怶	fong3 pe5	态度消极，懒散，自暴自弃，破罐破摔
放屁	fong3 pei3	
放心	fong3 sam1	
放生	fong3 sang1	
放手去做	fong3 sau2 heui3 jou6	
放射	fong3 se6	
放射线	fong3 se6 sin3	
放射性	fong3 se6 sing3	
放射性同位素	fong3 se6 sing3 tung4 wai6 sou3	
放肆	fong3 si3	
放声	fong3 sing1	
放声大哭	fong3 sing1 daai6 huk7	
放数	fong3 sou3	放高利贷
放松	fong3 sung1	
放暑假	fong3 syu2 ga3	
放贷	fong3 taai3	
放话	fong3 wa2	
放葫芦	fong3 wu4 lou2	吹牛，撒谎，吹牛皮，瞎吹
放任	fong3 yam6	
放入柜桶	fong3 yap9 gwai6 tung2	放进抽屉
放羊	fong3 yeung4	
放盐	fong3 yim4	
放烟花	fong3 yin1 fa1	放烟火
放言	fong3 yin4	
放映	fong3 ying2	
放热	fong3 yit9	
房产	fong4 chaan2	
房车	fong4 che1	
房地产	fong4 dei6 chaan2	
房顶	fong4 ding2	
房东	fong4 dung1	
防火	fong4 fo2	
防火布	fong4 fo2 bou3	
防火墙	fong4 fo2 cheung4	
防火设备	fong4 fo2 chit8 bei6	
房价	fong4 ga3	
房间	fong4 gaan1	
房客	fong4 haak8	
防止	fong4 ji2	
防灾	fong4 joi1	
房租	fong4 jou1	
防涝	fong4 lou6	
房门	fong4 mun4	
妨碍	fong4 ngoi6	
房舍	fong4 se3	
防水表	fong4 seui2 biu1	
防汛	fong4 seun3	
房事	fong4 si6	
房屋	fong4 uk7	
防护	fong4 wu6	
防疫	fong4 yik9	
防疫站	fong4 yik9 jaam6	
防疫针	fong4 yik9 jam1	
呼出	fu1 cheut7	
孵出	fu1 cheut7	
枯草	fu1 chou2	
枯燥	fu1 chou3	
枯燥无味	fu1 chou3 mou4 mei6	
孵蛋	fu1 daan6	
孵化	fu1 fa3	
呼呼大睡	fu1 fu1 daai6 seui6	
夫妇	fu1 fu5	
呼风唤雨	fu1 fung1 wun6 yu5	
呼救	fu1 gau3	
呼救信号	fu1 gau3 seun3 hou6	
呼叫	fu1 giu3	
呼叫器	fu1 giu3 hei3	
枯干	fu1 gon1	
枯槁	fu1 gou2	
枯骨	fu1 gwat7	
呼喊	fu1 haam3	
呼口号	fu1 hau2 hou6	
呼气	fu1 hei3	
枯井	fu1 jeng2	
呼之欲出	fu1 ji1 yuk9 cheut7	
枯焦	fu1 jiu1	
呼吸	fu1 kap7	
呼吸道	fu1 kap7 dou6	
呼吸系统	fu1 kap7 hai6 tung2	
呼吸器官	fu1 kap7 hei3 gun1	
呼吸困难	fu1 kap7 kwan3 naan4	
呼吸声	fu1 kap7 seng1	
枯竭	fu1 kit8	
枯涸	fu1 kok8	
骷髅	fu1 lau4	
孵卵	fu1 leun2	
呼噜	fu1 lou1	
俘虏	fu1 lou5	
枯木	fu1 muk9	
枯木逢春	fu1 muk9 fung4 cheun1	
呼朋引类	fu1 pang4 yan5 leui6	
麸皮	fu1 pei4	
枯瘦	fu1 sau3	
枯死	fu1 sei2	
呼声	fu1 seng1	
枯水	fu1 seui2	
枯水期	fu1 seui2 kei4	
枯水位	fu1 seui2 wai6	
孵小鸡	fu1 siu2 gai1	
呼啸	fu1 siu3	
呼啸而过	fu1 siu3 yi4 gwo3	
枯树	fu1 syu6	
呼天抢地	fu1 tin1 cheung2 dei6	
枯萎	fu1 wai2	
枯荣	fu1 wing4	
俘获	fu1 wok9	
枯黄	fu1 wong4	
呼唤	fu1 wun6	
敷衍	fu1 yin2	
敷衍了事	fu1 yin2 liu5 si6	
呼应	fu1 ying3	
呼应声	fu1 ying3 seng1	
枯叶	fu1 yip9	
呼籲	fu1 yu6	
孵育	fu1 yuk9	
虎	fu2	老虎
苦楚	fu2 cho2	
俯冲	fu2 chung1	
俯冲角	fu2 chung1 gok8	
苦刁刁	fu2 diu1 diu1	非常苦
俯伏	fu2 fuk9	
抚今追昔	fu2 gam1 jeui1 sik7	
抚躬自问	fu2 gung1 ji6 man6	
苦瓜	fu2 gwa1	
苦过弟弟	fu2 gwo3 di4 di2	苦不堪言，非常辛苦
俯瞰	fu2 ham3	
苦口苦面	fu2 hau2 fu2 min6	愁眉苦脸，哭丧着脸，耷拉着脸，整天苦着脸
俯看	fu2 hon3	
俯就	fu2 jau6	
拊掌	fu2 jeung2	
腑脏	fu2 jong6	
苦衷	fu2 jung1	
抚琴	fu2 kam4	
俯曲	fu2 kuk7	
抚弄	fu2 lung6	
抚摩	fu2 mo1	
抚摸	fu2 mo2	
俯卧	fu2 ngo6	
俯卧撑	fu2 ngo6 chaang1	
苦恼	fu2 nou5	
抚爱	fu2 oi3	
琥珀	fu2 paak8	
抚平	fu2 ping4	
俯身	fu2 san1	
俯拾	fu2 sap9	
俯拾皆是	fu2 sap9 gaai1 si6	
俯拾即是	fu2 sap9 jik7 si6	
俯首	fu2 sau2	
俯首称臣	fu2 sau2 ching1 san4	
俯首就范	fu2 sau2 jau6 faan6	
抚恤金	fu2 seut7 gam1	
抚尸痛哭	fu2 si1 tung3 huk7	
俯视	fu2 si6	
虎视眈眈	fu2 si6 daam1 daam1	
俯视图	fu2 si6 tou4	
俯头	fu2 tau4	
斧头	fu2 tau4	
俯泳	fu2 wing6	
俯仰	fu2 yeung5	
抚养	fu2 yeung5	
俯仰之间	fu2 yeung5 ji1 gaan1	
俯仰无愧	fu2 yeung5 mou4 kwai5	
俯仰由人	fu2 yeung5 yau4 yan4	
抚育	fu2 yuk9	
裤	fu3	裤子
副班长	fu3 baan1 jeung2	
副产品	fu3 chaan2 ban2	
副词	fu3 chi4	
副厂长	fu3 chong2 jeung2	
副处长	fu3 chyu3 jeung2	
裤带	fu3 daai2	皮带，裤带
副董事长	fu3 dung2 si6 jeung2	
富家	fu3 ga1	
富家子弟	fu3 ga1 ji2 dai6	
副教授	fu3 gaau3 sau6	
裤脚	fu3 geuk8	裤腿
富贵	fu3 gwai3	
富贵逼人	fu3 gwai3 bik7 yan4	
富贵病	fu3 gwai3 bing6	
富贵在天	fu3 gwai3 joi6 tin1	
富贵荣华	fu3 gwai3 wing4 wa4	
富国	fu3 gwok8	
富国强兵	fu3 gwok8 keung4 bing1	
副校长	fu3 haau6 jeung2	
富厚	fu3 hau5	
副刊	fu3 hon2	
富豪	fu3 hou4	
副职	fu3 jik7	
副作用	fu3 jok8 yung6	
富足	fu3 juk7	
副总裁	fu3 jung2 choi4	
副总经理	fu3 jung2 ging1 lei5	
副总理	fu3 jung2 lei5	
副总司令	fu3 jung2 si1 ling6	
副总统	fu3 jung2 tung2	
副主席	fu3 jyu2 jik9	
副主任	fu3 jyu2 yam6	
富丽	fu3 lai6	
富丽堂皇	fu3 lai6 tong4 wong4	
裤浪	fu3 long6	裤裆
富农	fu3 nung4	
富农分子	fu3 nung4 fan6 ji2	
富农经济	fu3 nung4 ging1 jai3	
副审	fu3 sam2	
副社长	fu3 se5 jeung2	
富商	fu3 seung1	
副司令	fu3 si1 ling6	
副所长	fu3 so2 jeung2	
富太	fu3 taai2	贵妇
裤头	fu3 tau4	裤腰
裤头带	fu3 tau4 daai2	裤带，腰带
副团长	fu3 tyun4 jeung2	
富华	fu3 wa4	
富户	fu3 wu6	
富人	fu3 yan4	
富有	fu3 yau5	
富而不骄	fu3 yi4 bat7 giu1	
副业	fu3 yip9	
富饶	fu3 yiu4	
富余	fu3 yu4	
富裕	fu3 yu6	
符弗	fu4 fit7	办法
符合	fu4 hap9	
符号	fu4 hou6	
扶老携幼	fu4 lou5 kwai4 yau3	
芙蓉	fu4 yung4	
妇产科	fu5 chaan2 fo1	
妇德	fu5 dak7	
妇道	fu5 dou6	
妇科	fu5 fo1	
妇科医生	fu5 fo1 yi1 sang1	
妇联	fu5 lyun4	
妇联会	fu5 lyun5 wui6	
妇女	fu5 neui5	
妇女节	fu5 neui5 jit8	
妇女运动	fu5 neui5 wan6 dung6	
妇孺	fu5 yu4	
负屃	fu6 ai3	
腐败	fu6 baai6	
腐败无能	fu6 baai6 mou4 nang4	
辅弼	fu6 bat9	
付出	fu6 cheut7	
付钱	fu6 chin2	
负担	fu6 daam1	
辅导	fu6 dou6	
付费	fu6 fai3	
付款	fu6 fun2	
附近	fu6 gan6	
付讫	fu6 gat7	
负荷	fu6 ho6	
负责	fu6 jaak8	
负责任	fu6 jaak8 yam6	
付之一炬	fu6 ji1 yat7 geui6	
辅佐	fu6 jo3	
辅助	fu6 jo6	
腐烂	fu6 laan6	
附录	fu6 luk9	
驸马	fu6 ma5	
负面	fu6 min6	
负面影响	fu6 min6 ying2 heung2	
付息	fu6 sik7	
腐蚀	fu6 sik9	
附属	fu6 suk9	
赴汤蹈火	fu6 tong1 dou6 fo2	
赴会	fu6 wui6	
赴任	fu6 yam6	
赴宴	fu6 yin3	
腐乳	fu6 yu5	
灰白	fui1 baak9	
灰白色	fui1 baak9 sik7	
灰飞烟灭	fui1 fei1 yin1 mit9	
恢复	fui1 fuk9	
灰狗	fui1 gau2	
诙谐	fui1 haai4	
灰烬	fui1 jeun6	
灰鲸	fui1 king4	
灰佬	fui1 lou2	奸细
灰蒙蒙	fui1 mung4 mung4	
魁梧	fui1 ng4	
灰心	fui1 sam1	
灰心丧气	fui1 sam1 song3 hei3	
魁首	fui1 sau2	
灰水	fui1 seui2	石灰水
灰色	fui1 sik7	
魁星	fui1 sing1	
灰鼠	fui1 syu2	
魁伟	fui1 wai5	
鲔鱼	fui2 yu4	
悔恨	fui3 han6	
晦气	fui3 hei3	
晦气星	fui3 hei3 sing1	倒霉鬼
悔悟	fui3 ng6	
诲人不倦	fui3 yan4 bat7 gyun6	
覆电话	fuk7 din6 wa2	回电话
福建人	fuk7 gin3 yan4	
福气	fuk7 hei3	
复兴	fuk7 hing1	
复杂	fuk7 jaap9	
复制	fuk7 jai3	
复制品	fuk7 jai3 ban2	
福州话	fuk7 jau1 wa2	
福祉	fuk7 ji2	
福至心灵	fuk7 ji3 sam1 ling4	
复盖	fuk7 koi3	
福利	fuk7 lei6	
福禄寿	fuk7 luk9 sau6	
福无双至	fuk7 mou4 seung1 ji3	
蝮蛇	fuk7 se4	
辐射	fuk7 se6	
辐射尘	fuk7 se6 chan4	
辐射计	fuk7 se6 gai3	
辐射状	fuk7 se6 jong6	
辐射量	fuk7 se6 leung6	
辐射能	fuk7 se6 nang4	
辐射线	fuk7 se6 sin3	
辐射性	fuk7 se6 sing3	
辐射体	fuk7 se6 tai2	
辐射热	fuk7 se6 yit9	
福星	fuk7 sing1	
福星高照	fuk7 sing1 gou1 jiu3	
蝠鼠	fuk7 syu2	蝙蝠
福头	fuk7 tau4	笨蛋，蠢货
福音	fuk7 yam1	
复印机	fuk7 yan3 gei1	
福如东海	fuk7 yu4 dung1 hoi2	
馥郁	fuk7 yuk7	
服	fuk9	服气
复出	fuk9 cheut7	
服从	fuk9 chung4	
伏法	fuk9 faat8	
复发	fuk9 faat8	
复古	fuk9 gu2	
复古风	fuk9 gu2 fung1	
复习	fuk9 jaap9	
茯苓	fuk9 ling4	
服务	fuk9 mou6	
服务费	fuk9 mou6 fai3	
服务员	fuk9 mou6 yun4	
复辟	fuk9 pik7	
复生	fuk9 sang1	
复仇	fuk9 sau4	
服饰	fuk9 sik7	
复苏	fuk9 sou1	
复活	fuk9 wut9	
复活节	fuk9 wut9 jit8	
服药	fuk9 yeuk9	
服用	fuk9 yung6	
宽敞	fun1 chong2	
髋骨	fun1 gwat7	髋骨
宽广	fun1 gwong2	
欢喜	fun1 hei2	喜欢，爱好，喜爱，高兴，快乐
欢庆	fun1 hing3	
欢乐	fun1 lok9	
欢欣	fun1 yan1	
欢迎	fun1 ying4	
欢迎光临	fun1 ying4 gwong1 lam4	
宽裕	fun1 yu6	
宽容	fun1 yung4	
款项	fun2 hong6	
款式	fun2 sik7	
封包	fung1 baau1	红封，赏封
封闭	fung1 bai3	
风波	fung1 bo1	
风暴	fung1 bou6	
蜂虿	fung1 chaai3	
风餐露宿	fung1 chaan1 lou6 suk7	
丰产	fung1 chaan2	
丰产田	fung1 chaan2 tin4	
风尘	fung1 chan4	
风尘仆仆	fung1 chan4 buk9 buk9	
风尘中人	fung1 chan4 jung1 yan4	
风车	fung1 che1	
风吹	fung1 cheui1	
风吹草动	fung1 cheui1 chou2 dung6	
风吹两面倒	fung1 cheui1 leung5 min6 dou2	
风吹雨打	fung1 cheui1 yu5 da2	
风趣	fung1 cheui3	
风枪	fung1 cheung1	气枪
风肠	fung1 cheung2	腊肠
风驰电掣	fung1 chi4 din6 jai3	
风情万种	fung1 ching4 maan6 jung2	
丰采	fung1 choi2	
风速	fung1 chuk7	
风灯	fung1 dang1	
风笛	fung1 dek9	
疯癫	fung1 din1	
风度	fung1 dou6	
风度翩翩	fung1 dou6 pin1 pin1	
风化	fung1 fa3	
风范	fung1 faan6	
烽火	fung1 fo2	
风火	fung1 fo2	
丰富	fung1 fu3	
丰富多彩	fung1 fu3 do1 choi2	
疯疯癫癫	fung1 fung1 din1 din1	
风风雨雨	fung1 fung1 yu5 yu5	
风格	fung1 gaak8	
疯狗	fung1 gau2	
风景	fung1 ging2	
风景区	fung1 ging2 keui1	
风干	fung1 gon1	
风干机	fung1 gon1 gei1	
丰功	fung1 gung1	
风季	fung1 gwai3	
风骨	fung1 gwat7	
风光	fung1 gwong1	
风光明媚	fung1 gwong1 ming4 mei6	
风光十足	fung1 gwong1 sap9 juk7	
丰厚	fung1 hau5	
风气	fung1 hei3	
风向	fung1 heung3	
风向标	fung1 heung3 biu1	
风向器	fung1 heung3 hei3	
风向针	fung1 heung3 jam1	
风险	fung1 him2	
枫红	fung1 hung4	
疯犬病	fung1 hyun2 beng6	
风疹	fung1 jan2	
风筝	fung1 jang1	
丰姿	fung1 ji1	
风灾	fung1 joi1	
丰足	fung1 juk7	
风烛残年	fung1 juk7 chaan4 nin4	
风俗	fung1 juk9	
风俗习惯	fung1 juk9 jaap9 gwaan3	
风中	fung1 jung1	
风中残烛	fung1 jung1 chaan4 juk7	
风琴	fung1 kam4	
疯狂	fung1 kwong4	
风褛	fung1 lau1	风衣，挡风外衣
风流	fung1 lau4	
风流	fung1 lau4	出风头
风流	fung1 lau4	闲情逸致，闲心
风流成性	fung1 lau4 sing4 sing3	
风流潇洒	fung1 lau4 siu1 sa2	
风流韵事	fung1 lau4 wan6 si6	
风流人物	fung1 lau4 yan4 mat9	
锋利	fung1 lei6	
风凉	fung1 leung4	
风凉话	fung1 leung4 wa2	
风栗	fung1 leut9	栗子
风力	fung1 lik9	
风力机	fung1 lik9 gei1	
风铃	fung1 ling4	
风炉	fung1 lou2	小炉子
风炉	fung1 lou4	
风马牛	fung1 ma5 ngau4	
风马牛不相及	fung1 ma5 ngau4 bat7 seung1 kap9	
蜂蜜	fung1 mat9	
风靡	fung1 mei4	
风靡一时	fung1 mei4 yat7 si4	
封面	fung1 min6	
锋铓	fung1 mong4	
风帽	fung1 mou6	
丰满	fung1 mun5	
风赧	fung1 naan3	荨麻疹
丰年	fung1 nin4	
丰年祭	fung1 nin4 jai3	
风平浪静	fung1 ping4 long6 jing6	
丰沛	fung1 pui3	
风生水起	fung1 saang1 seui2 hei2	活跃，兴隆，兴旺，有生气，生机勃勃，发达兴旺
风湿	fung1 sap7	
丰收	fung1 sau1	
丰硕	fung1 sek9	
风声	fung1 seng1	
风水	fung1 seui2	
风水佬	fung1 seui2 lou2	阴阳先生，堪舆家
风水生	fung1 seui2 lou2	堪舆家，阴阳生，风水师
风水师	fung1 seui2 si1	
风水先生	fung1 seui2 sin1 saang1	
风信	fung1 seun3	
风信鸽	fung1 seun3 gap8	
风信子	fung1 seun3 ji2	
风尚	fung1 seung6	
风扇	fung1 sin3	
风扇	fung1 sin3	电风扇
丰盛	fung1 sing6	
封锁	fung1 so2	
风骚	fung1 sou1	
枫树	fung1 syu6	
风调雨顺	fung1 tiu4 yu5 seun6	
枫糖	fung1 tong4	
枫糖浆	fung1 tong4 jeung1	
风土	fung1 tou2	
风筒	fung1 tung2	吹风机，电吹风
疯话	fung1 wa2	
风云	fung1 wan4	
风云人物	fung1 wan4 yan4 mat9	
丰韵	fung1 wan6	
风韵	fung1 wan6	
峰会	fung1 wui6	
疯人院	fung1 yan4 yun6	
锋锐	fung1 yeui6	
丰衣足食	fung1 yi1 juk7 sik9	
疯言疯语	fung1 yin4 fung1 yu5	
丰盈	fung1 ying4	
枫叶	fung1 yip9	
丰饶	fung1 yiu4	
风雨灯	fung1 yu5 dang1	
风雨交加	fung1 yu5 gaau1 ga1	
风雨雷电	fung1 yu5 leui4 din6	
风雨无阻	fung1 yu5 mou4 jo2	
风雨如晦，鸡鸣不已	fung1 yu5 yu4 fui3 gai1 ming4 bat7 yi5	
风雨如磐	fung1 yu5 yu4 pun4	
丰裕	fung1 yu6	
风月	fung1 yut9	
讽刺	fung3 chi3	
缝补	fung4 bou2	
逢场作戏	fung4 cheung4 jok8 hei3	
逢低买进	fung4 dai1 maai5 jeun3	
逢高卖出	fung4 gou1 maai6 cheut7	
缝隙	fung4 gwik7	
缝合	fung4 hap9	
缝起	fung4 hei2	
缝好	fung4 hou2	
逢凶化吉	fung4 hung1 fa3 gat7	
缝制	fung4 jai3	
缝缀	fung4 jeui6	
缝住	fung4 jyu6	
逢年过节	fung4 nin4 gwo3 jit8	
逢山开路	fung4 saan1 hoi1 lou6	
缝上	fung4 seung6	
缝纫	fung4 yan6	
逢迎	fung4 ying4	
奉告	fung6 gou3	
奉公	fung6 gung1	
奉公职守	fung6 gung1 jik7 sau2	
奉公守法	fung6 gung1 sau2 faat8	
奉系	fung6 hai6	
奉行	fung6 hang4	
奉献	fung6 hin3	
奉劝	fung6 hyun3	
凤爪	fung6 jaau2	鸡爪子，鸡脚
凤姐	fung6 je2	妓女，应召女郎
奉旨	fung6 ji2	
奉旨	fung6 ji2	一定，决，准
奉旨唔	fung6 ji2 m4	一定不，决不，准不
奉祀	fung6 ji6	
奉召	fung6 jiu6	
凤楼	fung6 lau2	妓女居处
奉令	fung6 ling6	
俸禄	fung6 luk9	
奉命	fung6 ming6	
奉命行事	fung6 ming6 hang4 si6	
奉陪	fung6 pui4	
奉上	fung6 seung6	
奉承	fung6 sing4	
奉送	fung6 sung3	
奉为圭臬	fung6 wai4 gwai1 yit9	
凤凰	fung6 wong4	
奉养	fung6 yeung5	
奉迎	fung6 ying4	
阔	fut8	宽
阔绰	fut8 cheuk8	
阔气	fut8 hei3	
阔落	fut8 lok9	宽畅，宽敞
阔佬	fut8 lou2	阔气，阔气的人，有钱人，财主
阔佬懒理	fut8 lou2 laan5 lei5	不理不睬，不闻不问，甩手不管
加压	ga1 aat8	
加把口	ga1 ba2 hau2	插嘴，插一嘴
加班	ga1 baan1	
加班费	ga1 baan1 fai3	
嘉宾	ga1 ban1	
家仆	ga1 buk9	
家蚕	ga1 chaam4	
家丑	ga1 chau2	
家丑不可外扬	ga1 chau2 bat7 ho2 ngoi6 yeung4	
加场	ga1 cheung4	
加长	ga1 cheung4	
加场赛	ga1 cheung4 choi3	
加菜	ga1 choi3	
加菜	ga1 choi3	加餐
家财	ga1 choi4	
加粗	ga1 chou1	
加速	ga1 chuk7	
