開放粵語詞典（黃錫凌調符調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［黃錫凌拼音］	［國語解釋］
憎	'dzɐŋ	恨
增兵	'dzɐŋ 'bɪŋ	
爭執	'dzɐŋ 'dzɐp	
增多	'dzɐŋ 'dɔ	
僧多粥少	'dzɐŋ 'dɔ 'dzʊk ´siu	
僧服	'dzɐŋ 'fʊk	
增加	'dzɐŋ 'ga	
增高	'dzɐŋ 'gou	
增光	'dzɐŋ 'gwɔŋ	
增音機	'dzɐŋ 'jɐm 'gei	
增刪	'dzɐŋ 'san	
增添	'dzɐŋ 'tim	
爭辯	'dzɐŋ _bin	
增大	'dzɐŋ _dai	
爭奪	'dzɐŋ _dyt	
僧寺	'dzɐŋ _dzi	
增值	'dzɐŋ _dzik	
增值稅	'dzɐŋ _dzik ¯sœy	
憎恨	'dzɐŋ _hɐn	
僧院	'dzɐŋ _jyn	
增量	'dzɐŋ _lœŋ	
增壓	'dzɐŋ ¯at	
掙扎	'dzɐŋ ¯dzat	
增至	'dzɐŋ ¯dzi	
增訂	'dzɐŋ ¯dɪŋ	
增訂本	'dzɐŋ ¯dɪŋ ´bun	
增設	'dzɐŋ ¯tsit	
憎惡	'dzɐŋ ¯ɔk	
增補	'dzɐŋ ´bou	
增長	'dzɐŋ ´dzœŋ	
增長速度	'dzɐŋ ´dzœŋ 'tsʊk _dou	
增長率	'dzɐŋ ´dzœŋ _lœt	
增減	'dzɐŋ ´gam	
增廣	'dzɐŋ ´gwɔŋ	
增廣見聞	'dzɐŋ ´gwɔŋ ¯gin ˌmɐn	
憎死	'dzɐŋ ´sei	恨透
增產	'dzɐŋ ´tsan	
僧人	'dzɐŋ ˌjɐn	
增強	'dzɐŋ ˌkœŋ	
僧尼	'dzɐŋ ˌnei	
猙獰	'dzɐŋ ˌnɪŋ	
僧袍	'dzɐŋ ˌpou	
僧徒	'dzɐŋ ˌtou	
僧堂	'dzɐŋ ˌtɔŋ	
增援	'dzɐŋ ˌwun	
崢嶸	'dzɐŋ ˌwɪŋ	
僧侶	'dzɐŋ ˏlœy	
睜眼	'dzɐŋ ˏŋan	
栽贓	'dzɔi 'dzɔŋ	
災殃	'dzɔi 'jœŋ	
災區	'dzɔi 'kœy	
災星	'dzɔi 'sɪŋ	
災害	'dzɔi _hɔi	
災難	'dzɔi _nan	
災禍	'dzɔi _wɔ	
災變	'dzɔi ¯bin	
災民	'dzɔi ˌmɐn	
栽培	'dzɔi ˌpui	
災情	'dzɔi ˌtsɪŋ	
災情慘重	'dzɔi ˌtsɪŋ ´tsam _dzʊŋ	
裝	'dzɔŋ	盛，裝
裝瘋賣傻	'dzɔŋ 'fʊŋ _mai ˌsɔ	
髒稀稀	'dzɔŋ 'hei 'hei	
裝香	'dzɔŋ 'hœŋ	上香，獻香，插香
裝腔作勢	'dzɔŋ 'hɔŋ ¯dzɔk ¯sɐi	
裝飾	'dzɔŋ 'sik	
裝飾品	'dzɔŋ 'sik ´bɐn	
裝修	'dzɔŋ 'sɐu	
裝修佬	'dzɔŋ 'sɐu ´lou	裝修師傅
贓車	'dzɔŋ 'tsɛ	
裝扮	'dzɔŋ _ban	
裝備	'dzɔŋ _bei	
裝備齊全	'dzɔŋ _bei ˌtsɐi ˌtsyn	
髒字	'dzɔŋ _dzi	
裝住嘢	'dzɔŋ _dzy ˏjɛ	裝著東西
裝飯	'dzɔŋ _fan	盛飯
髒亂	'dzɔŋ _lyn	
贓物	'dzɔŋ _mɐt	
裝運	'dzɔŋ _wɐn	
裝置	'dzɔŋ ¯dzi	
裝載	'dzɔŋ ¯dzɔi	
裝載量	'dzɔŋ ¯dzɔi _lœŋ	
裝作	'dzɔŋ ¯dzɔk	
裝訂	'dzɔŋ ¯dɪŋ	
裝貨	'dzɔŋ ¯fɔ	
莊稼	'dzɔŋ ¯ga	
裝甲	'dzɔŋ ¯gap	
裝甲兵	'dzɔŋ ¯gap 'bɪŋ	
裝甲車	'dzɔŋ ¯gap 'tsɛ	
裝甲部隊	'dzɔŋ ¯gap _bou _dœy	
裝配	'dzɔŋ ¯pui	
裝卸	'dzɔŋ ¯sɛ	
裝設	'dzɔŋ ¯tsit	
贓款	'dzɔŋ ´fun	
髒水	'dzɔŋ ´sœy	
髒話	'dzɔŋ ´wa	
裝聾作啞	'dzɔŋ ˌlʊŋ ¯dzɔk ´a	
裝模作樣	'dzɔŋ ˌmou ¯dzɔk _jœŋ	
裝唔落	'dzɔŋ ˌm̩ _lɔk	盛不下
裝神弄鬼	'dzɔŋ ˌsɐn _lʊŋ ´gwɐi	
裝傻	'dzɔŋ ˌsɔ	
髒錢	'dzɔŋ ˌtsin	
裝潢	'dzɔŋ ˌwɔŋ	
裝殮	'dzɔŋ ˏlim	
裝滿	'dzɔŋ ˏmun	
…姐	'dzɛ	姐
遮	'dzɛ	擋
遮	'dzɛ	雨傘
啫	'dzɛ	而已
遮骨	'dzɛ 'gwɐt	傘枝，傘的骨架，傘的金屬條
遮蔽	'dzɛ ¯bɐi	
遮柄	'dzɛ ¯bɛŋ	傘桿兒；傘桿兒的尖端
遮掩	'dzɛ ´jim	
啫喱	'dzɛ ´lei	果凍
jacket	'dzɛk _kɛk	夾克
占	'dzɛm	果醬
精	'dzɛŋ	機靈，聰明
精	'dzɛŋ	自私，取巧，狡猾，愛耍小聰明
精叻	'dzɛŋ 'lɛk	聰明能幹，精明
精出骨	'dzɛŋ 'tsœt 'gwɐt	自私，狡猾
精仔	'dzɛŋ ´dzɐi	投機取巧的人，精明能幹的人，精於計算的人
精埋一便	'dzɛŋ ˌmai 'jɐt _bin	專把聰明用在做壞事或為自己打算上
精辟	'dzɪŋ 'pik	
貞操	'dzɪŋ 'tsou	
偵測	'dzɪŋ 'tsɐk	
偵緝	'dzɪŋ 'tsɐp	
偵聽	'dzɪŋ 'tɪŋ	
偵聽器	'dzɪŋ 'tɪŋ ¯hei	
偵聽員	'dzɪŋ 'tɪŋ ˌjyn	
偵聽台	'dzɪŋ 'tɪŋ ˌtɔi	
偵辦	'dzɪŋ _ban	
怔住	'dzɪŋ _dzy	
征伐	'dzɪŋ _fɐt	
征服	'dzɪŋ _fʊk	
正月	'dzɪŋ _jyt	
正月初一	'dzɪŋ _jyt 'tsɔ 'jɐt	
正月初三	'dzɪŋ _jyt 'tsɔ 'sam	
正月初二	'dzɪŋ _jyt 'tsɔ _ji	
蒸餾水	'dzɪŋ _lɐu ´sœy	
徵募	'dzɪŋ _mou	
偵問	'dzɪŋ _mɐn	
徵兆	'dzɪŋ _siu	
精邃	'dzɪŋ _sœy	
精粹	'dzɪŋ _sœy	
晶石	'dzɪŋ _sɛk	
精湛	'dzɪŋ ¯dzam	
蒸發	'dzɪŋ ¯fat	
蒸氣	'dzɪŋ ¯hei	
偵破	'dzɪŋ ¯pɔ	
偵訊	'dzɪŋ ¯sœn	
偵探	'dzɪŋ ¯tam	
偵探小說	'dzɪŋ ¯tam ´siu ¯syt	
偵察	'dzɪŋ ¯tsat	
偵察兵	'dzɪŋ ¯tsat 'bɪŋ	
偵察機	'dzɪŋ ¯tsat 'gei	
精品	'dzɪŋ ´bɐn	
精子	'dzɪŋ ´dzi	
精選	'dzɪŋ ´syn	
精选	'dzɪŋ ´syn	
晶瑩	'dzɪŋ ˌjɪŋ	
旌旗	'dzɪŋ ˌkei	
徵糧	'dzɪŋ ˌlœŋ	
蒸籠	'dzɪŋ ˌlʊŋ	
精神	'dzɪŋ ˌsɐn	
精神分裂	'dzɪŋ ˌsɐn 'fɐn _lit	
精神病	'dzɪŋ ˌsɐn _bɛŋ	
精神煥發	'dzɪŋ ˌsɐn _wun ¯fat	
精神爽利	'dzɪŋ ˌsɐn ´sɔŋ _lei	精神飽滿，心情舒暢，精神奕奕
精神為之一振	'dzɪŋ ˌsɐn ˌwɐi 'dzi 'jɐt ¯dzɐn	
偵查	'dzɪŋ ˌtsa	
禎祥	'dzɪŋ ˌtsœŋ	
精華	'dzɪŋ ˌwa	
精髓	'dzɪŋ ˏsœy	
粥	'dzʊk	稀飯
竹	'dzʊk	竹子，竹竿
捉	'dzʊk	抓
捉波子棋	'dzʊk 'bɔ ´dzi ˌkei	下跳棋
竹枝	'dzʊk 'dzi	小竹子，小竹棍，竹子分枝
足跡	'dzʊk 'dzik	
祝福	'dzʊk 'fʊk	
竹篙	'dzʊk 'gou	竹竿
燭光	'dzʊk 'gwɔŋ	
捉兒人	'dzʊk 'ji 'jɐn	捉迷藏
竹紗	'dzʊk 'sa	府綢
竹紗衫褲	'dzʊk 'sa 'sam ¯fu	府綢衣服
竹升	'dzʊk 'sɪŋ	竹槓，竹竿
竹升	'dzʊk 'sɪŋ	假洋鬼子，香蕉人
竹升妹	'dzʊk 'sɪŋ 'mui	假洋妞
竹升仔	'dzʊk 'sɪŋ ´dzɐi	假洋鬼子
築屋	'dzʊk 'ʊk	
竹箆	'dzʊk _bei	
捉字蝨	'dzʊk _dzi 'sɐt	摳字眼兒，挑字眼兒
捉住	'dzʊk _dzy	抓住
囑咐	'dzʊk _fu	
祝賀	'dzʊk _hɔ	
祝賀信	'dzʊk _hɔ ¯sœn	
祝願	'dzʊk _jyn	
築路	'dzʊk _lou	
築路工程	'dzʊk _lou 'gʊŋ ˌtsɪŋ	
竹篾	'dzʊk _mit	
矚目	'dzʊk _mʊk	
祝壽	'dzʊk _sɐu	
竹笪	'dzʊk ¯dat	竹蓆
竹戰	'dzʊk ¯dzin	打麻將
竹纈	'dzʊk ¯lit	竹節
捉痛腳	'dzʊk ¯tʊŋ ¯gœk	揭短，揭瘡疤
捉到	'dzʊk ´dou	抓到
燭火	'dzʊk ´fɔ	
捉緊	'dzʊk ´gɐn	抓緊
捉棋	'dzʊk ´kei	下棋
捉棋比賽	'dzʊk ´kei ´bei ¯tsɔi	下棋比賽
足球	'dzʊk ˌkɐu	
竹簾	'dzʊk ˌlim	
燭籠	'dzʊk ˌlʊŋ	
築成	'dzʊk ˌsɪŋ	
築巢	'dzʊk ˌtsau	
祝辭	'dzʊk ˌtsi	
築牆	'dzʊk ˌtsœŋ	
築堤	'dzʊk ˌtɐi	
鐘	'dzʊŋ	時鍾
舂	'dzʊŋ	杵，闖，墜，栽
鐘錶	'dzʊŋ 'biu	
鐘錶店	'dzʊŋ 'biu ¯dim	
終端	'dzʊŋ 'dyn	
終端機	'dzʊŋ 'dyn 'gei	
蹤跡	'dzʊŋ 'dzik	
中裝	'dzʊŋ 'dzɔŋ	
忠貞	'dzʊŋ 'dzɪŋ	
忠貞不二	'dzʊŋ 'dzɪŋ 'bɐt _ji	
中低	'dzʊŋ 'dɐi	
中低層	'dzʊŋ 'dɐi ˌtsɐŋ	
中鋒	'dzʊŋ 'fʊŋ	
中間	'dzʊŋ 'gan	
中間人	'dzʊŋ 'gan ˌjɐn	
中更	'dzʊŋ 'gaŋ	中班
中堅	'dzʊŋ 'gin	
中堅份子	'dzʊŋ 'gin _fɐn ´dzi	
中高	'dzʊŋ 'gou	
中高音	'dzʊŋ 'gou 'jɐm	
中高級	'dzʊŋ 'gou 'kɐp	
中高層	'dzʊŋ 'gou ˌtsɐŋ	
忠肝義膽	'dzʊŋ 'gɔn _ji ´dam	
中興	'dzʊŋ 'hɪŋ	
中空	'dzʊŋ 'hʊŋ	
中醫	'dzʊŋ 'ji	
中醫藥	'dzʊŋ 'ji _jœk	
忠於	'dzʊŋ 'jy	
終於	'dzʊŋ 'jy	
中央	'dzʊŋ 'jœŋ	
中央圖書館	'dzʊŋ 'jœŋ ˌtou 'sy ´gun	
中區	'dzʊŋ 'kœy	
中級	'dzʊŋ 'kɐp	
中褸	'dzʊŋ 'lɐu	中大衣
中篇	'dzʊŋ 'pin	
中篇小說	'dzʊŋ 'pin ´siu ¯syt	
中山裝	'dzʊŋ 'san 'dzɔŋ	
螽斯	'dzʊŋ 'si	
中式	'dzʊŋ 'sik	
棕色	'dzʊŋ 'sik	
中樞	'dzʊŋ 'sy	
中樞系統	'dzʊŋ 'sy _hɐi ´tʊŋ	
中樞神經	'dzʊŋ 'sy ˌsɐn 'gɪŋ	
中樞神經系統	'dzʊŋ 'sy ˌsɐn 'gɪŋ _hɐi ´tʊŋ	
終須	'dzʊŋ 'sœy	終歸
縱深	'dzʊŋ 'sɐm	
中心	'dzʊŋ 'sɐm	
忠心	'dzʊŋ 'sɐm	
中心區	'dzʊŋ 'sɐm 'kœy	
中心思想	'dzʊŋ 'sɐm 'si ´sœŋ	
中心地帶	'dzʊŋ 'sɐm _dei ¯dai	
中心內容	'dzʊŋ 'sɐm _nɔi ˌjʊŋ	
中心線	'dzʊŋ 'sɐm ¯sin	
中心點	'dzʊŋ 'sɐm ´dim	
忠心耿耿	'dzʊŋ 'sɐm ´gɐŋ ´gɐŋ	
中心人物	'dzʊŋ 'sɐm ˌjɐn _mɐt	
中餐	'dzʊŋ 'tsan	
中餐	'dzʊŋ 'tsan	午飯
中秋佳節	'dzʊŋ 'tsɐu 'gai ¯dzit	
中秋月餅	'dzʊŋ 'tsɐu _jyt ´bɛŋ	
中秋節	'dzʊŋ 'tsɐu ¯dzit	
舂瘟雞	'dzʊŋ 'wɐn 'gɐi	走路不穩，暈頭轉向，亂衝亂撞，盲目亂來，瞎搞一氣
中部	'dzʊŋ _bou	
忠僕	'dzʊŋ _bʊk	
中大	'dzʊŋ _dai	
中大型	'dzʊŋ _dai ˌjɪŋ	
中度	'dzʊŋ _dou	
中斷	'dzʊŋ _dyn	
中段	'dzʊŋ _dyn	
縱斷面	'dzʊŋ _dyn _min	
忠直	'dzʊŋ _dzik	
縱座標	'dzʊŋ _dzɔ 'biu	
中毒	'dzʊŋ _dʊk	
中飯	'dzʊŋ _fan	
中下層	'dzʊŋ _ha	
中下	'dzʊŋ _ha	
中下階級	'dzʊŋ _ha 'gai 'kɐp	
中下階層	'dzʊŋ _ha 'gai ˌtsɐŋ	
中下級	'dzʊŋ _ha 'kɐp	
中下等	'dzʊŋ _ha ´dɐŋ	
中下游	'dzʊŋ _ha ˌjɐu	
中下程度	'dzʊŋ _ha ˌtsɪŋ _dou	
綜合	'dzʊŋ _hɐp	
中學	'dzʊŋ _hɔk	
高中	'dzʊŋ _hɔk	
中學雞	'dzʊŋ _hɔk 'gɐi	中學生
中學生	'dzʊŋ _hɔk 'saŋ	
中學西用	'dzʊŋ _hɔk 'sɐi _jʊŋ	
忠義	'dzʊŋ _ji	
中藥	'dzʊŋ _jœk	
中藥學	'dzʊŋ _jœk _hɔk	
中藥店	'dzʊŋ _jœk ¯dim	
中藥舖	'dzʊŋ _jœk ¯pou	
中藥房	'dzʊŋ _jœk ˌfɔŋ	
中立	'dzʊŋ _lap	
中立區	'dzʊŋ _lap 'kœy	
中立地區	'dzʊŋ _lap _dei 'kœy	
中立地帶	'dzʊŋ _lap _dei ¯dai	
中立國	'dzʊŋ _lap ¯gwɔk	
中立國家	'dzʊŋ _lap ¯gwɔk 'ga	
中立派	'dzʊŋ _lap ¯pai	
中立主義	'dzʊŋ _lap ´dzy _ji	
忠烈	'dzʊŋ _lit	
忠烈祠	'dzʊŋ _lit ˌtsi	
舂落去	'dzʊŋ _lɔk ¯hœy	墜下去，栽下去
舂落嚟	'dzʊŋ _lɔk ˌlei	墜下來，栽下來
宗廟	'dzʊŋ _miu	
中上	'dzʊŋ _sœŋ	
中上階級	'dzʊŋ _sœŋ 'gai 'kɐp	
中上階層	'dzʊŋ _sœŋ 'gai ˌtsɐŋ	
中上級	'dzʊŋ _sœŋ 'kɐp	
中上等	'dzʊŋ _sœŋ ´dɐŋ	
中上游	'dzʊŋ _sœŋ ˌjɐu	
中上層	'dzʊŋ _sœŋ ˌtsɐŋ	
中上程度	'dzʊŋ _sœŋ ˌtsɪŋ _dou	
忠實	'dzʊŋ _sɐt	
綜藝	'dzʊŋ _ŋɐi	
中外	'dzʊŋ _ŋɔi	
中輟	'dzʊŋ ¯dzyt	
中將	'dzʊŋ ¯dzœŋ	
宗教	'dzʊŋ ¯gau	
中校	'dzʊŋ ¯gau	
終結	'dzʊŋ ¯git	
終結句	'dzʊŋ ¯git ¯gœy	
終結者	'dzʊŋ ¯git ´dzɛ	
忠告	'dzʊŋ ¯gou	
縱貫	'dzʊŋ ¯gun	
中國醫藥	'dzʊŋ ¯gwɔk 'ji _jœk	
中國式	'dzʊŋ ¯gwɔk 'sik	
中國字	'dzʊŋ ¯gwɔk _dzi	
中國菜	'dzʊŋ ¯gwɔk ¯tsɔi	
中國史	'dzʊŋ ¯gwɔk ´si	
中國畫	'dzʊŋ ¯gwɔk ´wa	
中國話	'dzʊŋ ¯gwɔk ´wa	
中國人	'dzʊŋ ¯gwɔk ˌjɐn	
中國文學	'dzʊŋ ¯gwɔk ˌmɐn _hɔk	
中國文化	'dzʊŋ ¯gwɔk ˌmɐn ¯fa	
中國社會	'dzʊŋ ¯gwɔk ˏsɛ _wui	
中繼站	'dzʊŋ ¯gɐi _dzam	
忠孝	'dzʊŋ ¯hau	
忠孝不能兩全	'dzʊŋ ¯hau 'bɐt ˌnɐŋ ˏlœŋ ˌtsyn	
縱向	'dzʊŋ ¯hœŋ	
鍾意	'dzʊŋ ¯ji	喜歡
中線	'dzʊŋ ¯sin	
鐘數	'dzʊŋ ¯sou	時間
忠信	'dzʊŋ ¯sœn	
中世紀	'dzʊŋ ¯sɐi ´gei	
中性	'dzʊŋ ¯sɪŋ	
中性人	'dzʊŋ ¯sɪŋ ˌjɐn	
中性名詞	'dzʊŋ ¯sɪŋ ˌmɪŋ ˌtsi	
中尉軍官	'dzʊŋ ¯wɐi 'gwɐn 'gun	
鍾愛	'dzʊŋ ¯ɔi	
鐘點	'dzʊŋ ´dim	鐘點傭工
鐘點女傭	'dzʊŋ ´dim ˏnœy ˌjʊŋ	小時工，鐘點兒女工
中指	'dzʊŋ ´dzi	
終止	'dzʊŋ ´dzi	
中止	'dzʊŋ ´dzi	
中等	'dzʊŋ ´dɐŋ	
中等艙	'dzʊŋ ´dɐŋ 'tsɔŋ	
中等教育	'dzʊŋ ´dɐŋ ¯gau _jʊk	
中古	'dzʊŋ ´gu	
中古車	'dzʊŋ ´gu 'tsɛ	
中古世紀	'dzʊŋ ´gu ¯sɐi ´gei	
中古史	'dzʊŋ ´gu ´si	
中古時代	'dzʊŋ ´gu ˌsi _dɔi	
縱剖面	'dzʊŋ ´pɐu _min	
中小	'dzʊŋ ´siu	
中小學	'dzʊŋ ´siu _hɔk	
中小企	'dzʊŋ ´siu ˏkei	中小型企業
中小企業	'dzʊŋ ´siu ˏkei _jip	
終審	'dzʊŋ ´sɐm	
中產	'dzʊŋ ´tsan	
中產階級	'dzʊŋ ´tsan 'gai 'kɐp	
中草藥	'dzʊŋ ´tsou _jœk	
盅頭飯	'dzʊŋ ´tɐu _fan	蒸飯
忠言	'dzʊŋ ˌjin	
忠言逆耳	'dzʊŋ ˌjin _jik ˏji	
中型	'dzʊŋ ˌjɪŋ	
中庸	'dzʊŋ ˌjʊŋ	
中庸之道	'dzʊŋ ˌjʊŋ 'dzi _dou	
中庸思想	'dzʊŋ ˌjʊŋ 'si ´sœŋ	
中期	'dzʊŋ ˌkei	
鍾馗	'dzʊŋ ˌkwɐi	
棕櫚	'dzʊŋ ˌlœy	
棕櫚樹	'dzʊŋ ˌlœy _sy	
鬃毛	'dzʊŋ ˌmou	
中文	'dzʊŋ ˌmɐn	
中文書	'dzʊŋ ˌmɐn 'sy	
中文字	'dzʊŋ ˌmɐn _dzi	
中文系	'dzʊŋ ˌmɐn _hɐi	
中文化	'dzʊŋ ˌmɐn ¯fa	
中文堂	'dzʊŋ ˌmɐn ˌtɔŋ	中文課
鍾唔鍾意	'dzʊŋ ˌm̩ 'dzʊŋ ¯ji	喜不喜歡
中南	'dzʊŋ ˌnam	
中南部	'dzʊŋ ˌnam _bou	
中年人	'dzʊŋ ˌnin ˌjɐn	
忠臣	'dzʊŋ ˌsɐn	
忠臣孝子	'dzʊŋ ˌsɐn ¯hau ´dzi	
忠誠	'dzʊŋ ˌsɪŋ	
中途	'dzʊŋ ˌtou	
宗祠	'dzʊŋ ˌtsi	
中旬	'dzʊŋ ˌtsœn	
中場	'dzʊŋ ˌtsœŋ	
中長期	'dzʊŋ ˌtsœŋ ˌkei	
中層	'dzʊŋ ˌtsɐŋ	
中層階級	'dzʊŋ ˌtsɐŋ 'gai 'kɐp	
中邪	'dzʊŋ ˌtsɛ	
中程	'dzʊŋ ˌtsɪŋ	
中程飛彈	'dzʊŋ ˌtsɪŋ 'fei _dan	
中程計劃	'dzʊŋ ˌtsɪŋ ¯gɐi _wak	
中提琴	'dzʊŋ ˌtɐi ˌkɐm	
舂吓舂吓	'dzʊŋ ˏha 'dzʊŋ ˏha	踉蹌，走路不穩
忠厚	'dzʊŋ ˏhɐu	
中耳	'dzʊŋ ˏji	
中耳炎	'dzʊŋ ˏji ˌjim	
忠勇	'dzʊŋ ˏjʊŋ	
中距離	'dzʊŋ ˏkœy ˌlei	
中腦	'dzʊŋ ˏnou	
中午	'dzʊŋ ˏŋ̩	
敦煌	'dœn ˌwɔŋ	
敦煌石窟	'dœn ˌwɔŋ _sɛk _gwɐt	
咄咄逼人	'dœt 'dœt 'bik ˌjɐn	
啄	'dœŋ	啄，啄食，啄咬，叮咬
啄親	'dœŋ 'tsɐn	叮，叮著，被叮了
低B	'dɐi 'bi	蠢笨，沒頭腦
低波	'dɐi 'bɔ	低速，低速檔
低波	'dɐi 'bɔ	風格低，手段低下，水平低下，小氣
低波行駛	'dɐi 'bɔ ˌhɐŋ ´sɐi	低速開車，低速行駛
低端	'dɐi 'dyn	
低低哋	'dɐi 'dɐi ´dei	有點蠢笨
低飛	'dɐi 'fei	
低胸	'dɐi 'hʊŋ	
低空	'dɐi 'hʊŋ	
低胸裝	'dɐi 'hʊŋ 'dzɔŋ	
低空飛行	'dɐi 'hʊŋ 'fei ˌhɐŋ	
低於	'dɐi 'jy	
低音	'dɐi 'jɐm	
低級	'dɐi 'kɐp	
低三下四	'dɐi 'sam _ha ¯sei	
低收入	'dɐi 'sɐu _jɐp	
低聲	'dɐi 'sɪŋ	
低聲下氣	'dɐi 'sɪŋ _ha ¯hei	
低速	'dɐi 'tsʊk	
低窪	'dɐi 'wa	
低窪地區	'dɐi 'wa _dei 'kœy	
低威	'dɐi 'wɐi	比不上，不如人，不行，沒骨氣，妄自菲薄
低溫	'dɐi 'wɐn	
低溫特報	'dɐi 'wɐn _dɐk ¯bou	
低溫氣候	'dɐi 'wɐn ¯hei _hɐu	
低地	'dɐi _dei	
低調	'dɐi _diu	
低賤	'dɐi _dzin	
低俗	'dɐi _dzʊk	
低下	'dɐi _ha	
低熱	'dɐi _jit	
低熱量	'dɐi _jit _lœŋ	
低壓	'dɐi ¯at	
低價	'dɐi ¯ga	
低氣壓	'dɐi ¯hei ¯at	
低血壓	'dɐi ¯hyt ¯at	
低血糖	'dɐi ¯hyt ˌtɔŋ	
低劣	'dɐi ¯lyt	
低劣性	'dɐi ¯lyt ¯sɪŋ	
低唱	'dɐi ¯tsœŋ	
低點	'dɐi ´dim	
低等	'dɐi ´dɐŋ	
低等生物	'dɐi ´dɐŋ 'sɐŋ _mɐt	
低等植物	'dɐi ´dɐŋ _dzik _mɐt	
低等動物	'dɐi ´dɐŋ _dʊŋ _mɐt	
低估	'dɐi ´gu	
低產	'dɐi ´tsan	
低產量	'dɐi ´tsan _lœŋ	
低產期	'dɐi ´tsan ˌkei	
低矮	'dɐi ´ŋɐi	
低人一等	'dɐi ˌjɐn 'jɐt ´dɐŋ	
低廉	'dɐi ˌlim	
低微	'dɐi ˌmei	
低迷	'dɐi ˌmɐi	
低迷不振	'dɐi ˌmɐi 'bɐt ¯dzɐn	
低年級	'dɐi ˌnin 'kɐp	
低能	'dɐi ˌnɐŋ	
低能	'dɐi ˌnɐŋ	智障
低能兒童	'dɐi ˌnɐŋ ˌji ˌtʊŋ	智障少年，低能兒
低頻	'dɐi ˌpɐn	
低垂	'dɐi ˌsœy	
低成本	'dɐi ˌsɪŋ ´bun	
低潮	'dɐi ˌtsiu	
低潮期	'dɐi ˌtsiu ˌkei	
低沉	'dɐi ˌtsɐm	
低頭	'dɐi ˌtɐu	
低頭不語	'dɐi ˌtɐu 'bɐt ˏjy	
得	'dɐk	光，只有
得	'dɐk	可以，行
得標	'dɐk 'biu	
得不償失	'dɐk 'bɐt ˌsœŋ 'sɐt	
得知	'dɐk 'dzi	
得…啫	'dɐk 'dzɛ	只有…
得分	'dɐk 'fɐn	
得益	'dɐk 'jik	
得悉	'dɐk 'sik	
得心應手	'dɐk 'sɐm ¯jɪŋ ´sɐu	
得失	'dɐk 'sɐt	
得失參半	'dɐk 'sɐt 'tsam ¯bun	
得天獨厚	'dɐk 'tin _dʊk ˏhɐu	
得戚	'dɐk 'tsik	得意，得意忘形，洋洋自得，得意洋洋
得敕	'dɐk 'tsik	神氣，得意洋洋，得意忘形
得敕喇你	'dɐk 'tsik ¯la ˏnei	有什麼可神氣的
得出	'dɐk 'tsœt	
得病	'dɐk _bɪŋ	
得啖笑	'dɐk _dam ¯siu	只有笑的份，笑一笑
得啖笑啫	'dɐk _dam ¯siu 'dzɛ	只不過笑一笑罷了，只不過樂一樂罷了
得罪	'dɐk _dzœy	
得滯	'dɐk _dzɐi	過於，太過，過分
德裔	'dɐk _jœy	
得力	'dɐk _lik	
得力助手	'dɐk _lik _dzɔ ´sɐu	
得到	'dɐk ¯dou	
得志	'dɐk ¯dzi	
得噶啦	'dɐk ¯ga ¯la	沒問題
得救	'dɐk ¯gɐu	
得個吉	'dɐk ¯gɔ 'gɐt	一場空，一無所得
得個講字	'dɐk ¯gɔ ´gɔŋ _dzi	光說不做，只說不做
得意	'dɐk ¯ji	可愛
得意	'dɐk ¯ji	
得意趣致	'dɐk ¯ji ¯tsœy ¯dzi	可愛有趣
得意揚揚	'dɐk ¯ji ˌjœŋ ˌjœŋ	
得意洋洋	'dɐk ¯ji ˌjœŋ ˌjœŋ	
得意門生	'dɐk ¯ji ˌmun 'sɐŋ	
得意忘形	'dɐk ¯ji ˌmɔŋ ˌjɪŋ	
得喇	'dɐk ¯la	行了，可以了，成了，沒問題了
得票	'dɐk ¯piu	
得數	'dɐk ¯sou	
得勢	'dɐk ¯sɐi	
得勝	'dɐk ¯sɪŋ	
得寸進尺	'dɐk ¯tsyn ¯dzœn ¯tsɛk	
得把聲	'dɐk ´ba 'sɛŋ	光說不幹，只說不做，光說不做
得把口	'dɐk ´ba ´hɐu	就會耍嘴皮子，光說不做
得主	'dɐk ´dzy	
得獎	'dɐk ´dzœŋ	
得獎者	'dɐk ´dzœŋ ´dzɛ	
得獎人	'dɐk ´dzœŋ ˌjɐn	
得逞	'dɐk ´tsɪŋ	
得寵	'dɐk ´tsʊŋ	
得體	'dɐk ´tɐi	
得閒	'dɐk ˌhan	有空
得而復失	'dɐk ˌji _fʊk 'sɐt	
得魚忘筌	'dɐk ˌjy ˌmɔŋ ˌtsyn	
得人驚	'dɐk ˌjɐn 'gɛŋ	嚇人，可怕，令人害怕
得人怕	'dɐk ˌjɐn ¯pa	嚇人，可怕，令人害怕
得其所哉	'dɐk ˌkei ´sɔ 'dzɔi	
得來不易	'dɐk ˌlɔi 'bɐt _ji	
得來全不費功夫	'dɐk ˌlɔi ˌtsyn 'bɐt ¯fɐi 'gʊŋ 'fu	
得唔得	'dɐk ˌm̩ 'dɐk	可不可以，行不行
德才兼備	'dɐk ˌtsɔi 'gim _bei	
得以	'dɐk ˏji	
得隴望蜀	'dɐk ˏlʊŋ _mɔŋ _sʊk	
