开放粤语词典（黄锡凌数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［黄锡凌拼音］	［国语解释］
得以	dɐk7 ji5	
得益	dɐk7 jik7	
得鱼忘筌	dɐk7 jy4 mɔŋ4 tsyn4	
德裔	dɐk7 jœy6	
得人惊	dɐk7 jɐn4 gɛŋ1	吓人，可怕，令人害怕
得人怕	dɐk7 jɐn4 pa3	吓人，可怕，令人害怕
得其所哉	dɐk7 kei4 sɔ2 dzɔi1	
得喇	dɐk7 la3	行了，可以了，成了，没问题了
得力	dɐk7 lik9	
得力助手	dɐk7 lik9 dzɔ6 sɐu2	
得来不易	dɐk7 lɔi4 bɐt7 ji6	
得来全不费功夫	dɐk7 lɔi4 tsyn4 bɐt7 fɐi3 gʊŋ1 fu1	
得陇望蜀	dɐk7 lʊŋ5 mɔŋ6 sʊk9	
得米	dɐk7 mɐi5	得手，得计，达到目的
得唔得	dɐk7 m̩4 dɐk7	可不可以，行不行
得票	dɐk7 piu3	
得悉	dɐk7 sik7	
得数	dɐk7 sou3	
得势	dɐk7 sɐi3	
得心应手	dɐk7 sɐm1 jɪŋ3 sɐu2	
得失	dɐk7 sɐt7	
得失参半	dɐk7 sɐt7 tsam1 bun3	
得胜	dɐk7 sɪŋ3	
得天独厚	dɐk7 tin1 dʊk9 hɐu5	
得戚	dɐk7 tsik7	得意，得意忘形，洋洋自得，得意洋洋
得敕	dɐk7 tsik7	神气，得意洋洋，得意忘形
得敕喇你	dɐk7 tsik7 la3 nei5	有什么可神气的
得寸进尺	dɐk7 tsyn3 dzœn3 tsɛk8	
得出	dɐk7 tsœt7	
德才兼备	dɐk7 tsɔi4 gim1 bei6	
得逞	dɐk7 tsɪŋ2	
得宠	dɐk7 tsʊŋ2	
得体	dɐk7 tɐi2	
特别	dɐk9 bit9	
特别版	dɐk9 bit9 ban2	
特别奖	dɐk9 bit9 dzœŋ2	
特别法	dɐk9 bit9 fat8	
特大	dɐk9 dai6	
特大号	dɐk9 dai6 hou6	
特地	dɐk9 dei6	
特点	dɐk9 dim2	
特指	dɐk9 dzi2	
特奖	dɐk9 dzœŋ2	
特制	dɐk9 dzɐi3	
特制品	dɐk9 dzɐi3 bɐn2	
特质	dɐk9 dzɐt7	
特征	dɐk9 dzɪŋ1	
特种	dɐk9 dzʊŋ2	
特种部队	dɐk9 dzʊŋ2 bou6 dœy6	
特种兵	dɐk9 dzʊŋ2 bɪŋ1	
特登	dɐk9 dɐŋ1	特地，特意，故意
特等	dɐk9 dɐŋ2	
特等奖	dɐk9 dɐŋ2 dzœŋ2	
特等舱	dɐk9 dɐŋ2 tsɔŋ1	
特定	dɐk9 dɪŋ6	
特快	dɐk9 fai3	
特快号	dɐk9 fai3 hou6	
特快车	dɐk9 fai3 tsɛ1	
特训	dɐk9 fɐn3	
特价	dɐk9 ga3	
特价品	dɐk9 ga3 bɐn2	
特技	dɐk9 gei6	
特急	dɐk9 gɐp7	
特工	dɐk9 gʊŋ1	
特效药	dɐk9 hau6 jœk9	
特遣	dɐk9 hin2	
特遣队	dɐk9 hin2 dœy6	
特许	dɐk9 hœy2	
特许状	dɐk9 hœy2 dzɔŋ6	
特许证	dɐk9 hœy2 dzɪŋ3	
特许权	dɐk9 hœy2 kyn4	
特刊	dɐk9 hɔn2	
特意	dɐk9 ji3	
特异	dɐk9 ji6	
特异性	dɐk9 ji6 sɪŋ3	
特约	dɐk9 jœk8	
特约记者	dɐk9 jœk8 gei3 dzɛ2	
特约稿	dɐk9 jœk8 gou2	
特有	dɐk9 jɐu5	
特权	dɐk9 kyn4	
特权分子	dɐk9 kyn4 fɐn6 dzi2	
特区	dɐk9 kœy1	
特级	dɐk9 kɐp7	
特立独行	dɐk9 lap9 dʊk9 hɐŋ4	
特例	dɐk9 lɐi6	
特免	dɐk9 min5	
特务	dɐk9 mou6	
特务组织	dɐk9 mou6 dzou2 dzik7	
特派	dɐk9 pai3	
特派记者	dɐk9 pai3 gei3 dzɛ2	
特派员	dɐk9 pai3 jyn4	
特使	dɐk9 si3	
特色	dɐk9 sik7	
特殊	dɐk9 sy4	
特殊化	dɐk9 sy4 fa3	
特殊教育	dɐk9 sy4 gau3 jʊk9	
特殊性	dɐk9 sy4 sɪŋ3	
特选	dɐk9 syn2	
特写	dɐk9 sɛ2	
特写镜头	dɐk9 sɛ2 gɛŋ3 tɐu4	
特赦	dɐk9 sɛ3	
特性	dɐk9 sɪŋ3	
特产	dɐk9 tsan2	
特此	dɐk9 tsi2	
特此通知	dɐk9 tsi2 tʊŋ1 dzi1	
特辑	dɐk9 tsɐp7	
特称	dɐk9 tsɪŋ1	
特惠	dɐk9 wɐi6	
特惠关税	dɐk9 wɐi6 gwan1 sœy3	
揼	dɐm1	磨蹭，磨时间，费时间，磨
揼时间	dɐm1 si4 gan1	磨时间
抌	dɐm2	砸，捶
抌	dɐm2	扔，扔掉，丢掉
抌咗	dɐm2 dzɔ2	扔了，扔掉了，丢掉了
抌咗都冇人执	dɐm2 dzɔ2 dou1 mou5 jɐn4 dzɐp7	扔了也没有人捡
抌低	dɐm2 dɐi1	扔下
抌远啲	dɐm2 jyn5 di1	扔远一点
抌印	dɐm2 jɐn3	盖章
抌落街	dɐm2 lɔk9 gai1	扔到街道上
抌心口	dɐm2 sɐm1 hɐu2	捶胸，懊悔
趸	dɐn2	放
趸低	dɐn2 dɐi1	放下
躉货	dɐn2 fɔ3	囤货
趸落地	dɐn2 lɔk9 dei6	放在地上
扽	dɐn3	震，颠，抖动，震动，颠簸
扽扽吓	dɐn3 dɐn3 ha5	颠簸
扽监	dɐn3 gam1	蹲监狱，坐牢
扽气	dɐn3 hei3	发泄怨气，出气
扽手踭	dɐn3 sɐu2 dzaŋ1	撞击
耷	dɐp7	垂下，耷拉
耷低头	dɐp7 dɐi1 tɐu4	垂头，低头，耷拉着脑袋
耷唔切	dɐp7 m̩4 tsit8	来不及煞车
耷湿	dɐp7 sɐp7	没分寸，寒碜，不体面，简陋
耷头耷脑	dɐp7 tɐu4 dɐp7 nou5	垂头丧气
[揜]	dɐp9	捶打，砸，掉，摔
揜骨	dɐp9 gwɐt7	按摩
揜骨妹	dɐp9 gwɐt7 mui1	按摩女郎
揜骨场	dɐp9 gwɐt7 tsœŋ4	按摩院
揜一拳	dɐp9 jɐt7 kyn4	打一拳
揜铁	dɐp9 tit8	打铁
凸状	dɐt9 dzɔŋ6	
凸状物	dɐt9 dzɔŋ6 mɐt9	
凸镜	dɐt9 gɛŋ3	
凸起	dɐt9 hei2	
凸显	dɐt9 hin2	
突然	dɐt9 jin4	
凸面	dɐt9 min6	
凸面镜	dɐt9 min6 gɛŋ3	
凸出	dɐt9 tsœt7	
凸透镜	dɐt9 tɐu3 gɛŋ3	
突兀	dɐt9 ŋɐt9	
蔸	dɐu1	棵，丛，条
兜踎	dɐu1 mɐu1	难看，丑陋，寒酸
豆	dɐu2	豆子
斗笠	dɐu2 lɐp7	
斗零	dɐu2 lɪŋ2	半角钱
抖擞	dɐu2 sɐu2	
陡峭	dɐu2 tsiu3	
斗	dɐu3	逗
斗	dɐu3	比赛，比
斗	dɐu3	碰，动
斗细佬哥	dɐu3	逗小孩
窦	dɐu3	窝，巢穴
斗大力	dɐu3 dai6 lik9	比气力
斗智	dɐu3 dzi3	
斗志	dɐu3 dzi3	
斗智斗力	dɐu3 dzi3 dɐu3 lik9	
斗志昂扬	dɐu3 dzi3 ŋɔŋ4 jœŋ4	
斗蟀	dɐu3 dzœt7	斗蟋蟀
斗争	dɐu3 dzɐŋ1	
斗争意志	dɐu3 dzɐŋ1 ji3 dzi3	
斗争性	dɐu3 dzɐŋ1 sɪŋ3	
斗快	dɐu3 fai3	比快，看谁快
斗负气	dɐu3 fu3 hei3	斗别扭，赌气
斗鸡	dɐu3 gɐi1	
斗鸡场	dɐu3 gɐi1 tsœŋ4	
斗鸡眼	dɐu3 gɐi1 ŋan5	
斗气	dɐu3 hei3	赌气，怄气，斗别扭
斗靓	dɐu3 lɛŋ3	比美，比漂亮
斗龙船	dɐu3 lʊŋ4 syn4	划龙舟比赛
斗木	dɐu3 mʊk9	做木器
斗木佬	dɐu3 mʊk9 lou2	木匠
斗批改	dɐu3 pɐi1 gɔi2	
斗私批修	dɐu3 si1 pɐi1 sɐu1	
斗士	dɐu3 si6	
斗蟋蟀	dɐu3 sik7 sœt7	
斗牛	dɐu3 ŋɐu4	
斗牛士	dɐu3 ŋɐu4 si6	
斗牛场	dɐu3 ŋɐu4 tsœŋ4	
斗殴	dɐu3 ɐu2	
豆	dɐu6	取，拿
豆渣	dɐu6 dza1	
豆住	dɐu6 dzy6	托着，兜着
豆浆	dɐu6 dzœŋ1	
豆浆店	dɐu6 dzœŋ1 dim3	
豆瓣	dɐu6 fan6	
豆瓣酱	dɐu6 fan6 dzœŋ3	
豆腐	dɐu6 fu6	
豆腐煲	dɐu6 fu6 bou1	沙锅豆腐
豆腐花	dɐu6 fu6 fa1	豆腐花，豆腐脑儿
豆腐干	dɐu6 fu6 gɔn1	
豆腐乳	dɐu6 fu6 jy5	
豆腐膶	dɐu6 fu6 jœn2	豆腐干，豆干
豆腐皮	dɐu6 fu6 pei4	
豆腐泡	dɐu6 fu6 pɔk7	豆泡，油炸豆腐
豆科	dɐu6 fɔ1	
豆壳	dɐu6 hɔk8	
豆膶	dɐu6 jœn2	豆干
豆蔻	dɐu6 kɐu3	
豆类	dɐu6 lœy6	
豆利是	dɐu6 lɐi6 si6	拿红包，讨红包
逗留	dɐu6 lɐu4	
逗乐	dɐu6 lɔk9	
豆绿	dɐu6 lʊk9	
逗弄	dɐu6 lʊŋ6	
豆苗	dɐu6 miu4	
痘苗	dɐu6 miu4	
豆泥	dɐu6 nɐi4	劣，次，寒酸，劣等，质量差，水平低
豆泥嘢	dɐu6 nɐi4 jɛ5	次货
豆皮	dɐu6 pei4	麻脸，麻子
豆泡	dɐu6 pɔk7	豆泡，油炸豆腐
豆沙	dɐu6 sa1	
豆沙饼	dɐu6 sa1 bɛŋ2	
豆沙喉	dɐu6 sa1 hɐu4	沙嗓子
豆沙月饼	dɐu6 sa1 jyt9 bɛŋ2	
豆豉	dɐu6 si6	
逗笑	dɐu6 siu3	
逗趣	dɐu6 tsœy3	
豆芽	dɐu6 ŋa4	
豆芽菜	dɐu6 ŋa4 tsɔi3	
登报	dɐŋ1 bou3	
登报声明	dɐŋ1 bou3 sɪŋ1 mɪŋ4	
灯胆	dɐŋ1 dam2	电灯泡
登载	dɐŋ1 dzɔi3	
灯火	dɐŋ1 fɔ2	
灯火通明	dɐŋ1 fɔ2 tʊŋ1 mɪŋ4	
登峰造极	dɐŋ1 fʊŋ1 dzou6 gik9	
登机	dɐŋ1 gei1	
登记	dɐŋ1 gei3	
灯光	dɐŋ1 gwɔŋ1	
登广告	dɐŋ1 gwɔŋ2 gou3	
灯红酒绿	dɐŋ1 hʊŋ4 dzɐu2 lʊk9	
登月	dɐŋ1 jyt9	
登入	dɐŋ1 jɐp9	
登陆	dɐŋ1 lʊk9	
登录	dɐŋ1 lʊk9	
灯笼	dɐŋ1 lʊŋ4	
灯笼裤	dɐŋ1 lʊŋ4 fu3	
登门	dɐŋ1 mun4	
灯泡	dɐŋ1 pau1	
登山	dɐŋ1 san1	
登山队	dɐŋ1 san1 dœy6	
登山鞋	dɐŋ1 san1 hai4	
登时	dɐŋ1 si4	
登船	dɐŋ1 syn4	
灯心	dɐŋ1 sɐm1	
灯心绒	dɐŋ1 sɐm1 jʊŋ4	
灯心草	dɐŋ1 sɐm1 tsou2	
灯塔	dɐŋ1 tap8	
登出	dɐŋ1 tsœt7	
登场	dɐŋ1 tsœŋ4	
登堂入室	dɐŋ1 tɔŋ4 jɐp9 sɐt7	
登位	dɐŋ1 wɐi6	
灯晕	dɐŋ1 wɐn6	
等	dɐŋ2	让
等到颈都长	dɐŋ2 dou3 gɛŋ2 dou1 tsœŋ4	等得很久了，等得太久了，等得脖子都酸了
等阵	dɐŋ2 dzɐn6	等一下
等阵先	dɐŋ2 dzɐn6 sin1	先等一下
等咗好耐	dɐŋ2 dzɔ2 hou2 nɔi6	等了很久
等等	dɐŋ2 dɐŋ2	
等待	dɐŋ2 dɔi6	
等吓	dɐŋ2 ha5	等一等
等闲	dɐŋ2 han4	
等闲之辈	dɐŋ2 han4 dzi1 bui3	
等闲视之	dɐŋ2 han4 si6 dzi1	
等号	dɐŋ2 hou6	
等埋	dɐŋ2 mai4	等等
等唔切	dɐŋ2 m̩4 tsit8	不等了，来不及了
等钱使	dɐŋ2 tsin2 sɐi2	手头紧，没钱花
等我嚟	dɐŋ2 ŋɔ5 lei4	让我来
等我睇吓	dɐŋ2 ŋɔ5 tɐi2 ha5	让我看看
凳	dɐŋ3	椅子，凳子，板凳
凳仔	dɐŋ3 dzɐi2	小凳，凳子
戥	dɐŋ6	替，为
戥兴	dɐŋ6 hɪŋ3	凑热闹
戥你难过	dɐŋ6 nei5 nan4 gɔ3	替你难过
戥头	dɐŋ6 tɐu4	平衡
瞪眼	dɐŋ6 ŋan5	
多边	dɔ1 bin1	
多边形	dɔ1 bin1 jɪŋ4	
多边条约	dɔ1 bin1 tiu4 jœk8	
多变	dɔ1 bin3	
多半	dɔ1 bun3	
多啲	dɔ1 di1	多一点
多子多孙	dɔ1 dzi2 dɔ1 syn1	
多汁	dɔ1 dzɐp7	
多灾	dɔ1 dzɔi1	
多灾多难	dɔ1 dzɔi1 dɔ1 nan6	
多谢	dɔ1 dzɛ6	
多谢	dɔ1 dzɛ6	谢谢，多谢
多谢晒	dɔ1 dzɛ6 sai3	很感谢，真谢谢你
多种	dɔ1 dzʊŋ2	
多种多样	dɔ1 dzʊŋ2 dɔ1 jœŋ6	
多种经营	dɔ1 dzʊŋ2 gɪŋ1 jɪŋ4	
多得	dɔ1 dɐk7	多亏
多多	dɔ1 dɔ1	多，很多
多多益善	dɔ1 dɔ1 jik7 sin6	
多多少少	dɔ1 dɔ1 siu2 siu2	
多党	dɔ1 dɔŋ2	
多党制	dɔ1 dɔŋ2 dzɐi3	
多方	dɔ1 fɔŋ1	
多方阻扰	dɔ1 fɔŋ1 dzɔ2 jiu2	
多方面	dɔ1 fɔŋ1 min6	
多管	dɔ1 gun2	
多管闲事	dɔ1 gun2 han4 si6	
多管齐下	dɔ1 gun2 tsɐi4 ha6	
多寡	dɔ1 gwa2	
多寡不拘	dɔ1 gwa2 bɐt7 kœy1	
多过头	dɔ1 gwɔ3 tɐu4	太多
多国	dɔ1 gwɔk8	
多国部队	dɔ1 gwɔk8 bou6 dœy6	
多句嘴	dɔ1 gœy3 dzœy2	多说一句话
多久	dɔ1 gɐu2	
多功能	dɔ1 gʊŋ1 nɐŋ4	
多口	dɔ1 hɐu2	多嘴
多行不义必自毙	dɔ1 hɐŋ4 bɐt7 ji6 bit7 dzi6 bɐi6	
多看多听	dɔ1 hɔn3 dɔ1 tɪŋ1	
多义字	dɔ1 ji6 dzi6	
多义词	dɔ1 ji6 tsi4	
多言	dɔ1 jin4	
多于	dɔ1 jy1	
多余	dɔ1 jy4	
多如牛毛	dɔ1 jy4 ŋɐu4 mou4	
多雨	dɔ1 jy5	
多元	dɔ1 jyn4	
多元化	dɔ1 jyn4 fa3	
多元论	dɔ1 jyn4 lœn6	
多元性	dɔ1 jyn4 sin3	
多一事长一智	dɔ1 jɐt7 si6 dzœŋ2 jɐt7 dzi3	经一事长一智
多一事长一智	dɔ1 jɐt7 si6 dzœŋ2 jɐt7 dzi3	经一事长一智
多亏	dɔ1 kwɐi1	
多劳多得	dɔ1 lou4 dɔ1 dɐk7	
多虑	dɔ1 lœy6	
多礼	dɔ1 lɐi5	
多罗罗	dɔ1 lɔ4 lɔ4	多多的，很多
多媒体	dɔ1 mui4 tɐi2	
多谋善断	dɔ1 mɐu4 sin6 dyn6	
多么	dɔ1 mɔ1	
多年	dɔ1 nin4	
多年来	dɔ1 nin4 lɔi4	
多年生	dɔ1 nin4 sɐŋ1	
多年生植物	dɔ1 nin4 sɐŋ1 dzik9 mɐt9	
多士	dɔ1 si2	烤面包，土司
多士炉	dɔ1 si2 lou4	烤面包机，电烤箱
多事	dɔ1 si6	
多事之秋	dɔ1 si6 dzi1 tsɐu1	
多少	dɔ1 siu2	一些，一点儿
多少	dɔ1 siu2	
多少少	dɔ1 siu2 siu2	多一点，多一些，多出一点点
多数	dɔ1 sou3	大部分，大多，多半儿，大概
多数人	dɔ1 sou3 jɐn4	
多数票	dɔ1 sou3 piu3	
多选	dɔ1 syn2	
多选题	dɔ1 syn2 tɐi4	
多心	dɔ1 sɐm1	
多愁善感	dɔ1 sɐu4 sin6 gɐm2	
哆嗦	dɔ1 sɔ1	
多产	dɔ1 tsan2	
多产作家	dɔ1 tsan2 dzɔk8 ga1	
多此一举	dɔ1 tsi2 jɐt7 gœy2	
多彩	dɔ1 tsɔi2	
多彩多姿	dɔ1 tsɔi2 dɔ1 dzi1	
多才多艺	dɔ1 tsɔi4 dɔ1 ŋɐi6	
多财善贾	dɔ1 tsɔi4 sin6 gu2	
多情	dɔ1 tsɪŋ4	
多重	dɔ1 tsʊŋ4	
多重人格	dɔ1 tsʊŋ4 jɐn4 gak8	
多重选择	dɔ1 tsʊŋ4 syn2 dzak9	
多重选择题	dɔ1 tsʊŋ4 syn2 dzak9 tɐi4	
多退少补	dɔ1 tœy3 siu2 bou2	
多胎	dɔ1 tɔi1	
多位	dɔ1 wɐi6	
多位数	dɔ1 wɐi6 sou3	
多云	dɔ1 wɐn4	
躲避	dɔ2 bei6	
跺脚	dɔ2 gœk8	
剁肉	dɔ2 jʊk9	
剁碎	dɔ2 sœy3	
惰	dɔ6	坠，往下垂
惰角	dɔ6 gɔk8	偏僻
惰角地方	dɔ6 gɔk8 dei6 fɔŋ1	偏僻的地方，偏地方
堕入	dɔ6 jɐp9	
堕落	dɔ6 lɔk9	
惰落	dɔ6 lɔk9	坠下
惰落嚟	dɔ6 lɔk9 lei4	坠下来
惰性	dɔ6 sɪŋ3	
堕胎	dɔ6 tɔi1	
袋	dɔi2	口袋
袋鼠	dɔi2 sy2	
袋	dɔi6	袋子
代表	dɔi6 biu2	
殆尽	dɔi6 dzœn6	
待遇	dɔi6 jy6	
怠慢	dɔi6 man6	
玳瑁	dɔi6 mou6	
岱山	dɔi6 san1	
代替	dɔi6 tɐi3	
度	dɔk9	量
踱步	dɔk9 bou6	
度德量力	dɔk9 dɐk7 lœŋ6 lik9	
度桥	dɔk9 kiu2	想法子，过关
度水	dɔk9 sœy2	借钱
度身	dɔk9 sɐn1	量身
度错	dɔk9 tsɔ3	量错
当兵	dɔŋ1 bɪŋ1	
当地	dɔŋ1 dei6	
当道	dɔŋ1 dou6	
当之无愧	dɔŋ1 dzi1 mou4 kwɐi5	
当造	dɔŋ1 dzou6	当季
当住	dɔŋ1 dzy6	当着，当面
当住佢讲	dɔŋ1 dzy6 kœy5 gɔŋ2	当着他的面说
当政	dɔŋ1 dzɪŋ3	
当政者	dɔŋ1 dzɪŋ3 dzɛ2	
当中	dɔŋ1 dzʊŋ1	
当众	dɔŋ1 dzʊŋ3	
当代	dɔŋ1 dɔi6	
当家	dɔŋ1 ga1	
当家作主	dɔŋ1 ga1 dzɔk8 dzy2	
当更	dɔŋ1 gaŋ1	值班
当官	dɔŋ1 gun1	
当归	dɔŋ1 gwɐi1	
当今	dɔŋ1 gɐm1	
当局	dɔŋ1 gʊk9	
当局者迷	dɔŋ1 gʊk9 dzɛ2 mɐi4	
当下	dɔŋ1 ha6	
当空	dɔŋ1 hʊŋ1	
当红	dɔŋ1 hʊŋ4	
当然	dɔŋ1 jin4	
当日更	dɔŋ1 jɐt9 gaŋ1	值日班，上白班，值白班
当夜更	dɔŋ1 jɛ6 gaŋ1	值夜班
当权	dɔŋ1 kyn4	
当老师	dɔŋ1 lou5 si1	
当啷	dɔŋ1 lɔŋ1	
当面	dɔŋ1 min6	
当务之急	dɔŋ1 mou6 dzi1 gɐp7	
当时	dɔŋ1 si4	
当先	dɔŋ1 sin1	
当选	dɔŋ1 syn2	
当选者	dɔŋ1 syn2 dzɛ2	
当衰	dɔŋ1 sœy1	倒霉，遭殃，该倒霉，运气差，合该倒霉
当心	dɔŋ1 sɐm1	
当差	dɔŋ1 tsai1	当警察
当前	dɔŋ1 tsin4	
当朝	dɔŋ1 tsiu4	
当初	dɔŋ1 tsɔ1	
当头	dɔŋ1 tɐu4	
当头棒喝	dɔŋ1 tɐu4 paŋ5 hɔt8	
当堂	dɔŋ1 tɔŋ4	当场
当堂甩须	dɔŋ1 tɔŋ4 lɐt7 sou1	当场出丑
挡箭牌	dɔŋ2 dzin3 pai4	
党政	dɔŋ2 dzɪŋ3	
党派	dɔŋ2 pai3	
党委	dɔŋ2 wɐi2	
档	dɔŋ3	摊子，摊儿，摊
当真	dɔŋ3 dzɐn1	
当作	dɔŋ3 dzɔk8	
档口	dɔŋ3 hɐu2	摊子，摊
当耳边风	dɔŋ3 ji5 bin1 fʊŋ1	
当日	dɔŋ3 jɐt9	
当佢冇到	dɔŋ3 kœy5 mou5 dou3	不放在眼里，不管他，不给他一点面子
当…冇到	dɔŋ3 mou5 dou3	当…不在
当铺	dɔŋ3 pou3	
当成	dɔŋ3 sɪŋ4	
档位	dɔŋ3 wɐi2	摊位
档案	dɔŋ3 ɔn3	
荡失路	dɔŋ6 sɐt7 lou6	迷路
嗲哋	dɛ1 di3	妈妈
嗲哋妈咪	dɛ1 di3 ma1 mi3	爸爸妈妈
爹娘	dɛ1 nœŋ4	
嗲	dɛ2	娇，撒娇
嗲声嗲气	dɛ2 sɛŋ1 dɛ2 hei3	娇里娇气，很娇气
嗲	dɛ4	扯，谈话
趯	dɛk8	驱赶，驱逐
趯	dɛk8	跑，逃跑
趯更	dɛk8 gaŋ1	逃亡，逃命，溜走，开小差
趯唔切	dɛk8 m̩4 tsit8	跑不掉，跑不赢，跑得太慢了
籴粮食	dɛk9 lœŋ4 sik9	
籴米	dɛk9 mɐi5	
钉仔	dɛŋ1 dzɐi2	钉子
钉咗	dɛŋ1 dzɔ2	死了
钉翻粒纽	dɛŋ1 fan1 nɐp7 nɐu2	把扣子缝上
钉纽	dɛŋ1 nɐu2	缝上扣子
掟	dɛŋ3	投，扔，投掷
掟煲	dɛŋ3 bou1	吹了，分手
掟球	dɛŋ3 kɐu4	扔球
掟弯	dɛŋ3 wan1	转弯，拐弯
定	dɛŋ6	定金
埞	dɛŋ6	地方，空间，地儿
订杂志	dɛŋ6 dzap9 dzi3	
埞方	dɛŋ6 fɔŋ1	地方，位置
订房	dɛŋ6 fɔŋ2	
丁字	dɪŋ1 dzi6	
丁字裤	dɪŋ1 dzi6 fu3	
丁字形	dɪŋ1 dzi6 jɪŋ4	
丁字尺	dɪŋ1 dzi6 tsɛk8	
叮嘱	dɪŋ1 dzʊk7	
丁等	dɪŋ1 dɐŋ2	
叮当	dɪŋ1 dɔŋ1	
丁咁多	dɪŋ1 gɐm3 dɔ1	一丁点儿
丁香	dɪŋ1 hœŋ1	
丁香	dɪŋ1 hœŋ1	娇小玲珑
丁香花	dɪŋ1 hœŋ1 fa1	
丁香油	dɪŋ1 hœŋ1 jɐu4	
丁级	dɪŋ1 kɐp7	
叮咛	dɪŋ1 nɪŋ4	
丁是丁卯是卯	dɪŋ1 si6 dɪŋ1 mau5 si6 mau5	
订书机	dɪŋ1 sy1 gei1	
顶	dɪŋ2	撑，挺，支撑，支持
顶包	dɪŋ2 bau1	冒名顶替，以假充真
顶尖	dɪŋ2 dzim1	
顶住	dɪŋ2 dzy6	撑着，撑住
顶得住	dɪŋ2 dɐk7 dzy6	撑得住，受得了
顶档	dɪŋ2 dɔŋ3	顶替
顶夹	dɪŋ2 gap2	头发夹子
顶颈	dɪŋ2 gɛŋ2	拌嘴，顶嘴，抬杠，反驳
顶吓肚	dɪŋ2 ha5 tou5	点补点补，充充饥
顶唔住	dɪŋ2 m̩4 dzy6	受不了，撑不住
顶唔顺	dɪŋ2 m̩4 sœn6	受不了，吃不消
顶心杉	dɪŋ2 sɐm1 tsam3	眼中钉
顶肚	dɪŋ2 tou5	充饥，解饿
顶肚饿	dɪŋ2 tou5 ŋɔ6	充饥，解饿
椗	dɪŋ3	核，蒂
订阅	dɪŋ3 jyt9	
定	dɪŋ6	还是，或者
定啲	dɪŋ6 di1	镇定一点
定啲嚟	dɪŋ6 di1 lei4	稳住
定点	dɪŋ6 dim2	小数点，点
定系	dɪŋ6 hɐi6	还是
定义	dɪŋ6 ji6	
定谳	dɪŋ6 jin6	
定期	dɪŋ6 kei4	
定晒形	dɪŋ6 sai3 jɪŋ4	愣住了，发愣，发呆
定银	dɪŋ6 ŋɐn2	定钱，定金
督	dʊk7	戳，捅，刺，扎
笃	dʊk7	底，底部，尽头
督背脊	dʊk7 bui3 dzɛk8	背地里伤人，打小报告，戳脊樑骨
笃志	dʊk7 dzi3	
笃直	dʊk7 dzik9	
笃底	dʊk7 dɐi2	底下的，底层的
笃定	dʊk7 dɪŋ6	
笃厚	dʊk7 hɐu5	
笃行	dʊk7 hɐŋ4	
笃学	dʊk7 hɔk9	
笃信	dʊk7 sœn3	
笃实	dʊk7 sɐt9	
笃守	dʊk7 sɐu2	
笃诚	dʊk7 sɪŋ4	
督察	dʊk7 tsat8	
督穿	dʊk7 tsyn1	捅破
督穿个窿	dʊk7 tsyn1 gɔ3 lʊŋ1	捅个窿
督亲	dʊk7 tsɐn1	戳伤，刺伤
独白	dʊk9 bak9	
独步	dʊk9 bou6	
毒品	dʊk9 bɐn2	
读大学	dʊk9 dai6 hɔk9	
独到	dʊk9 dou3	
独到之处	dʊk9 dou3 dzi1 tsy3	
独断	dʊk9 dyn6	
独断专行	dʊk9 dyn6 dzyn1 hɐŋ4	
独断独行	dʊk9 dyn6 dʊk9 hɐŋ4	
独资	dʊk9 dzi1	
独资经营	dʊk9 dzi1 gɪŋ1 jɪŋ4	
独子	dʊk9 dzi2	
独自	dʊk9 dzi6	
独占	dʊk9 dzim3	
独占市场	dʊk9 dzim3 si5 tsœŋ4	
独占鳌头	dʊk9 dzim3 ŋou4 tɐu4	
独掌	dʊk9 dzœŋ2	
独掌大权	dʊk9 dzœŋ2 dai6 kyn4	
独奏	dʊk9 dzɐu3	
独奏曲	dʊk9 dzɐu3 kʊk7	
读者	dʊk9 dzɛ2	
独得	dʊk9 dɐk7	
独特	dʊk9 dɐk9	
独特性	dʊk9 dɐk9 sɪŋ3	
独当一面	dʊk9 dɔŋ1 jɐt7 min6	
毒贩	dʊk9 fan3	
独家	dʊk9 ga1	
独家报导	dʊk9 ga1 bou3 dou6	
独家新闻	dʊk9 ga1 sɐn1 mɐn4	
独脚戏	dʊk9 gœk8 hei3	
独居	dʊk9 gœy1	
独具匠心	dʊk9 gœy6 dzœŋ6 sɐm1	
独具一格	dʊk9 gœy6 jɐt7 gak8	
独具慧眼	dʊk9 gœy6 wɐi6 ŋan5	
独角	dʊk9 gɔk8	
独角戏	dʊk9 gɔk8 hei3	
独角兽	dʊk9 gɔk8 sɐu3	
独系	dʊk9 hɐi6	只是，只有
读后感	dʊk9 hɐu6 gɐm2	
毒药	dʊk9 jœk9	
独一无二	dʊk9 jɐt7 mou4 ji6	
独有	dʊk9 jɐu5	
独揽	dʊk9 lam5	
独揽大权	dʊk9 lam5 dai6 kyn4	
独立	dʊk9 lap9	
独立自主	dʊk9 lap9 dzi6 dzy2	
独立精神	dʊk9 lap9 dzɪŋ1 sɐn4	
独立国	dʊk9 lap9 gwɔk8	
独立思考	dʊk9 lap9 si1 hau2	
